text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.580,00:00:03.270
YASER ABU-MOSTAFA: Welcome back.,00:00:17.890,00:00:19.140
"Last time, we introduced
the learning problem.",00:00:21.230,00:00:25.490
"And if you have an application in your
domain that you wonder if machine",00:00:25.490,00:00:30.820
"learning is the right technique for
it, we found that there are three",00:00:30.820,00:00:34.360
criteria that you should check.,00:00:34.360,00:00:37.320
"You should ask yourself: is
there a pattern to begin",00:00:37.320,00:00:40.460
with that we can learn?,00:00:40.460,00:00:42.430
"And we realize that this condition can be
intuitively met in many applications,",00:00:42.430,00:00:49.230
"even if we don't know mathematically
what the pattern is.",00:00:49.230,00:00:52.270
"The example we gave was the
credit card approval.",00:00:52.270,00:00:55.290
"There is clearly a pattern-- if someone
has a particular salary, has",00:00:55.290,00:00:58.380
"been in a residence for so long, has
that much debt, and so on, that this",00:00:58.380,00:01:02.420
"is somewhat correlated to
their credit behavior.",00:01:02.420,00:01:06.520
"And therefore, we know that the pattern
exists in spite of the fact",00:01:06.520,00:01:09.610
"that we don't know exactly
what the pattern is.",00:01:09.610,00:01:13.230
"The second item is that we cannot pin
down the pattern mathematically, like",00:01:13.230,00:01:18.520
the example I just gave.,00:01:18.520,00:01:19.990
"And this is why we resort
to machine learning.",00:01:19.990,00:01:23.240
"The third one is that we have data
that represents that pattern.",00:01:23.240,00:01:27.570
"In the case of the credit application,
for example, there are historical",00:01:27.570,00:01:30.970
"records of previous customers, and we
have the data they wrote in their",00:01:30.970,00:01:35.940
"application when they applied, and we
have some years' worth of record of",00:01:35.940,00:01:40.400
their credit behavior.,00:01:40.400,00:01:41.910
"So we have data that are going to enable
us to correlate what they wrote in the",00:01:41.910,00:01:46.500
"application to their eventual credit
behavior, and that is what we are",00:01:46.500,00:01:50.210
going to learn from.,00:01:50.210,00:01:52.090
"Now, if you look at the three criteria,
basically there are two that",00:01:52.090,00:01:55.960
"you can do without, and one that
is absolutely essential.",00:01:55.960,00:02:00.130
What do I mean?,00:02:00.130,00:02:02.020
"Let's say that you don't
have a pattern.",00:02:02.020,00:02:04.890
"Well, if you don't have a pattern,
then you can try learning.",00:02:04.890,00:02:10.039
"And the only problem is
that you will fail.",00:02:10.039,00:02:13.290
That doesn't sound very encouraging.,00:02:13.290,00:02:16.050
"But the idea here is that, when we develop
the theory of learning, we will",00:02:16.050,00:02:20.340
"realize that you can apply the technique
regardless of whether there",00:02:20.340,00:02:24.370
is a pattern or not.,00:02:24.370,00:02:26.010
"And you are going to determine whether
there's a pattern or not.",00:02:26.010,00:02:30.070
"So you are not going to be fooled and
think, I learned, and then give the",00:02:30.070,00:02:33.360
"system to your customer, and the
customer will be disappointed.",00:02:33.360,00:02:36.330
"There is something you can actually
measure that will tell you whether you",00:02:36.330,00:02:39.460
learned or not.,00:02:39.460,00:02:40.710
"So if there's no pattern, there is no
harm done in trying machine learning.",00:02:40.710,00:02:46.110
"The other one, also,
you can do without.",00:02:46.110,00:02:48.860
"Let's say that we can pin the
thing down mathematically.",00:02:48.860,00:02:51.950
