text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.570,00:00:03.270
YASER ABU-MOSTAFA: Welcome back.,00:00:16.400,00:00:19.310
"Last time, we talked about
linear models.",00:00:19.310,00:00:24.120
"And linear models share what we
would refer to as the signal,",00:00:24.120,00:00:29.630
which is this formula.,00:00:29.630,00:00:31.530
"It's a linear sum involving the input
variables and weights, that can be put",00:00:31.530,00:00:37.020
in vector form.,00:00:37.020,00:00:38.660
"And all linear models, in one form or
another, have that as their basic",00:00:38.660,00:00:43.600
building block.,00:00:43.600,00:00:44.990
"And you can have a classification linear
system, like the perceptron,",00:00:44.990,00:00:49.680
"that uses that signal and takes the
sign of it to make a decision,",00:00:49.680,00:00:54.220
+1 or -1.,00:00:54.220,00:00:55.940
"Or you can take something like
regression, which is real-valued, that",00:00:55.940,00:00:59.300
"takes the signal as it is
and has that as output.",00:00:59.300,00:01:05.050
"We looked at the linear regression
algorithm, which was a particularly",00:01:05.050,00:01:08.720
easy algorithm.,00:01:08.720,00:01:10.430
"All it does, it takes the inputs and
puts them in a particular matrix form,",00:01:10.430,00:01:15.450
"and so the outputs. That's the inputs
and outputs of the data set.",00:01:15.450,00:01:19.840
"And then, by computing this very simple
formula, in one shot, it can",00:01:19.840,00:01:24.420
"get you the optimal value
of the weight vector.",00:01:24.420,00:01:29.830
"If you look at linear models, you can
think of them as an economy car.",00:01:29.830,00:01:36.550
"They get you where you want to go, and
they don't consume a lot of gas.",00:01:36.550,00:01:42.490
"You may not be very proud of them,
but they actually do the job.",00:01:42.490,00:01:46.720
"If you want a luxury car, wait
until we get to support",00:01:46.720,00:01:49.860
vector machines.,00:01:49.860,00:01:51.650
"And you have to pay the
price for that.",00:01:51.650,00:01:54.530
"However, for linear models, it
is remarkable how often they",00:01:54.530,00:01:58.450
succeed on their own.,00:01:58.450,00:02:00.060
"And they are sufficient to get
you the learning performance",00:02:00.060,00:02:03.150
that you want.,00:02:03.150,00:02:04.740
"So I urge you to give linear models
in general more attention than you",00:02:04.740,00:02:10.910
would otherwise give.,00:02:10.910,00:02:12.150
"And try to use them when you face
a learning problem first, and see if they",00:02:12.150,00:02:15.970
will actually achieve what you want.,00:02:15.970,00:02:18.950
"To strengthen linear models even
further, we introduced nonlinear",00:02:18.950,00:02:22.930
transformation.,00:02:22.930,00:02:24.700
"And the idea behind it is that the
signal is not only linear in x, which",00:02:24.700,00:02:29.970
"is what you would think of as the reason
we call these linear systems.",00:02:29.970,00:02:33.370
"But actually, they're linear
in w, the vector.",00:02:33.370,00:02:37.370
"And the reason this is important is
because learning actually modifies w",00:02:37.370,00:02:41.590
"in the learning process until it gets to
the optimal one, while x, which you",00:02:41.590,00:02:46.180
"usually think of as a variable, is
actually a bunch of constants, which",00:02:46.180,00:02:49.410
"are the data set that
are handed to you.",00:02:49.410,00:02:51.590
"So the linearity in w
is the key point.",00:02:51.590,00:02:55.290
