text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.570,00:00:03.270
YASER ABU-MOSTAFA: Welcome back.,00:00:15.410,00:00:16.660
"Last time, we talked about
error and noise.",00:00:19.150,00:00:23.580
"And these are two notions that relate
the learning problem to practical",00:00:23.580,00:00:27.940
situations.,00:00:27.940,00:00:30.540
"In the case of error measures, we
realized that in order to specify the",00:00:30.540,00:00:36.050
"error that is caused by your hypothesis,
we should try to estimate",00:00:36.050,00:00:40.360
"the cost of using your h, instead of f
which should have been used in the",00:00:40.360,00:00:45.820
first place.,00:00:45.820,00:00:47.050
"And that is something the user can
specify, of the price to pay when they",00:00:47.050,00:00:50.920
use h instead of f.,00:00:50.920,00:00:52.780
"And that is the principled way
of defining an error measure.",00:00:52.780,00:00:57.450
"In the absence of that, which happens
for quite a bit of time, we go to plan",00:00:57.450,00:01:01.580
"B and resort to analytic properties, or
practical properties of optimization,",00:01:01.580,00:01:06.560
in order to choose the error measure.,00:01:06.560,00:01:09.570
"Once you define the error between the
performance of your hypothesis versus",00:01:09.570,00:01:14.510
"the target function on a particular
point, you can plug this in, into",00:01:14.510,00:01:19.010
"different error quantities, like the
in-sample error and the out-of-sample",00:01:19.010,00:01:23.120
"error, and get those values in
terms of the error measure",00:01:23.120,00:01:26.880
by getting an average.,00:01:26.880,00:01:28.670
"In the case of the training set, you
estimate the error on the training",00:01:28.670,00:01:34.180
"points, and then you average with
respect to the N",00:01:34.180,00:01:38.900
examples that you have.,00:01:38.900,00:01:40.510
"And in the case of out-of-sample,
theoretically the definition would be",00:01:40.510,00:01:44.330
"that you also evaluate the error between
h and f on a particular point",00:01:44.330,00:01:48.810
"x, give the weight of x according to its
probability, and get the expected",00:01:48.810,00:01:52.740
value with respect to this x.,00:01:52.740,00:01:56.720
"The notion of noisy targets came from
the fact that what we are trying to",00:01:56.720,00:02:01.170
"learn may not be a deterministic
function, the only function in",00:02:01.170,00:02:04.700
"mathematics, where y is uniquely
determined by the value of x. But",00:02:04.700,00:02:09.740
"rather, when y is affected by x--",00:02:09.740,00:02:12.430
"y is distributed according to
a probability distribution, which gives",00:02:12.430,00:02:17.130
you y given x.,00:02:17.130,00:02:18.830
"And we talked about, for example, in
the case of credit application, two",00:02:18.830,00:02:23.110
"identical applications may lead
to different credit behavior.",00:02:23.110,00:02:26.210
"Therefore, the credit behavior is
a probabilistic thing, not",00:02:26.210,00:02:29.780
"a deterministic function of
the credit application.",00:02:29.780,00:02:32.510
"You can go back to our first example,
let's say, of the movie rentals.",00:02:32.510,00:02:36.360
"If you rate a movie, you may rate the
same movie at different times",00:02:36.360,00:02:40.210
"differently, depending on your
mood and other factors.",00:02:40.210,00:02:42.510
"So there's always a noise factor
in these practical problems.",00:02:42.510,00:02:45.200
"And that is captured by the transitional
probability from x to y, probability",00:02:45.200,00:02:49.450
of y given x.,00:02:49.450,00:02:52.290
"When we look at the diagram involving
this probability--",00:02:52.290,00:02:55.130
"so now we replace the target function,
which used to be a function, by",00:02:55.130,00:02:58.400
"a probability distribution, which
can be modeled as a target",00:02:58.400,00:03:00.970
function plus noise.,00:03:00.970,00:03:02.360
"And these feed into the generation
of the training examples.",00:03:02.360,00:03:06.440
"And when you look at the unknown input
distribution, which we introduced",00:03:06.440,00:03:10.680
"technically in order to get the benefit
of Hoeffding inequality,",00:03:10.680,00:03:14.230
"that also feeds into the
training example.",00:03:14.230,00:03:16.810
This determines x.,00:03:16.810,00:03:18.180
And this determines y given x.,00:03:18.180,00:03:20.210
"And then you generate these examples
independently, according to this",00:03:20.210,00:03:23.070
distribution.,00:03:23.070,00:03:24.510
"So when we had x being the only
probabilistic thing, and y being",00:03:24.510,00:03:28.780
"a deterministic function of x, then
x_1 was independent of x_2,",00:03:28.780,00:03:33.020
independent of x_N.,00:03:33.020,00:03:33.670
"And then you compute each y, according
to the function, on the",00:03:33.670,00:03:36.830
corresponding x.,00:03:36.830,00:03:38.460
"When you have the noisy version, then
the pair x_1 and y_1 is generated",00:03:38.460,00:03:44.090
"according to the joint probability
distribution, which is P of x, the",00:03:44.090,00:03:48.020
"original one, times P of y given
x, the one you introduced to",00:03:48.020,00:03:51.170
accommodate the noise.,00:03:51.170,00:03:52.850
"And then the independence lies
between different pairs.",00:03:52.850,00:03:55.630
"So x_1, y_1 would be independent of x_2,
y_2, independent of x_3, y_3 and so on.",00:03:55.630,00:04:04.820
"And when you get the expected values
for errors, you now have to take into",00:04:04.820,00:04:09.220
"consideration the probability with
respect to both x and y.",00:04:09.220,00:04:12.310
"So what used to be the expected value
with respect to x, is now the expected",00:04:12.310,00:04:16.450
value with respect to x and y.,00:04:16.450,00:04:18.329
"And then you plug in x into h, and
correspond it to the probabilistic",00:04:18.329,00:04:22.110
value of y that happened to occur.,00:04:22.110,00:04:24.210
"And that would be now the out-of-sample
error in this case.",00:04:24.210,00:04:29.640
"Now in this lecture, I'm going to start
the theory track that will last",00:04:29.640,00:04:33.690
"for this particular route three
lectures, followed by another theory",00:04:33.690,00:04:37.440
"lecture on a related but
different topic.",00:04:37.440,00:04:41.170
