text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.570,00:00:03.270
YASER ABU-MOSTAFA: Welcome back.,00:00:13.980,00:00:16.730
"Last time, we introduced the main result
in learning theory, and there",00:00:16.730,00:00:21.730
were two parts.,00:00:21.730,00:00:23.850
"The first part is to get a handle on the
growth function m_H of N, which",00:00:23.850,00:00:29.860
"characterizes the hypothesis set H. And
the way we got a handle on it is",00:00:29.860,00:00:36.190
"by introducing the idea of a break
point, and then bounding the growth",00:00:36.190,00:00:40.670
"function in terms of a formula that
depends on that break point.",00:00:40.670,00:00:44.750
"There was a simple recursion that
you recall by this figure.",00:00:44.750,00:00:49.340
"And then we finally found the formula
that upper-bounds the growth function,",00:00:49.340,00:00:54.470
given that it has a break point k.,00:00:54.470,00:00:58.190
"And it's a combinatorial formula that
is fairly easy to understand.",00:00:58.190,00:01:02.100
"And the most important aspect about it,
as far as the theory is concerned,",00:01:02.100,00:01:06.180
is that this is polynomial.,00:01:06.180,00:01:08.020
"It is bounded above by a polynomial
in N, since k is a constant.",00:01:08.020,00:01:12.550
"And if you look at this, this is indeed
a polynomial, and the maximum",00:01:12.550,00:01:16.200
"power you have in this expression
is N to the k minus 1.",00:01:16.200,00:01:20.460
"So not only is it polynomial, but also
the order of the polynomial depends on",00:01:20.460,00:01:24.550
the break point.,00:01:24.550,00:01:26.620
"We were interested in the growth function,
because it was our way of",00:01:26.620,00:01:29.730
"characterizing the redundancy that we
need to understand, in order to be able",00:01:29.730,00:01:35.400
"to switch from the Hoeffding inequality
to the VC inequality.",00:01:35.400,00:01:39.670
"And the VC inequality will be the case
that handles the learning proper.",00:01:39.670,00:01:43.630
"And in order to do that, we looked
at the bad events that are",00:01:43.630,00:01:46.750
"characterized by a small area
according to Hoeffding.",00:01:46.750,00:01:49.680
"And then we went here, and looked at the
redundancy that results from the",00:01:49.680,00:01:53.770
"fact that the different hypotheses
have, by and large,",00:01:53.770,00:01:57.460
overlapping bad regions.,00:01:57.460,00:01:59.610
"And the way to characterize this
was through the growth function.",00:01:59.610,00:02:03.360
"And after an argument that took the
redundancy and related it to the growth",00:02:03.360,00:02:09.000
"function, and then got rid of a technical
problem with E_out, if you",00:02:09.000,00:02:12.770
"recall that one, we ended up switching
completely from the Hoeffding",00:02:12.770,00:02:16.950
"inequality, which is the top one, into
the VC inequality, which is the final",00:02:16.950,00:02:21.080
"theoretical result in machine learning--
the characterization of",00:02:21.080,00:02:24.150
generalization.,00:02:24.150,00:02:25.320
"And they are very similar except for
a fundamental difference, which is here,",00:02:25.320,00:02:30.990
"and technical differences, which
are in the constants.",00:02:30.990,00:02:34.100
"So as you go through the proof, you will
have to change 2's into 4's, and",00:02:34.100,00:02:37.030
"epsilon into a smaller
epsilon, and whatnot.",00:02:37.030,00:02:39.910
"But the main thing is that instead of
the number of hypotheses M, we",00:02:39.910,00:02:43.540
"were able to replace it
by the growth function.",00:02:43.540,00:02:46.590
"And we had a final technical finesse,
because we took the growth function not",00:02:46.590,00:02:51.810
"on N points, in spite of the fact that
we have only N points in the sample.",00:02:51.810,00:02:56.190
"We needed to have 2N in order to have
another sample and carry the argument,",00:02:56.190,00:03:01.030
"not for the single sample that we have,
but for the difference between",00:03:01.030,00:03:06.100
two samples.,00:03:06.100,00:03:06.990
"And that got rid of the technicality
that we alluded to, which is the role",00:03:06.990,00:03:11.830
