text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.570,00:00:03.270
YASER ABU-MOSTAFA: Welcome back.,00:00:15.410,00:00:18.410
"Last time, we finished the VC analysis.",00:00:18.410,00:00:22.370
And that took us three full lectures.,00:00:22.370,00:00:25.950
"The end result was the definition of the
VC dimension of a hypothesis set.",00:00:25.950,00:00:31.800
"It was defined as the most points that
the hypothesis set can shatter.",00:00:31.800,00:00:38.820
"And we used the VC dimension in
establishing that learning is",00:00:38.820,00:00:43.060
"feasible, on one hand, and then in
estimating the example resources that",00:00:43.060,00:00:47.540
are needed in order to learn.,00:00:47.540,00:00:50.540
"One of the important aspects of
the VC analysis is the scope.",00:00:50.540,00:00:55.430
"The VC inequality, and the generalization
bound that corresponds",00:00:55.430,00:00:59.690
"to it, describe the generalization
ability of the final hypothesis you",00:00:59.690,00:01:05.379
are going to pick.,00:01:05.379,00:01:07.320
"It describes that in terms of the VC
dimension of the hypothesis set, and",00:01:07.320,00:01:14.290
"makes a statement that is true for
all but delta of the data sets",00:01:14.290,00:01:19.560
that you might get.,00:01:19.560,00:01:20.820
So this is where it applies.,00:01:20.820,00:01:23.340
"And the most important part of the
application are the disappearing",00:01:23.340,00:01:27.910
"blocks, because it gives the generality
that the VC inequality has.",00:01:27.910,00:01:32.840
"So the VC bound is valid for any
learning algorithm, for any input",00:01:32.840,00:01:39.040
"distribution that may take place, and
also for any target function that you",00:01:39.040,00:01:44.960
may be able to learn.,00:01:44.960,00:01:47.530
So this is the most theoretical part.,00:01:47.530,00:01:49.120
"And then we went into a little bit of
a practical part, where we are asking",00:01:49.120,00:01:52.920
"about the utility of the VC
dimension in practice.",00:01:52.920,00:01:55.850
"You have a learning problem-- someone
comes with a problem, and you would",00:01:55.850,00:01:59.420
"like to know how many examples. What is
the size of the data set you need,",00:01:59.420,00:02:03.360
"in order to be able to achieve
a certain level of performance.",00:02:03.360,00:02:06.840
"The way we did this analysis is by
plotting the core aspect of the delta,",00:02:06.840,00:02:11.980
"the probability of error
in the VC bound.",00:02:11.980,00:02:15.060
"And we found that it's
behaving regularly.",00:02:15.060,00:02:17.790
"We focused on a certain aspect of these
curves, which correspond to",00:02:17.790,00:02:21.860
different VC dimensions.,00:02:21.860,00:02:23.960
"And the main aspect is
below this line.",00:02:23.960,00:02:26.720
"This line designates
the probability 1.",00:02:26.720,00:02:29.340
"We want the probability of the bad event
to be small, so we are working",00:02:29.340,00:02:33.080
in this region.,00:02:33.080,00:02:34.570
"And the x-axis here is the number
of examples-- the size",00:02:34.570,00:02:39.320
of your data set.,00:02:39.320,00:02:40.930
"And we don't particularly care about
the shape of these guys.",00:02:40.930,00:02:43.770
