text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:01.580,00:00:04.275
YASER ABU-MOSTAFA: Welcome back.,00:00:16.780,00:00:19.540
"Last time, we talked about the bias-variance
decomposition of the",00:00:19.540,00:00:24.880
out-of-sample error.,00:00:24.880,00:00:27.550
"And we managed, by taking the expected
value of the out-of-sample with",00:00:27.550,00:00:32.509
"respect to the identity of the data
points-- the size is fixed at N--",00:00:32.509,00:00:37.350
"to get rid of the variation
due to the data set.",00:00:37.350,00:00:41.710
"And we ended up with a very clean
decomposition of the expected value of",00:00:41.710,00:00:45.580
"the E_out, into a bias term and
a variance term, that have very",00:00:45.580,00:00:49.280
interesting interpretation.,00:00:49.280,00:00:51.330
"And they're illustrated here
in terms of a tradeoff.",00:00:51.330,00:00:54.690
"If you have a small hypothesis set,
the chances are the target",00:00:54.690,00:00:58.300
function is far away.,00:00:58.300,00:01:00.030
"And therefore, there is a significant
bias term, which is the blue one.",00:01:00.030,00:01:03.890
"And if you have a bigger hypothesis
set, perhaps big enough to include",00:01:03.890,00:01:07.670
"your target, you don't have very much
of a bias, perhaps none at all.",00:01:07.670,00:01:12.120
"But on the other hand, you do have
variance depending on which hypothesis",00:01:12.120,00:01:17.660
"you zoom in based on the
data set you have.",00:01:17.660,00:01:20.610
"So in the bias-variance decomposition,
we basically had two hops from the",00:01:20.610,00:01:26.160
"final hypothesis you produced based on
a particular data set, into the target",00:01:26.160,00:01:31.170
"function which is what we're
trying to approximate.",00:01:31.170,00:01:33.800
"The intermediate step was the new
notion, which is the expected value",00:01:33.800,00:01:37.190
"of the hypothesis set with respect to
D. And the jump, from your actual",00:01:37.190,00:01:42.000
"hypothesis to that fictitious hypothesis,
describes the variance,",00:01:42.000,00:01:47.040
"because here is the centroid of this,
which is the g bar, and you are",00:01:47.040,00:01:51.670
somewhere here.,00:01:51.670,00:01:52.880
"So in order to get there, that is
described by the size of the red",00:01:52.880,00:01:55.720
"region, and that is the variance.",00:01:55.720,00:01:58.210
"And then there is another one, which is
inevitable for a given hypothesis",00:01:58.210,00:02:01.470
"set, which is the hop from that
one, which designates the best",00:02:01.470,00:02:05.000
"approximation, in a certain sense, within
the hypothesis set, of your target",00:02:05.000,00:02:09.120
"function, into your target function.",00:02:09.120,00:02:10.949
"And that difference is the bias,
which is captured here.",00:02:10.949,00:02:15.680
"After doing the bias-variance
decomposition, we went into",00:02:15.680,00:02:18.480
"an illustrative tool called the learning
curves, where we plot the expected",00:02:18.480,00:02:22.750
"value of the in-sample error and the
out-of-sample error, as you increase",00:02:22.750,00:02:27.280
the sample size.,00:02:27.280,00:02:29.140
"If you look at the curve-- let's
look at the bottom one here.",00:02:29.140,00:02:31.680
"Not surprisingly, as you increase the
number of examples, the out-of-sample",00:02:31.680,00:02:36.240
error goes down.,00:02:36.240,00:02:37.110
"If you have more examples to learn from,
you are likely to perform better",00:02:37.110,00:02:40.250
out-of-sample.,00:02:40.250,00:02:41.710
"And another interesting observation is
that when you have fewer examples, the",00:02:41.710,00:02:46.935
in-sample error goes down.,00:02:46.935,00:02:48.690
"And that is because you are fitting fewer
examples, and you have the same",00:02:48.690,00:02:52.480
resources to fit.,00:02:52.480,00:02:53.640
So you tend to fit them better.,00:02:53.640,00:02:55.430
"And the discrepancy between them
describes the generalization error.",00:02:55.430,00:02:59.460
"Then we contrasted the analysis of the
bias-variance decomposition, which is",00:02:59.460,00:03:03.230
"the top curve, to the VC analysis,
which we have done before.",00:03:03.230,00:03:06.810
"And we realized that both of them
describe a tradeoff between",00:03:06.810,00:03:09.790
approximation and generalization.,00:03:09.790,00:03:11.790
"In the bias-variance case, the
approximation is an absolute",00:03:11.790,00:03:15.260
approximation--,00:03:15.260,00:03:16.280
"how your best hypothesis approximates
the target.",00:03:16.280,00:03:19.700
"And that is described by g bar, again
with certain liberty.",00:03:19.700,00:03:25.020
"And in the case of the VC analysis, the
approximation was approximation",00:03:25.020,00:03:29.410
in sample only.,00:03:29.410,00:03:30.800
So it was E_in.,00:03:30.800,00:03:32.160
"And then the jump from the approximation
to the final performance",00:03:32.160,00:03:35.600
"describes the generalization, whether it's
this red region or this red region,",00:03:35.600,00:03:38.800
"which have basically the same
monotonicity, except that they have",00:03:38.800,00:03:42.830
