text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.610,00:00:03.270
YASER ABU-MOSTAFA: Welcome back.,00:00:15.320,00:00:18.470
"Last time, we introduced neural
networks, and we started with",00:00:18.470,00:00:23.610
"multilayer perceptrons, and the idea
is to combine perceptrons using",00:00:23.610,00:00:28.530
"logical operations like OR's and AND's, in
order to be able to implement more",00:00:28.530,00:00:33.030
"sophisticated boundaries than the
simple linear boundary of",00:00:33.030,00:00:37.570
a perceptron.,00:00:37.570,00:00:38.670
"And we took a final example, where we
were trying to implement a circle",00:00:38.670,00:00:43.840
"boundary in this case, and
we realized that we",00:00:43.840,00:00:46.520
can actually do this--,00:00:46.520,00:00:48.080
at least approximate it--,00:00:48.080,00:00:49.590
"if we have a sufficient
number of perceptrons.",00:00:49.590,00:00:52.330
"And we convinced ourselves that combining
perceptrons in a layered",00:00:52.330,00:00:55.790
"fashion will be able to implement
more interesting functionalities.",00:00:55.790,00:01:00.370
"And then we faced the simple problem
that, even for a single perceptron,",00:01:00.370,00:01:04.019
"when the data is not linearly separable,
the optimization--",00:01:04.019,00:01:07.900
finding the boundary based on data--,00:01:07.900,00:01:09.810
"is a pretty difficult optimization
problem.",00:01:09.810,00:01:11.960
It's combinatorial optimization.,00:01:11.960,00:01:13.820
"And therefore, it is next to hopeless
to try to do that for a network of",00:01:13.820,00:01:19.220
perceptrons.,00:01:19.220,00:01:20.560
"And therefore, we introduced neural
networks that came in as a way of",00:01:20.560,00:01:24.560
"having a nice algorithm for multilayer
perceptrons, by simply softening the",00:01:24.560,00:01:28.740
threshold.,00:01:28.740,00:01:30.790
"Instead of having it as just going from
-1 to +1, it would go",00:01:30.790,00:01:33.790
"from -1 to +1 gradually
using a sigmoid function, in",00:01:33.790,00:01:37.870
this case the tanh.,00:01:37.870,00:01:39.720
"And if the signal which is
given by this amount--",00:01:39.720,00:01:42.270
"the usual signal that goes
into the perceptron--",00:01:42.270,00:01:44.770
"is large, large negative
or large positive,",00:01:44.770,00:01:47.020
the tanh approximates -1 or +1.,00:01:47.020,00:01:49.080
"So we get the decision
function we want.",00:01:49.080,00:01:51.490
"And if s is very small, this is almost
linear-- tanh(s) is linear.",00:01:51.490,00:01:54.970
"And the most important aspect about it
is that it's differentiable-- it's a smooth",00:01:54.970,00:01:58.440
"function, and therefore the dependency
of the error in the output on the",00:01:58.440,00:02:03.530
