text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.570,00:00:03.270
YASER ABU-MOSTAFA: Welcome back.,00:00:15.100,00:00:18.030
"Last time, we introduced the
notion of overfitting.",00:00:18.030,00:00:22.980
"The idea was that we are fitting the
data all too well, at the expense of",00:00:22.980,00:00:29.760
the generalization out of sample.,00:00:29.760,00:00:32.680
"We took a case where the target
was simple, but we",00:00:32.680,00:00:35.750
added very little noise.,00:00:35.750,00:00:38.090
"And that little noise was enough to
misguide the fit using a higher-order",00:00:38.090,00:00:43.570
"polynomial into getting an approximation
that is very poor",00:00:43.570,00:00:46.890
"approximation of the target that
we are trying to approximate.",00:00:46.890,00:00:51.988
"The overfitting as a notion is more in
scope than just bad generalization.",00:00:51.988,00:01:01.650
"If you think of what the VC analysis
told us, the VC analysis told us that,",00:01:01.650,00:01:05.480
"given the data resources and the
complexity of the hypothesis set, with",00:01:05.480,00:01:11.400
"nothing said about the target, given
those we can predict the level of",00:01:11.400,00:01:16.070
generalization as a bound.,00:01:16.070,00:01:19.540
"Now, overfitting relates to the target.",00:01:19.540,00:01:22.400
"For example, in this case the target
is noisy, and we have overfitting.",00:01:22.400,00:01:26.650
"If the target was noiseless, if we had
points coming from the blue curve and",00:01:26.650,00:01:30.910
"we fit them, we would fit them
perfectly, because it's a very simple",00:01:30.910,00:01:33.720
equation to solve for a polynomial.,00:01:33.720,00:01:35.640
"And then we will get the
blue curve exactly.",00:01:35.640,00:01:39.670
"Since the VC analysis doesn't tackle
the target function, you might be",00:01:39.670,00:01:44.320
"curious about: are we
changing the game,",00:01:44.320,00:01:46.450
what is the deal here?,00:01:46.450,00:01:49.220
"The idea is that the VC doesn't
tackle the target, not in the sense",00:01:49.220,00:01:52.560
"that it doesn't know how
to deal with it.",00:01:52.560,00:01:55.010
"What it does is, it gets you a bound
that is valid for all possible",00:01:55.010,00:01:58.930
"targets, noisy or noiseless.",00:01:58.930,00:02:02.090
"And therefore, it allows the
notion of overfitting.",00:02:02.090,00:02:05.090
"It gives you a bar for
bad generalization.",00:02:05.090,00:02:08.650
"And you could, within this, have
generalization that will be good.",00:02:08.650,00:02:14.000
And it could be bad.,00:02:14.000,00:02:16.760
"Furthermore, it could be that the
in-sample error is going down while",00:02:16.760,00:02:20.530
"out-of-sample error is going up, which
is our definition of overfitting.",00:02:20.530,00:02:23.780
"Or it could be that both of them are
going down, but the generalization is",00:02:23.780,00:02:27.810
getting worse.,00:02:27.810,00:02:29.260
