text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.290,00:00:03.275
YASER ABU-MOSTAFA: Welcome back.,00:00:15.069,00:00:18.390
"Last time, we talked about validation,
which is a very important technique in",00:00:18.390,00:00:21.850
"machine learning for estimating the
out-of-sample performance.",00:00:21.850,00:00:26.350
"And the idea is that we start from
the data set that is given to",00:00:26.350,00:00:30.440
"us, that has N points.",00:00:30.440,00:00:32.310
"We set aside K points for validation,
for just estimation, and",00:00:32.310,00:00:37.690
"we train with the remaining points, N
minus K. Because we are training with",00:00:37.690,00:00:42.280
"a subset, we end up with a hypothesis
that we are going to label g minus,",00:00:42.280,00:00:46.240
"instead of g. And it is on this g minus,
that we are going to get",00:00:46.240,00:00:50.840
"an estimate of the out-of-sample
performance by the validation error.",00:00:50.840,00:00:55.590
"And then there is a leap of faith, when
we put back all the examples in the",00:00:55.590,00:00:59.920
"pot in order to come up with the best
possible hypothesis-- to work with the",00:00:59.920,00:01:04.129
most training examples.,00:01:04.129,00:01:06.020
"We are going to get g, and we are using
the validation error we had on",00:01:06.020,00:01:10.020
"the reduced hypothesis, if you will,
to estimate the out-of-sample",00:01:10.020,00:01:13.980
"performance on the hypothesis
we are actually delivering.",00:01:13.980,00:01:17.400
"And there is a question of how
accurate an estimate this",00:01:17.400,00:01:20.590
would be for E_out.,00:01:20.590,00:01:21.950
"And we found out that K cannot be too
small, and cannot be too big, in order",00:01:21.950,00:01:26.812
for this estimate to be reliable.,00:01:26.812,00:01:28.470
"And we ended up with a rule of thumb
of about 20% of the data set go to",00:01:28.470,00:01:33.790
"validation. That will give you
a reasonable estimate.",00:01:33.790,00:01:37.500
Now this was an unbiased estimate.,00:01:37.500,00:01:39.210
So we get an E_out.,00:01:39.210,00:01:40.170
"We can get better than E_out or worse
than E_out in general, as far as",00:01:40.170,00:01:45.120
"E_val estimating the performance
of g minus.",00:01:45.120,00:01:48.690
"On the other hand, once you use the
validation error for model selection,",00:01:48.690,00:01:52.090
"which is the main utility for
validation, you end up with a little",00:01:52.090,00:01:55.450
"bit of an optimistic bias, because you
chose a model that performs well on",00:01:55.450,00:01:59.210
that validation error.,00:01:59.210,00:02:00.470
"Therefore, the validation error is not
going to necessarily be an unbiased",00:02:00.470,00:02:04.260
estimate of the out-of-sample error.,00:02:04.260,00:02:05.980
