text,start,stop
Stanford University.,00:00:00.005,00:00:07.761
"&gt;&gt; So we are now heading to
the crucial end phase of the semester,",00:00:07.761,00:00:13.644
"so I guess we're now at
the start of week nine.",00:00:13.644,00:00:18.410
"So first of all if I just
do sort of reminders.",00:00:18.410,00:00:22.222
"Obviously everyone should keep working
on their final projects- assignment 4s.",00:00:22.222,00:00:28.310
A couple of just notes on that.,00:00:28.310,00:00:31.070
"So on Thursday we're just going to
talk about dynamic memory networks.",00:00:31.070,00:00:35.996
"While they are only one of several ways
that you could go about approaching",00:00:35.996,00:00:39.238
assignment 4.,00:00:39.238,00:00:39.884
"They'll certainly be relevant material
if you are doing assignment 4 because,",00:00:39.884,00:00:45.070
"it's an instance of the kind of
architectures of sort of attention based",00:00:45.070,00:00:49.780
"architectures that people can use for
tasks like the reading comprehension",00:00:49.780,00:00:55.128
"question/answering, like the squad
data sets, so watch out for that.",00:00:55.128,00:01:00.628
"We've been trying to keep money
in people's Azure accounts,",00:01:00.628,00:01:04.592
"actually a Microsoft rep Kristine is here
right now if you need to pester her.",00:01:04.592,00:01:09.545
"[LAUGH] Pester her about any problems, and",00:01:09.545,00:01:12.438
"you're certainly contact us on
Piazza if they're any issues, and",00:01:12.438,00:01:17.150
"we've been trying to be proactive
at keeping things restocked.",00:01:17.150,00:01:21.710
"I know it's slightly frustrating if you go
out of money and it then locks you out and",00:01:21.710,00:01:26.609
"we need to reset it, but
we're doing our best.",00:01:26.609,00:01:29.450
"Okay, and it's great that there are now
lots of people that are clearly very",00:01:29.450,00:01:33.236
actively using it and doing stuff.,00:01:33.236,00:01:35.250
"And that's super, we are very
pleased to see that all happening.",00:01:35.250,00:01:39.312
"Okay, then for assignment four, so for",00:01:39.312,00:01:42.295
"the assignment four submissions,
we're doing submissions on CodaLab,",00:01:42.295,00:01:47.828
"which is conveniently tied
right into Azure as well.",00:01:47.828,00:01:52.090
"And so for assignment four
we've set up a leaderboard,",00:01:52.090,00:01:56.200
"at least when I looked this morning it
only had one submission from Chris, and",00:01:56.200,00:02:01.140
the people who set up the leaderboard.,00:02:01.140,00:02:03.100
"And they were only getting 2% on squad,
so if you can get higher than 2%",00:02:03.100,00:02:08.070
"on squad at least temporarily you
could be top of the leaderboard.",00:02:08.070,00:02:12.935
"[LAUGH] And so
I hope people can try that out.",00:02:12.935,00:02:16.644
"And so, a couple of
Percy Liang's RAs have been very",00:02:16.644,00:02:21.071
"actively working at helping
us out of doing this",00:02:21.071,00:02:26.157
"CodaLab-Azure integration for
using an assignment four.",00:02:26.157,00:02:32.091
So big thank you to Percy and his RAs.,00:02:32.091,00:02:36.850
"And so,
they've also made a couple of videos on",00:02:36.850,00:02:40.320
"how to use CodaLab that
there's short videos.",00:02:40.320,00:02:43.220
"There was an announcement about it on
Piazza, so have a look about those.",00:02:43.220,00:02:46.620
"Okay so, then moving right along for
today's lecture, so",00:02:47.650,00:02:52.130
"for today's lecture,
I'm gonna talk about coreference.",00:02:52.130,00:02:54.800
"So when we did the mid quarter survey,
one of",00:02:55.880,00:03:00.890
"the things that a whole bunch of people
complained about was that, we actually",00:03:00.890,00:03:05.740
"weren't doing much linguistics and
natural language content in this class.",00:03:05.740,00:03:11.220
"So today, it's getting a little bit
late since it's the start of week nine.",00:03:11.220,00:03:15.100
"I've actually got a try to have
some more linguistic content",00:03:15.100,00:03:20.120
"in the first half before going back
to deep learning models for the same.",00:03:20.120,00:03:25.320
"I think that sort of comment
in the mid-quarter evaluations",00:03:25.320,00:03:30.340
"was completely fair because the reality
was in the first half of the class.",00:03:30.340,00:03:34.800
"It really was sort of just about all
deep learning models all the time.",00:03:34.800,00:03:38.740
"I mean, I'm not sure I've yet worked out
the perfect solution to that because",00:03:38.740,00:03:42.640
"the fact of the matter was we kind
of felt when organizing the class.",00:03:42.640,00:03:46.140
"That we were sort of on this treadmill
where we had to get through more stuff in",00:03:46.140,00:03:49.840
time for our next assignment.,00:03:49.840,00:03:52.630
"And so that is what it is, but over
the last couple of weeks, we'll try and",00:03:52.630,00:03:56.600
"have a bit more NLP
content as we go along,",00:03:56.600,00:03:59.840
"Coreference Resolution is
an instance of a task.",00:04:03.400,00:04:08.580
"And it's really the only one that we're
going to look at in any depth here.",00:04:08.580,00:04:12.910
"Where we're working on
a larger level of a text so",00:04:12.910,00:04:16.040
"that we're not longer just trying to
look at an individual sentence and say,",00:04:16.040,00:04:20.530
"what's the subject and the object and
parsing or is this a company name.",00:04:20.530,00:04:25.780
"Where we're trying to make
sense of a bigger text and",00:04:25.780,00:04:29.120
work out what's going on about that.,00:04:29.120,00:04:31.250
"And it's not the entirety of
understanding long text but",00:04:31.250,00:04:34.610
"it's sort of one of the most prominent
things you need to do as you go along.",00:04:34.610,00:04:38.920
"So when we're doing coreference
resolution, the first thing that we're",00:04:38.920,00:04:43.200
"doing is working out all the mentions in
the piece of text so that pieces of text,",00:04:43.200,00:04:49.450
"basically noun phrases that refer
to some entity in the world.",00:04:49.450,00:04:56.140
"And then once we've got those,
we're trying to find",00:04:56.140,00:04:59.080
"the ones that refer to the same
real world entity that co-refers.",00:04:59.080,00:05:03.790
"So there's one set them here
which co-refer in this example",00:05:03.790,00:05:07.980
"to Barack Obama and
then there's another set,",00:05:07.980,00:05:10.790
"which are these ones here, and they're
the ones that co-refer to Hillary Clinton.",00:05:10.790,00:05:15.920
"Okay so
that's our task of coreference resolution,",00:05:17.430,00:05:22.710
"and so I thought next we could just go
through, really get a sense of what",00:05:22.710,00:05:27.620
"goes on in coreference resolution,
of go through an example text.",00:05:27.620,00:05:32.360
"And this is where I signal to these guys
here to flip me over to my other screen.",00:05:32.360,00:05:38.050
Look at that!,00:05:39.060,00:05:40.200
"Okay, so here's our example text done,",00:05:40.200,00:05:42.610
"this is from a short story,
story by Shruthi Rao called, The Star.",00:05:42.610,00:05:46.585
"Now, I have to admit,
since this isn't a literature class,",00:05:46.585,00:05:51.135
"I actually made some little cuts and
edits to this story so",00:05:51.135,00:05:54.275
"I could more easily fit it in
a larger font size on my slide.",00:05:54.275,00:05:59.057
"So the text is slightly mangled but
it's basically part of the story,",00:05:59.057,00:06:04.987
"so what have we got here when we do this,
right?",00:06:04.987,00:06:07.677
"So first of all,
we have the named entities,",00:06:07.677,00:06:12.458
"which is precisely what you were
finding in assignment three, right?",00:06:12.458,00:06:17.028
"So we have Vanaja, and Akhila, and",00:06:17.028,00:06:21.126
"there's Akhila, and
there's Prajwal, Akash,",00:06:21.126,00:06:27.000
"Lord Krishna, He is a named entity, Akash.",00:06:27.000,00:06:32.199
"So we've got all of those, but",00:06:32.199,00:06:35.075
"then we have a lot of other kinds
of phrases that refer in the text.",00:06:35.075,00:06:41.169
"And the second prominent category
is that we have pronouns.",00:06:41.169,00:06:46.150
So there's they and there's she.,00:06:46.150,00:06:51.018
"There's this one thats a pronoun,
that's kind of a special pronoun, herself.",00:06:51.018,00:06:57.867
And there's she and him.,00:06:57.867,00:07:00.030
"And she, she, it, it.",00:07:00.030,00:07:03.083
"then I admit, I noticed I missed at",00:07:03.083,00:07:07.740
"least one of the named entities,",00:07:07.740,00:07:12.238
there's another named entity.,00:07:12.238,00:07:16.750
"And there are probably other
things I've missed, so",00:07:16.750,00:07:19.220
you can tell me what I've missed.,00:07:19.220,00:07:20.830
"Okay, so
those are both prominent categories, but",00:07:20.830,00:07:23.720
"that's not all there is,
there's really a third category.",00:07:23.720,00:07:28.070
