text,start,stop
 ,00:00:00.000,00:00:00.285
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.285,00:00:03.270
 ,00:00:03.270,00:00:15.870
YASER ABU-MOSTAFA: Welcome back.,00:00:15.870,00:00:19.460
"Last time, we introduced support
vector machines.",00:00:19.460,00:00:23.380
"And if you think of linear models as
economy cars, which is what we said",00:00:23.380,00:00:29.240
"when we introduced them, you can think
of support vector machines as the",00:00:29.240,00:00:33.040
luxury line of those cars.,00:00:33.040,00:00:35.720
"And indeed, they are nothing but
a linear model in the simplest form",00:00:35.720,00:00:39.400
"except that they actually are a little
bit more keen on the performance.",00:00:39.400,00:00:44.690
"And the key to the performance was the
idea of the margin-- is that if the",00:00:44.690,00:00:49.810
"data is linearly separable, there
is more than one line that can",00:00:49.810,00:00:54.400
separate the data.,00:00:54.400,00:00:56.600
"And if you take the line that has the
biggest margin, furthest away from the",00:00:56.600,00:01:01.110
"closest point, then you
have an advantage.",00:01:01.110,00:01:03.980
"It's both an intuitive advantage and
an advantage that can be theoretically",00:01:03.980,00:01:08.560
"established, which we did through
the idea of the growth",00:01:08.560,00:01:11.600
function in this case.,00:01:11.600,00:01:13.510
"And after we determined that it's a good
idea to maximize the margin, we",00:01:13.510,00:01:17.520
set out to do that.,00:01:17.520,00:01:19.100
"And after a chain of mathematics, we
ended up with a Lagrangian that",00:01:19.100,00:01:23.450
we're going to maximize.,00:01:23.450,00:01:25.090
"And the Lagrangian has very
interesting properties.",00:01:25.090,00:01:27.420
"It's quadratic, so it's
a simple function.",00:01:27.420,00:01:30.510
"And the constraints are inequality
constraints, very simple inequality",00:01:30.510,00:01:33.880
"constraints in this case, and
one equality constraint.",00:01:33.880,00:01:36.720
"And we're not going to actually
do the solving ourselves.",00:01:36.720,00:01:40.110
"We're going to pass the problem on to
a package of quadratic programming.",00:01:40.110,00:01:44.690
"And then, we will wait for quadratic
programming to give us back",00:01:44.690,00:01:47.760
the values of alphas.,00:01:47.760,00:01:50.170
"Now, quadratic programming will have
problems with solving this if the",00:01:50.170,00:01:54.460
number of examples is bigger.,00:01:54.460,00:01:56.580
"So once you get to thousands,
its becomes an issue.",00:01:56.580,00:02:00.750
"And then, there are all kinds of
heuristics to deal with that case.",00:02:00.750,00:02:04.050
"And in general, quadratic programming
sometimes needs babysitting, tweaking,",00:02:04.050,00:02:08.389
