text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.580,00:00:03.270
YASER ABU-MOSTAFA: Welcome back.,00:00:15.220,00:00:18.280
"Last time, we talked about radial basis
functions, and the functional",00:00:18.280,00:00:24.200
"form of the hypothesis in that model
is the superposition of a bunch of",00:00:24.200,00:00:29.470
"Gaussians, centered around mu_k.",00:00:29.470,00:00:33.940
"And we had two models, or two versions
of that model, one of them where the",00:00:33.940,00:00:39.520
"centers are fewer than the number of
data points, which is the most common",00:00:39.520,00:00:43.580
"one, in which case we need to come up
with the value of the centers, mu_k,",00:00:43.580,00:00:47.890
and learn the values of w_k.,00:00:47.890,00:00:50.950
"And it turned out to be a very simple
algorithm in that case, where you use",00:00:50.950,00:00:54.750
"unsupervised learning to get the mu_k's,
the centers, by clustering the input",00:00:54.750,00:00:59.700
"points without reference to
the label that they have.",00:00:59.700,00:01:03.180
"And after you do that, it becomes a very
simple linear model where you get",00:01:03.180,00:01:07.770
"the w_k's, the parameters, using
the usual pseudo-inverse.",00:01:07.770,00:01:11.355
"And in the other case, where we used
as many centers as there are data",00:01:11.355,00:01:15.180
"points, and the centers were
the data points, there was",00:01:15.180,00:01:17.580
obviously no first step.,00:01:17.580,00:01:18.810
"And in that case, in order to get the
w_k, we actually used the real inverse",00:01:18.810,00:01:24.070
rather than the pseudo-inverse.,00:01:24.070,00:01:26.810
"One of the interests of radial basis
functions-- they are very popular",00:01:26.810,00:01:31.670
"functions to use in machine learning,
but one of the most important features",00:01:31.670,00:01:35.550
"about them is how they relate to so
many aspects of machine learning.",00:01:35.550,00:01:41.030
"So I'd like to go through this, because
it's actually very instructive and it",00:01:41.030,00:01:44.150
"puts together some of
the notions we had.",00:01:44.150,00:01:46.820
So let me magnify this a bit.,00:01:46.820,00:01:48.700
"Radial basis functions have this as
the building block, the Gaussian, and",00:01:51.640,00:01:56.550
"they are related to
nearest neighbor.",00:01:56.550,00:01:57.900
"In the case of nearest neighbor, you
have a data point, one of your points",00:01:57.900,00:02:01.570
"in the training set, and it influences
the region around it.",00:02:01.570,00:02:04.980
"So everything in the region around it in
the input space inherits the label",00:02:04.980,00:02:09.340
"of that point, until you get to a point
which is closer to another data point,",00:02:09.340,00:02:13.170
and then you switch to that point.,00:02:13.170,00:02:14.970
"So you can think now of RBF
as a soft version of that.",00:02:14.970,00:02:18.400
"The point affects the points around
it, but it's not black and white.",00:02:18.400,00:02:22.040
"It's not full effect and
then zero effect.",00:02:22.040,00:02:24.320
It's gradually diminishing effect.,00:02:24.320,00:02:27.830
"It's also related to neural networks,
thinking of this as the activation in",00:02:27.830,00:02:33.650
"the hidden layer, as we saw last time.",00:02:33.650,00:02:36.120
"And the activation for the
neural networks in the",00:02:36.120,00:02:38.550
hidden layer was a sigmoid.,00:02:38.550,00:02:40.820
"And the main conceptual difference
between the two in this case is that",00:02:40.820,00:02:43.670
"this is local. It takes care of one
region of the space at the time,",00:02:43.670,00:02:47.480
whereas this is global.,00:02:47.480,00:02:49.220
"That thing affects points regardless
of the value of the signal, and you",00:02:49.220,00:02:54.330
"get the effect of a function by getting
the differences between these",00:02:54.330,00:02:58.800
different sigmoids.,00:02:58.800,00:03:01.020
"Then we had the relationship to SVM,
which is very easy because in the",00:03:01.020,00:03:05.670
"case of SVM, we had
an outright RBF kernel.",00:03:05.670,00:03:09.390
"So there was simply a very easy way to
compare them because they use the same",00:03:09.390,00:03:13.370
"kernel, except that there were
many interesting differences.",00:03:13.370,00:03:17.040
"For example, when we use the RBF, we
cluster the points, we determine the",00:03:17.040,00:03:20.660
"centers according to an unsupervised
learning criterion.",00:03:20.660,00:03:24.400
"And in the case of SVM, the centers,
if you're going to call them that,",00:03:24.400,00:03:28.400
"happen to be the support vectors in
which the output is very much",00:03:28.400,00:03:31.930
"consulted in deciding what these
support vectors are.",00:03:31.930,00:03:34.880
"And the support vectors happen to be
around the separating boundary,",00:03:34.880,00:03:38.360
"whereas the centers here happen to be
all over the input space, in order to",00:03:38.360,00:03:41.550
"represent different clusters
of the inputs.",00:03:41.550,00:03:45.330
"The two remaining relations as far as
RBF are concerned are regularization",00:03:45.330,00:03:49.530
and unsupervised learning.,00:03:49.530,00:03:52.350
"Unsupervised learning is easy, because
that is the utility we had in order to",00:03:52.350,00:03:56.410
"cluster the points and
find the centers.",00:03:56.410,00:03:58.360
"So you look at the points, and then
you try to find the representative",00:03:58.360,00:04:01.690
"center for them such that when you put
a radial basis function around that",00:04:01.690,00:04:06.150
"point, it captures the contribution of
those points, and then more or less",00:04:06.150,00:04:10.480
"dies out, or at least is not as
effective when it goes far away, and",00:04:10.480,00:04:13.580
"this is another center
that does the same.",00:04:13.580,00:04:15.780
"The interesting aspect was
regularization because, it seems on",00:04:15.780,00:04:19.899
"face value, it's a completely
different concept.",00:04:19.899,00:04:22.530
"RBF is a model. Regularization
is a method that we apply",00:04:22.530,00:04:26.490
on top of any model.,00:04:26.490,00:04:27.860
"But it turns out that RBF's were derived
in the first place in function",00:04:27.860,00:04:30.980
"approximation using just a consideration
of regularization.",00:04:30.980,00:04:34.340
"So you have a bunch of points, you want
to interpolate and extrapolate",00:04:34.340,00:04:36.980
"them, and you don't want the
curve to be too wiggly.",00:04:36.980,00:04:40.840
"So you capture a smoothness criterion
using a function of derivatives, and",00:04:40.840,00:04:44.880
"then when you solve for them, you find
that the interpolation is done by",00:04:44.880,00:04:47.460
"Gaussians, which gives you the RBF's.",00:04:47.460,00:04:51.930
So this is what this model does.,00:04:51.930,00:04:54.690
"Today, we're going to switch gears
completely and in a very pleasant way.",00:04:54.690,00:05:01.210
"If you think about it, we have gone
through lots of math, and lots of",00:05:01.210,00:05:05.220
"algorithms, and lots of homework, and
all of that, and I think we paid",00:05:05.220,00:05:09.350
"our dues and we earned the ability to
do some philosophy, if you will.",00:05:09.350,00:05:15.680
"So we're going to look at learning
principles without very strong appeal",00:05:15.680,00:05:20.740
"to math, because we have very strong math
foundation to stand on already.",00:05:20.740,00:05:25.740
"And we'll try to understand the concepts,
and relate these concepts as",00:05:25.740,00:05:28.810
"they appear in machine learning, because
they also appear in other",00:05:28.810,00:05:33.390
"fields in science in general, and
they are fascinating concepts",00:05:33.390,00:05:36.650
in their own right.,00:05:36.650,00:05:37.760
