text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.580,00:00:03.270
YASER ABU-MOSTAFA: Welcome back.,00:00:16.149,00:00:17.399
"Last time, we talked about three learning
principles that, if you're in",00:00:19.570,00:00:24.410
"the business of machine learning, you
should be aware of in order to avoid",00:00:24.410,00:00:27.910
"the very common pitfalls in
applying machine learning.",00:00:27.910,00:00:32.299
"The first one is Occam's razor, which
says simpler is better-- and better in",00:00:32.299,00:00:37.150
terms of the performance.,00:00:37.150,00:00:38.860
"And therefore, you should use a razor
in order to trim the explanation of",00:00:38.860,00:00:43.690
"the data-- the hypothesis, or the
complexity of the hypothesis set in",00:00:43.690,00:00:46.690
"this case-- in order to get to the bare
minimum that is consistent with the",00:00:46.690,00:00:51.910
data that you have.,00:00:51.910,00:00:53.810
"Now, in making this a specific statement
that is justified, we had",00:00:53.810,00:00:59.280
"simply two arguments that are
interesting in their own right.",00:00:59.280,00:01:03.030
"One of them is the fact that a complexity
of an object corresponds to",00:01:03.030,00:01:08.190
the complexity of a class of objects.,00:01:08.190,00:01:11.230
So this correspondence was one.,00:01:11.230,00:01:13.270
"The other one is that if you have
an unlikely event, then when it does",00:01:13.270,00:01:18.730
"happen, that is more significant than if
it was a likely event to begin with.",00:01:18.730,00:01:24.140
"And when we put them together, we get
the proofs of Occam's razor under",00:01:24.140,00:01:28.850
different assumptions.,00:01:28.850,00:01:31.770
"The second principle had to do with
sampling bias, which reminds you of",00:01:31.770,00:01:36.580
"the fact that we said that the training
data comes from the same",00:01:36.580,00:01:42.130
distribution as the test data.,00:01:42.130,00:01:43.680
"That was the basic assumption in all
of our theoretical analysis.",00:01:43.680,00:01:47.130
"And when it doesn't, then
there is a bias.",00:01:47.130,00:01:49.380
"And since your learning algorithm learns
only from the training data, it",00:01:49.380,00:01:54.070
"is going to inherit whatever it is
that is in the training data as",00:01:54.070,00:01:57.490
a distribution.,00:01:57.490,00:01:58.460
"And therefore, the result will
be accordingly biased.",00:01:58.460,00:02:02.190
"If the mismatch is nice and continuous,
at least nonzero for all",00:02:02.190,00:02:08.630
"the points, then there is a way to
compensate for the sampling bias, by",00:02:08.630,00:02:11.820
"trying to make the sample look as
if it was coming from the other",00:02:11.820,00:02:14.920
distribution.,00:02:14.920,00:02:16.200
"But if the training data doesn't
represent a particular part of the",00:02:16.200,00:02:19.930
"space, so that space has a probability
0 as far as the training",00:02:19.930,00:02:22.840
is concerned.,00:02:22.840,00:02:23.700
"But it has a positive probability for
the test, then there is really nothing",00:02:23.700,00:02:27.740
"that can be done to replicate the
behavior of the target function over",00:02:27.740,00:02:30.960
that part of the space.,00:02:30.960,00:02:32.250
"And therefore, you get something
that is inherently biased.",00:02:32.250,00:02:36.610
"The last principle had to do with data
snooping, which is the most important",00:02:36.610,00:02:40.940
"in terms of being a trap
that you fall into.",00:02:40.940,00:02:43.600
"And the idea here is that when you
use a data set in the training,",00:02:43.600,00:02:49.010
in any capacity--,00:02:49.010,00:02:49.860
it could be very light capacity.,00:02:49.860,00:02:51.260
"And we saw an example, where the only way
the data was used was in order to",00:02:51.260,00:02:56.770
"derive normalization constants for
the inputs, something very light.",00:02:56.770,00:03:01.490
"Nonetheless, the fact that you used
the data means that you cannot",00:03:01.490,00:03:04.480
"call it test set after that, and
trust the performance that is",00:03:04.480,00:03:09.470
suggested by that data set.,00:03:09.470,00:03:11.930
"And indeed, we took a case where we
allowed snooping, and we ended up with",00:03:11.930,00:03:15.760
very optimistic view,00:03:15.760,00:03:16.890
"when in reality, the performance
was very poor.",00:03:16.890,00:03:19.720
"And of course, if you go for the real
out-of-sample, you hand the system to",00:03:19.720,00:03:23.140
your customer and they test it.,00:03:23.140,00:03:24.910
"They will see the real out of
sample, not the optimistic",00:03:24.910,00:03:26.980
performance that you had.,00:03:26.980,00:03:28.230
Today's lecture is the final lecture.,00:03:30.830,00:03:32.820
"And I am going to use it in order to
give the big picture of machine",00:03:32.820,00:03:37.300
"learning, and try to fit the
stuff that we covered",00:03:37.300,00:03:39.990
within the big picture.,00:03:39.990,00:03:41.340
"And then, tie up a couple of loose
ends that are relevant to that.",00:03:41.340,00:03:46.480
So here is the outline.,00:03:46.480,00:03:49.700
"First, I'm going to talk about the map
of machine learning, because machine",00:03:49.700,00:03:53.880
"learning is pretty diverse
as you will see.",00:03:53.880,00:03:57.190
"And we will see what we covered and
how you can pursue it further, and",00:03:57.190,00:04:01.690
"what topics I would recommend
that you read about.",00:04:01.690,00:04:05.490
And then we'll take two topics--,00:04:05.490,00:04:06.720
"I'll explain why we picked these
two topics, and talk about",00:04:06.720,00:04:09.640
them in some detail.,00:04:09.640,00:04:10.500
"Not in very technical detail like we covered
the topics of this course, but at",00:04:10.500,00:04:14.820
"least to give you some background about
where these topics stand as far",00:04:14.820,00:04:19.070
as machine learning is concerned.,00:04:19.070,00:04:20.720
"So that if you decide to pursue
them, you have a head start.",00:04:20.720,00:04:24.630
"And finally, I'm going to acknowledge
the people who have contributed",00:04:24.630,00:04:27.530
greatly to this course.,00:04:27.530,00:04:29.670
"Well, when it comes to machine learning,
it's a jungle out there.",00:04:33.920,00:04:37.710
"And it's interesting that if you buy two
books on machine learning, and you",00:04:37.710,00:04:42.100
"look at them, you will feel that you
are reading about two completely",00:04:42.100,00:04:45.290
different subjects.,00:04:45.290,00:04:46.510
"If one of them is theoretical, and
particular theory-- there are a bunch",00:04:46.510,00:04:49.750
"of theories-- and one of them is
practical, or one of them is",00:04:49.750,00:04:52.790
"emphasizing a particular technique,
they just have nothing in common.",00:04:52.790,00:04:56.090
Not even the jargon.,00:04:56.090,00:04:57.970
"So if you go out on your own and just
look at what happens in machine",00:04:57.970,00:05:02.850
"learning, pretty much this is
the picture you will get.",00:05:02.850,00:05:05.390
Not a pretty picture.,00:05:08.900,00:05:11.530
"And you can see buzzwords galore,",00:05:11.530,00:05:14.160
