text,start,stop
"So we're talking about
joint distributions, right?",00:00:00.232,00:00:02.730
"And there's a lot more to do with that,
so to just continue.",00:00:02.730,00:00:06.580
"So last time, we calculated the expected
distance between two iid uniforms, okay?",00:00:06.580,00:00:14.529
"So I wanted to do this analagous
problem for the normal.",00:00:14.529,00:00:18.599
"Because I think that's another nice
related example that has a different",00:00:18.599,00:00:23.390
"approach that makes it easier, okay?",00:00:23.390,00:00:26.200
"So last time,
we did expected absolute difference.",00:00:26.200,00:00:30.250
"This is just an example, but
I think it's a nice example.",00:00:30.250,00:00:33.452
"Expected absolute difference
between two uniforms, and",00:00:33.452,00:00:36.874
"what if we wanna do the same
thing with normals?",00:00:36.874,00:00:40.410
"So we wanna find
the expected value of say,",00:00:40.410,00:00:44.754
let's call them Z1 and Z2.,00:00:44.754,00:00:50.250
"So, we did this with uniform last time,
now assume these are iid standard normal.",00:00:50.250,00:00:56.401
"Okay, wo last time we did this for
uniform,",00:00:59.471,00:01:02.013
"using the 2D version of LOTUS, right?",00:01:02.013,00:01:04.715
"Completely analogous to LOTUS,",00:01:04.715,00:01:06.745
"except we had a double integral
instead of a single integral.",00:01:06.745,00:01:10.521
So these are iid standard normal.,00:01:10.521,00:01:16.341
"So, we could write down the 2D LOTUS here,
and try to do that integral.",00:01:16.341,00:01:23.806
"And because they're iid,
the joint PDF of Z1 and",00:01:23.806,00:01:27.170
"Z2 is just the product of
the two marginal PDFs.",00:01:27.170,00:01:30.474
"And well,
we could just try to do that integral, and",00:01:30.474,00:01:33.634
we could probably get it with some effort.,00:01:33.634,00:01:36.720
"But that's not a good way to do this
problem, it's better to stop and",00:01:36.720,00:01:40.940
"think about the structure of the problem,
okay?",00:01:40.940,00:01:44.140
"So in the case of the uniforms,
we've never particularly studied,",00:01:44.140,00:01:49.290
"what are the properties of
the difference of two uniforms?",00:01:49.290,00:01:52.080
"On the other hand,",00:01:52.080,00:01:52.700
"the difference of normals is
something we've talked about before.",00:01:52.700,00:01:55.990
"So instead of jumping right into
this two-dimensional thing,",00:01:55.990,00:01:58.220
"let's see if we can actually
simplify the problem first.",00:01:58.220,00:02:00.848
"So in fact, we've mentioned before that
the sum of independent normals is normal.",00:02:00.848,00:02:07.376
"We haven't proven that yet, but",00:02:07.376,00:02:09.203
"we have all the tools to
be able to prove that now.",00:02:09.203,00:02:11.885
"So let's just do that quickly
to verify what I said before",00:02:11.885,00:02:17.381
"about the sum of normals,
so just a little theorem.",00:02:17.381,00:02:22.600
"This is gonna be easy now,
because we know MGFs.",00:02:22.600,00:02:25.430
"The sum of normals, so
we stated this before.",00:02:26.790,00:02:29.946
"If X is, let's say N(mu 1,
sigma 1 squared), and",00:02:29.946,00:02:34.941
"y is N(mu 2, sigma 2 squared) and
they're independent,",00:02:34.941,00:02:40.605
"X has to be independent of Y,
otherwise this won't work.",00:02:44.411,00:02:47.111
"Then the sum, we talked about this before,",00:02:47.111,00:02:52.671
"by linearity the means just add, and",00:02:52.671,00:02:57.331
also the variances add.,00:02:57.331,00:03:00.504
"And we talked about the fact
that if we took a difference,",00:03:00.504,00:03:03.624
we would take the difference of means.,00:03:03.624,00:03:05.774
"But we would still add the variances,
not subtract.",00:03:05.774,00:03:08.590
"Because if this were -Y, you would
just think of it as plus -Y, okay?",00:03:08.590,00:03:14.070
