text,start,stop
So today is covariance day.,00:00:00.090,00:00:02.860
"Covariant, is a long
awaited moment that will",00:00:02.860,00:00:05.900
"let us finally deal with
the variance of a sum.",00:00:05.900,00:00:08.350
"For one thing, we said variance is
not linear, unlike expectation.",00:00:08.350,00:00:12.110
"That doesn't mean we don't need ways
to deal with the variance of a sum,",00:00:12.110,00:00:16.010
"it just means we need to think harder,
rather than falsely applying linearity.",00:00:16.010,00:00:20.590
"So on the one hand covariance is what we
need to deal with variance of the sum,",00:00:20.590,00:00:23.740
on the other hand it's what we need when,00:00:23.740,00:00:26.640
"we wanna study two random
variables together instead of one.",00:00:26.640,00:00:29.950
"So it's like variance
except two of them and",00:00:29.950,00:00:32.050
"that's why it's called covariance,
so let's define it.",00:00:32.050,00:00:37.400
"Do some properties, do some examples.",00:00:37.400,00:00:39.370
So at first start with the definition.,00:00:40.490,00:00:43.070
"It's analagous to how we define variance,
except now we have an X and a Y.",00:00:44.220,00:00:48.360
Cuz we're looking at joint distributions.,00:00:48.360,00:00:50.260
"So we have X, we have Y,
we want their covariance.",00:00:50.260,00:00:54.320
"And we define it like this,
covariance of X and Y.",00:00:54.320,00:00:59.490
"X and Y are any two random
variables on the same space.",00:00:59.490,00:01:02.808
"Covariance X,Y equals expected",00:01:02.808,00:01:08.467
"value of X minus it's mean,",00:01:08.467,00:01:13.315
times Y minus its mean.,00:01:13.315,00:01:17.366
"That's just the definitions, so you can't
really argue with it too much but let's",00:01:23.414,00:01:28.702
"stare at it intuitively for a bit and just
see where might this thing have come from?",00:01:28.702,00:01:34.230
"Why define it this way
instead of any other way?",00:01:34.230,00:01:36.540
"Well, first of all, it's a product,
something times something.",00:01:38.300,00:01:45.850
"So we've brought the X stuff and
the Y stuff together into one thing,",00:01:45.850,00:01:48.930
"cuz we're trying to see
how they vary together.",00:01:48.930,00:01:51.410
"And just, obviously,",00:01:51.410,00:01:53.640
"we all know that a positive number
times a positive number is positive,",00:01:53.640,00:01:56.670
"negative times negative is positive,
positive times negative is negative.",00:01:56.670,00:02:00.480
"So if it happens to be true that,",00:02:00.480,00:02:04.627
"This is X relative to its mean,
Y relative to its mean.",00:02:07.006,00:02:11.790
"So now imagine drawing a random sample,
suppose we had a lot of i.i.d",00:02:11.790,00:02:16.540
"pairs X, Y but, the pairs are i.i.d, but",00:02:16.540,00:02:21.530
"within each pair Xi, [INAUDIBLE] Yi,
they have some joint distribution.",00:02:21.530,00:02:25.680
They may not be independent.,00:02:25.680,00:02:27.390
"By the way, we did show before
that if they're independent,",00:02:27.390,00:02:30.750
"then you can write this is just
E of this times E of this.",00:02:30.750,00:02:33.490
"So this is you know, we're interested in
what happens if they are not independent.",00:02:33.490,00:02:38.340
"Well if in that random sample we drew,",00:02:38.340,00:02:41.480
"if most of the time when X is above it's
mean, then also Y is above it's mean.",00:02:41.480,00:02:46.360
"Then you're getting
positive times positive.",00:02:46.360,00:02:49.210
"And if X is below it's mean,
tends to imply that Y is below it's mean,",00:02:49.210,00:02:53.870
"you get negative times
negative is positive.",00:02:53.870,00:02:57.020
So if X being above it's mean,00:02:58.090,00:03:02.540
"tends to imply that Y is above it's mean,
and being below, being below.",00:03:02.540,00:03:06.310
"Then we would say that they're
positively correlated.",00:03:06.310,00:03:08.700
And vice versus.,00:03:10.010,00:03:10.810
"It's be negatively coordinated
if X is above it's mean.",00:03:10.810,00:03:13.410
"It doesn't imply that Y
is below it's mean but",00:03:13.410,00:03:15.610
"it has more of a tendency
that Y is below it's mean.",00:03:15.610,00:03:18.050
"Then we would say that they're
negatively correlated.",00:03:18.050,00:03:21.870
So this is just a measure of that.,00:03:21.870,00:03:25.040
"We'll actually define
correlation in a little while.",00:03:25.040,00:03:27.900
"But correlation is a very familiar term to
everyone cuz people talk about correlation",00:03:27.900,00:03:32.410
all the time.,00:03:32.410,00:03:33.000
"But mathematically, what is correlation?",00:03:33.000,00:03:35.500
It's defined in times of covariance.,00:03:35.500,00:03:37.110
So we'll get to that soon.,00:03:37.110,00:03:39.020
That's just the definition.,00:03:39.020,00:03:40.560
"But just like, you know how for variance,
we had two different ways to write it.",00:03:40.560,00:03:46.610
"We define variance as, notice",00:03:46.610,00:03:49.110
"the way we define variance was expect
the value of X to minus its mean squared.",00:03:49.110,00:03:53.830
"So, if we let X equal Y,
that is just the variance.",00:03:53.830,00:03:58.400
"So we've just proved the theorem already,
so I'll just call this properties.",00:03:58.400,00:04:03.620
The first property to keep in mind,00:04:03.620,00:04:05.320
"is that covariance of X with
itself is the variance.",00:04:06.340,00:04:10.570
"Proof is just let X equal Y,
well that's the definition of variance.",00:04:12.650,00:04:15.900
"But that's a very useful
fact to keep in mind.",00:04:17.260,00:04:19.720
"And secondly, it's symmetric.",00:04:21.630,00:04:23.902
"Covariance X, Y equals covariance Y, X.",00:04:23.902,00:04:30.476
"And that's, again, something you can just
see immediately just swap the X and Y,",00:04:30.476,00:04:35.285
"but it's the same thing, so
it's immediately true that it's symmetric.",00:04:35.285,00:04:40.540
That's also a useful fact.,00:04:40.540,00:04:41.890
"I don't even want to
group it into this list.",00:04:45.290,00:04:48.650
"Right here, what's the alternative
way to write covariance?",00:04:48.650,00:04:53.190
"This is completely analogous to how,",00:04:53.190,00:04:54.670
"where we defined variance as this thing,
this part squared without that part.",00:04:54.670,00:05:00.360
"But then we quickly showed that we could
also write it as E of X squared minus E of",00:05:00.360,00:05:03.876
"X squared,
you know parenthesize the other way.",00:05:03.876,00:05:06.640
"The analog of that formula
which is generalization,",00:05:06.640,00:05:12.051
so this is E of XY minus E of X E of Y.,00:05:12.051,00:05:15.426
"So in general these two
things are not equal.",00:05:17.710,00:05:19.940
"We proved that they are equal if X and
Y are independent, but",00:05:19.940,00:05:24.410
in general they're not equal.,00:05:24.410,00:05:25.430
"Notice that if we let X equal Y,
like in property one here,",00:05:27.420,00:05:31.540
"that's just E of X squared,
minus E of X squared the other way.",00:05:31.540,00:05:34.200
So that is just a version of that formula.,00:05:34.200,00:05:36.540
"And the proof of this is just to
multiply this out and use linearity.",00:05:37.790,00:05:44.410
"We'll just quickly do that
over here just for practice.",00:05:45.460,00:05:49.680
