text,start,stop
"Last time I left you with a cliffhanger,
right?",00:00:00.200,00:00:03.060
"So we better try to resolve that,
the two envelope problem.",00:00:03.060,00:00:07.850
"So, I'll remind you what the problem is,
it's very simple to state, but not so",00:00:07.850,00:00:11.590
easy to resolve.,00:00:11.590,00:00:13.190
"So the problem is just, we have two
envelopes, envelope one, envelope two.",00:00:13.190,00:00:19.938
"They look identical, and suppose they are
X dollars in here and Y dollars in here.",00:00:19.938,00:00:28.072
"And you don't know anything
at all about X and",00:00:28.072,00:00:30.172
"Y, just they're random
variables right now.",00:00:30.172,00:00:33.200
"And all you know is that one envelope
has twice as much money as the other.",00:00:33.200,00:00:37.642
"So they each have a check for
some amount of money.",00:00:41.359,00:00:44.750
And one is double the other.,00:00:44.750,00:00:46.080
"But you have no information other than
that, twice as much as the other, okay.",00:00:46.080,00:00:51.640
"So the argument last time was,
Let's say you get to pick one.",00:00:53.240,00:00:58.570
"So let's say you pick this one,
and this one's X.",00:00:58.570,00:01:02.140
"And you don't know what
X is unless you open it.",00:01:02.140,00:01:04.920
"But you do know,
the other one is either 2X or X over 2.",00:01:04.920,00:01:09.430
"And if you average 2X and X over 2,
you get a number bigger than X,",00:01:09.430,00:01:13.073
which suggests that this one is better.,00:01:13.073,00:01:15.710
"But you could reply the same
argument to this one.",00:01:15.710,00:01:18.150
"This one's a Y,
the other one's 2Y or one-half Y.",00:01:18.150,00:01:21.369
"If you average 2Y and one-half Y,
you get a number bigger than Y.",00:01:21.369,00:01:24.290
"So, all right.",00:01:24.290,00:01:25.460
"So, let's actually write that out
kinda formally as an argument.",00:01:25.460,00:01:28.945
"So, based on the other two
competing arguments here.",00:01:28.945,00:01:31.698
"Argument one, Is",00:01:31.698,00:01:38.059
simply that E(Y) = E(X) by symmetry.,00:01:38.059,00:01:43.603
"So, if you were given some
piece of information that",00:01:48.248,00:01:52.348
"the person who put the money in
the envelopes is left-handed.",00:01:52.348,00:01:57.301
"And left-handed people subconsciously
wanna put more money on the left, or",00:01:57.301,00:02:00.786
"something like that, then you'd
have an asymmetry in the problem.",00:02:00.786,00:02:03.902
"But there was no asymmetry given, that
the way it was stated is just there's no",00:02:03.902,00:02:08.720
"difference that the left envelope
should have more or the right one, so",00:02:08.720,00:02:13.100
it's a symmetrical situation.,00:02:13.100,00:02:15.150
"It's kind of hard to argue
against symmetry here, right?",00:02:17.830,00:02:20.610
"There is no asymmetry in
the statement of the problem, so",00:02:20.610,00:02:23.020
"if somehow the envelope on the left were
better, where would that have come from?",00:02:23.020,00:02:27.080
"It doesn't make sense, okay?",00:02:27.080,00:02:28.236
So that's a pretty strong argument.,00:02:28.236,00:02:30.950
"But let's look at argument 2,
which also seems pretty strong.",00:02:30.950,00:02:33.970
Argument 2 is the condition.,00:02:35.580,00:02:37.420
Say how do we compute expectation?,00:02:40.670,00:02:43.080
"Just like when we had a probability,
we didn't know.",00:02:43.080,00:02:46.120
"We want a condition on
the thing we wish that we knew.",00:02:46.120,00:02:49.616
"And so this is just the law of total
probability except the expectation",00:02:49.616,00:02:53.412
version.,00:02:53.412,00:02:54.330
"We're gonna condition on whether,",00:02:54.330,00:02:57.630
You know either Y = 2x or Y = one-half X.,00:03:00.604,00:03:04.950
So we could just write it this way.,00:03:04.950,00:03:06.900
"E(Y|Y=2x) P(Y=2x) + E(Y|Y=
one-half X)P(Y= one-half X).",00:03:06.900,00:03:14.114
"So I mean that's just a fact about
expectation that you condition.",00:03:14.114,00:03:22.802
And the proof of this is basically just,00:03:22.802,00:03:27.858
"use the law of total probability,
and that's true.",00:03:27.858,00:03:35.400
So it's hard to argue with that.,00:03:35.400,00:03:37.420
Let's compute this.,00:03:37.420,00:03:38.960
"So the argument goes, E(Y|Y=2x),
well, then we know Y = 2x.",00:03:41.380,00:03:48.750
"So we're just gonna replace
that with E(2x) by symmetry.",00:03:48.750,00:03:53.444
"It's equally likely that Y = 2x and
Y = one-half X, so that's just one-half.",00:03:53.444,00:03:58.040
"Plus, in this case, Y is X over 2,
so we're gonna get E of X over 2,",00:03:58.040,00:04:04.244
"Probability, or that's one-half again.",00:04:05.389,00:04:08.875
"And if you simply this,
you can take out the 2,",00:04:08.875,00:04:12.812
"take out the one-half,
simplify you get five-fourths E(x).",00:04:12.812,00:04:18.376
"All right, so
then the question is how to resolve this?",00:04:18.376,00:04:22.230
"Well, first of all,",00:04:23.290,00:04:24.490
"is there any case in which both of
these statements could be true?",00:04:24.490,00:04:28.170
Someone said 0.,00:04:31.141,00:04:32.451
"Well, kinda, yeah, both envelopes have $0,
then that would be okay.",00:04:32.451,00:04:37.950
"Now, so let's assume there is a positive,
nonzero amount of money in both envelopes.",00:04:37.950,00:04:42.930
Are there any other case?,00:04:44.580,00:04:45.779
"Infinity, well, infinity equals infinity,",00:04:48.788,00:04:52.917
infinity equals five-fourths infinity.,00:04:52.917,00:04:56.746
"So one way out out it,
could we just say, well, on average,",00:04:56.746,00:04:59.830
"there's an infinite amount of money,
and then you're pretty happy, right?",00:04:59.830,00:05:04.640
"But there are not many kinda like
the Saint Petersburg paradox,",00:05:04.640,00:05:08.353
where the expected value is infinity.,00:05:08.353,00:05:10.633
"But there are not many real world
scenarios that you could think of,",00:05:10.633,00:05:15.079
"probably, where your expected value of
how much you'll make is infinity dollars.",00:05:15.079,00:05:21.040
"So let's assume that these
numbers are not 0 or infinity.",00:05:21.040,00:05:25.790
"In that case,
this is just a direct contradiction,",00:05:25.790,00:05:28.390
"meaning that one of these
two things must be wrong.",00:05:28.390,00:05:30.500
"Well, symmetry, I can't find any way
to argue against the symmetry here.",00:05:32.900,00:05:39.530
"So, this has to be right.",00:05:39.530,00:05:42.700
Symmetry takes precedence.,00:05:42.700,00:05:44.790
"So let's try to see what's
wrong with argument two.",00:05:44.790,00:05:47.919
"Well, actually,
this is one of the most common and",00:05:47.919,00:05:53.835
troublesome mistakes with conditioning is,00:05:53.835,00:05:58.928
"to kind of like use the information,
and then forget about it.",00:05:58.928,00:06:06.238
"Look at what we did here,
we plugged in the information Y=2x,",00:06:06.238,00:06:11.944
but then the condition went away.,00:06:11.944,00:06:15.020
What's the justification for that?,00:06:17.330,00:06:18.830
"There is none, it just looked good to
say that, but there's no justification.",00:06:20.640,00:06:26.180
"So, actually this step is wrong.",00:06:26.180,00:06:32.164
"So, actually it's not equal.",00:06:32.164,00:06:34.390
"What we should have written was,
it's perfectly valid to plug in the 2x.",00:06:35.450,00:06:39.930
Let's write the corrected version.,00:06:39.930,00:06:42.230
"It's perfectly valid to plug in 2x, but",00:06:43.470,00:06:45.711
"that doesn't mean we can
forget that we know Y=2x.",00:06:45.711,00:06:48.604
"So, it's 2x given Y= 2x.",00:06:48.604,00:06:51.056
"And similarly over here,
we can plug in the information, but",00:06:51.056,00:06:55.272
"it doesn't mean we're not
conditioning on it anymore.",00:06:55.272,00:06:59.180
"So, we can do that.",00:07:03.620,00:07:05.330
"But we still have to then evaluate
this conditional expectation.",00:07:05.330,00:07:10.170
"We can't just say that we can
forget this information here.",00:07:10.170,00:07:15.028
"In fact, there's no more justification for",00:07:15.028,00:07:17.030
"forgetting this information here,
then there would be up here.",00:07:17.030,00:07:21.520
You just can't say that.,00:07:21.520,00:07:23.950
So actually what we just showed is that,00:07:23.950,00:07:28.308
"essentially, E(X|Y=2x),",00:07:28.308,00:07:37.653
"Is not equal to E of,
let's do it this way,",00:07:40.418,00:07:46.950
E(Y|Y=2x) is not equal to E(2x).,00:07:46.950,00:07:53.490
"So what's going on there is I
like to think of this in terms of",00:07:53.490,00:07:57.340
indicator random variables.,00:07:57.340,00:07:59.710
"So let's just let I be
the indicator random variable.",00:07:59.710,00:08:03.225
"I is the indicator of which envelope has
more money, so we could say I is one,",00:08:03.225,00:08:08.601
"if y equals 2x, and zero otherwise, or
we could define it the other way around.",00:08:08.601,00:08:14.313
"That's the event that says that the
envelope on the right has twice as much",00:08:15.614,00:08:19.556
"money as the one on the left, okay.",00:08:19.556,00:08:21.500
So we have an indicator for that.,00:08:21.500,00:08:23.560
"Then, essentially what we just showed
is that X and I are dependent.",00:08:24.780,00:08:32.760
"We can either talk about X and
I or talk about Y and I.",00:08:32.760,00:08:37.090
"They're dependent, and
that seems surprising at first.",00:08:37.090,00:08:40.510
So let's think about what that means.,00:08:43.195,00:08:48.060
"It says that if you got to observe X, then
somehow that gives information about I.",00:08:48.060,00:08:54.798
"So now we get to think
of more about the case,",00:08:54.798,00:08:57.799
"what happens if you actually get
to open the envelope on the left?",00:08:57.799,00:09:02.280
"Okay, and you see $100 there.",00:09:02.280,00:09:04.450
"So you know the other one is 50 or
200, but the question is whether that",00:09:04.450,00:09:09.238
"changes your probabilities for I,
that is, is the other one 200 or 50?",00:09:09.238,00:09:14.190
"Is saying it's not 50,50 anymore.",00:09:14.190,00:09:16.200
Which seems a little strange because,00:09:16.200,00:09:20.200
"you're not given any information
kind of the scale of the problem.",00:09:20.200,00:09:23.650
"So let's say you open envelope on the left
and there's a trillion dollars there.",00:09:23.650,00:09:29.200
"Well probably you're really happy,
but is a trillion a big number,",00:09:29.200,00:09:34.010
or a small number?,00:09:34.010,00:09:35.870
"Well it's a lot of money, but in the grand
scheme of things, compared to the entire",00:09:35.870,00:09:41.290
"real line, from zero to infinity,
a trillion is miniscule, right?",00:09:41.290,00:09:46.560
"A trillion is nothing compared to other
numbers I could name if I wanted.",00:09:46.560,00:09:50.440
"So when you see that trillion dollars,",00:09:50.440,00:09:52.800
"does that give you information that
makes you think that the other one is",00:09:53.830,00:09:56.920
"probably only half a trillion
cuz a trillion is big?",00:09:56.920,00:09:59.690
"What's a trillion, right?",00:10:00.730,00:10:02.590
"It's nothing compared 2 to the 2 to
the 2 to the trillion to the trillion or",00:10:02.590,00:10:08.700
something like that.,00:10:08.700,00:10:10.000
"But if you would observe that
then that's nothing compared to",00:10:10.000,00:10:12.610
other numbers I could name.,00:10:12.610,00:10:13.800
"So it seems surprising that they're
dependent, but essentially we just proved",00:10:14.980,00:10:18.450
"that they have to be dependent if
the expected values are finite.",00:10:18.450,00:10:22.910
"And there's a strategic practice
that's related to this too,",00:10:24.490,00:10:28.410
"which says that, you can look up
the problem if you haven't already.",00:10:28.410,00:10:32.790
"But just to tell you what the result of
that problem is, which is also surprising.",00:10:32.790,00:10:36.530
"It also is a two envelope problem,
but in that problem",00:10:36.530,00:10:39.120
"it just assumes that there's two amounts
of money, two positive amounts of money.",00:10:39.120,00:10:42.570
"It's not assumed that
one is double the other.",00:10:42.570,00:10:44.600
"And the problem is to come up with
a strategy guaranteed to give you",00:10:44.600,00:10:49.200
"better than a 50% chance of getting
the envelope with more money.",00:10:49.200,00:10:53.340
"You get to observe one and
then you choose whether to switch.",00:10:53.340,00:10:56.560
"You can guarantee that your probability of
success is strictly greater than one half.",00:10:56.560,00:11:02.390
"Which again, at first sounds impossible.",00:11:02.390,00:11:04.396
"Because if it's a trillion dollars,
should you switch or not?",00:11:04.396,00:11:08.940
"But it says in a certain
sense that actually you can.",00:11:09.940,00:11:13.140
"You can make a measure of is a trillion
a big number or a small number.",00:11:14.430,00:11:18.160
"And the strategy is in that problem,
is to generate your own random threshold.",00:11:18.160,00:11:23.810
"That is generate some value t,",00:11:23.810,00:11:26.500
"let's say from an exponential
distribution, but it doesn't have to be.",00:11:26.500,00:11:29.640
You can pick some other distribution.,00:11:29.640,00:11:31.050
You generate your own threshold value and,00:11:31.050,00:11:33.390
"then you say you're happy if you got more
then t and unhappy if you get less then t,",00:11:33.390,00:11:36.900
"and that gives you better
then a 50% chance of success.",00:11:36.900,00:11:39.490
"All right, so anyway,
that's the two envelope problem.",00:11:41.400,00:11:44.510
"There's many, many different articles and
debates about this.",00:11:44.510,00:11:49.000
"And some people try to take Bayesian
approaches to resolving this and so on.",00:11:49.000,00:11:53.036
"But I think that's fairly unnecessary,",00:11:53.036,00:11:55.479
"I think the key blunder
is just in this step.",00:11:55.479,00:11:58.075
"And this is kind of a strange problem, but",00:11:58.075,00:12:01.058
"this mistake comes up in a lot
of other contexts as well.",00:12:01.058,00:12:05.080
So it's worth thinking carefully about.,00:12:05.080,00:12:07.250
"We plugged in the information, but",00:12:07.250,00:12:09.040
"that doesn't mean we can then
get rid of the information.",00:12:09.040,00:12:11.620
"The only time when we can get rid
of the stuff we're conditioning on",00:12:11.620,00:12:14.640
is when we know we have independence.,00:12:14.640,00:12:16.460
"And here there was no justification for
independence and in fact, X and I, or",00:12:17.610,00:12:22.440
Y and I can't be independent.,00:12:22.440,00:12:24.140
Which is not obvious.,00:12:25.310,00:12:26.457
"It's not obvious that
they're not independent, but",00:12:26.457,00:12:28.655
"on the other hand you can't just say
they're independent without proving it.",00:12:28.655,00:12:31.870
"And if you try to prove it you'll find
they actually are not independent here.",00:12:31.870,00:12:35.400
"So that's what's going
on with that problem.",00:12:35.400,00:12:37.350
"All right, so let's do another
example of conditional expectation.",00:12:39.340,00:12:45.680
The coin flipping problem.,00:12:49.380,00:12:51.400
"So I'll call this one,
Patterns in coin flips.",00:12:55.998,00:12:59.270
"Okay, so assume we have a fair coin,
all right?",00:13:03.960,00:13:07.010
"You have a related homework problem where,
where the coin may be biased.",00:13:07.010,00:13:10.530
"But right now,
we're assuming we have a fair coin and",00:13:10.530,00:13:13.400
we do a repeated fair coin flips.,00:13:13.400,00:13:17.020
"And we're waiting for
a certain pattern, okay?",00:13:22.330,00:13:25.190
"So we're gonna wait until or
we want to know how long?",00:13:26.670,00:13:31.580
"How many flips until we observe
the pattern heads followed by tails?",00:13:31.580,00:13:36.740
So I'lll just call that HT.,00:13:42.000,00:13:44.341
"That is keep flipping the coin and
eventually,",00:13:46.776,00:13:49.819
"you will observe heads immediately
followed by tails, right?",00:13:49.819,00:13:54.180
"That particular pattern
will eventually show up.",00:13:54.180,00:13:56.560
"You wanna know how many flips does that
take, including the H and the T there.",00:13:56.560,00:14:03.580
"Okay, that's a natural
question we could ask.",00:14:03.580,00:14:06.360
"Similarly we could ask
how many flips until HH?",00:14:06.360,00:14:09.760
"That is,",00:14:09.760,00:14:10.770
"how long do you have to flip a coin until
the coin lands heads twice in a row.",00:14:10.770,00:14:15.150
"Okay, so let's find the average.",00:14:16.460,00:14:20.630
"So let's say, let's call that,
I'll just call it WHT and WHH.",00:14:22.520,00:14:29.250
"But WHT I just mean the random
variable representing",00:14:30.440,00:14:34.180
"how many flips does it, you know.",00:14:34.180,00:14:35.480
"Imagine this long sequence
of coin flips and",00:14:35.480,00:14:38.920
"how far into the sequence do you have to
get until you see HT for the first time.",00:14:38.920,00:14:43.720
"How far until you see HH for the first
time, those are both random variables.",00:14:43.720,00:14:47.870
"But right now we're talking
about expectation, so",00:14:47.870,00:14:49.910
the question is to find the average.,00:14:49.910,00:14:52.600
"So our problem is to find the expected
values of these two waiting time.",00:14:52.600,00:14:59.730
I'm using W for waiting time.,00:14:59.730,00:15:01.610
"Expected value, how long you have
to wait for these patterns, okay?",00:15:01.610,00:15:06.040
"Well, so we'll solve both of these, but
before I actually solve them, let's try",00:15:07.100,00:15:12.970
"to think more qualitatively about whether
there's an inequality or equality here.",00:15:12.970,00:15:19.150
"Okay, so we know there's only three
possibilities, either this number is",00:15:19.150,00:15:24.080
"bigger than this number or it's equal,
or this is less than this, okay?",00:15:25.470,00:15:31.160
