text,start,stop
"All right, so let's get started.",00:00:00.420,00:00:02.410
"So today,
we're gonna talk about what are probably",00:00:02.410,00:00:06.990
"the two most famous theorems in
the entire history of probably.",00:00:06.990,00:00:11.490
"They're called the law of large
numbers and the central limit theorem.",00:00:11.490,00:00:15.890
"They're closely related, so makes sense
to do them together, kind of compare and",00:00:15.890,00:00:20.330
contrast them.,00:00:20.330,00:00:21.100
"I don't, I can't think of a more famous
probability theorem than these two.",00:00:22.320,00:00:27.640
"So the setup for today is that
we have i.i.d random variables.",00:00:27.640,00:00:34.690
"Let's just call them X1, X2 i.i.d.",00:00:34.690,00:00:39.400
"Since they're i.i.d they have
the same mean and variance.",00:00:39.400,00:00:44.920
"If the mean and variance exists but
we'll assume they do.",00:00:44.920,00:00:49.060
"So the mean, we'll just call it Mu.",00:00:49.060,00:00:50.600
"And the variants, sigma squared.",00:00:50.600,00:00:53.670
"So we're assuming that
these are finite for now.",00:00:56.460,00:00:59.200
The mean and variants exist.,00:00:59.200,00:01:00.760
And both of these theorems tell us,00:01:00.760,00:01:05.420
"what happens to the sample
mean as n gets large.",00:01:05.420,00:01:09.200
"So, the sample mean is
just defined as Xn bar.",00:01:09.200,00:01:12.470
"Standard notation in statistics
is put a bar to mean averages and",00:01:14.090,00:01:17.960
that's just the average of the first n.,00:01:17.960,00:01:20.000
"So to take the first n random variables,
and average them, so",00:01:21.130,00:01:24.718
that's just called the sample mean.,00:01:24.718,00:01:26.934
"So the question is, what can we
say about Xn bar as n gets large?",00:01:32.491,00:01:37.980
"So the way we would interpret this or
use this is we get to observe.",00:01:37.980,00:01:44.180
"These Xs, they're random variables but
after we observe them they become data.",00:01:44.180,00:01:47.540
"We're never going to have
an infinite amount of data so",00:01:47.540,00:01:51.230
at some point we stop it at n.,00:01:51.230,00:01:52.870
"We can think of that as the sample size
and hopefully we get a large sample size.",00:01:52.870,00:01:57.440
"Of course, it depends on the problem.",00:01:57.440,00:01:58.700
"Some problems,
you may not be able to get large n.",00:01:58.700,00:02:01.440
"Well, we assume n is large, and",00:02:01.440,00:02:03.230
"just take the average,
question is just, what can we say?",00:02:03.230,00:02:07.110
"All right, so first,
here's what the law of large numbers says.",00:02:07.110,00:02:12.217
It's a very simple statement.,00:02:16.689,00:02:17.860
"And hopefully pretty intuitive, too.",00:02:19.870,00:02:22.140
Law of Large Numbers says that Xn bar,00:02:22.140,00:02:27.510
"converges to mu, as n goes to infinity.",00:02:27.510,00:02:33.600
With probability 1.,00:02:36.217,00:02:37.726
"That's the fine print, probability 1.",00:02:39.745,00:02:44.152
"With probability 0, so
something really crazy could happen.",00:02:44.152,00:02:47.380
"But we don't worry too much about it,
because it has probability 0.",00:02:47.380,00:02:50.170
"With probability 1,
this is the sample mean, and",00:02:50.170,00:02:54.568
"it says that the sample mean
converges to the true mean.",00:02:54.568,00:02:59.394
"So, that is a pretty nice,
intuitive, easy to remember result.",00:03:03.673,00:03:11.750
"That is,
by true I mean the theoretical mean.",00:03:11.750,00:03:14.920
"That is the expected value of Xj for
any j is the true expected value.",00:03:14.920,00:03:21.410
"Whereas this, is a random variable.",00:03:21.410,00:03:24.070
"Right?
We're taking an average of",00:03:24.070,00:03:25.200
random variables.,00:03:25.200,00:03:25.850
That's a random variable.,00:03:25.850,00:03:26.940
"So this is just a constant but
this is a random variable.",00:03:26.940,00:03:30.790
"But it's gonna converge and
I should say a little bit more,",00:03:30.790,00:03:35.600
"what is this convergence
statement actually mean.",00:03:35.600,00:03:39.000
"You've all seen limit of sequences, but
when we are talking about limits of random",00:03:39.000,00:03:43.690
"variables we have to be
a little more careful.",00:03:43.690,00:03:45.290
How do we actually define this.,00:03:45.290,00:03:47.690
"The definition of this statement
is just pointwise which means,",00:03:47.690,00:03:53.030
remember Xn bar is a random variable.,00:03:54.150,00:03:56.050
"Random variable mathematically
speaking is a function.",00:03:56.050,00:03:58.390
"So it's say for each possible,
if you evaluate this at some",00:03:58.390,00:04:02.260
"specific outcome of the experiment,
then you'll get a sequence of numbers.",00:04:02.260,00:04:06.140
"That is if you actually observed the
values and this kind of crystallizes into",00:04:06.140,00:04:11.030
"numbers when you evaluate it at
the outcome of the experiment.",00:04:11.030,00:04:14.810
And so those numbers converge to mu.,00:04:14.810,00:04:20.730
"In other words, this is an event.",00:04:20.730,00:04:23.430
"Either these random variables converge or
they don't.",00:04:23.430,00:04:27.720
And we say that event has probability 1.,00:04:27.720,00:04:31.375
"That' what the statement
of the theorem is.",00:04:31.375,00:04:34.900
So to just give a simple example.,00:04:34.900,00:04:38.470
"Let's think about what happens
if we have Bernoulli p.",00:04:41.160,00:04:45.326
"So if Xj is Bernoulli p,
then intuitively we're",00:04:45.326,00:04:50.429
"just imagining a infinite
sequence of coin tosses.",00:04:50.429,00:04:56.500
"Where the probability of heads is p, and",00:04:56.500,00:05:00.367
"then this says that if we add up
all of these Bernoullis up to n,",00:05:00.367,00:05:06.279
"that it's just in the first coin flips,
how many times did the coin land heads,",00:05:06.279,00:05:13.899
"divided by the number of flips should
convert to p with probability 1.",00:05:13.899,00:05:20.778
"So for example, so
this is a very intuitive statement.",00:05:25.294,00:05:28.800
"If it's a fair coin and
you flip the coin a million times, well,",00:05:28.800,00:05:33.730
"you're not really expecting that it
will be 500,000 heads and 500,00 tails.",00:05:33.730,00:05:39.130
"But you do think that,
in the long run, it should be the case",00:05:39.130,00:05:44.000
"that it's going to be essentially
half heads, half tails.",00:05:44.000,00:05:48.670
"Not exactly, but essentially.",00:05:48.670,00:05:50.930
"And the proportion should get closer and
closer to the true value.",00:05:50.930,00:05:54.570
"This qualification would probably 1 is
needed because mathematically speaking",00:05:56.170,00:05:59.730
"even if you have a fair coin,
there's nothing in the math that says",00:05:59.730,00:06:04.750
"it's impossible that the coin would land
heads, heads, heads, heads, heads forever.",00:06:04.750,00:06:09.340
"You know that that's never
actually gonna happen in reality.",00:06:09.340,00:06:12.580
It's just not gonna happen.,00:06:13.810,00:06:15.170
It's a fair coin.,00:06:15.170,00:06:16.710
"It might land heads, heads, heads for
a time if you're very lucky or",00:06:16.710,00:06:20.740
unlucky or whatever.,00:06:20.740,00:06:21.920
"But it's not gonna be heads,
heads, heads forever.",00:06:21.920,00:06:25.180
"But there's nothing in the math that
says that's an invalid sequence.",00:06:26.400,00:06:30.040
"So there's some weird
pathological cases like that.",00:06:31.660,00:06:35.570
"But with probability one,
we get what we expect.",00:06:35.570,00:06:39.050
"If we didn't have this result,
how we would ever even estimate p?",00:06:39.050,00:06:44.650
"You might imagine if you
didn't know what p was,",00:06:45.820,00:06:48.460
"kind of the obvious thing to do is
flip the coin a lot of times and",00:06:48.460,00:06:51.040
"take the proportion of heads and
use that as your approximation for p.",00:06:51.040,00:06:54.950
But what justification could you have for,00:06:54.950,00:06:57.130
"doing that approximation
if you didn't have this.",00:06:57.130,00:07:00.070
"So this is a very, very necessary result.",00:07:00.070,00:07:02.880
"But I guess to comment a little bit
more about what does it actually say for",00:07:06.140,00:07:09.890
"the coin, because this is kind of
related to gambler's fallacy, and",00:07:09.890,00:07:13.650
things like that.,00:07:13.650,00:07:14.350
"The gambler's fallacy is the idea
that like let's say your gambling and",00:07:15.660,00:07:19.880
"you lose like ten times in a row and then
it's the feeling that your due to win.",00:07:19.880,00:07:25.840
"You lost all these times then and
you might try to justify that using a lot",00:07:27.040,00:07:32.110
"of large numbers and say well you
know the coin might landed let's say,",00:07:32.110,00:07:36.910
"heads you win money, tails you lose money,
you just lost money ten times in a row.",00:07:36.910,00:07:41.510
"But the law of large numbers says,
in the long run,",00:07:41.510,00:07:44.330
"it's gonna go back to
one-half if it's fair.",00:07:44.330,00:07:47.030
"So somehow you need to start
winning a lot to compensate.",00:07:47.030,00:07:50.160
That's not the way it works.,00:07:51.560,00:07:53.000
The coin is memoryless.,00:07:54.540,00:07:56.000
"The coin does not care how many failures
or how many losses you had before.",00:07:56.000,00:08:00.290
"So the way it works is not through If
you're unlucky at the beginning that",00:08:00.290,00:08:04.370
"somehow it gets offset later
by an increase in heads.",00:08:04.370,00:08:09.900
"The way it works is through
what we might call swamping.",00:08:09.900,00:08:14.415
"And let's say the coin landed
tails a 100 times in a row.",00:08:14.415,00:08:19.577
"It doesn't mean that the probability
has changed for 101st flip.",00:08:19.577,00:08:24.050
"What it means though, is that we're
letting n go to infinity here, okay?",00:08:24.050,00:08:29.920
"So no matter how unlucky you
were in the first 100 or",00:08:29.920,00:08:32.570
"the first million trials, that's
nothing compared to infinity, right?",00:08:32.570,00:08:37.620
"So those first million just get swamped
out by the entire infinite future,",00:08:37.620,00:08:42.992
so that what's going on here.,00:08:42.992,00:08:47.960
"Yeah, so
to tell you one little story about the law",00:08:50.875,00:08:55.950
"of large numbers,
a colleague of mine told me this story.",00:08:55.950,00:09:01.130
"He had a student once who
said he hated statistics.",00:09:01.130,00:09:05.450
"And of course,
my colleague was very shocked,",00:09:06.460,00:09:08.770
like how can anyone hate statistics?,00:09:08.770,00:09:11.520
"And so he asked, why?",00:09:11.520,00:09:12.653
"How is it possible that
you hate statistics?",00:09:12.653,00:09:15.465
"And then the student who was an athlete,
and he was training everyday and",00:09:15.465,00:09:19.744
"he had just learned
the law of large numbers.",00:09:19.744,00:09:22.425
"And he was very, very depressed by this
because he said, the law of large numbers",00:09:22.425,00:09:26.962
"says in the long run, I'm gonna only
be average and I can't improve.",00:09:26.962,00:09:30.917
"So well, of course the fallacy there,
we assumed iid right now.",00:09:30.917,00:09:38.390
"Now there are generalizations
of this theorem beyond iid, but",00:09:38.390,00:09:41.574
we can't just get rid of iid.,00:09:41.574,00:09:43.084
"So the iid is saying that the distribution
is not changing with time.",00:09:43.084,00:09:48.435
"That doesn't mean that you can't actually
improve your own distribution then it",00:09:48.435,00:09:53.093
would not be iid.,00:09:53.093,00:09:54.140
"So don't be depressed by this,
and in fact this theorem",00:09:54.140,00:09:59.227
"I think is crucial in order for
science to actually be possible.",00:09:59.227,00:10:05.640
"Because if you kind of
imagine kind of hypothetical",00:10:05.640,00:10:08.850
"counter factual world where this
theorem was actually false.",00:10:08.850,00:10:13.800
"That would be really depressing to try
to ever learn about the world, right?",00:10:13.800,00:10:18.682
"Cuz this is saying,
you're collecting more and more data.",00:10:18.682,00:10:21.481
"You're letting your sample
size go to infinity.",00:10:21.481,00:10:24.183
"And this says,
you converged to the truth, right?",00:10:24.183,00:10:28.032
"And it would be some weird setting, where
you get more and more data, and more and",00:10:28.032,00:10:31.908
"more data, and yet you're not able
to converge to the truth, right?",00:10:31.908,00:10:35.283
So that would be really bad.,00:10:35.283,00:10:36.760
"So this is very intuitive, very important.",00:10:36.760,00:10:39.070
"Okay, so let's prove this
at least a similar version.",00:10:40.610,00:10:47.390
"So this is actually sometimes called
the strong law of large numbers.",00:10:47.390,00:10:51.480
"And we're actually gonna
prove what's sometimes called",00:10:53.280,00:10:56.240
the weak law of large numbers.,00:10:56.240,00:10:57.620
