text,start,stop
[MUSIC],00:00:00.000,00:00:04.797
Stanford University.,00:00:04.797,00:00:05.844
"&gt;&gt; All right, hello, everybody.",00:00:05.844,00:00:09.458
And welcome to lecture number nine.,00:00:09.458,00:00:11.770
"Today, we'll do a brief recap,
some organizational stuff, and",00:00:11.770,00:00:14.738
"then we'll talk about, I love when we call
them fancy, recurrent neural networks.",00:00:14.738,00:00:18.554
"But those are the most important
deep learning models of the day,",00:00:18.554,00:00:23.491
LSTMs and GRU type models.,00:00:23.491,00:00:26.290
"They're very exciting and really form
the base model for pretty much every",00:00:26.290,00:00:31.140
"deep learning paper or almost all the deep
learning papers you see out there.",00:00:31.140,00:00:34.840
"So after today, you'll really have in your
hands the kind of tool that is the default",00:00:34.840,00:00:40.720
"tool for a lot of different deep learning
final P applications, so super exciting.",00:00:40.720,00:00:45.040
"And the best part is, you kind of know
most of the important math already of it,",00:00:45.040,00:00:49.031
so we can just define the model.,00:00:49.031,00:00:50.673
"And everything else will kind of
follow through with these basic, and",00:00:50.673,00:00:54.157
"sometimes painful building blocks
that we went through before.",00:00:54.157,00:00:58.320
"All right, before we jump in,
some organizational stuff.",00:00:58.320,00:01:00.640
"We have a new office hour schedule and
places.",00:01:00.640,00:01:02.770
"Today, we're continuously trying to
optimize the whole process based on",00:01:02.770,00:01:07.042
your feedback.,00:01:07.042,00:01:08.460
Thanks for that.,00:01:08.460,00:01:09.760
"So I'll have office hours every day,
multiple times.",00:01:09.760,00:01:14.229
"I hope that will allow us to kind of
distribute the load a little bit,",00:01:14.229,00:01:19.214
"cuz I know sometimes lots of people
come to one office hour, and",00:01:19.214,00:01:23.849
then there's a long wait there.,00:01:23.849,00:01:26.552
"Also, it's important that you register for",00:01:26.552,00:01:28.470
"your GPU teams by the end of today,
or ideally before.",00:01:28.470,00:01:32.740
"So that we can make
sure you all get a GPU.",00:01:32.740,00:01:36.390
"Ideally, we also encourage people
to have pairs for Problem set 3 and",00:01:36.390,00:01:42.565
"4 the project, at least pairs,
cuz we only have 300 or",00:01:42.565,00:01:47.692
"so GPUs and
almost 700 students in the class.",00:01:47.692,00:01:52.000
"So try to form teams, but do make sure
that you don't just have your partner or",00:01:52.000,00:01:55.735
work on and,00:01:55.735,00:01:56.252
"implement all the GPU stuff, and you do
all the other parts of the problem set.",00:01:56.252,00:02:00.110
"Cuz then you really miss out on
a very important valuable skill for",00:02:00.110,00:02:04.763
"both research and applied deep learning,
if you don't know how to use a GPU.",00:02:04.763,00:02:10.276
"And sadly,
I have to get back to some work event.",00:02:10.276,00:02:14.250
"So I'll have a pretty
short office hour today.",00:02:14.250,00:02:16.660
"But then I know we have the deadline for
project proposals on Thursdays.",00:02:16.660,00:02:21.340
"So on Thursday,
I'm gonna have an unlimited office hour.",00:02:21.340,00:02:25.022
"I'm gonna start after class, and
will end when queue status is empty.",00:02:25.022,00:02:28.690
"So if you come half an hour late,
prepare to talk to me three hours later.",00:02:28.690,00:02:33.460
"So [LAUGH] the project is the coolest
part, so I don't wanna discourage",00:02:33.460,00:02:38.461
"people from doing the project
because we don't have enough.",00:02:38.461,00:02:42.887
So it's gonna be great.,00:02:42.887,00:02:45.330
"I'll bring food.
You should bring food too,",00:02:45.330,00:02:48.016
"and-
&gt;&gt; [LAUGH]",00:02:48.016,00:02:48.585
&gt;&gt; [LAUGH],00:02:48.585,00:02:49.089
"&gt;&gt; It's kind of good fun, all right.",00:02:49.089,00:02:51.160
"If by any chance even after midnight,
people, we still have the queue status",00:02:52.190,00:02:57.049
"is still full, which I doubt at
that point, I think, I hope,",00:02:57.049,00:03:00.932
"then we can push the proposals out for
those, or you can submit the proposal.",00:03:00.932,00:03:05.819
"And then we'll figure out the mentor
situation, very soon thereafter.",00:03:05.819,00:03:09.650
"So all right, any questions
around any class organization?",00:03:09.650,00:03:12.740
"All right, then lets dive right in.",00:03:21.032,00:03:23.470
"So basically today,
we'll have a a very advanced,",00:03:23.470,00:03:26.927
"cutting edge blast from the past, because
while pedagogically, it'll make sense for",00:03:26.927,00:03:32.745
"us to first talk about a model from 2014,
from just three years ago.",00:03:32.745,00:03:37.563
"The main model we'll end up with,
the long-short-term-memories is actually",00:03:37.563,00:03:41.616
"a very old model, from 97, and
has kind of been dormant for a while.",00:03:41.616,00:03:45.092
"As very powerful model,
you need a lot of training data for it,",00:03:45.092,00:03:48.469
you need fast machines for it.,00:03:48.469,00:03:50.460
"But now, that we have those two things,
this is a very powerful model for NLP.",00:03:50.460,00:03:54.110
"And if you ask one of the inventors,",00:03:54.110,00:03:57.010
"the second model is really just
a special case of the LSTM.",00:03:57.010,00:04:00.320
"But I think, pedagogically,
it makes sense to sort of first talk about",00:04:00.320,00:04:03.760
"the so-called Gated Recurrent Unit,
which is slightly simpler version.",00:04:03.760,00:04:06.842
"&gt;&gt; And we'll use machine translation which
is one of the sort of most useful tasks",00:04:06.842,00:04:11.669
"you might argue of NLP,
sort of a real life task.",00:04:11.669,00:04:15.280
"Something that actual people
outside academia, outside research,",00:04:15.280,00:04:18.971
outside linguistics really care about.,00:04:18.971,00:04:21.167
"And by the end, you'll actually have the
skills to build one of the best machine",00:04:21.167,00:04:27.052
"translation models out there, modulo
a lot of time and some extra effort.",00:04:27.052,00:04:32.640
"But the biggest parts of 90% of
the top MT systems out there,",00:04:32.640,00:04:36.365
"you'll be able to understand at least and
probably build also,",00:04:36.365,00:04:40.161
"if you have the GPU
skills after this class.",00:04:40.161,00:04:43.480
"All right, so I'm not gonna go through
too many of the details, but in just in",00:04:43.480,00:04:46.930
"preparation to mentally make you also
think about the midterm that's coming up.",00:04:46.930,00:04:51.560
"Next lecture, we'll have midterm review.",00:04:51.560,00:04:53.610
"But ideally, these kinds of
equations that I'm throwing up here,",00:04:53.610,00:04:57.227
you're pretty familiar with.,00:04:57.227,00:04:58.945
"At this point, you're like yeah,",00:04:58.945,00:05:00.728
"I just do some negative
sampling here from my Word2Vec.",00:05:00.728,00:05:03.420
"And I have my inside and
my outside vectors in the window.",00:05:04.450,00:05:06.981
"And similarly for glove, I have two
sets of vectors, you optimize this.",00:05:06.981,00:05:12.450
"You have a function here, dead limits,",00:05:12.450,00:05:14.441
"how important very frequent pairs
are in your concurrence matrix.",00:05:14.441,00:05:17.791
"You understand the max-margin
objective function.",00:05:17.791,00:05:22.130
"You have scores of good windows
from the large training corpus and",00:05:22.130,00:05:25.688
corrupted windows.,00:05:25.688,00:05:26.857
So all of these should be familiar.,00:05:26.857,00:05:28.924
"And if not, then you really should also
start thinking about sort of studying",00:05:28.924,00:05:33.764
again for the midterm.,00:05:33.764,00:05:35.257
"The most basic definition of neural net,",00:05:36.310,00:05:39.076
"where we just have some score
at the end or some soft max.",00:05:39.076,00:05:42.798
"And really being comfortable
with these two final equations,",00:05:42.798,00:05:46.706
"that if you understand those, all
the rest of the models will basically be,",00:05:46.706,00:05:51.423
"in many cases, sort of fancy versions or
adapted versions of these two equations.",00:05:51.423,00:05:56.770
So that's important.,00:05:56.770,00:05:59.424
"And then we'll have our standard recurrent
neural network that we already went",00:05:59.424,00:06:03.676
"through, and we kind of assume you
should know for the midterm as well.",00:06:03.676,00:06:07.493
"And our grade of Cross Entropy Error,
as one of the main loss or",00:06:07.493,00:06:12.392
objective functions that we optimize.,00:06:12.392,00:06:16.440
"And when we optimize,
we usually use the Mini-batched SGD.",00:06:16.440,00:06:20.177
We don't go through single example.,00:06:20.177,00:06:21.080
"We don't go through the entire
batch of our trained data, but",00:06:21.080,00:06:25.136
"we take 100 or so
of examples each time we train.",00:06:25.136,00:06:28.496
"So all those concepts, you should
feel reasonably comfortable now.",00:06:28.496,00:06:33.590
"And if not, then definitely come
back to the office hours, and",00:06:33.590,00:06:37.154
start sort of studying for the midterm.,00:06:37.154,00:06:39.450
"All right, and we'll go over more
midterm details in the next lecture.",00:06:39.450,00:06:44.151
"All right, now, onto the main topic
of today, machine translation.",00:06:44.151,00:06:48.500
"So you might think for some NLP tasks
that you can get away with thinking of",00:06:48.500,00:06:53.273
"all the rules that, for
instance, sentiment analysis.",00:06:53.273,00:06:57.118
"A sentence might come up positive or
negative, right?",00:06:57.118,00:07:00.138
"You say, I have a list of all the positive
words, most of all the negative words.",00:07:00.138,00:07:03.540
"And I can think of the ways you can negate
positive words and things like that.",00:07:03.540,00:07:06.936
"And you could maybe conceive of
creating a sentiment analysis system",00:07:06.936,00:07:10.996
"of just all your intuitions
about linguistics and sentiment.",00:07:10.996,00:07:15.260
"That kind of approach is completely
ridiculous for machine translation.",00:07:15.260,00:07:18.860
"There's no way you would ever,",00:07:18.860,00:07:20.250
"nobody will ever be able to think of all
the different rules and exceptions for",00:07:20.250,00:07:24.010
"translating all possible sentences
of one language to another.",00:07:24.010,00:07:28.410
"So basically, the baseline that's
pretty well established is that",00:07:28.410,00:07:32.920
"all machine translation systems
are somewhat statistical in nature.",00:07:32.920,00:07:36.790
"We will always try to
take a very large corpus.",00:07:36.790,00:07:38.670
"In fact, we'll have so
called parallel copra,",00:07:38.670,00:07:41.137
"where we have a lot of the sentences or
paragraphs in one language.",00:07:41.137,00:07:44.520
"And we know that this paragraph in this
language translates to that paragraph",00:07:44.520,00:07:48.845
in another language.,00:07:48.845,00:07:50.119
"One of the popular parallel copra
of All of, for a long time,",00:07:50.119,00:07:55.040
"for the last couple thousand
years is the Bible, for instance.",00:07:55.040,00:07:57.060
You'll have Bible translated.,00:07:57.060,00:07:58.451
It has nice paragraphs.,00:07:58.451,00:07:59.789
"And each paragraph is translated
in different languages.",00:07:59.789,00:08:02.243
"That would be one of
the first parallel corpora.",00:08:02.243,00:08:05.614
"The very first is actually
the Rosetta Stone.",00:08:05.614,00:08:07.629
"Which allowed people to have
at least some understanding",00:08:07.629,00:08:12.547
of ancient Egyptian hieroglyphs.,00:08:12.547,00:08:15.626
"And it's pretty exciting if you're
into historical linguistics.",00:08:15.626,00:08:22.872
"And it allows basically to translate
those to the Demotic script and",00:08:22.872,00:08:27.742
"the ancient Greek also,
which we still know.",00:08:27.742,00:08:31.081
"And so we can gain some intuition about
what's going on in the other two.",00:08:31.081,00:08:35.490
"Now, in the next couple of slides,",00:08:35.490,00:08:37.743
"I will basically try to bring across
to you that traditional statistical",00:08:37.743,00:08:42.330
"machine translation systems are very,
very complex beasts.",00:08:42.330,00:08:46.956
"And it wouldn't have been impossible for
me to say at the end of the lecture,",00:08:46.956,00:08:50.140
"all right, now you could implement
this whole thing yourself,",00:08:50.140,00:08:52.770
"after just one lecture, going over MT cuz
there are a lot of different moving parts.",00:08:52.770,00:08:57.380
So let's walk through this.,00:08:57.380,00:08:59.910
"You won't have to actually implement
traditional statistical MT system in",00:08:59.910,00:09:04.390
this class.,00:09:04.390,00:09:05.570
"But I want you to appreciate
a little bit the history.",00:09:05.570,00:09:07.978
"And why deep learning is so impactful and
amazing for machine translation.",00:09:07.978,00:09:13.495
"Cuz it's replacing a lot of different
submodules in these very complex models.",00:09:13.495,00:09:18.210
"And sometimes it uses still
ideas from this, but not very.",00:09:20.570,00:09:24.060
"Most of them we don't need any more for
neural machine translation systems.",00:09:24.060,00:09:27.974
"All right, so let's set the stage.",00:09:27.974,00:09:30.342
We have generally a source language.,00:09:30.342,00:09:32.810
"Let's call that f, such as French.",00:09:32.810,00:09:35.340
"And we have a target language, e,
in our case, let's say it's English.",00:09:35.340,00:09:38.599
"So we wanna translate from the source
French to the target language of English.",00:09:38.599,00:09:44.031
"And we'll usually describe
this here with a simple Bayes",00:09:44.031,00:09:49.205
"rule where we basically try to find the,
Target sentence,",00:09:49.205,00:09:56.070
"usually e here we assume is the whole
sentence in the target language.",00:09:56.070,00:10:00.720
"That gives us the largest conditional
probability conditioned on f.",00:10:00.720,00:10:04.910
So this is an abstract formulation.,00:10:04.910,00:10:07.343
"We'll try to fill in how to actually
compute these probabilities",00:10:07.343,00:10:10.496
"in traditional and then later in
neural machine translation systems.",00:10:10.496,00:10:13.960
So now we can use Bayes rule.,00:10:13.960,00:10:15.510
"Posterior equals its prior times
likelihood divided by marginal evidence.",00:10:15.510,00:10:19.320
"Marginal evidence here would just be for
the source language.",00:10:19.320,00:10:21.740
So that doesn't change.,00:10:21.740,00:10:22.371
"So we can drop that,
argmax would not change from that.",00:10:22.371,00:10:25.340
"So basically, we'll try to
compute these two factors here.",00:10:25.340,00:10:31.470
"The probability of the French
sentence given, or",00:10:31.470,00:10:36.210
"the source language given the target,
times the probability of just the target.",00:10:36.210,00:10:42.940
"And now, we'll basically call
these two elements here.",00:10:44.760,00:10:47.500
One is our translation model.,00:10:47.500,00:10:49.410
And the other one is our language model.,00:10:49.410,00:10:51.140
"Remember language modeling where we
tried to get the probability of a longer",00:10:51.140,00:10:54.443
sequence.,00:10:54.443,00:10:54.967
This is a great use case for it.,00:10:54.967,00:10:58.360
"Basically, you can think of this
as you get some French sentence.",00:10:58.360,00:11:02.075
Your translation model will try to find.,00:11:02.075,00:11:04.689
"Maybe this phrase,
I can translate into that.",00:11:04.689,00:11:06.830
"And this phrase,
I can translate into this.",00:11:06.830,00:11:09.220
"And then you have a bunch
of pieces of English.",00:11:09.220,00:11:11.550
"And then your language model will
essentially in the decoder be combined",00:11:11.550,00:11:16.620
"to try to get a single,
smooth sentence in the target language.",00:11:16.620,00:11:21.312
"So it'll help us to take all these pieces
that we have from the translation model.",00:11:21.312,00:11:26.362
"And make it into one sentence that
actually sounds reasonable and flows and",00:11:26.362,00:11:30.112
is grammatical and all that.,00:11:30.112,00:11:31.830
"So the language model helps us to
weight grammatical sentences better.",00:11:31.830,00:11:36.150
"So, for instance, I go home will
sound better than I go house, right?",00:11:36.150,00:11:40.767
"Because I go home will have a more
likely higher probability, so",00:11:40.767,00:11:44.965
"more likely English
sentence to be uttered.",00:11:44.965,00:11:47.930
"Now, how do we actually train
all these different pieces?",00:11:47.930,00:11:51.711
And how would you go about doing this?,00:11:51.711,00:11:53.170
"Well, if you wanted to translate,
do this translation model here.",00:11:53.170,00:11:56.820
"Then the first thing you'd have to do
is you'd find so called alignments.",00:11:56.820,00:12:01.067
"Which is basically, the goal of the
alignment step is to know which word or",00:12:01.067,00:12:05.249
"phrase in the source language would
translate to the other word or",00:12:05.249,00:12:08.959
phrase in the target language.,00:12:08.959,00:12:10.790
And that sub problem already.,00:12:10.790,00:12:13.660
"And now, again,
we have these three different systems.",00:12:13.660,00:12:18.030
"And now we're zooming in to
the step one of that system.",00:12:18.030,00:12:21.420
"Now that one is already hard
because alignment is non-trivial.",00:12:21.420,00:12:27.093
"These are actually some cool examples from
previous incarnation from Chris's class,",00:12:27.093,00:12:31.908
"224, and from previous years.",00:12:31.908,00:12:33.871
"Here are some examples of why
alignment is already hard.",00:12:33.871,00:12:37.020
