text,start,stop
"The following content is
provided under a Creative",00:00:00.050,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.225
at ocw.mit.edu.,00:00:17.225,00:00:17.850
"MARK SEIFTER: Hi, everyone.",00:00:21.790,00:00:23.350
"A few of you may know
me from my tutorial,",00:00:23.350,00:00:26.510
"but if you don't I'm Mark
Seifter I'm the senior TA here",00:00:26.510,00:00:30.250
"at 6034 and these Friday
omega recitations are going",00:00:30.250,00:00:34.370
"to be a little bit
different than any",00:00:34.370,00:00:36.606
"of the other things
in the class.",00:00:36.606,00:00:37.980
"All right, so, what
is omega recitation.",00:00:37.980,00:00:41.990
"Omega recitation is in
this lecture style room,",00:00:41.990,00:00:45.630
"but I hope to make it more
like a recitation or a tutorial",00:00:45.630,00:00:48.230
"by, unfortunately
for some of you,",00:00:48.230,00:00:50.310
"perhaps, calling on you guys
to participate during the omega",00:00:50.310,00:00:54.740
"recitation, as we attempt to
work with some of the material",00:00:54.740,00:00:58.110
"that Patrick has given
us the big picture",00:00:58.110,00:01:00.930
for in the lectures.,00:01:00.930,00:01:01.970
"And if you've gone
to recitation so far",00:01:01.970,00:01:03.700
"you may received a
little bit of enrichment",00:01:03.700,00:01:06.400
into how the algorithms work.,00:01:06.400,00:01:08.230
"Well, here in omega
recitation we're",00:01:08.230,00:01:10.130
"going to figure out how you
can work the algorithms.",00:01:10.130,00:01:13.810
"And that's very important,
because in this class being",00:01:13.810,00:01:18.070
"able to work the algorithms by
hand in some of these examples",00:01:18.070,00:01:23.120
"I put up here, or
like Patrick sometimes",00:01:23.120,00:01:25.430
"does in lectures to
teach you the algorithms,",00:01:25.430,00:01:27.950
"is a crucial way
of demonstrating",00:01:27.950,00:01:29.500
"that you understand how the
algorithms work, and we use it",00:01:29.500,00:01:33.590
on a quiz.,00:01:33.590,00:01:34.880
"The way we use it on
the quiz is we-- well",00:01:34.880,00:01:37.690
this is an old quiz problem.,00:01:37.690,00:01:39.110
It's from last year.,00:01:39.110,00:01:40.040
It tripped up a lot of people.,00:01:40.040,00:01:41.480
"So we're going to
go over it today.",00:01:41.480,00:01:43.490
"I'm going to tell you all
the tricks that tripped up",00:01:43.490,00:01:47.120
"a lot of people, in addition
to emphasizing tricks",00:01:47.120,00:01:49.820
"that I've picked up over of
the three years of TA-ing",00:01:49.820,00:01:53.720
"this course before, so
that you will not fall prey",00:01:53.720,00:01:56.650
to any of these tricks.,00:01:56.650,00:01:58.600
Hopefully.,00:01:58.600,00:01:59.520
"I say hopefully, because
some of these tricks",00:01:59.520,00:02:01.900
"I talked about omega
recitation last year",00:02:01.900,00:02:05.029
"and people still
got tricked by them.",00:02:05.029,00:02:06.570
"I guess maybe some people
didn't come to omega recitation",00:02:06.570,00:02:09.100
"or they were just
very tricky tricks.",00:02:09.100,00:02:11.820
"So be sure to come
to omega recitation.",00:02:11.820,00:02:14.040
Pay attention to the tricks.,00:02:16.944,00:02:18.110
"Pay attention to how
these things are solved.",00:02:18.110,00:02:20.130
"Ask questions if
you're not sure.",00:02:20.130,00:02:23.220
"And when we get
done with the hour",00:02:23.220,00:02:25.010
"together I'm hoping
that everyone's",00:02:25.010,00:02:27.350
"going to do really well on the
rules part of the first quiz.",00:02:27.350,00:02:31.820
"So without further
ado, if there are",00:02:31.820,00:02:35.510
"no questions on that, which
I don't think there probably",00:02:35.510,00:02:38.730
"will be, let's move on
to the problem at hand.",00:02:38.730,00:02:42.260
"As some of you may
have noticed, it",00:02:42.260,00:02:43.980
is a Harry Potter based problem.,00:02:43.980,00:02:45.520
"One of our TAs last year
was a big Harry Potter fan.",00:02:45.520,00:02:49.430
"So what we have here
a series of rules",00:02:49.430,00:02:53.290
and a series of assertions.,00:02:53.290,00:02:55.740
"Now if you happen to be real go
getter and have already looked",00:02:55.740,00:02:59.850
"at all the past
quizzes online, you",00:02:59.850,00:03:01.610
"may have already
seen this problem.",00:03:01.610,00:03:03.640
"And if you really, really
have attention to detail",00:03:03.640,00:03:06.310
"you may notice something a
little bit different in the way",00:03:06.310,00:03:08.740
"I wrote it as compared to the
way it was written online.",00:03:08.740,00:03:11.700
"In fact, you may, if you
have a lot of times a detail,",00:03:11.700,00:03:15.140
"but you're not really
in on Scheme or LISP,",00:03:15.140,00:03:17.710
"you may think the way I wrote
it is much easier to understand.",00:03:17.710,00:03:21.680
"And in case you can't
understand the other way,",00:03:21.680,00:03:24.260
"and in case one
of the TAs decides",00:03:24.260,00:03:26.440
"to write it in a LISP-like
way again, let me explain.",00:03:26.440,00:03:29.900
"If you look at one of my
rules, say if x is ambitious,",00:03:29.900,00:03:34.270
"and x is a squib,
then x has a bad term.",00:03:34.270,00:03:36.880
That's rule 0 up at the top.,00:03:36.880,00:03:40.530
"That's written in sort of what
we call in fixed notation.",00:03:40.530,00:03:44.270
"It's easy, it's simple.",00:03:44.270,00:03:45.610
"All operators are in the
order you would expect.",00:03:45.610,00:03:48.160
2 plus 3 equals 5.,00:03:48.160,00:03:50.950
"There's another kind of
notation that is sometimes",00:03:50.950,00:03:53.220
used on previous quizzes.,00:03:53.220,00:03:54.630
"And by sometimes, good
number of times, actually.",00:03:54.630,00:03:57.720
