text,start,stop
"The following content is
provided under a Creative",00:00:00.070,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.229
at ocw.mit.edu.,00:00:17.229,00:00:17.854
"PROFESSOR: Today we're going
to be talking about games.",00:00:21.066,00:00:24.390
"And I know you guys as
well as I hope I do.",00:00:24.390,00:00:29.724
"The main thing that you guys
want to talk about with games",00:00:29.724,00:00:32.140
"is how to do that
alpha-beta thing.",00:00:32.140,00:00:34.330
Because it's pretty confusing.,00:00:34.330,00:00:36.300
"And it's easy to get lost
in a corner or something.",00:00:36.300,00:00:40.490
"Whereas doing the regular
minimax, in my experience,",00:00:40.490,00:00:43.820
most 6034 students can do that.,00:00:43.820,00:00:45.590
"And they do it right
pretty much all the time.",00:00:45.590,00:00:48.450
"However, we're going to focus
on all the different components",00:00:48.450,00:00:51.560
of games.,00:00:51.560,00:00:52.940
"And I put up two provocative
silver star ideas",00:00:52.940,00:00:56.910
"up on the board, which
will come into play here.",00:00:56.910,00:01:00.370
"The Snow White
principle is a new name.",00:01:00.370,00:01:02.840
"And it has never been
revealed until today.",00:01:02.840,00:01:05.489
Because I made up name recently.,00:01:05.489,00:01:08.050
"So you will be the first
people to hear it and decide",00:01:08.050,00:01:11.000
"if it works better than
the term ""grandfather",00:01:11.000,00:01:13.310
"clause"" for the thing that
I'm trying to describe.",00:01:13.310,00:01:15.630
"Because most grandfathers
don't eat their children.",00:01:15.630,00:01:19.420
"So here we've got a
beautiful game tree.",00:01:19.420,00:01:25.300
"It has nodes from
A through R. This",00:01:25.300,00:01:29.970
"is our standard
game tree from 6034.",00:01:29.970,00:01:33.250
"We've got a maximizer
up at the top",00:01:33.250,00:01:35.922
"who's trying to get the
highest score possible.",00:01:35.922,00:01:37.880
The minimizer is her opponent.,00:01:37.880,00:01:41.770
"And the minimizer is trying
to get to the lowest score",00:01:41.770,00:01:44.530
possible.,00:01:44.530,00:01:45.930
"And it's really unclear who
wins or loses at each point.",00:01:45.930,00:01:49.264
"They're just trying to get it
to the highest or the lowest",00:01:49.264,00:01:51.680
score.,00:01:51.680,00:01:54.140
"All right, so let's
do a refresher.",00:01:54.140,00:01:56.660
"Hopefully the quiz didn't put
people into such panic modes",00:01:56.660,00:01:59.590
"that they forgot
Monday's lecture.",00:01:59.590,00:02:01.180
"So let's make sure that
we can do regular minimax",00:02:01.180,00:02:06.130
"algorithm on this tree
and figure out the minimax",00:02:06.130,00:02:09.639
value at A.,00:02:09.639,00:02:11.270
So let's see how that works.,00:02:11.270,00:02:13.900
"All right, as you guys
remember, the game search",00:02:13.900,00:02:19.010
"when using regular
minimax is essentially",00:02:19.010,00:02:22.320
a depth first search.,00:02:22.320,00:02:24.550
"And at each level, it
chooses between all",00:02:24.550,00:02:28.080
"of the children whichever
value that the parent wants.",00:02:28.080,00:02:32.510
"So here after it would choose
the maximum of K and L,",00:02:32.510,00:02:35.480
for instance.,00:02:35.480,00:02:36.330
"But that's getting
ahead of ourselves.",00:02:36.330,00:02:37.570
"Because it's a
depth first search.",00:02:37.570,00:02:38.986
So we best start at the top.,00:02:38.986,00:02:40.874
"I'll help you guys
up for a while.",00:02:40.874,00:02:42.290
"So we're doing A. We
need the maximum of B, C,",00:02:42.290,00:02:44.480
"D, depth first search.",00:02:44.480,00:02:45.770
"We go to B. We're looking
for the minimum of E and F.",00:02:45.770,00:02:49.760
"So having looked at E, our
current minimum of E and F",00:02:49.760,00:02:55.980
is just 2 for the moment.,00:02:55.980,00:02:58.780
"So this is going to be
less than or equal to 2.",00:02:58.780,00:03:04.040
"All right, then we go down
to F, which is a maximizer.",00:03:04.040,00:03:06.690
"And its children are
K and L. So now I'm",00:03:06.690,00:03:09.850
"going to start making
you guys do stuff.",00:03:09.850,00:03:11.650
So what do you think?,00:03:11.650,00:03:13.960
"What is going to be
the minimax value at F?",00:03:13.960,00:03:17.620
"The minimax value at
F, what will that be?",00:03:17.620,00:03:20.659
AUDIENCE: [INAUDIBLE],00:03:20.659,00:03:21.534
"PROFESSOR: So that level is
a maximizer-- max, min, max.",00:03:25.150,00:03:29.090
F is a maximizer.,00:03:29.090,00:03:30.280
"K and L themselves
are minimizers.",00:03:30.280,00:03:32.420
"But they're pretty
impotent minimizers.",00:03:32.420,00:03:34.200
"Because they don't
get to choose.",00:03:34.200,00:03:35.590
"They just have to do K or L.
So the minimax value is three.",00:03:35.590,00:03:39.950
"And yeah, the path it
would like to go is K.",00:03:39.950,00:03:42.660
"So we'll say that the
minimax value here is 3.",00:03:42.660,00:03:45.510
It's in fact exactly equal to 3.,00:03:45.510,00:03:48.680
"So if this is 3 and this
is 2, then everyone,",00:03:48.680,00:03:53.410
we know that the value of B is?,00:03:53.410,00:03:55.476
AUDIENCE: [INAUDIBLE],00:03:55.476,00:03:57.710
PROFESSOR: I hear 3 and 2.,00:03:57.710,00:03:58.960
Which one is it?,00:03:58.960,00:04:00.281
AUDIENCE: 2.,00:04:00.281,00:04:00.780
"PROFESSOR: 2, that's right.",00:04:00.780,00:04:03.150
So the value here is 2.,00:04:03.150,00:04:04.600
"Great, let's go down
into this branch.",00:04:04.600,00:04:06.790
"So C is going to be
the minimum of G and 6.",00:04:06.790,00:04:09.427
But we don't see that yet.,00:04:09.427,00:04:10.510
"Because we're doing
a depth first search.",00:04:10.510,00:04:12.218
"It's going to be
the minimum of G.",00:04:12.218,00:04:13.840
"Now we need the
maximum of M and N.",00:04:13.840,00:04:16.540
We're going to need the minimum.,00:04:16.540,00:04:18.160
"M is the minimum of Q and
R. So let's switch sides.",00:04:18.160,00:04:23.530
The minimum of Q and R is?,00:04:23.530,00:04:27.100
AUDIENCE: 1.,00:04:27.100,00:04:28.305
PROFESSOR: Let's see.,00:04:28.305,00:04:29.180
"That's right, it's 1.",00:04:29.180,00:04:30.570
So M has a value of 1.,00:04:30.570,00:04:32.170
But I'm going to stay over here.,00:04:32.170,00:04:34.240
Because M has a value of 1.,00:04:34.240,00:04:36.140
"Knowing that, then we know
that G has a value of?",00:04:36.140,00:04:39.100
AUDIENCE: 7,00:04:39.100,00:04:39.600
PROFESSOR: That's right.,00:04:39.600,00:04:40.600
7 is higher than 1.,00:04:40.600,00:04:41.930
"And since G is a 7, we
now know going up to C",00:04:41.930,00:04:45.550
that C has a value of?,00:04:45.550,00:04:47.850
AUDIENCE: 6.,00:04:47.850,00:04:48.850
"PROFESSOR: Yes, C
has a value of 6.",00:04:48.850,00:04:50.830
That's the minimum 6 and 7.,00:04:50.830,00:04:52.710
"So now I'm going
to go back down.",00:04:52.710,00:04:54.600
"Because we've done one
of the other sub-trees.",00:04:54.600,00:04:57.370
This is a 6.,00:04:57.370,00:04:58.751
"All right, great.",00:04:58.751,00:04:59.950
"Now we're going to go down to D.
Hopefully it won't be too bad.",00:04:59.950,00:05:03.900
"These things usually
aren't terrible.",00:05:03.900,00:05:05.760
"Because they're made to be
pruned a lot in alpha-beta.",00:05:05.760,00:05:08.710
"So let's see, in D, we go down
to I. And that's just a 1.",00:05:08.710,00:05:12.350
"We go down to J. And let's see,
what's the minimax value of J?",00:05:12.350,00:05:17.040
AUDIENCE: It's 20.,00:05:17.040,00:05:17.860
PROFESSOR: That's right.,00:05:17.860,00:05:18.860
20 is the maximum of 20 and 2.,00:05:18.860,00:05:21.120
"Great, so what's the
minimax value of D?",00:05:21.120,00:05:24.780
Everyone said it-- 1.,00:05:24.780,00:05:25.990
"All right, so what's
the minimax value at A?",00:05:25.990,00:05:27.946
AUDIENCE: 6.,00:05:27.946,00:05:29.574
