text,start,stop
 ,00:00:00.000,00:00:01.770
"In this problem, we're going
to look at the probability",00:00:01.770,00:00:03.900
"that when you take a stick and
break it into three pieces",00:00:03.900,00:00:07.090
"randomly that these three pieces
can actually be used to",00:00:07.090,00:00:10.300
form a triangle.,00:00:10.300,00:00:12.560
"All right, so we start
out with a stick of",00:00:12.560,00:00:16.300
"unit length, so--",00:00:16.300,00:00:18.010
length 1.,00:00:18.010,00:00:19.680
"And we'll choose a point along
the stick to break.",00:00:19.680,00:00:25.580
"And we'll choose that point
uniformly at random.",00:00:25.580,00:00:28.540
"So let's say that we chose it
here, that was the point where",00:00:28.540,00:00:31.565
we'll break it.,00:00:31.565,00:00:33.380
"And then independently of this
first choice we'll again",00:00:33.380,00:00:37.180
"choose a second point
to break it.",00:00:37.180,00:00:39.970
"Again, uniformly at random
along the entire stick.",00:00:39.970,00:00:43.000
"So let's say the second point
we chose was here.",00:00:43.000,00:00:47.780
"So what we have now is, we'll
break it here, here, and so",00:00:47.780,00:00:50.560
we'll have three pieces--,00:00:50.560,00:00:51.610
"the first one, the left
one and the right one.",00:00:51.610,00:00:54.310
"And we want to know, what's the
probability that when you",00:00:54.310,00:00:56.730
"take these three pieces you
could form a triangle?",00:00:56.730,00:01:00.810
"So the first thing we
should ask ourselves",00:01:00.810,00:01:02.110
"is, what do you need--",00:01:02.110,00:01:04.200
"what conditions must be
satisfied in order to actually",00:01:04.200,00:01:07.050
"be able to form a triangle
with three pieces?",00:01:07.050,00:01:09.790
"So you could think about, what
would stop you from being able",00:01:09.790,00:01:13.070
to do that?,00:01:13.070,00:01:14.110
"Well, one possibility is
that you have pieces",00:01:14.110,00:01:18.130
that look like this.,00:01:18.130,00:01:19.380
 ,00:01:19.380,00:01:22.990
"So in that case you would
try to form something",00:01:22.990,00:01:27.910
that looks like this.,00:01:27.910,00:01:32.540
"But you can't get a triangle
because these two pieces are",00:01:32.540,00:01:35.800
"too short and they can't
touch each other.",00:01:35.800,00:01:37.990
"So actually the condition that
must be satisfied is that when",00:01:37.990,00:01:42.220
"you take any two of the three
pieces, their combined length",00:01:42.220,00:01:48.490
"has to be greater than
the length of the",00:01:48.490,00:01:50.430
remaining third piece.,00:01:50.430,00:01:52.200
"And that has to be true
for any two pieces.",00:01:52.200,00:01:53.900
 ,00:01:53.900,00:01:56.500
"And really that's just so that
any two pieces, they can touch",00:01:56.500,00:02:01.590
and still form a triangle.,00:02:01.590,00:02:04.970
"So let's try to add some
probability to this.",00:02:04.970,00:02:08.870
"So we have a unit
length stick.",00:02:08.870,00:02:13.440
"So let's actually give
a coordinate system.",00:02:13.440,00:02:17.510
The stick goes from 0 to 1.,00:02:17.510,00:02:20.430
"And let's say that we break
it at these two points.",00:02:20.430,00:02:23.120
 ,00:02:23.120,00:02:30.790
"So the first point where we
choose, we'll call that x.",00:02:30.790,00:02:38.090
"So that's the first point that
we choose to break it.",00:02:38.090,00:02:40.990
"And then the second point we
choose, we'll call that y.",00:02:40.990,00:02:44.670
"Now note that I've drawn it so
that x is to the left of y.",00:02:44.670,00:02:50.700
"But it could actually be the
case that the first point I",00:02:50.700,00:02:53.760
