text,start,stop
"The following
content is provided",00:00:00.050,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
PROFESSOR: All right.,00:00:21.155,00:00:22.030
So I brought a few problems.,00:00:22.030,00:00:23.220
"They're obviously not the quiz
problems, though some of them",00:00:23.220,00:00:26.950
are supposed to be similar.,00:00:26.950,00:00:29.280
"What I have here
might not be what",00:00:29.280,00:00:30.880
"you have on the quiz because
we might drop quiz problems",00:00:30.880,00:00:33.260
"or because some of them
are just meant to make",00:00:33.260,00:00:35.280
"you think and not to give away
the solutions to the quiz.",00:00:35.280,00:00:39.310
"Now, before we get
started on this,",00:00:39.310,00:00:41.490
"do you guys have any burning
questions or any concepts",00:00:41.490,00:00:43.814
that you want covered?,00:00:43.814,00:00:44.730
"Based on that, I'll select
which problems we do.",00:00:44.730,00:00:46.800
Yes?,00:00:46.800,00:00:47.727
"AUDIENCE: This actually relates
not too much to the Pset.",00:00:47.727,00:00:50.288
"If you're looking at
the time complexity",00:00:53.040,00:00:55.725
"to maybe transfer something
from one table to another,",00:00:55.725,00:01:02.360
"it takes a lot
more time, I would",00:01:02.360,00:01:04.164
"assume, to move the actual
item to the new table",00:01:04.164,00:01:06.980
"than it does just to look
at your point and be like,",00:01:06.980,00:01:09.250
"oh, there's nothing there.",00:01:09.250,00:01:10.680
"So if you were
just going to look",00:01:10.680,00:01:12.187
"through an empty
table of size m,",00:01:12.187,00:01:14.330
"the time to look through that
empty table, I'm assuming,",00:01:14.330,00:01:17.325
"is much less than the time
to actually move an item.",00:01:17.325,00:01:21.210
"PROFESSOR: So you're saying
we have m things here.",00:01:21.210,00:01:28.650
AUDIENCE: Yes.,00:01:28.650,00:01:29.350
"PROFESSOR: Some might
be nil, and some",00:01:29.350,00:01:33.050
"might have stuff
in them, and you're",00:01:33.050,00:01:36.260
"going to resize that to
presumably 2 times m,",00:01:36.260,00:01:41.166
"and the way you
do that is you're",00:01:41.166,00:01:42.540
"going to move the elements,
presumably by rehashing them,",00:01:42.540,00:01:45.730
right?,00:01:45.730,00:01:46.411
AUDIENCE: Yes.,00:01:46.411,00:01:46.994
"PROFESSOR: So these elements,
at least when we use Python,",00:01:50.170,00:01:53.560
"we don't really store
big elements anywhere.",00:01:53.560,00:01:57.060
"If you have a big
object, we always",00:01:57.060,00:01:59.000
"work with references
to that object.",00:01:59.000,00:02:01.270
"So you remember
the address where",00:02:01.270,00:02:03.280
"that object lies in memory,
and since the memory is",00:02:03.280,00:02:06.510
"finite and small, addresses are
all from 0 to a small number,",00:02:06.510,00:02:10.110
so they're constant.,00:02:10.110,00:02:12.650
"So what you have here
is not a big object.",00:02:12.650,00:02:15.990
"It's the address
of the big object,",00:02:15.990,00:02:17.800
"so moving is always
constant time.",00:02:17.800,00:02:21.470
"AUDIENCE: What I'm
saying is let's",00:02:21.470,00:02:23.750
"say that the table
is completely full",00:02:23.750,00:02:26.230
versus completely empty table.,00:02:26.230,00:02:28.280
"It would take more time
to move everything out",00:02:28.280,00:02:32.040
"of the full table
than it does just",00:02:32.040,00:02:34.510
"to look the empty table, right?",00:02:34.510,00:02:36.515
PROFESSOR: Let's see.,00:02:36.515,00:02:37.390
"So writing something here
is order 1 time, right?",00:02:37.390,00:02:42.300
So moving is order 1 time.,00:02:42.300,00:02:44.350
"Moving one element
is order 1 time.",00:02:44.350,00:02:47.130
"What's accessing an element
in a table in a list?",00:02:47.130,00:02:50.242
You have a Python list.,00:02:50.242,00:02:51.200
"What's the cost of
doing an index access?",00:02:51.200,00:02:53.282
"AUDIENCE: It's also
order 1, right?",00:02:53.282,00:02:54.740
PROFESSOR: OK.,00:02:54.740,00:02:55.790
"So order 1, index.",00:02:55.790,00:02:59.890
"Order 1, move.",00:02:59.890,00:03:02.727
Suppose you have an empty table.,00:03:02.727,00:03:04.060
How many indices do you do?,00:03:04.060,00:03:05.680
How many times the index?,00:03:05.680,00:03:07.915
"AUDIENCE: You look
at each one, so it's",00:03:07.915,00:03:09.540
"order 1 times the
length of the table.",00:03:09.540,00:03:12.425
PROFESSOR: m.,00:03:12.425,00:03:14.890
"So if the table is empty,
you have order m indices",00:03:14.890,00:03:17.620
and 0 moves.,00:03:17.620,00:03:19.740
"Total running time, order m.",00:03:19.740,00:03:22.970
"If you have a full
table, how many times",00:03:22.970,00:03:26.070
do you index in the table?,00:03:26.070,00:03:27.412
AUDIENCE: Still order m.,00:03:27.412,00:03:28.437
PROFESSOR: OK.,00:03:28.437,00:03:29.020
"How many times do
you move stuff?",00:03:29.020,00:03:31.330
AUDIENCE: Order m.,00:03:31.330,00:03:34.365
PROFESSOR: Total running time?,00:03:34.365,00:03:35.615
"AUDIENCE: It's order
2m, which is order m.",00:03:35.615,00:03:38.835
"PROFESSOR: So it doesn't
matter whether the table's",00:03:38.835,00:03:40.960
full or empty.,00:03:40.960,00:03:42.198
AUDIENCE: OK.,00:03:42.198,00:03:42.739
Just wanted to confirm that.,00:03:42.739,00:03:44.160
"PROFESSOR: And this
is how you do that.",00:03:44.160,00:03:45.784
Cool.,00:03:47.940,00:03:48.460
Thanks.,00:03:48.460,00:03:49.022
Any other questions?,00:03:49.022,00:03:49.855
"Then we will go over problems in
the order in which I like them,",00:04:00.410,00:04:04.480
"which is easiest to
hardest so that I",00:04:04.480,00:04:06.110
"don't have to explain
the hard ones.",00:04:06.110,00:04:07.690
Warm up problem one.,00:04:14.710,00:04:16.570
"So you have this recursion
and you have to solve it,",00:04:24.800,00:04:27.720
"and you get a hint that n
to the power of 1 over log n",00:04:27.720,00:04:40.350
"is 2, which is theta 1.",00:04:40.350,00:04:45.540
"So based on the
hint, you can see",00:04:45.540,00:04:47.130
"that it's going to
involve some math.",00:04:47.130,00:04:50.826
It's going to get a bit ugly.,00:04:50.826,00:04:53.700
So how do we solve recursions?,00:04:53.700,00:04:55.260
Two methods.,00:04:55.260,00:04:56.110
What are they?,00:04:56.110,00:04:57.514
AUDIENCE: Expand.,00:04:57.514,00:04:59.927
PROFESSOR: OK.,00:04:59.927,00:05:00.510
"Substitution formally,
but basically, we",00:05:00.510,00:05:02.951
"expand this guy
over and over again.",00:05:02.951,00:05:04.450
And?,00:05:04.450,00:05:06.084
AUDIENCE: Trees.,00:05:06.084,00:05:07.340
PROFESSOR: Recursion trees.,00:05:07.340,00:05:09.970
"Which one do guys
want to do first?",00:05:09.970,00:05:11.610
"If you only have
one t here, anything",00:05:15.080,00:05:17.780
"works because you can keep
expanding it and that works,",00:05:17.780,00:05:22.340
so we can do either method.,00:05:22.340,00:05:24.317
"Which one do you
guys want to go over?",00:05:24.317,00:05:25.900
Trees.,00:05:28.580,00:05:29.740
OK.,00:05:29.740,00:05:31.100
So we start with the first node.,00:05:31.100,00:05:36.020
The size of the problem is n.,00:05:36.020,00:05:39.292
What's the cost inside here?,00:05:39.292,00:05:41.732
AUDIENCE: 1.,00:05:45.148,00:05:46.130
PROFESSOR: OK.,00:05:46.130,00:05:47.550
So this creates one sub-problem.,00:05:47.550,00:05:50.620
What's the size?,00:05:50.620,00:05:51.483
AUDIENCE: n to the 1/2.,00:05:54.198,00:05:56.170
PROFESSOR: OK.,00:05:56.170,00:05:58.130
"Square root of n
equals n to the 1/2.",00:05:58.130,00:06:00.530
You solved it already.,00:06:00.530,00:06:01.774
What's the cost?,00:06:01.774,00:06:02.440
AUDIENCE: 1.,00:06:05.279,00:06:05.779
"PROFESSOR: Do people
remember this?",00:06:08.641,00:06:10.660
"Is anyone confused about
what's going on here?",00:06:10.660,00:06:14.980
OK.,00:06:14.980,00:06:15.760
"So two terms, something
involving t and something",00:06:15.760,00:06:19.710
not involving t.,00:06:19.710,00:06:21.250
"The thing involving t is
what we want to get rid of.",00:06:21.250,00:06:24.110
"When we do our recursion
tree, whatever is in here",00:06:24.110,00:06:29.870
"goes inside here,
and this tells me",00:06:29.870,00:06:34.030
"how this number
relates to this number.",00:06:34.030,00:06:37.920
"So when I go from one
level to the next level,",00:06:37.920,00:06:41.250
this is the transformation.,00:06:41.250,00:06:42.550
"n and becomes square root of
n, so the transformation here",00:06:42.550,00:06:48.406
"is the same as the
transformation here.",00:06:48.406,00:06:50.030
What's next?,00:06:57.880,00:07:00.133
AUDIENCE: n to the 1/4.,00:07:00.133,00:07:02.152
PROFESSOR: OK.,00:07:02.152,00:07:02.735
Cost?,00:07:05.500,00:07:07.828
AUDIENCE: 1.,00:07:07.828,00:07:09.320
PROFESSOR: OK.,00:07:09.320,00:07:10.000
"Do we need to do one more or
do people see the pattern?",00:07:10.000,00:07:12.350
Silence means one more.,00:07:16.090,00:07:17.340
"If you guys don't speak,
we're going to go slow.",00:07:17.340,00:07:21.240
What's here?,00:07:21.240,00:07:21.790
AUDIENCE: n to the 1/8.,00:07:25.213,00:07:29.125
PROFESSOR: What's here?,00:07:29.125,00:07:31.559
AUDIENCE: 1.,00:07:31.559,00:07:32.059
"PROFESSOR: Let's hope
everyone saw the pattern,",00:07:35.200,00:07:37.170
"and suppose we've done
this for l levels,",00:07:37.170,00:07:40.590
so we're at the bottom.,00:07:40.590,00:07:43.330
"What should the cost
be at the bottom?",00:07:43.330,00:07:44.950
AUDIENCE: [INAUDIBLE].,00:07:47.436,00:07:48.352
PROFESSOR: Sorry.,00:07:51.412,00:07:52.120
We don't start with the cost.,00:07:52.120,00:07:53.230
"What should the size of the
problem be at the bottom?",00:07:53.230,00:07:55.438
"AUDIENCE: n to the
1 over 2 to the i.",00:08:00.978,00:08:03.448
"PROFESSOR: Let's
say that this is",00:08:11.015,00:08:12.390
"level h, where h is
the height of the tree.",00:08:12.390,00:08:15.080
"AUDIENCE: Don't you want to
do something like n to the 1",00:08:17.871,00:08:20.204
over n?,00:08:20.204,00:08:20.936
PROFESSOR: Yeah.,00:08:25.120,00:08:26.420
"OK, so we want something
that looks like that?",00:08:26.420,00:08:30.876
"AUDIENCE: If the recursion
tree is height i,",00:08:30.876,00:08:33.300
"it is n to the 1 over 2
to the i, but 2 to the i",00:08:33.300,00:08:35.299
"should equal n, or
approximately n.",00:08:35.299,00:08:37.267
PROFESSOR: Why?,00:08:40.835,00:08:41.459
"I like that, but why?",00:08:46.960,00:08:48.520
"AUDIENCE: Because
you need to go down",00:08:48.520,00:08:54.550
"until you're only
looking at one element,",00:08:54.550,00:08:57.690
"and that would be one
nth of the problem.",00:08:57.690,00:09:02.067
PROFESSOR: OK.,00:09:02.067,00:09:02.650
"So we want this guy
to look like what?",00:09:02.650,00:09:05.968
"In fact, it doesn't exactly
have to look like 1, but what's",00:09:15.450,00:09:17.990
"the advantage if we manage to
get this guy to look like 1?",00:09:17.990,00:09:22.417
We have a recursion.,00:09:22.417,00:09:23.250
"We don't have a base
case here, right?",00:09:23.250,00:09:25.940
"A reasonable base case
is T of 1 is theta 1.",00:09:25.940,00:09:34.780
"Whatever function that is,
if you evaluate it at 1,",00:09:34.780,00:09:37.800
"you're going to get a
constant, so you can say that.",00:09:37.800,00:09:41.640
"Now, at the same time I can
say that for any constant,",00:09:41.640,00:09:45.376
"c, T of c is theta 1.",00:09:45.376,00:09:50.660
"So if I take this constant
here, which happens to be 2,",00:09:53.180,00:09:59.410
"but that's not to
worry about that.",00:09:59.410,00:10:01.100
"If I take this guy here,
I can put it in here.",00:10:01.100,00:10:04.320
"And I know that this guy
here equals this guy here.",00:10:08.350,00:10:12.560
"So if I can make this guy
here look like this guy here,",00:10:12.560,00:10:17.210
then I'm done.,00:10:17.210,00:10:20.500
Make sense?,00:10:20.500,00:10:21.015
"If it makes sense,
everyone should nod so",00:10:23.780,00:10:25.740
"that I know and I can go
forward, or smile or something.",00:10:25.740,00:10:30.720
So this should look like 1.,00:10:30.720,00:10:32.250
This is order 1 if not 1.,00:10:32.250,00:10:35.240
"Let's make it order 1,
because it's 2 in this case.",00:10:35.240,00:10:39.250
What's the cost here?,00:10:39.250,00:10:42.495
AUDIENCE: 1.,00:10:42.495,00:10:43.410
PROFESSOR: 1.,00:10:43.410,00:10:44.230
"Everything inside the
bubbles is order of already,",00:10:44.230,00:10:47.130
"so I don't need to
write an order of.",00:10:47.130,00:10:48.913
What do we do next?,00:10:52.380,00:10:55.120
"AUDIENCE: Solve the
[INAUDIBLE] equation.",00:10:55.120,00:10:58.030
2 to the [INAUDIBLE].,00:10:58.030,00:10:59.485
"PROFESSOR: You're
skipping one step.",00:11:04.330,00:11:06.825
"That's exactly what you do
when you have the substitution",00:11:06.825,00:11:09.200
method.,00:11:09.200,00:11:09.580
"You're going to get
to something and you",00:11:09.580,00:11:10.710
need to solve the equation.,00:11:10.710,00:11:11.834
"But for the tree,
there are two steps.",00:11:11.834,00:11:14.160
"So we need to add up
all the costs here",00:11:14.160,00:11:15.990
and that's the total cost here.,00:11:15.990,00:11:18.220
"In order to do that, first,
we sum up over each level.",00:11:18.220,00:11:24.681
"And in this case,
it's really simple",00:11:24.681,00:11:26.180
"because there's only
one node per level,",00:11:26.180,00:11:27.846
"but if you have multiple
nodes per level,",00:11:27.846,00:11:29.690
"you have to sum
up for each level,",00:11:29.690,00:11:31.600
"and then you have
to do a big sum.",00:11:31.600,00:11:33.570
What's the sum for this level?,00:11:33.570,00:11:37.441
1.,00:11:37.441,00:11:37.940
"Come on, guys.",00:11:40.920,00:11:41.610
You're scaring me.,00:11:41.610,00:11:43.834
AUDIENCE: 1.,00:11:43.834,00:11:45.325
AUDIENCE: 1.,00:11:45.325,00:11:46.319
AUDIENCE: It's all 1.,00:11:46.319,00:11:47.320
PROFESSOR: Excellent.,00:11:47.320,00:11:48.564
"So the only thing
that I'm missing",00:11:48.564,00:11:49.980
"is to know how many levels I
have, because the sum is going",00:11:49.980,00:11:53.070
"to be order h, whatever h is.",00:11:53.070,00:11:58.050
How do we do that?,00:11:58.050,00:11:59.480
"n to the 1 over 2
to the power of h",00:11:59.480,00:12:02.990
"has to equal this guy, right?",00:12:02.990,00:12:07.030
"AUDIENCE: Why would
it equal that guy?",00:12:07.030,00:12:08.852
"We know it's less
than that guy, but we",00:12:08.852,00:12:11.122
"don't know it's
equal to that guy.",00:12:11.122,00:12:13.150
"PROFESSOR: We have to make
it equal because we can only",00:12:13.150,00:12:15.600
"stop when we get
to the base case.",00:12:15.600,00:12:18.300
"So we have to expand
the recursion tree",00:12:18.300,00:12:20.210
"until we get to a base
case, and then we stop,",00:12:20.210,00:12:22.570
"and this is our base
case because this",00:12:22.570,00:12:25.270
"is what the problem says
should be our base case.",00:12:25.270,00:12:27.670
"AUDIENCE: Right, but n
to the 1 over 2 to the h",00:12:27.670,00:12:29.774
"is not equal to n
to the 1 over log n.",00:12:29.774,00:12:39.172
"PROFESSOR: Well, we can set
h to be whatever we want.",00:12:39.172,00:12:41.380
"h is the height of the tree,
so we don't know what it is.",00:12:41.380,00:12:44.540
We have to find out what it is.,00:12:44.540,00:12:46.166
"AUDIENCE: So let's
say 2 to the h",00:12:46.166,00:12:47.540
"is equal to log n if you want
to make it look like that.",00:12:47.540,00:12:52.992
"PROFESSOR: Let me
write down the equation",00:12:52.992,00:12:54.700
to make sure you're right.,00:12:54.700,00:12:57.030
"You're probably right because
you're thinking faster than me,",00:12:57.030,00:13:00.010
"but let me not embarrass myself
and do this the right way.",00:13:00.010,00:13:04.136
"So you said 2 to the
h is log n, right?",00:13:09.970,00:13:14.890
Looks about right.,00:13:14.890,00:13:15.640
So what's h?,00:13:15.640,00:13:19.215
AUDIENCE: Log base 2.,00:13:19.215,00:13:21.500
PROFESSOR: All right.,00:13:21.500,00:13:23.770
Log log n.,00:13:23.770,00:13:25.410
So T of n is order h.,00:13:28.110,00:13:30.600
We got this from here.,00:13:30.600,00:13:33.950
"T of n is order h is
order of log log n.",00:13:33.950,00:13:43.510
"Math people drowning, right?",00:13:43.510,00:13:44.820
Any questions about this?,00:13:48.090,00:13:49.205
Yes?,00:13:52.260,00:13:53.493
"AUDIENCE: The first
line on the right--",00:13:53.493,00:13:55.710
PROFESSOR: This?,00:13:55.710,00:13:56.565
AUDIENCE: Yeah.,00:13:56.565,00:13:57.190
Is that your base case?,00:13:57.190,00:13:58.148
What is that?,00:13:58.148,00:13:59.214
"PROFESSOR: We got a hint
with the problem that said,",00:13:59.214,00:14:01.380
"n to the power of 1 over log
n is 2, which is order 1.",00:14:01.380,00:14:06.660
"So for the base case, we always
want them to look like this.",00:14:09.640,00:14:12.507
"If we don't get a base case,
we write our own base case,",00:14:12.507,00:14:14.840
"which is if you
plug in a constant,",00:14:14.840,00:14:16.700
you're going to get a constant.,00:14:16.700,00:14:18.950
"And since we're told that
this guy is a constant,",00:14:18.950,00:14:21.580
"that's a pretty good hint
that we want to get to it.",00:14:21.580,00:14:24.405
"Let's see how we're
doing on time.",00:14:29.994,00:14:31.410
Good.,00:14:31.410,00:14:34.080
"Ready to move on to
the next problem?",00:14:34.080,00:14:37.740
Let's do a fun one.,00:14:37.740,00:14:38.832
"Some people might remember
it from elementary school,",00:14:38.832,00:14:41.040
"but this time, we're going to
look at it with our 6.006 eyes.",00:14:41.040,00:14:44.450
"So suppose you have
m coins, gold coins.",00:14:44.450,00:14:50.850
One of them is face.,00:14:50.850,00:14:51.840
"The fake one is super light
because it's not real gold.",00:14:51.840,00:14:54.340
"It's something that
looks like gold.",00:14:54.340,00:14:57.380
"And we have a scale, and
the scale is super accurate.",00:14:57.380,00:15:03.210
"It can weigh any
coins on either side",00:15:03.210,00:15:05.950
"and tell us which
side is heavier.",00:15:05.950,00:15:08.640
"Perfect accuracy, no need
to worry about errors.",00:15:08.640,00:15:10.830
"I want to find out which
coin is the bad coin.",00:15:13.690,00:15:16.550
