text,start,stop
"The following
content is provided",00:00:00.050,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.000
"Your support will help MIT
OpenCourseWare continue",00:00:04.000,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
"PROFESSOR: It's a bit better,
my heart's back in place.",00:00:21.380,00:00:23.720
"I'm glad that not
everyone's gone.",00:00:23.720,00:00:26.812
"AUDIENCE: Well you mean passed
out and died from the test?",00:00:26.812,00:00:29.480
PROFESSOR: Yeah.,00:00:29.480,00:00:30.250
"AUDIENCE: OK, no there
were a few students left.",00:00:30.250,00:00:32.380
"PROFESSOR: That's
good, that's good.",00:00:32.380,00:00:35.400
"I think once we release the
results everyone will calm",00:00:35.400,00:00:37.650
"down, and we'll realize that
the mistake was on our part.",00:00:37.650,00:00:41.498
AUDIENCE: The mistake?,00:00:41.498,00:00:42.710
"PROFESSOR: I mean the results
are lower than what we thought.",00:00:42.710,00:00:46.120
"And it's because we
haven't covered something",00:00:46.120,00:00:48.600
that I will cover today.,00:00:48.600,00:00:51.870
"So we think-- well we
talked about it yesterday,",00:00:51.870,00:00:54.346
"and we think we haven't
done enough algorithm",00:00:54.346,00:00:56.220
design with you guys.,00:00:56.220,00:00:57.094
"So today I have
problems, and we're",00:00:57.094,00:00:59.230
going to come up with solutions.,00:00:59.230,00:01:01.870
"AUDIENCE: Are you
not going to tell us",00:01:01.870,00:01:03.453
what [INAUDIBLE] number is?,00:01:03.453,00:01:05.519
"PROFESSOR: It's in
the lecture notes.",00:01:05.519,00:01:07.060
It's actually quite boring.,00:01:07.060,00:01:09.650
I promise it's really boring.,00:01:09.650,00:01:11.080
AUDIENCE: OK.,00:01:11.080,00:01:12.004
"PROFESSOR: And if you want
to do that next time when",00:01:12.004,00:01:14.170
"we'll actually talk
about numerics.",00:01:14.170,00:01:15.780
"The thing is numerics
are straightforward.",00:01:15.780,00:01:17.150
