text,start,stop
"The following
content is provided",00:00:00.050,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
"PROFESSOR: Ok then, let's
start with problems.",00:00:21.544,00:00:23.460
"And as we find concept issues,
we'll get to concept issues.",00:00:23.460,00:00:29.414
"So, we talked about
shortest-path,",00:00:29.414,00:00:30.830
"but we talked
about shortest-path",00:00:30.830,00:00:32.390
"in a very odd way, right?",00:00:32.390,00:00:34.730
I'm a coder.,00:00:34.730,00:00:35.360
"So for me I'm used to, all right
I go to one of these lectures,",00:00:35.360,00:00:39.260
"I hear a problem, then
I get out of the lecture",00:00:39.260,00:00:41.600
"with an algorithm and
the running time, right?",00:00:41.600,00:00:44.430
"This time we got
out of the lecture",00:00:44.430,00:00:45.930
"with no algorithm
and no running time.",00:00:45.930,00:00:47.660
"So, what's the point?",00:00:47.660,00:00:49.650
"The point is that we
learned some analysis tricks",00:00:49.650,00:00:52.090
"that we can use for any
shortest-path algorithm.",00:00:52.090,00:00:55.620
"And the advantage of knowing
that-- by the way too easy",00:00:55.620,00:00:58.470
"to forget, at least until
you see the first real",00:00:58.470,00:01:00.720
"algorithms-- if you
know that, if you",00:01:00.720,00:01:02.960
"have to modify an algorithm, you
can still use the same analysis",00:01:02.960,00:01:06.589
"to prove that your new
algorithm is going to be correct",00:01:06.589,00:01:08.880
and that it's going to be fast.,00:01:08.880,00:01:11.164
"They're really
nice tools to have,",00:01:11.164,00:01:12.580
"especially if you have to
do that on a problem set",00:01:12.580,00:01:15.500
"or on an interview, or who
knows, maybe even on a quiz.",00:01:15.500,00:01:20.020
"We'll see if that
happens or not.",00:01:20.020,00:01:21.950
"We didn't talk about any
shortest-path algorithms.",00:01:21.950,00:01:24.530
"So, we're not going to assume
shortest-path algorithms.",00:01:24.530,00:01:27.130
"Instead we're going to use
them as if we had them.",00:01:27.130,00:01:32.530
"No, wait.",00:01:32.530,00:01:33.270
I don't like that.,00:01:33.270,00:01:34.181
That's kind of annoying.,00:01:34.181,00:01:35.180
Let's not do that.,00:01:35.180,00:01:36.090
Let's do something else.,00:01:36.090,00:01:37.320
"We didn't talk about the
shortest-path algorithm",00:01:37.320,00:01:39.320
in lecture.,00:01:39.320,00:01:39.820
"Let's build one right
now, how about that?",00:01:39.820,00:01:42.940
Let's turn to the graph.,00:01:42.940,00:01:45.230
"Vertices and edges, right?",00:01:45.230,00:01:46.340
"Let's see if I can
make this work.",00:01:52.820,00:01:54.430
Suppose we have a graph.,00:02:17.040,00:02:18.200
"We have V vertices, E
edges and all the edges",00:02:18.200,00:02:24.690
"have a weight
that's non-negative.",00:02:24.690,00:02:27.200
"Sorry, let's make it positive
just to make things easy.",00:02:27.200,00:02:31.290
"It's smaller than W,
so it's not too big.",00:02:31.290,00:02:35.430
And they're all integers.,00:02:35.430,00:02:38.220
Go.,00:02:38.220,00:02:38.720
"There's brute-force, OK.",00:02:44.490,00:02:46.157
"So, brute-force would mean what?",00:02:46.157,00:02:47.490
Enumerate all the paths?,00:02:47.490,00:02:49.510
OK.,00:02:49.510,00:02:50.607
"Let's go over something
a little bit better.",00:02:50.607,00:02:52.440
"Does anyone remember
the algorithm",00:02:56.200,00:02:58.820
that was taught in class?,00:02:58.820,00:03:00.850
The structure?,00:03:00.850,00:03:02.020
No.,00:03:02.020,00:03:03.670
"Klaus mentioned Dijkstra
and mentioned Bellman-Ford.",00:03:03.670,00:03:08.340
Let's write them up here.,00:03:08.340,00:03:09.490
"And they gave us
the running times,",00:03:15.110,00:03:17.100
"which we'll try to
remember in a bit.",00:03:17.100,00:03:19.250
"But, we don't know algorithms,
so no Dijkstra, no Bellman-Ford",00:03:19.250,00:03:24.160
for us.,00:03:24.160,00:03:27.000
What do we know?,00:03:27.000,00:03:29.780
Let's start with a simpler case.,00:03:29.780,00:03:31.890
"What if there are
no weights here.",00:03:31.890,00:03:33.430
"What if the graph
looked like this.",00:03:33.430,00:03:35.050
You're making my life hard.,00:03:42.460,00:03:43.600
Like this.,00:03:49.050,00:03:51.090
No costs.,00:03:51.090,00:03:51.870
"All the edges have
the same costs.",00:03:51.870,00:03:54.607
"What would we do to
solve the problem?",00:03:54.607,00:03:56.190
"Say we want the shortest
path from A to E.",00:03:58.740,00:04:06.790
AUDIENCE: BFS.,00:04:06.790,00:04:08.330
PROFESSOR: BFS.,00:04:08.330,00:04:10.400
"How's everyone
feeling about BFS?",00:04:10.400,00:04:11.800
"What does BFS do,
really quickly?",00:04:15.150,00:04:16.899
How do you run BFS?,00:04:19.579,00:04:21.080
"AUDIENCE: Take a starting
node and then you",00:04:21.080,00:04:23.103
can search all it's neighbors.,00:04:23.103,00:04:24.580
PROFESSOR: OK.,00:04:24.580,00:04:25.730
Pick a starting node.,00:04:25.730,00:04:27.590
"Then, look at its neighbors?",00:04:27.590,00:04:30.410
"AUDIENCE: And then you enter it
through each of its neighbors",00:04:30.410,00:04:33.290
"to find its neighbors
and so forth.",00:04:33.290,00:04:36.940
"PROFESSOR: Sounds an
awful lot like BFS.",00:04:36.940,00:04:39.222
"What's the difference
between them?",00:04:39.222,00:04:40.680
"AUDIENCE: Well, you go
through all of these neighbors",00:04:40.680,00:04:43.720
"before you start going
through any of it.",00:04:43.720,00:04:45.650
"I mean, you go through
all As neighbors",00:04:45.650,00:04:47.280
"before you take
a neighbor and go",00:04:47.280,00:04:48.402
through all of its neighbors.,00:04:48.402,00:04:49.700
"PROFESSOR: Ok, that's
the difference.",00:04:49.700,00:04:51.560
"And it makes a huge
difference as we've",00:04:51.560,00:04:53.250
"seen in topological
sorting last time.",00:04:53.250,00:04:55.490
"So we have a list
and we're going",00:04:55.490,00:04:57.990
"to use it to keep track of the
nodes that we need to visit.",00:04:57.990,00:05:01.070
"We start with A. We numerate
all of As neighbors.",00:05:01.070,00:05:05.460
"And the ones that
haven't been seen",00:05:05.460,00:05:08.510
"get stuck at the
end of the list.",00:05:08.510,00:05:10.580
"A, B, C. A is out of the list.",00:05:10.580,00:05:13.690
"Then we take out the first node
from the list, B in this case.",00:05:13.690,00:05:19.230
"We numerate all its neighbors,
A, C, D, E. Out of all these,",00:05:19.230,00:05:24.260
"we take the neighbors
that we haven't seen",00:05:24.260,00:05:26.075
"and we put them at
the end of the list.",00:05:26.075,00:05:27.700
"take out C, we look
at its neighbors.",00:05:32.460,00:05:34.330
We've seen them.,00:05:34.330,00:05:35.040
"We take out D, we
look at his neighbors.",00:05:35.040,00:05:36.790
We've seen them.,00:05:36.790,00:05:37.350
"We take out E, we look
at all its neighbors.",00:05:37.350,00:05:39.183
We've seen them.,00:05:39.183,00:05:40.040
So this is BFS.,00:05:40.040,00:05:43.060
BFS has this concept of levels.,00:05:43.060,00:05:44.830
"And another way to look at
levels is, if you start at A,",00:05:44.830,00:05:48.890
"and you draw a
circus of radius one,",00:05:48.890,00:05:52.670
"it's going to have all the nodes
that are distance 1 from 8.",00:05:52.670,00:05:55.561
Right?,00:05:55.561,00:05:56.060
Exactly one edge.,00:05:56.060,00:05:58.080
"Then you draw a
circus of radius 2",00:05:58.080,00:06:01.790
"and you get all the nodes that
you can reach in two edges.",00:06:01.790,00:06:06.550
"And BFS calls these
circles levels.",00:06:06.550,00:06:10.630
A is at level 0.,00:06:10.630,00:06:11.940
This is level 1.,00:06:11.940,00:06:13.590
This is level 2.,00:06:13.590,00:06:15.860
"If you look at this list and
you write down the levels,",00:06:15.860,00:06:18.710
"you have 0, 1, 1, 2, 2.",00:06:18.710,00:06:21.860
"If you had another
node out here, say F,",00:06:21.860,00:06:26.610
"this would be
discovered when we get",00:06:26.610,00:06:28.630
"to D. It would go all
the way here at the end,",00:06:28.630,00:06:33.200
and this is level 3.,00:06:33.200,00:06:34.900
"In BFS the levels are
always increasing.",00:06:34.900,00:06:38.480
"If you keep track
of parent pointers,",00:06:38.480,00:06:40.950
"the parent pointer of
a node, at some level,",00:06:40.950,00:06:43.900
"will always point to a
node at the previous level.",00:06:43.900,00:06:47.490
"So, in BFS we get the shortest
paths in terms of edge count.",00:06:47.490,00:06:51.770
Make sense?,00:06:55.310,00:06:56.240
"This is a recall, right?",00:06:56.240,00:06:57.240
It is not new stuff.,00:06:57.240,00:06:58.580
Everyone happy with it?,00:06:58.580,00:07:01.350
"If it wouldn't have
costs, we could",00:07:01.350,00:07:02.850
"use BFS to compute
shortest paths.",00:07:02.850,00:07:06.750
"But, we have costs.",00:07:06.750,00:07:09.006
How do we deal with that?,00:07:09.006,00:07:12.160
"Intuitively, I'd like to
make BFS go across this edge",00:07:12.160,00:07:15.950
"faster than it would
go across the edge.",00:07:15.950,00:07:19.260
"If I could do that, if this guy
could get stuck in the queue",00:07:19.260,00:07:21.930
"before this guy,
I would be happy.",00:07:21.930,00:07:24.750
"Intuitively, that's
what I'd like to do.",00:07:24.750,00:07:27.090
How do we do that?,00:07:27.090,00:07:29.648
AUDIENCE: Sort before adding?,00:07:29.648,00:07:32.812
PROFESSOR: Sort--,00:07:32.812,00:07:33.520
"AUDIENCE: Sort your
neighbors sorts.",00:07:33.520,00:07:35.800
PROFESSOR: Sort?,00:07:35.800,00:07:36.850
OK.,00:07:36.850,00:07:39.110
"AUDIENCE: What if you kept
track of it in a menu?",00:07:39.110,00:07:41.960
"Kept track of your queue
as a priority queue.",00:07:41.960,00:07:45.830
PROFESSOR: Congratulations.,00:07:45.830,00:07:46.955
You deserve a Turing Award.,00:07:46.955,00:07:48.300
You have discovered Dijkstra.,00:07:48.300,00:07:49.510
"OK, let's go for
something simpler.",00:07:53.240,00:07:55.410
I just say this is Dijkstra.,00:07:55.410,00:07:57.160
"We'll talk about it
in lecture on Tuesday.",00:07:57.160,00:07:59.350
Very good.,00:07:59.350,00:08:02.270
"AUDIENCE: Like, have
an adjacency list",00:08:02.270,00:08:03.932
"and, I think using what he said.",00:08:03.932,00:08:06.824
Just sort it by cost--,00:08:06.824,00:08:10.500
"PROFESSOR: OK, let's
see how this would work.",00:08:10.500,00:08:12.490
"We have A, and we're
pulling A out of the list.",00:08:12.490,00:08:18.510
"And we see its neighbors
are C and B. Right?",00:08:18.510,00:08:22.250
The distance to C is 2.,00:08:22.250,00:08:23.610
The distance to B is 4.,00:08:23.610,00:08:25.660
"So we start with
A. Does this mean",00:08:25.660,00:08:29.580
"that I'm going to
put in B before C?",00:08:29.580,00:08:32.419
"I'm going to put
in C and then B?",00:08:32.419,00:08:34.537
"AUDIENCE: No, it
doesn't really matter",00:08:34.537,00:08:36.872
"because at the end you
just sort the part.",00:08:36.872,00:08:38.740
"I guess you could
add in the costs.",00:08:38.740,00:08:41.954
"Like associate the
costs of B with 4",00:08:41.954,00:08:44.049
"and C with 2 within
your adjacency list?",00:08:44.049,00:08:48.009
"PROFESSOR: So, that's how we
would keep track of costs,",00:08:48.009,00:08:50.300
right?,00:08:50.300,00:08:50.690
One way.,00:08:50.690,00:08:51.280
"AUDIENCE: --for the
queue would be A",00:08:51.280,00:08:52.274
"and then the value would be like
a [INAUDIBLE] B and its cost,",00:08:52.274,00:08:54.857
"and the [INAUDIBLE]
C and its cost.",00:08:54.857,00:08:57.620
"PROFESSOR: So you're saying that
what I would have in this list",00:08:57.620,00:09:00.530
is B with a cost of 4?,00:09:00.530,00:09:05.020
And C with a cost of 2?,00:09:05.020,00:09:09.150
"Presumably, the other
way around, right?",00:09:09.150,00:09:12.610
C goes first?,00:09:12.610,00:09:13.265
Like This?,00:09:20.890,00:09:22.440
"And then I take out C, I explore
the neighbors so and so forth?",00:09:22.440,00:09:26.220
"The moment I did this I
already lost the battle.",00:09:26.220,00:09:28.770
"Because, see this path
A, C, B, length 3?",00:09:28.770,00:09:36.760
"If I put both of
them in the queue,",00:09:36.760,00:09:38.660
"then the parent pointers
are going to look like this.",00:09:38.660,00:09:41.700
"So, I already have a
bad path from B to A.",00:09:41.700,00:09:44.271
"AUDIENCE: OK, well don't
add that node then.",00:09:44.271,00:09:46.920
"PROFESSOR: OK, then
how do we do it?",00:09:46.920,00:09:48.755
"AUDIENCE: I guess you
can talk to each of them",00:09:48.755,00:09:52.635
"and see which one's
lower and then, only",00:09:52.635,00:09:54.490
add that one if it's the lowest.,00:09:54.490,00:09:56.850
"So it's more like
depth search then--",00:09:56.850,00:09:58.500
"PROFESSOR: Well, you two
need to talk together",00:09:58.500,00:10:00.416
"because you're getting
to Dijkstra, too.",00:10:00.416,00:10:02.530
"You're both going to
rediscover Dijkstra.",00:10:02.530,00:10:06.120
"So that's great, but I'm
looking for something simple.",00:10:06.120,00:10:09.370
This is too complicated.,00:10:09.370,00:10:10.940
"If you're going to
do Dijkstra now, then",00:10:10.940,00:10:12.740
"what are going to do
on lecture on Tuesday?",00:10:12.740,00:10:14.697
"AUDIENCE: More
Dijkstra problems?",00:10:14.697,00:10:17.557
"PROFESSOR: Well, I think Shreeny
wants to talk about Dijkstra,",00:10:17.557,00:10:20.140
so let's not get there.,00:10:20.140,00:10:21.280
"AUDIENCE: How do you do
this without doing Dijkstra?",00:10:21.280,00:10:24.514
PROFESSOR: Good.,00:10:24.514,00:10:25.180
"That's exactly what
I want to know.",00:10:25.180,00:10:27.150
[LAUGHTER],00:10:27.150,00:10:29.970
"So, let me give
you another hint.",00:10:29.970,00:10:31.791
"The first hint was that I
want to go through this edge",00:10:31.791,00:10:34.040
"faster than I would
go through this edge.",00:10:34.040,00:10:36.380
"The other hint is that we're
allowed to change the graph.",00:10:36.380,00:10:40.744
"AUDIENCE: Is this what we
talked about in lecture,",00:10:40.744,00:10:43.380
"or are we thinking
of something else?",00:10:43.380,00:10:46.491
"PROFESSOR: He might
have talked about that",00:10:46.491,00:10:48.240
at the end of lecture.,00:10:48.240,00:10:51.610
"AUDIENCE: Were you
putting the current weight",00:10:51.610,00:10:54.960
"for each node
inside the circles?",00:10:54.960,00:10:58.390
PROFESSOR: No.,00:10:58.390,00:11:01.330
"AUDIENCE: You could
add it and then",00:11:01.330,00:11:02.800
"if you could find
a better path to B?",00:11:02.800,00:11:05.740
"With rows relative
to A, then you",00:11:05.740,00:11:07.620
could just delete that path?,00:11:07.620,00:11:09.500
And B to 4?,00:11:09.500,00:11:10.626
"So at the beginning you
add them all, but then--",00:11:10.626,00:11:12.626
"PROFESSOR: You're risking to
have exponential running time.",00:11:12.626,00:11:15.312
AUDIENCE: (LAUGHS),00:11:15.312,00:11:18.357
"PROFESSOR: Those are
all valid optimizations",00:11:18.357,00:11:20.190
under some constraints.,00:11:20.190,00:11:21.570
"Like, this one's good if you
don't have too much memory,",00:11:21.570,00:11:24.250
but the time goes up.,00:11:24.250,00:11:27.730
"I want my graph to have
edges with no costs,",00:11:27.730,00:11:30.810
"because if I have costs,
this is not going to work.",00:11:30.810,00:11:34.250
BFS is not going to work.,00:11:34.250,00:11:36.950
We can't tweak it.,00:11:36.950,00:11:37.700
"If you could tweak it then that
would be another Turing Award.",00:11:37.700,00:11:41.110
"AUDIENCE: So,
create dummy nodes?",00:11:41.110,00:11:42.561
PROFESSOR: Create dummy nodes.,00:11:42.561,00:11:43.810
How do I do that?,00:11:43.810,00:11:46.930
"AUDIENCE:Put a band of
node in between A and C?",00:11:46.930,00:11:49.780
PROFESSOR: OK.,00:11:49.780,00:11:50.480
Why am I doing this?,00:11:50.480,00:11:51.390
"So now I have two edges
and they have costs.",00:11:56.510,00:11:59.710
AUDIENCE: One.,00:11:59.710,00:12:00.600
"Then you put three nodes
in between A and B.",00:12:00.600,00:12:03.092
PROFESSOR: OK.,00:12:03.092,00:12:03.675
"And now here I have
four edges, right?",00:12:07.120,00:12:10.980
"1, 1, 1, 1.",00:12:10.980,00:12:12.990
"There was a 4 here before and
there was a 2 here before.",00:12:12.990,00:12:17.990
"Do you guys see
what's happening?",00:12:17.990,00:12:20.040
"So, instead of one edge
of cost C, I have C edges.",00:12:20.040,00:12:24.520
"So, now BFS is going to take C
steps to go through that edge.",00:12:24.520,00:12:31.010
"And all the edges now
have the same cost.",00:12:31.010,00:12:33.230
"This looks like a problem
that BFS can solve.",00:12:33.230,00:12:35.275
We know it can solve.,00:12:35.275,00:12:36.150
We proved that it can solve it.,00:12:36.150,00:12:37.930
"Well, CLRS did.",00:12:37.930,00:12:39.260
"We take their word
for granted, sort of.",00:12:39.260,00:12:41.140
This works right?,00:12:45.140,00:12:46.977
Is everyone happy with it?,00:12:46.977,00:12:48.060
Does it make sense?,00:12:48.060,00:12:49.770
"AUDIENCE: So basically,
we get through C",00:12:49.770,00:12:55.160
"before you'll get to
B on the other path.",00:12:55.160,00:12:57.250
PROFESSOR: Yep.,00:12:57.250,00:12:58.000
"This is the path of
length 3, so this node",00:12:58.000,00:13:00.230
"is going to get in
the queue first.",00:13:00.230,00:13:02.730
Then this node.,00:13:02.730,00:13:03.610
Then these two nodes.,00:13:03.610,00:13:04.980
"And they're going to
get in the queue from C.",00:13:04.980,00:13:09.970
Let's see what happened here.,00:13:09.970,00:13:12.620
"This is really
important because this",00:13:12.620,00:13:14.440
"is what you're going to
be doing in real life.",00:13:14.440,00:13:17.170
"Chances of having to
build a new algorithm?",00:13:17.170,00:13:20.000
Kind of slim.,00:13:20.000,00:13:20.700
Why don't you want to do that?,00:13:20.700,00:13:22.250
"Say you take Dijkstra and
you tweak it a little bit.",00:13:22.250,00:13:25.240
"If you did that, you have
to go through the analysis",00:13:25.240,00:13:27.910
"and prove the
running time again,",00:13:27.910,00:13:29.320
prove the correctness again.,00:13:29.320,00:13:30.800
"Time-consuming, error-prone,
it's really hard.",00:13:30.800,00:13:35.090
"However, what happened
here is that we",00:13:35.090,00:13:37.380
"have some problem
that we want to solve.",00:13:37.380,00:13:39.880
