text,start,stop
"The following
content is provided",00:00:00.060,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.226
at ocw.mit.edu.,00:00:17.226,00:00:17.851
PROFESSOR: OK.,00:00:20.907,00:00:21.490
So who's going lecture?,00:00:21.490,00:00:25.020
Good.,00:00:25.020,00:00:27.290
Does everything makes sense?,00:00:27.290,00:00:29.905
AUDIENCE: Mostly.,00:00:29.905,00:00:31.252
"PROFESSOR: That's good, because
we're going to do problems.",00:00:31.252,00:00:33.710
AUDIENCE: Awesome.,00:00:33.710,00:00:34.460
"PROFESSOR: So, what I want
to talk about is, first,",00:00:34.460,00:00:37.240
"there's a subtlety in the
Rubik's cube problem, which I'm",00:00:37.240,00:00:39.750
"guessing nobody has seen yet,
but we're going to talk about",00:00:39.750,00:00:42.462
"it anyway, because otherwise
you'll trip on it while you're",00:00:42.462,00:00:44.920
doing the problem.,00:00:44.920,00:00:46.340
"And then we're going to
talk about one or maybe two",00:00:46.340,00:00:48.780
problems.,00:00:48.780,00:00:49.380
"And I'm excited about
the problem titled,",00:00:49.380,00:00:51.474
"""there's StarCraft
and counter strikes,""",00:00:51.474,00:00:53.140
"so, let's hope we get to them.",00:00:53.140,00:00:55.050
"AUDIENCE: I'm curious, did you
write this week's problem set?",00:00:57.960,00:01:00.600
"Because there's some
Chinese in there.",00:01:00.600,00:01:02.630
PROFESSOR: No.,00:01:02.630,00:01:03.260
"AUDIENCE: Oh, OK.",00:01:03.260,00:01:03.968
"PROFESSOR: No,
someone else wrote it.",00:01:03.968,00:01:06.580
"I suggested putting
that in there, though.",00:01:06.580,00:01:08.675
"AUDIENCE: You had an
awesome internship, right?",00:01:11.675,00:01:13.857
[INAUDIBLE],00:01:13.857,00:01:14.811
"AUDIENCE: Wait, did you make all
the AMD [INAUDIBLE] questions?",00:01:14.811,00:01:17.767
PROFESSOR:Of course.,00:01:17.767,00:01:18.600
That's my stuff.,00:01:18.600,00:01:19.266
OK.,00:01:22.531,00:01:23.030
So Rubik's cubes.,00:01:23.030,00:01:25.280
"Did everyone see a 2
by 2 by 2 Rubik's cube?",00:01:25.280,00:01:27.319
"You guys are going
to lecture, right?",00:01:27.319,00:01:28.860
You have one.,00:01:28.860,00:01:29.700
Yeah.,00:01:29.700,00:01:31.240
"Did you guys see Eric's
2 by 2 by 2 Rubik's cube?",00:01:31.240,00:01:34.210
It looks sort of like this.,00:01:36.830,00:01:37.960
"All right, so big
Rubik's cube has how many",00:01:48.140,00:01:51.230
small cubelets in it?,00:01:51.230,00:01:53.319
AUDIENCE: 80.,00:01:53.319,00:01:53.860
AUDIENCE: 80.,00:01:53.860,00:01:55.820
"AUDIENCE: I like cubelets
better than cubies.",00:01:55.820,00:01:58.270
Cubies is hard to say.,00:01:58.270,00:01:59.687
"PROFESSOR: Yeah, I
would say cubicles.",00:01:59.687,00:02:01.270
"So let's go for--
let's try cubelets",00:02:01.270,00:02:03.260
and see how this works.,00:02:03.260,00:02:05.410
OK.,00:02:05.410,00:02:06.410
"So each cubelet has six
faces, but three faces",00:02:06.410,00:02:11.750
are always facing inwards.,00:02:11.750,00:02:13.460
"They're always attached
to the center of the cube.",00:02:13.460,00:02:15.960
So we don't care about them.,00:02:15.960,00:02:17.810
"We only care about
the other three faces.",00:02:17.810,00:02:19.760
"So if you have a
plastic Rubik's cube.",00:02:19.760,00:02:22.060
"Say this is a plastic--
This is a plastic cube.",00:02:22.060,00:02:27.360
"Then you're going to have
eight plastic cubelets.",00:02:27.360,00:02:30.870
"Each cubelet has
three colored faces",00:02:30.870,00:02:32.722
"and three faces that
we don't care about.",00:02:32.722,00:02:34.430
"So how many total plastic
faces in a cubelet, sorry,",00:02:38.440,00:02:42.020
plastic cube?,00:02:42.020,00:02:44.728
"AUDIENCE: Twenty-four.
[INAUDIBLE]",00:02:44.728,00:02:46.144
PROFESSOR: All right.,00:02:50.975,00:02:51.850
"Now let's play with
an imaginary cube.",00:02:51.850,00:02:54.010
"And I call this
a wireframe cube,",00:02:54.010,00:02:56.224
because I draw it like this.,00:02:56.224,00:02:57.390
"So, here pretend you have the
skeleton of a Rubik's cube,",00:03:11.800,00:03:14.460
"made out of wires or out
of wood or something.",00:03:14.460,00:03:17.510
"So it's basically a small sheet
of wood, small piece of wood,",00:03:17.510,00:03:22.130
"small sheet of wood,
so on and so forth.",00:03:22.130,00:03:24.200
"And so this doesn't
have any colors in it,",00:03:24.200,00:03:28.310
"but it's the right shape
and sort of the right look.",00:03:28.310,00:03:32.700
"So the way you would build
the configuration is,",00:03:32.700,00:03:35.440
"you take 24 plastic faces that
you get from a plastic cube,",00:03:35.440,00:03:41.050
"and you paste them one
by one onto the faces",00:03:41.050,00:03:45.590
of a wireframe cube.,00:03:45.590,00:03:47.430
"And they claim that this
can build any configuration",00:03:47.430,00:03:50.200
that you can think about.,00:03:50.200,00:03:53.570
"If you look at a cube, after
no matter how many moves",00:03:53.570,00:03:56.110
"you've done to it,
it's going to have",00:03:56.110,00:03:58.750
"some-- it's going to have
the faces somewhere, right?",00:03:58.750,00:04:01.420
"So you can take the
faces and face them",00:04:01.420,00:04:03.275
"where they belong
and there you go.",00:04:03.275,00:04:05.250
"You have a real cube
built out of a wireframe",00:04:05.250,00:04:07.560
and plastic faces.,00:04:07.560,00:04:08.570
"How many wireframe
faces there are?",00:04:16.810,00:04:19.630
Please don't get this wrong.,00:04:19.630,00:04:21.864
AUDIENCE: Twenty-four.,00:04:21.864,00:04:22.780
PROFESSOR: OK.,00:04:22.780,00:04:25.107
"AUDIENCE: There are
some configurations",00:04:25.107,00:04:26.732
"that aren't possible, right?",00:04:26.732,00:04:28.807
PROFESSOR: OK.,00:04:28.807,00:04:29.390
"There are some configurations
that aren't possible,",00:04:29.390,00:04:31.400
and that is very good news.,00:04:31.400,00:04:32.590
We'll get to that later.,00:04:32.590,00:04:33.640
"Let's see how the code
talks about these faces.",00:04:41.830,00:04:46.060
"So suppose we have a cubelet
that has these faces.",00:04:46.060,00:04:49.720
"Front faces yellow, this face is
blue, and this face is orange.",00:04:49.720,00:04:56.740
"This facing code is called--
so this yellow face here",00:04:56.740,00:05:01.580
is called y o b.,00:05:01.580,00:05:06.520
"So y is yellow, that's
the yellow face,",00:05:06.520,00:05:08.972
"and is the yellow
facing the cubelet that",00:05:08.972,00:05:11.110
"has a yellow face, an orange
face, and a blue face.",00:05:11.110,00:05:14.880
"Fortunately, there
aren't two cubelets",00:05:14.880,00:05:17.010
"that have the same face
color, so this is good enough",00:05:17.010,00:05:20.180
"to distinguish
between all of them.",00:05:20.180,00:05:22.599
"Let's see if you guys
are paying attention.",00:05:22.599,00:05:24.390
How would I call this face?,00:05:24.390,00:05:27.330
AUDIENCE: o y b?,00:05:32.674,00:05:33.340
PROFESSOR: Yeah.,00:05:37.914,00:05:38.580
"Either that or o b y, whichever
one the code happens to use.",00:05:38.580,00:05:43.670
"So the principal is,
these are the colors",00:05:43.670,00:05:45.810
"and the first one is the
face that you're pointing at.",00:05:45.810,00:05:49.960
"So there are 24
plastic faces, so there",00:05:49.960,00:05:53.310
"are 24 names for
these plastic faces.",00:05:53.310,00:05:55.960
"Let's see how we name
the wireframe faces.",00:05:55.960,00:05:57.825
"If I take this face-- so
we don't have colors here,",00:06:01.650,00:06:07.570
they're all the same.,00:06:07.570,00:06:08.450
"So instead we care
about their position.",00:06:08.450,00:06:11.550
"A cube has a front
and a back, right?",00:06:11.550,00:06:14.650
