text,start,stop
"The following
content is provided",00:00:00.080,00:00:01.800
"under a Creative
Commons license.",00:00:01.800,00:00:04.040
"Your support will help MIT
OpenCourseWare continue",00:00:04.040,00:00:06.880
"to offer high quality
educational resources for free.",00:00:06.880,00:00:10.740
"To make a donation or
view additional materials",00:00:10.740,00:00:13.360
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.360,00:00:17.237
at ocw.mit.edu.,00:00:17.237,00:00:17.862
"PROFESSOR: So you
guys might have heard,",00:00:20.794,00:00:22.460
we have a quiz tomorrow.,00:00:22.460,00:00:24.590
"So we're going to do
a review for that.",00:00:24.590,00:00:26.880
Did everyone turn in P set six?,00:00:26.880,00:00:29.690
Yes?,00:00:29.690,00:00:30.200
Good.,00:00:30.200,00:00:30.900
"All right, so
what's on this quiz?",00:00:30.900,00:00:34.060
Numerics and graph stuff.,00:00:34.060,00:00:37.470
"So are there any
specific pain points?",00:00:37.470,00:00:39.920
I have problems prepared.,00:00:39.920,00:00:41.065
"Now, and then at
8:00 PM is going",00:00:41.065,00:00:42.750
"to be a review
session for concepts.",00:00:42.750,00:00:44.700
"So now problems, 8:00 PM
concepts, tomorrow [? Yakim ?]",00:00:44.700,00:00:47.660
"has office hours at
5:00 PM, conveniently",00:00:47.660,00:00:50.580
placed before the quiz.,00:00:50.580,00:00:51.700
Poor guy.,00:00:51.700,00:00:52.360
So take advantage of that.,00:00:52.360,00:00:55.230
So yeah.,00:00:55.230,00:00:56.085
"AUDIENCE: Numerics, on
P set we were mostly",00:00:56.085,00:00:59.460
"asked-- you said five,
four, whichever came before.",00:00:59.460,00:01:02.140
"You mostly asked for the running
times and things like that.",00:01:02.140,00:01:05.140
"But the numeric lecture
notes are kind of detailed",00:01:05.140,00:01:08.570
"and go into Newtonian
method and all that.",00:01:08.570,00:01:13.320
"How much detail do
we need to know?",00:01:13.320,00:01:15.750
"PROFESSOR: So on the P set
we make your life easier",00:01:15.750,00:01:18.130
"by giving you the
pseudocode of the code",00:01:18.130,00:01:20.800
that you needed to implement.,00:01:20.800,00:01:23.040
"And we ask you one
algorithm design question,",00:01:23.040,00:01:26.380
"the problem of
finding the k-th root.",00:01:26.380,00:01:28.620
"And that required
you to understand",00:01:28.620,00:01:30.820
"almost everything
that was going on.",00:01:30.820,00:01:32.760
"We'll want you to understand
things that are going on",00:01:32.760,00:01:35.410
"to come up with something fairly
similar to what you've seen.",00:01:35.410,00:01:39.951
"So yeah, I know
that I told you guys",00:01:39.951,00:01:41.450
before that ignore numerics.,00:01:41.450,00:01:42.777
"Just close your eyes and
pretend it didn't happen.",00:01:42.777,00:01:44.860
"Actually it turns out there's a
significant amount of numerics",00:01:44.860,00:01:47.950
on the quiz.,00:01:47.950,00:01:48.450
"So we're going to start
with a numerics problem,",00:01:48.450,00:01:50.450
and go through it.,00:01:50.450,00:01:51.770
I'm really sorry about that.,00:01:51.770,00:01:53.500
"Clearly I didn't have
my way for this, right?",00:01:53.500,00:01:55.850
"OK so we started two
big things in numerics.",00:01:55.850,00:02:00.090
"Karatsuba, which is
really easy compared",00:02:00.090,00:02:02.470
"to Newton which requires
a lot of understanding.",00:02:02.470,00:02:07.230
"So we're going to spend
our time on Newton today.",00:02:07.230,00:02:11.200
"OK, so anything aside from that?",00:02:11.200,00:02:12.990
Yes.,00:02:12.990,00:02:13.813
"AUDIENCE: The thing we
were just talking about",00:02:13.813,00:02:15.729
"before you were here
was what kind of edges",00:02:15.729,00:02:17.757
"are produced by depth
first search versus breadth",00:02:17.757,00:02:21.160
first search?,00:02:21.160,00:02:21.701
"AUDIENCE: And why
do they matter?",00:02:21.701,00:02:23.334
"PROFESSOR: And why
do they matter.",00:02:23.334,00:02:24.750
OK.,00:02:24.750,00:02:24.950
"AUDIENCE: Because it's probably
going to be a question on the--",00:02:24.950,00:02:26.010
"PROFESSOR: So I'm going to
go on this very quickly now,",00:02:26.010,00:02:28.830
"because I want to
cover problems,",00:02:28.830,00:02:30.290
