text,start,stop
"The following
content is provided",00:00:00.090,00:00:01.800
"under a Creative
Commons license.",00:00:01.800,00:00:04.030
"Your support will help MIT
OpenCourseWare continue",00:00:04.030,00:00:06.880
"to offer high quality
educational resources for free.",00:00:06.880,00:00:10.740
"To make a donation, or
view additional materials",00:00:10.740,00:00:13.360
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.360,00:00:17.237
at ocw.mit.edu.,00:00:17.237,00:00:17.862
"PROFESSOR: OK, so
up until now, we've",00:00:21.349,00:00:22.890
"been talking about the
shortest path in graphs.",00:00:22.890,00:00:26.371
"And we've been talking
about these game problems",00:00:26.371,00:00:28.370
"where you came up with a way to
represent the state of a game",00:00:28.370,00:00:34.260
as noting graphs.,00:00:34.260,00:00:35.240
"And then we drew edges between
those vertices that represented",00:00:35.240,00:00:39.400
"states, to represent moves
that you can do in a game.",00:00:39.400,00:00:42.210
"It turns out you can solve
a lot of problems this way.",00:00:42.210,00:00:44.500
"And you can do it without
thinking of a graph at all.",00:00:44.500,00:00:47.650
"So we usually think of a
graph, build the graph,",00:00:47.650,00:00:50.482
then run dynamic programming.,00:00:50.482,00:00:51.690
"You can do better without
building the graph.",00:00:51.690,00:00:54.550
"And the good part about that
is that your code is smaller,",00:00:54.550,00:00:59.260
and it runs faster.,00:00:59.260,00:01:00.630
"The bad part about that is
it's harder to understand.",00:01:00.630,00:01:03.510
"The dynamic programming
code looks like black magic.",00:01:03.510,00:01:06.260
"And, when we're going to
give you dynamic programming",00:01:06.260,00:01:09.420
"problems on the final,
you can't say, oh,",00:01:09.420,00:01:11.129
"we're going to build something
and run [? dystring ?].",00:01:11.129,00:01:13.378
And get partial credit.,00:01:13.378,00:01:14.460
"You actually have to
understand the magic,",00:01:14.460,00:01:16.970
"and write the formulas,
and hopefully get",00:01:16.970,00:01:21.360
something that works.,00:01:21.360,00:01:22.790
"So, we're going to spend all
the time that we have left",00:01:22.790,00:01:26.090
"in the semester, I
think, building up",00:01:26.090,00:01:27.640
"your intuition for how to
build dynamic programming.",00:01:27.640,00:01:30.360
"So, from lecture,
dynamic programming",00:01:30.360,00:01:32.040
"is just a catchy name for
for optimization problems.",00:01:32.040,00:01:37.659
"So, problems where
you're trying to compute",00:01:37.659,00:01:39.450
"the minimum or the
maximum of something.",00:01:39.450,00:01:42.740
So let's start with a problem.,00:01:42.740,00:01:44.140
"And then, see how all
the concepts in lecture",00:01:44.140,00:01:46.190
relate to that.,00:01:46.190,00:01:47.290
"So this problem is
called Crazy Eights.",00:01:47.290,00:01:49.650
"And we start out with a deck
of cards, randomly shuffled.",00:01:49.650,00:01:55.030
"And then some of the
cards are pulled out.",00:01:55.030,00:01:57.310
Did everyone see playing cards?,00:01:57.310,00:01:59.050
Poker cards?,00:01:59.050,00:02:00.520
"Does everyone know what they
are or do I have to define them?",00:02:00.520,00:02:04.420
"Does anyone need me
to define poker cards?",00:02:04.420,00:02:06.740
Let's put it that way.,00:02:06.740,00:02:08.210
OK.,00:02:08.210,00:02:08.740
Cool.,00:02:08.740,00:02:10.639
"So, suppose we have
a bunch of these.",00:02:10.639,00:02:13.270
"AUDIENCE: I don't know
what Crazy Eights is.",00:02:17.086,00:02:19.112
PROFESSOR: We'll get to that.,00:02:19.112,00:02:20.320
AUDIENCE: OK.,00:02:20.320,00:02:21.450
It's an 8.,00:02:21.450,00:02:22.384
"AUDIENCE: I know
what an 8 is, but I",00:02:22.384,00:02:23.884
don't know how the game works.,00:02:23.884,00:02:24.880
PROFESSOR: OK.,00:02:24.880,00:02:25.140
We'll get to it.,00:02:25.140,00:02:25.930
"So, let's see.",00:02:25.930,00:02:28.000
4 of spades.,00:02:31.010,00:02:31.880
"OK, so this is a
bunch of cards that",00:02:55.250,00:02:58.354
were pulled out of the deck.,00:02:58.354,00:02:59.520
"And we want the longest
crazy subsequence.",00:02:59.520,00:03:03.660
"And the crazy subsequence
is a subsequence",00:03:03.660,00:03:05.670
"where two cards are
like each other.",00:03:05.670,00:03:09.090
"The way we define like
is that either they",00:03:09.090,00:03:13.370
have the same number.,00:03:13.370,00:03:16.370
Or they have the same suit.,00:03:16.370,00:03:19.480
Or one of them is an 8.,00:03:19.480,00:03:21.700
So an 8 is like anything else.,00:03:21.700,00:03:23.700
OK.,00:03:31.160,00:03:31.660
So 4 and 8.,00:03:31.660,00:03:32.650
Are they like each other?,00:03:32.650,00:03:35.172
AUDIENCE: Yes.,00:03:35.172,00:03:37.960
PROFESSOR: 8 and 5.,00:03:37.960,00:03:39.610
Are they like each other?,00:03:39.610,00:03:41.055
AUDIENCE: Yep.,00:03:41.055,00:03:43.677
PROFESSOR: OK.,00:03:43.677,00:03:44.260
"this 5, 5 of hearts
and 9 of diamonds.",00:03:47.780,00:03:50.470
Are they like each other?,00:03:50.470,00:03:52.210
No.,00:03:52.210,00:03:53.610
5 of hearts and 7 of hearts.,00:03:53.610,00:03:56.649
Are they like each other?,00:03:56.649,00:03:57.690
AUDIENCE: Yes.,00:03:57.690,00:04:00.200
"PROFESSOR: 5 of spades and 7
of hearts, like each other?",00:04:00.200,00:04:03.000
No.,00:04:03.000,00:04:03.500
OK.,00:04:03.500,00:04:04.330
"So we have some cards
that are like each other.",00:04:04.330,00:04:06.600
"We want the longest
possible subsequence.",00:04:06.600,00:04:09.850
AUDIENCE: What about 5 and 5?,00:04:09.850,00:04:11.058
Those are like each other.,00:04:11.058,00:04:12.240
"PROFESSOR: They're
like each other, yep.",00:04:12.240,00:04:15.064
"They are more cards that are
like each other than the ones",00:04:15.064,00:04:17.480
I drew here.,00:04:17.480,00:04:18.070
"For example, this guy
is like everything else.",00:04:18.070,00:04:24.263
