text,start,stop
"The following content is
provided under a Creative",00:00:00.070,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.236
at ocw.mit.edu.,00:00:17.236,00:00:17.861
"PROFESSOR: So this
is a 2-3 tree.",00:00:22.776,00:00:24.150
"So as you can see, every node
has-- so the 2-3 is either",00:00:24.150,00:00:27.340
two children or three children.,00:00:27.340,00:00:28.840
"Every node can have either
one key or two keys.",00:00:28.840,00:00:31.350
"And the correlation
is that every--",00:00:31.350,00:00:34.665
"so if there are n keys in a
node, it has n plus 1 children.",00:00:34.665,00:00:37.610
"So the way that works is
similar to binary search trees.",00:00:37.610,00:00:41.740
"So if you have value here, the
two children surrounding it--",00:00:41.740,00:00:46.350
"so this side is less,
this side is more.",00:00:46.350,00:00:48.850
"So it's essentially sort of
going in order reversal, left",00:00:48.850,00:00:53.010
"child, root, right child.",00:00:53.010,00:00:54.830
"So [INAUDIBLE], it's ordered.",00:00:54.830,00:00:56.440
"So generally a B tree
will have some nodes.",00:00:56.440,00:01:04.010
"So let's say n and
n plus 1 children.",00:01:04.010,00:01:10.610
"And if you take
anything in the middle,",00:01:16.920,00:01:20.130
"look at the two children,
all the keys in this sub-tree",00:01:20.130,00:01:23.260
"are smaller than the key
here, and all the keys",00:01:23.260,00:01:26.360
"in this sub-tree are
larger than the key here.",00:01:26.360,00:01:28.680
So that's the general node.,00:01:28.680,00:01:30.320
"So before we go
into more details",00:01:30.320,00:01:34.570
"of the properties
and everything,",00:01:34.570,00:01:36.520
the question is why use B-trees.,00:01:36.520,00:01:39.330
"So if we do a quick
depth analysis,",00:01:39.330,00:01:42.380
"we can see that the
depth is to log n rate.",00:01:42.380,00:01:44.760
"Is that clear to everyone sort
of, why the depth is log n?",00:01:44.760,00:01:48.630
"Because you have branching just
like in binary search trees.",00:01:48.630,00:01:52.025
"In fact, you have
more branching.",00:01:52.025,00:01:53.860
"But in any case,
depth is to log n.",00:01:53.860,00:01:56.020
"But why use B-trees over
binary search trees?",00:01:56.020,00:02:00.260
"Anyone have a
reason why you would",00:02:00.260,00:02:04.920
prefer to use B-trees or not?,00:02:04.920,00:02:07.500
"So all the operations
are still log n.",00:02:07.500,00:02:11.370
Any guesses?,00:02:11.370,00:02:11.910
None.,00:02:16.140,00:02:17.080
OK.,00:02:17.080,00:02:18.500
"Well, OK, the reason
is memory hierarchy.",00:02:18.500,00:02:22.240
"So normally in
[INAUDIBLE], we just",00:02:22.240,00:02:24.340
"assume that the computer
has access to memory,",00:02:24.340,00:02:27.320
"and you can just pick up things
from disk and constant time",00:02:27.320,00:02:30.150
"and do your operations with
it, and you don't worry",00:02:30.150,00:02:32.890
about caches and everything.,00:02:32.890,00:02:34.294
"But that's not how
computers work.",00:02:34.294,00:02:35.710
"So in a computer, you
have-- so those of you",00:02:35.710,00:02:37.692
"who have taken some
computer architecture",00:02:37.692,00:02:39.400
"class [INAUDIBLE] or something,
you will know that hierarchy.",00:02:39.400,00:02:42.730
"So there's a CPU-- so
let's draw it somewhere.",00:02:42.730,00:02:46.570
So you have your CPU.,00:02:46.570,00:02:48.020
"And [INAUDIBLE] CPU,
you have some registers.",00:02:48.020,00:02:50.570
"You have your caches,
L1, L2, L3, whatever.",00:02:50.570,00:02:52.930
You have your RAM.,00:02:52.930,00:02:54.080
You have disk after that.,00:02:54.080,00:02:55.610
"So disk [? loads. ?] Then
you have your, I don't know,",00:02:55.610,00:02:57.860
"your cloud, whatever.",00:02:57.860,00:02:59.090
"So each level, your
memory size grows",00:02:59.090,00:03:01.130
"and your access
time grows as well.",00:03:01.130,00:03:04.430
"So in the basic memory
hierarchy model,",00:03:04.430,00:03:07.650
"we have just two levels
of hierarchy, let's say.",00:03:07.650,00:03:11.930
"So you have cache connected
by a high bandwidth channel",00:03:11.930,00:03:16.370
"to the CPU, and you have a
low bandwidth channel to disk.",00:03:16.370,00:03:19.370
"So the difference
is-- so essentially",00:03:23.040,00:03:25.754
"you can consider that cache
just has infinite speed.",00:03:25.754,00:03:27.920
"Cache, just like,
whatever you can take it.",00:03:27.920,00:03:29.790
"You don't have any cost for
bringing in stuff from cache.",00:03:29.790,00:03:32.790
But it's finite size.,00:03:32.790,00:03:34.680
"So the way cache works is it
has a bunch of words, which",00:03:34.680,00:03:37.560
is a finite number of words.,00:03:37.560,00:03:38.740
"So each word has size B, and
let's say you have m words.",00:03:38.740,00:03:44.915
"However, hard disk is just,
let's say, infinite memory,",00:03:47.610,00:03:51.340
"but it has some cost
associated to accessing things.",00:03:51.340,00:03:56.130
"Also when you access
things from hard disk,",00:03:56.130,00:03:58.580
you copy them into cache.,00:03:58.580,00:03:59.630
"When you copy a block of
size b, you take it up",00:03:59.630,00:04:01.990
"from the hard disk,
and you take a block,",00:04:01.990,00:04:04.800
and you put it into cache.,00:04:04.800,00:04:05.920
"And you have to get rid of
something because it's fine.",00:04:05.920,00:04:08.510
"So what you want to do
is you want to utilize",00:04:08.510,00:04:11.460
that b block efficiently.,00:04:11.460,00:04:14.010
"You just want to bring
a b block every time",00:04:14.010,00:04:16.459
you want to access a new node.,00:04:16.459,00:04:18.170
"In a binary search tree,
normal operations are what?",00:04:18.170,00:04:21.170
"You start in the root
and go to a node.",00:04:21.170,00:04:25.520
"But that's not very easily
correlated with this.",00:04:25.520,00:04:27.880
Right?,00:04:27.880,00:04:28.380
"So if you want to
utilize an entire block,",00:04:28.380,00:04:30.779
"you would want something like
a block which sort of goes down",00:04:30.779,00:04:33.320
the tree.,00:04:33.320,00:04:35.709
"But that's not how
binary trees are stored.",00:04:35.709,00:04:37.500
"Binary trees are
stored this way.",00:04:37.500,00:04:41.450
"So that's the nice
thing about B-trees.",00:04:41.450,00:04:43.660
So this is just a 2-3 tree.,00:04:43.660,00:04:45.452
This is not a general B-tree.,00:04:45.452,00:04:46.660
"A general B-tree will
have a bunch of nodes,",00:04:46.660,00:04:48.840
and we'll come to that number.,00:04:48.840,00:04:50.690
"But generally you want to make
that number of nodes something",00:04:50.690,00:04:53.610
like the cache-- what is it?,00:04:53.610,00:04:57.380
The word size in the cache.,00:04:57.380,00:04:58.910
"So once you do that, you can
get an entire node from disk,",00:04:58.910,00:05:02.860
"like work on that, and then
get another [INAUDIBLE],",00:05:02.860,00:05:05.950
so your height is reduced.,00:05:05.950,00:05:07.629
"And you can do your
operation much quicker,",00:05:07.629,00:05:09.420
"because you're not accessing
disk every time you're",00:05:09.420,00:05:12.940
going down a level.,00:05:12.940,00:05:15.060
Sorry.,00:05:15.060,00:05:15.560
"You are accessing disk every
time you go down a level,",00:05:15.560,00:05:17.930
"but you're utilizing
the whole block",00:05:17.930,00:05:20.490
when you're accessing disk.,00:05:20.490,00:05:22.226
Good?,00:05:22.226,00:05:23.100
Sort of make sense?,00:05:23.100,00:05:25.180
OK.,00:05:25.180,00:05:27.370
"So let's write down the
specifications for B-trees now.",00:05:27.370,00:05:31.460
All right.,00:05:34.352,00:05:35.316
So number of children.,00:05:40.620,00:05:43.460
"So first of all, a
B-tree has something",00:05:50.090,00:05:52.510
called a branching factor.,00:05:52.510,00:05:54.960
"So in the 2-3 tree, the
branching factor is two.",00:05:54.960,00:05:58.567
"So what that means is
simply that it just balances",00:05:58.567,00:06:00.650
the number of children.,00:06:00.650,00:06:01.608
"So the number of children has to
be greater than or equal to 2.",00:06:01.608,00:06:04.460
Other than the root node.,00:06:04.460,00:06:05.690
"The root node can have
less than B children.",00:06:05.690,00:06:07.970
It's fine.,00:06:07.970,00:06:09.200
