text,start,stop
"The following
content is provided",00:00:00.080,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
"VICTOR COSTAN: So I'm excited
about today's recitation,",00:00:20.749,00:00:23.040
"because if I do this
right and you guys get it,",00:00:23.040,00:00:25.560
"then I can mess up every
other recitation after it.",00:00:25.560,00:00:28.750
"And you'll still get
the gist of 6.006.",00:00:28.750,00:00:31.720
"So all I have to do
is get this working.",00:00:31.720,00:00:34.700
"So most of the time
in the real world",00:00:34.700,00:00:36.760
"you're probably not going to be
coming up with new algorithms",00:00:36.760,00:00:39.580
"to do something, but rather
you'll have some code",00:00:39.580,00:00:42.080
and you want to make it faster.,00:00:42.080,00:00:43.960
"And the first step
in making it faster",00:00:43.960,00:00:45.760
"is you realize, how
does it do right now?",00:00:45.760,00:00:48.510
"How does it run, which lines
are slow, which lines are fast,",00:00:48.510,00:00:51.210
"and where you can
make improvements.",00:00:51.210,00:00:53.030
"So in lecture we talked
about the Python Cost Model",00:00:53.030,00:00:56.190
"which is what you use
to look at the code",00:00:56.190,00:00:59.100
"and figure out how much
time it takes to run.",00:00:59.100,00:01:01.590
"And we talked about
document distance,",00:01:01.590,00:01:04.069
"which is a problem
that we'll use",00:01:04.069,00:01:05.530
to practice our analysis skills.,00:01:05.530,00:01:08.180
"And this entire
recitation is all",00:01:08.180,00:01:09.860
"about looking at versions
of document distance",00:01:09.860,00:01:12.610
and analyzing them.,00:01:12.610,00:01:14.810
"So that's what we'll
do, look at Python code,",00:01:14.810,00:01:16.860
"look at Python code,
look at Python code.",00:01:16.860,00:01:19.010
"So you better have handouts,
because I can't project.",00:01:19.010,00:01:21.320
"OK, how many people remember
the document distance problem?",00:01:21.320,00:01:25.637
"You guys said you went
to lecture, right?",00:01:25.637,00:01:27.345
"OK, so very, very fast,
document distance.",00:01:30.540,00:01:33.470
I have two documents.,00:01:33.470,00:01:34.650
The fox is in the hat.,00:01:37.720,00:01:41.780
And the fox is outside.,00:01:45.990,00:01:49.930
"Document 1, document 2.",00:01:54.250,00:01:56.820
"What's the first
thing I want to do?",00:01:56.820,00:01:58.580
"So there are three operations
that Eric mentioned in lecture.",00:01:58.580,00:02:01.940
"Operation one,
take each document,",00:02:01.940,00:02:07.410
break it up into words.,00:02:07.410,00:02:08.820
Right?,00:02:08.820,00:02:10.220
This is a string.,00:02:10.220,00:02:12.610
"When I read it, then it becomes
word one, word two, word three,",00:02:12.610,00:02:15.640
"word four, so on and so forth.",00:02:15.640,00:02:18.060
"Operation two, build
document vectors",00:02:18.060,00:02:20.930
out of the two documents.,00:02:20.930,00:02:22.840
So the documents are D1 and D2.,00:02:22.840,00:02:25.790
"A document vector
is basically a list",00:02:29.080,00:02:30.950
"of the words in the documents
with a count of how many times",00:02:30.950,00:02:35.670
"each word appears
in the document.",00:02:35.670,00:02:37.870
"So let's build a document
vector for document one.",00:02:37.870,00:02:43.112
"I'm not going to
write it formally,",00:02:43.112,00:02:44.570
"so can anyone tell me
what it should look like,",00:02:44.570,00:02:47.120
"and I'll sort of write
it down as a list.",00:02:47.120,00:02:49.110
"So for all the words here,
I want to list the words",00:02:52.780,00:02:55.440
and how many times they show up.,00:02:55.440,00:02:57.640
"Somebody, please.",00:02:57.640,00:03:01.376
AUDIENCE: The is in there twice?,00:03:01.376,00:03:03.840
VICTOR COSTAN: OK.,00:03:03.840,00:03:04.970
"The, twice.",00:03:04.970,00:03:07.735
"AUDIENCE: Fox, once.",00:03:07.735,00:03:10.410
VICTOR COSTAN: One.,00:03:10.410,00:03:11.710
"AUDIENCE: Is, once.",00:03:11.710,00:03:13.340
"VICTOR COSTAN: Is, one.",00:03:13.340,00:03:15.090
AUDIENCE: [INAUDIBLE] in once.,00:03:15.090,00:03:16.970
"VICTOR COSTAN: In, one.",00:03:16.970,00:03:18.200
AUDIENCE: Hat once.,00:03:18.200,00:03:18.991
VICTOR COSTAN: Awesome.,00:03:21.242,00:03:22.200
Thank you very much.,00:03:22.200,00:03:24.760
Second one.,00:03:24.760,00:03:25.910
Another volunteer.,00:03:25.910,00:03:27.500
"Yes, go for it.",00:03:27.500,00:03:28.270
"AUDIENCE: The, once.",00:03:28.270,00:03:30.231
"VICTOR COSTAN: The, one.",00:03:30.231,00:03:31.230
"AUDIENCE: Fox, once.",00:03:31.230,00:03:32.740
"VICTOR COSTAN: Fox, one",00:03:32.740,00:03:33.857
"AUDIENCE: Is, one.",00:03:33.857,00:03:35.020
"VICTOR COSTAN: Is, one.",00:03:35.020,00:03:36.708
"AUDIENCE: Outside, one.",00:03:36.708,00:03:38.604
"VICTOR COSTAN: Outside, one.",00:03:38.604,00:03:41.890
