text,start,stop
"The following
content is provided",00:00:00.090,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.000
"Your support will help MIT
OpenCourseWare continue",00:00:04.000,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
"PROFESSOR: OK so any
pointed questions",00:00:21.587,00:00:23.170
before we go over blackjack?,00:00:23.170,00:00:26.455
"AUDIENCE: Before
you start blackjack",00:00:26.455,00:00:27.955
"can you go through
the rules again?",00:00:27.955,00:00:31.820
"PROFESSOR: The
rules of the game?",00:00:31.820,00:00:33.240
AUDIENCE: Yes.,00:00:33.240,00:00:33.823
PROFESSOR: OK.,00:00:33.823,00:00:34.680
"Well I'm going to
do something better",00:00:34.680,00:00:36.240
than going through the rules.,00:00:36.240,00:00:37.448
"I'm going to abstract
the rules away.",00:00:37.448,00:00:39.060
"So I'm going to say that
a game of blackjack has,",00:00:41.810,00:00:47.240
let's start here.,00:00:47.240,00:00:48.300
"So a game of
blackjack has a deck.",00:00:53.090,00:00:55.520
"And we have x-ray vision
or some other illegal way",00:00:55.520,00:01:00.590
"in which we know what the deck
looks like from the beginning.",00:01:00.590,00:01:04.640
How many cards in a deck?,00:01:04.640,00:01:06.103
AUDIENCE: 52.,00:01:06.103,00:01:06.950
PROFESSOR: OK.,00:01:06.950,00:01:08.380
"So say from 0 to 51 because
we like zero-based indexing.",00:01:08.380,00:01:12.455
"So the way that the game
starts is you get two cards,",00:01:16.510,00:01:19.100
the dealer gets two cards.,00:01:19.100,00:01:20.640
"What is the only decision
that you make in the game",00:01:20.640,00:01:23.780
"if you already have
perfect information?",00:01:23.780,00:01:25.490
So you know the deck already.,00:01:28.622,00:01:29.830
"You don't need to
wait for each card",00:01:29.830,00:01:31.330
to know what it's going to be.,00:01:31.330,00:01:33.730
"So as the game starts you
have to make one decision.",00:01:33.730,00:01:37.890
What's that decision?,00:01:37.890,00:01:40.232
AUDIENCE: Hit or stand.,00:01:40.232,00:01:41.190
"PROFESSOR: Well
that's assuming you",00:01:41.190,00:01:42.970
care what you get each time.,00:01:42.970,00:01:45.404
"So if you have to
look at the card",00:01:45.404,00:01:46.820
"then you have to decide each
time if you hit or stand.",00:01:46.820,00:01:49.300
"If you know all the
cards in advance--",00:01:49.300,00:01:51.100
AUDIENCE: How much to bet?,00:01:51.100,00:01:53.750
"PROFESSOR: I think our
game has that fixed.",00:01:53.750,00:01:55.967
AUDIENCE: When to restart?,00:01:55.967,00:01:57.050
"PROFESSOR: So it
is hit or stand,",00:01:57.050,00:01:59.300
but I want to restate that.,00:01:59.300,00:02:01.120
"Because you don't actually
have to decide after every card",00:02:01.120,00:02:03.560
if you want to hit or stand.,00:02:03.560,00:02:05.195
"You know what the cards
are going to be in advance.",00:02:05.195,00:02:07.320
AUDIENCE: When to restart?,00:02:07.320,00:02:08.984
Like how many cards to pick?,00:02:08.984,00:02:10.150
"PROFESSOR: How
many cards to pick.",00:02:10.150,00:02:12.290
"Yeah that's pretty
much the same thing.",00:02:12.290,00:02:13.954
"So you don't have to decide
every time hit or stand,",00:02:13.954,00:02:16.120
"you know ahead of time I
want to hit three times,",00:02:16.120,00:02:18.161
or I want to hit once.,00:02:18.161,00:02:19.255
"Because you know
the entire deck.",00:02:19.255,00:02:20.630
"You don't need to actually
look at the cards.",00:02:20.630,00:02:23.540
"So each game the only
decision that I make is--",00:02:23.540,00:02:28.317
"suppose this is one
game-- the only decision",00:02:28.317,00:02:30.150
"that I have is h, how many
cards I'm going to hit.",00:02:30.150,00:02:34.880
Right?,00:02:34.880,00:02:36.060
"And then after I
make this decision",00:02:36.060,00:02:40.660
the game will eat up some cards.,00:02:40.660,00:02:42.360
"I get two cards, the
dealer gets two cards,",00:02:42.360,00:02:44.380
"then I hit some cards then
the dealer gets some cards.",00:02:44.380,00:02:47.320
"And this is the number of
cards that have been consumed.",00:02:47.320,00:02:51.950
"Some number of cards that
were played in this game.",00:02:51.950,00:02:58.930
"And the other thing
that comes out of it",00:02:58.930,00:03:00.730
is how much money I make.,00:03:00.730,00:03:03.090
"For our simple rules it's
either I make $1, or nothing,",00:03:03.090,00:03:08.510
or I lose $1.,00:03:08.510,00:03:10.026
Fair enough?,00:03:13.840,00:03:14.730
Everyone follows?,00:03:14.730,00:03:16.430
"So I'm going to abstract
all this in a helper method.",00:03:16.430,00:03:20.800
"I'm going to say that I have
a method called round outcome.",00:03:20.800,00:03:24.580
"Where I say, look out
of the entire deck",00:03:29.960,00:03:32.470
"I'm going to start at card i, so
this is where my round starts.",00:03:32.470,00:03:37.070
"So I tell it which
cards I start at.",00:03:37.070,00:03:39.430
"And how many cards
I'm going to hit.",00:03:39.430,00:03:41.820
"And it gives me back a
tuple, where the first item",00:03:41.820,00:03:45.400
is how many cards are played.,00:03:45.400,00:03:48.130
So number of cards played.,00:03:48.130,00:03:51.080
"And the second item in the tuple
is how much money do I make.",00:03:51.080,00:03:54.730
"h is how many cards
I'm going to hit.",00:04:07.080,00:04:09.130
"So i says that I already
played this many cards",00:04:09.130,00:04:12.050
in previous games.,00:04:12.050,00:04:14.910
"So a game starts
with a full deck.",00:04:14.910,00:04:17.660
And then I play some rounds.,00:04:17.660,00:04:20.529
"Each round I do a whole
exchange with the dealer, where",00:04:20.529,00:04:24.320
"I hit some cards, and then
the dealer hits some cards.",00:04:24.320,00:04:26.730
"And then I win or
lose some money.",00:04:26.730,00:04:30.930
"AUDIENCE: I don't understand
why h and cp are different.",00:04:30.930,00:04:33.719
"PROFESSOR: So cp is how many
cards are played in total.",00:04:33.719,00:04:36.010
"And this looks at
the initial cards.",00:04:36.010,00:04:38.880
"So first I get two cards,
the dealer gets two cards.",00:04:38.880,00:04:42.050
"And then after I hit some cards
the dealer also has to hit.",00:04:42.050,00:04:46.240
"And the dealer has a pretty
find algorithm, right?",00:04:46.240,00:04:49.410
"So the number of
cards played includes",00:04:49.410,00:04:51.240
"the cards that were
dealt initially",00:04:51.240,00:04:53.480
"and the cars that the
dealer has to hit.",00:04:53.480,00:04:56.360
"So this little thing has all the
blackjack rules encoded in it.",00:04:56.360,00:05:01.880
Everything is already there.,00:05:01.880,00:05:04.650
"AUDIENCE: So blackjack,
that's roughly 2h?",00:05:04.650,00:05:06.400
"cp is 2h, something like that?",00:05:06.400,00:05:09.620
PROFESSOR: 4 plus 2h maybe.,00:05:09.620,00:05:12.005
"Because you get two
cards, he gets two cards,",00:05:12.005,00:05:13.880
"and if you both deal
h on average then--",00:05:13.880,00:05:18.975
"AUDIENCE: So is cp the
number of cards this round?",00:05:18.975,00:05:21.480
"PROFESSOR: This round, yeah.",00:05:21.480,00:05:22.646
"OK so intuitively
I already know,",00:05:33.910,00:05:37.944
"so I already know
the entire deck.",00:05:37.944,00:05:39.360
"So the decision that
I have to make is,",00:05:39.360,00:05:43.450
"would I play
optimally every round?",00:05:43.450,00:05:45.590
"Or do I want to maybe
lose the first round",00:05:45.590,00:05:48.580
"and leave some good
cards for later?",00:05:48.580,00:05:51.620
"So I have to figure
out how many cards I'm",00:05:51.620,00:05:53.390
"going to hit each time so
that overall I make the most",00:05:53.390,00:05:56.560
