text,start,stop
"The following
content is provided",00:00:00.090,00:00:01.800
"under a Creative
Commons license.",00:00:01.800,00:00:04.030
"Your support will help MIT
OpenCourseWare continue",00:00:04.030,00:00:06.880
"to offer high quality
educational resources for free.",00:00:06.880,00:00:10.740
"To make a donation, or
view additional materials",00:00:10.740,00:00:13.350
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.350,00:00:17.256
at ocw.mit.edu.,00:00:17.256,00:00:17.881
"PROFESSOR: So we're going
to do a problem that",00:00:27.000,00:00:28.980
looks like the guitar problem.,00:00:28.980,00:00:30.330
But it's a bit cooler.,00:00:30.330,00:00:31.912
"At the same time,
there are fewer states,",00:00:31.912,00:00:33.620
"so I think it's
easier to manage.",00:00:33.620,00:00:35.370
"How many people know
how to play DDR?",00:00:35.370,00:00:38.286
AUDIENCE: Well.,00:00:38.286,00:00:39.190
PROFESSOR: Yeah.,00:00:39.190,00:00:40.480
OK.,00:00:40.480,00:00:40.980
"How many people know the
rules of playing DDR?",00:00:40.980,00:00:43.832
"Because otherwise I won't
be able to lift my hand up.",00:00:43.832,00:00:46.040
OK.,00:00:46.040,00:00:47.970
"OK, so let's go through
an algorithmic model.",00:00:47.970,00:00:51.640
"So, you have a board that
basically looks like this.",00:00:51.640,00:00:58.510
"And you have four
touch sensitive pads.",00:00:58.510,00:01:03.090
"Up, down, left, right.",00:01:03.090,00:01:05.140
"And then you have
a center position.",00:01:05.140,00:01:08.230
"You also have a sheet of notes
that looks something like this.",00:01:08.230,00:01:13.340
"Say, up, up down, down, up
down, up, up down, left right,",00:01:13.340,00:01:23.700
"left, left right, right.",00:01:23.700,00:01:27.039
So on and so forth.,00:01:27.039,00:01:27.830
"So when you see an
arrow of up, that's",00:01:31.120,00:01:34.760
"a constraint that
says one of your feet",00:01:34.760,00:01:37.130
has to be on the up arrow.,00:01:37.130,00:01:40.310
"Has to tap the up
arrow, actually.",00:01:40.310,00:01:43.410
"There's no constraint
for the other foot.",00:01:43.410,00:01:45.470
"So your other foot can be
anywhere else on the board.",00:01:45.470,00:01:47.770
It doesn't matter.,00:01:47.770,00:01:49.340
"You are also allowed to tap
the board some extra times.",00:01:49.340,00:01:52.980
"So if you don't have
a note showing up,",00:01:52.980,00:01:57.130
you can still hit the board.,00:01:57.130,00:01:58.780
And there's no penalty.,00:01:58.780,00:02:00.340
"So you can hop around as
many times as you want,",00:02:00.340,00:02:02.340
"or as many times as you can,
until you run out of breath.",00:02:02.340,00:02:06.260
"So up basically means, it's
actually one foot has to be up.",00:02:06.260,00:02:09.550
The other one center.,00:02:09.550,00:02:11.100
"Also, of course, because
of the design of the board,",00:02:11.100,00:02:13.589
"it doesn't matter
what foot is where.",00:02:13.589,00:02:15.130
"So what are possible
goals for this game?",00:02:18.180,00:02:22.251
AUDIENCE: Not to get an F.,00:02:22.251,00:02:25.000
PROFESSOR: OK.,00:02:25.000,00:02:27.240
"AUDIENCE: Hit all
the arrows when",00:02:27.240,00:02:29.711
they line up with the top row.,00:02:29.711,00:02:32.637
PROFESSOR: OK.,00:02:32.637,00:02:33.220
"So there are two different
ways of doing it.",00:02:33.220,00:02:36.680
"One, you said,
""not to get an F.""",00:02:36.680,00:02:38.660
"So I would say, given some
limited set of skills.",00:02:38.660,00:02:44.020
"So given a set of skills,
or your skill level",00:02:44.020,00:02:49.220
maximizes your score. right?,00:02:49.220,00:02:50.980
AUDIENCE: Yeah.,00:02:50.980,00:02:51.606
"PROFESSOR: This is
dynamic programming,",00:02:51.606,00:02:53.230
"so we always want to
maximize something.",00:02:53.230,00:02:55.115
"Now, if you're really good,
then another possible goal",00:02:58.550,00:03:02.160
"is hit all the notes with
a minimum amount of effort.",00:03:02.160,00:03:10.740
"If you're going to
be in a competition,",00:03:13.495,00:03:15.120
"and you're going to
be doing 10 songs,",00:03:15.120,00:03:16.703
"you don't want to die after
the first song, right?",00:03:16.703,00:03:19.890
"So, assuming you can do
everything reasonably well,",00:03:19.890,00:03:22.370
this is another possible goal.,00:03:22.370,00:03:25.830
Any other goals?,00:03:25.830,00:03:28.804
So we're brainstorming here.,00:03:28.804,00:03:29.970
This isn't set in stone.,00:03:29.970,00:03:32.210
"We've already seen the formal
solution for this problem.",00:03:32.210,00:03:36.150
"So I want to play with it
for a little bit, right?",00:03:36.150,00:03:38.430
"We brought a DDR pad, so
I want to play with it.",00:03:38.430,00:03:42.910
"What else could you hope
to maximize or minimize",00:03:42.910,00:03:45.990
for with dynamic programming?,00:03:45.990,00:03:47.205
AUDIENCE: Not look ridiculous.,00:03:51.262,00:03:54.590
PROFESSOR: OK.,00:03:54.590,00:03:56.470
"AUDIENCE: I guess we're looking
at the cost of each move,",00:03:56.470,00:03:59.961
right?,00:03:59.961,00:04:00.460
"PROFESSOR: So,
hit all the notes.",00:04:00.460,00:04:02.180
"Minimum effort, or otherwise
say best appearance.",00:04:02.180,00:04:09.685
"So every move looks somewhat
good or somewhat bad.",00:04:13.530,00:04:18.230
"And you want to do the moves
that look as good as possible.",00:04:18.230,00:04:21.269
"So this maximizes
entertainment, right?",00:04:21.269,00:04:23.410
"if you're on TV, you
probably want this.",00:04:28.640,00:04:32.830
"Now suppose you are
in a competition",00:04:32.830,00:04:34.590
"and you only have
one track to play.",00:04:34.590,00:04:36.640
"AUDIENCE: Well, you know
where all the notes are.",00:04:41.920,00:04:45.254
PROFESSOR: Sure.,00:04:45.254,00:04:45.920
"Like, we assume that we
know this ahead of time.",00:04:45.920,00:04:47.919
So you've memorized this.,00:04:47.919,00:04:49.032
"And you're trying to
compute the best strategy,",00:04:49.032,00:04:50.990
so you can memorize that.,00:04:50.990,00:04:52.031
