text,start,stop
"The following
content is provided",00:00:00.080,00:00:01.800
"under a Creative
Commons license.",00:00:01.800,00:00:04.040
"Your support will help MIT
OpenCourseWare continue",00:00:04.040,00:00:06.890
"to offer high quality
educational resources for free.",00:00:06.890,00:00:10.740
"To make a donation or
view additional materials",00:00:10.740,00:00:13.350
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.350,00:00:17.237
at ocw.mit.edu.,00:00:17.237,00:00:17.862
"PROFESSOR:
Computational complexity",00:00:22.272,00:00:23.730
"is basically about how
hard is a problem, right?",00:00:23.730,00:00:27.167
"There are some problems
that are really easy",00:00:27.167,00:00:29.000
"and some problems
that are really hard.",00:00:29.000,00:00:31.310
"And Eric drew this
line on the board",00:00:31.310,00:00:34.130
"where you have really
easy on the left",00:00:34.130,00:00:37.600
and really hard on the right.,00:00:37.600,00:00:38.920
"What's the hardest problem
that we can possibly have?",00:00:41.990,00:00:44.630
"AUDIENCE: It was chess, right?",00:00:47.822,00:00:49.190
Or something like that?,00:00:49.190,00:00:50.980
"PROFESSOR: No, there's
something beyond chess.",00:00:50.980,00:00:53.784
AUDIENCE: A halting problem?,00:00:53.784,00:00:54.950
PROFESSOR: Halting problem.,00:00:54.950,00:00:55.256
AUDIENCE: Yeah.,00:00:55.256,00:00:55.881
PROFESSOR: Yep.,00:00:55.881,00:00:56.600
"Halting problem
is somewhere here.",00:00:56.600,00:00:58.530
"So what's the best solution
for the halting problem?",00:01:03.830,00:01:08.710
Running time.,00:01:08.710,00:01:10.006
"AUDIENCE: It is
exponential, or something?",00:01:10.006,00:01:11.755
PROFESSOR: You'd wish.,00:01:11.755,00:01:13.332
AUDIENCE: Oh really?,00:01:13.332,00:01:14.165
It's not even exponential?,00:01:14.165,00:01:15.590
"AUDIENCE: I think
there's like no solution.",00:01:15.590,00:01:17.970
"PROFESSOR: There is no solution
for the halting problem.",00:01:17.970,00:01:20.470
"No matter how much time,
computers, and money you have,",00:01:20.470,00:01:23.610
"you cannot solve
the halting problem.",00:01:23.610,00:01:25.420
It's undesignable.,00:01:25.420,00:01:27.080
"So this is the worst kind of
problem you can come up with.",00:01:27.080,00:01:30.617
"AUDIENCE: What exactly
is the halting problem?",00:01:30.617,00:01:32.802
"PROFESSOR: So halting
problem is given",00:01:32.802,00:01:35.210
"a program in any representation
that makes sense to you,",00:01:35.210,00:01:38.100
"machine language, CE, assembly,
parsing tree, whatever",00:01:38.100,00:01:41.680
"you want, decide if
it terminates or not.",00:01:41.680,00:01:46.250
"Sounds really simple, right?",00:01:46.250,00:01:48.080
"Turns out there's a proof that
says it's impossible to solve.",00:01:48.080,00:01:51.910
"So you can't say will terminate
or will not terminate.",00:01:51.910,00:01:54.900
"AUDIENCE: Well, but for some
programs, it's like while true,",00:01:54.900,00:01:58.365
but there's no break.,00:01:58.365,00:02:00.290
PROFESSOR: So Turing Machine.,00:02:00.290,00:02:02.251
Yeah.,00:02:02.251,00:02:02.750
"If you have a machine where
you're not allowed loops,",00:02:02.750,00:02:04.958
"then it's easy to know
what's going to happen.",00:02:04.958,00:02:07.331
"So you need to have a
Turing machine, something",00:02:07.331,00:02:09.289
that allows loops.,00:02:09.289,00:02:10.810
"So some instances
are easy, right?",00:02:10.810,00:02:12.960
"But for the general
case of you have",00:02:12.960,00:02:14.840
"to write a program that gets
another program and outputs",00:02:14.840,00:02:18.470
"this bit, we don't
know how to do that.",00:02:18.470,00:02:21.550
"But we've proven that nobody
will know how to do that,",00:02:21.550,00:02:24.590
so we're OK with it.,00:02:24.590,00:02:26.827
So this means undecidable.,00:02:26.827,00:02:27.910
"We know that nobody will
ever be able to solve this.",00:02:30.950,00:02:34.039
"So if you're given the halting
problem on an interview,",00:02:34.039,00:02:36.330
"it's safe to laugh in the
guy's face and tell them,",00:02:36.330,00:02:38.642
"why don't you show
me how to do it?",00:02:38.642,00:02:40.100
"So what is better
than undecidable?",00:02:43.590,00:02:46.200
"There are these problems here
that are outright impossible.",00:02:46.200,00:02:51.070
