text,start,stop
"The following
content is provided",00:00:00.050,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.226
at ocw.mit.edu.,00:00:17.226,00:00:17.851
"PROFESSOR: If you guys
want me to cover anything",00:00:21.830,00:00:23.830
"in particular, is
there anything you",00:00:23.830,00:00:25.300
didn't understand in lecture?,00:00:25.300,00:00:26.508
"In the last section, I
covered the recursion trees",00:00:29.840,00:00:32.640
"because they will
be on the Pset,",00:00:32.640,00:00:34.170
"and people said they
were a bit unclear,",00:00:34.170,00:00:35.940
"so we can do that and cover less
of the stuff that I have here.",00:00:35.940,00:00:42.312
"Or if there's anything else,
you can tell me what you want.",00:00:42.312,00:00:44.770
"So there I cover recursion
trees because someone said, hey,",00:00:44.770,00:00:48.040
can you go over that again?,00:00:48.040,00:00:50.000
Is there any pain points?,00:00:50.000,00:00:51.310
No?,00:00:56.620,00:00:57.120
OK.,00:00:57.120,00:00:57.936
"So then I'm going to
give you the same choice",00:00:57.936,00:00:59.810
"that I gave to people
last time, and that",00:00:59.810,00:01:02.310
"is we can go over
recursion trees again,",00:01:02.310,00:01:06.320
"but if I do that, then I
won't have time to go over",00:01:06.320,00:01:08.630
"the code for deleting a node
from a binary search tree.",00:01:08.630,00:01:11.129
"So we'll go through
the theory and you guys",00:01:11.129,00:01:12.920
"will have to go through
the code on your own.",00:01:12.920,00:01:15.070
"But instead, we'll go
over recursion trees again",00:01:15.070,00:01:19.460
"and remember how you
solve a recurrence using",00:01:19.460,00:01:21.770
recursion trees.,00:01:21.770,00:01:23.450
"The alternative is
we don't do that",00:01:23.450,00:01:25.120
"and we complete
the deletions part.",00:01:25.120,00:01:29.982
"AUDIENCE: I feel like
covering deletions,",00:01:29.982,00:01:31.690
"since we didn't do that in
lecture, that would probably",00:01:31.690,00:01:34.358
be more helpful.,00:01:34.358,00:01:36.032
PROFESSOR: Let's take a vote.,00:01:36.032,00:01:37.240
"Who wants to do deletions
in painstaking detail?",00:01:37.240,00:01:40.730
So deletions and not recursion?,00:01:40.730,00:01:45.410
"Who wants to do recursion
trees and not deletion?",00:01:45.410,00:01:49.452
AUDIENCE: It's about equal.,00:01:49.452,00:01:50.580
"PROFESSOR: It's equal
and nobody cares.",00:01:50.580,00:01:52.205
I'm really sad.,00:01:52.205,00:01:52.870
"AUDIENCE: Let's do
both in half detail.",00:01:58.376,00:02:00.230
"PROFESSOR: OK, sure.",00:02:00.230,00:02:01.310
Who remembers merge sort?,00:02:01.310,00:02:04.080
"What does merge sort
do really quick?",00:02:04.080,00:02:06.490
"AUDIENCE: It takes some
sort of unsorted array,",00:02:06.490,00:02:10.050
"splits it in half, and
then continually splits it,",00:02:10.050,00:02:13.310
"and then once it finally
gets to the point",00:02:13.310,00:02:15.480
"where you have arrays of two
elements, then it sorts them,",00:02:15.480,00:02:20.540
"and then sorts those,
and then sorts those.",00:02:20.540,00:02:23.088
It's a fun thing.,00:02:23.088,00:02:24.669
And then it merges [INAUDIBLE].,00:02:24.669,00:02:25.960
PROFESSOR: That's so much code.,00:02:25.960,00:02:28.680
"I don't like to write much code
because for every line of code",00:02:28.680,00:02:31.360
"that you write, you
might have a bug in it,",00:02:31.360,00:02:33.151
so I like to write less code.,00:02:33.151,00:02:34.530
"So the way I do it is when I
get to an array size of one",00:02:34.530,00:02:37.950
"element, I know
it's already sorted.",00:02:37.950,00:02:40.550
So merge sort.,00:02:40.550,00:02:41.640
"You have an array,
it's unsorted.",00:02:41.640,00:02:43.380
"Split it into two halves,
call merge sort on each half,",00:02:43.380,00:02:47.030
"assume that magically, they're
going to come back sorted,",00:02:47.030,00:02:49.780
"and then you merge
the sorted halves.",00:02:49.780,00:02:52.300
How much time does merging take?,00:02:52.300,00:02:53.810
OK.,00:02:57.590,00:02:58.460
"So the recursion for the
running time of merge sort?",00:02:58.460,00:03:03.042
"AUDIENCE: Why does
it take n time?",00:03:03.042,00:03:04.536
Just too large?,00:03:04.536,00:03:05.161
"AUDIENCE: Isn't it
the finger thing where",00:03:05.161,00:03:06.869
"you take each element,
and you're like, this one,",00:03:06.869,00:03:09.018
"is that greater or less than,
then you put it in the array.",00:03:09.018,00:03:12.260
So you get--,00:03:12.260,00:03:12.760
"PROFESSOR: Please take my
word for it that it's order n.",00:03:12.760,00:03:16.694
"AUDIENCE: I'll explain it
and then I'll be confused.",00:03:16.694,00:03:18.860
"PROFESSOR: OK, so order n.",00:03:21.670,00:03:22.985
What's the recursion?,00:03:22.985,00:03:24.075
"Don't give me the
solution because then I",00:03:28.422,00:03:30.130
"can't do the trees anymore,
so give me the recursion",00:03:30.130,00:03:32.530
before it's solved.,00:03:32.530,00:03:33.675
Give me the recurrence formula.,00:03:33.675,00:03:37.160
"So it starts with T of N, right?",00:03:37.160,00:03:39.566
"AUDIENCE: It starts with
N over 2 plus N, I think.",00:03:39.566,00:03:43.117
PROFESSOR: Perfect.,00:03:46.844,00:03:47.635
"So you take the array,
you split it into two,",00:03:50.730,00:03:52.690
"you call merge sort on the
two halves of the arrays.",00:03:52.690,00:03:56.150
So you call merge sort twice.,00:03:56.150,00:03:57.670
That's why you have a 2 here.,00:03:57.670,00:03:59.140
The 2 matters.,00:03:59.140,00:03:59.800
"Without it, you get
a different answer.",00:03:59.800,00:04:01.970
"And when you call it,
the arrays that you",00:04:01.970,00:04:04.040
"give it are half the
size, and then merge",00:04:04.040,00:04:06.910
takes order and time.,00:04:06.910,00:04:08.760
"Splitting depends on what you're
using to store your arrays.",00:04:08.760,00:04:11.750
"Can be constant time or it
can be order N. So the time",00:04:11.750,00:04:14.860
won't change because of split.,00:04:14.860,00:04:17.810
How do we solve this recurrence?,00:04:17.810,00:04:20.845
"The recursion tree
method says that we're",00:04:24.162,00:04:25.870
going to draw a call graph.,00:04:25.870,00:04:27.680
"So we start out
with a call to merge",00:04:27.680,00:04:29.200
"sort with an array
of size N. Then",00:04:29.200,00:04:31.910
"it's going to call
merge sort again,",00:04:31.910,00:04:33.610
but after the array is split.,00:04:33.610,00:04:35.000
"So it's going to call merge
sort twice, size is N over 2.",00:04:35.000,00:04:38.730
"This guy gets an array of
N over 2, calls merge sort.",00:04:41.390,00:04:45.680
"Two arrays, sizes
N over 4, N over 4.",00:04:45.680,00:04:50.760
This does the same.,00:04:50.760,00:04:51.630
"So this goes on forever and ever
and ever until at some point",00:04:54.940,00:05:00.420
we reach our base case.,00:05:00.420,00:05:03.240
"So we're going to
have a bunch of calls",00:05:03.240,00:05:05.940
here where the array size is?,00:05:05.940,00:05:09.460
What's our base case?,00:05:09.460,00:05:10.521
1.,00:05:10.521,00:05:11.020
Excellent.,00:05:11.020,00:05:11.519
"So this is the call graph
for merge sort, and let's",00:05:15.870,00:05:18.240
"put the base case here so we
know what we're talking about.",00:05:18.240,00:05:20.930
T of 1 is theta 1.,00:05:20.930,00:05:23.370
"Now inside the
nodes, we're going",00:05:25.876,00:05:27.250
"to put the cost for each
call without counting",00:05:27.250,00:05:32.150
"the sub-call, so
the children here.",00:05:32.150,00:05:34.770
"That's this guy here,
except instead of order N,",00:05:34.770,00:05:38.370
I will write CN.,00:05:38.370,00:05:40.160
"Remember how sometimes
we use CN instead",00:05:40.160,00:05:42.870
of the order of notation?,00:05:42.870,00:05:45.500
"The reason we do that is if I
put in the asymptotic notation,",00:05:45.500,00:05:49.150
"then we're going to be
tempted to sum them up.",00:05:49.150,00:05:52.930
"You're allowed to sum terms
using asymptotic notation as",00:05:52.930,00:05:56.950
"long as there's a
finite number of them,",00:05:56.950,00:05:59.200
"but here, it turns out there's
an infinite number of them.",00:05:59.200,00:06:02.420
"Also, if you go this way,
you can never go wrong.",00:06:02.420,00:06:05.150
"You always get the
right answer, so that's",00:06:05.150,00:06:08.030
"why we switch from
order N to CN.",00:06:08.030,00:06:11.620
"In order to merge sort
an array of size N,",00:06:11.620,00:06:14.980
"we're going to merge sort
two arrays of size N over 2",00:06:14.980,00:06:18.100
"and then spend CN time
on doing the merge.",00:06:18.100,00:06:21.690
What are the costs here?,00:06:21.690,00:06:23.355
"To sort an array
of N over 2, what's",00:06:26.050,00:06:28.140
"the cost outside
the cost to merge?",00:06:28.140,00:06:31.670
AUDIENCE: C of N over 2.,00:06:31.670,00:06:33.510
PROFESSOR: Perfect.,00:06:33.510,00:06:34.860
C times N over 2.,00:06:34.860,00:06:37.000
C times N over 2.,00:06:37.000,00:06:39.410
How about here?,00:06:39.410,00:06:41.046
AUDIENCE: C times N over 4.,00:06:41.046,00:06:42.978
PROFESSOR: Perfect.,00:06:42.978,00:06:45.876
CN over 4.,00:06:45.876,00:06:48.850
My nodes are really ugly.,00:06:48.850,00:06:50.610
"I should have drawn them
like this from the beginning.",00:06:50.610,00:06:52.860
CN over 4.,00:06:52.860,00:06:54.270
There you go.,00:06:54.270,00:06:55.250
How about down here?,00:06:55.250,00:06:57.620
"AUDIENCE: C of N
over 2 to the i.",00:06:57.620,00:07:01.142
"PROFESSOR: You're
going on step ahead.",00:07:01.142,00:07:03.490
We'll do that right next.,00:07:03.490,00:07:05.610
"AUDIENCE: C of N
over log N, right?",00:07:05.610,00:07:08.540
"Because they're
log N levels, so--",00:07:08.540,00:07:11.220
"PROFESSOR: Let's not worry
about the number of levels.",00:07:11.220,00:07:14.140
You're ruining my steps.,00:07:14.140,00:07:15.980
"I was going to get to
that two steps after this.",00:07:15.980,00:07:18.455
AUDIENCE: Is it just C?,00:07:18.455,00:07:19.564
PROFESSOR: Yep.,00:07:19.564,00:07:20.320
"So array size is 1, right?",00:07:20.320,00:07:21.840
"So the cost is C. C, C,
C, C. OK, you guys got it",00:07:21.840,00:07:28.140
"if you're thinking
of levels already.",00:07:28.140,00:07:30.179
"The next thing I
want to do is I want",00:07:30.179,00:07:31.720
"to figure out how many
levels I have in this tree.",00:07:31.720,00:07:34.740
Why do I care about that?,00:07:34.740,00:07:36.600
"The answer for T of N is the
sum of all these costs in here",00:07:36.600,00:07:40.900
"because the cost of merge
sorting an array of size N",00:07:40.900,00:07:44.550
"is the merge sort plus the costs
for sorting the two arrays.",00:07:44.550,00:07:49.940
"And the nodes here keep
track of all the time spent",00:07:49.940,00:07:52.890
"in recursive sub-calls, so if
we can add up everything up,",00:07:52.890,00:07:56.840
"we have the answer to T of
N. It turns out the easiest",00:07:56.840,00:08:01.880
"way to do that is to sum
up the cost at each level",00:08:01.880,00:08:06.050
"because the costs are
this guy copied over here.",00:08:06.050,00:08:10.875
"For a level, they
tend to be the same,",00:08:10.875,00:08:13.800
"so it's reasonably
easy to add them up,",00:08:13.800,00:08:17.360
"except in order to be
able to add those up,",00:08:17.360,00:08:19.430
"you have to know how
many levels you have.",00:08:19.430,00:08:22.980
"So how do I know how
many levels I have?",00:08:22.980,00:08:26.920
"Someone already told me log
N. How do I get to that log N?",00:08:26.920,00:08:30.470
"So when I get to the
bottommost level,",00:08:35.980,00:08:40.440
"the number has to be 1, the
number next to the node,",00:08:40.440,00:08:43.460
because that's my base case.,00:08:43.460,00:08:45.080
"When I have a one element
array, it's sorted, I'm done.",00:08:45.080,00:08:47.490
I return.,00:08:47.490,00:08:49.650
"So I can say that
for each level,",00:08:49.650,00:08:53.130
"the number next to the node is
something as a function of L.",00:08:53.130,00:08:58.150
"Here, I'm going to
say that this is",00:08:58.150,00:08:59.750
"N over 1, which is N
over 2 to the 0 power.",00:08:59.750,00:09:06.850
"And this is N over 2, so it's
N over 2 to the first power.",00:09:06.850,00:09:11.480
"This is N over 2 to the
second, and so on and so forth.",00:09:11.480,00:09:16.280
"It might not be obvious if
you only have two levels.",00:09:16.280,00:09:18.476
"I don't want to draw
a lot on the board",00:09:18.476,00:09:20.100
"because I don't have a lot
of space and I'd get my nodes",00:09:20.100,00:09:23.180
all messed into each other.,00:09:23.180,00:09:25.420
"If it takes more than two levels
to see the pattern, go for it.",00:09:25.420,00:09:28.690
"Expand for three levels,
four levels, five levels,",00:09:28.690,00:09:31.440
"whatever it takes to get it
right on a Pset or on a test.",00:09:31.440,00:09:35.070
"So you see the pattern,
then you write the formula",00:09:35.070,00:09:37.430
for the node size at the level.,00:09:37.430,00:09:42.140
"And assuming this
pattern holds, we",00:09:42.140,00:09:44.770
"see that the size of a
node at level l, the size",00:09:44.770,00:09:50.270
is 2 N over 2 to the l minus 1.,00:09:50.270,00:09:56.880
Fair enough?,00:09:56.880,00:09:58.330
"You can say N over 2
to the l, and forget",00:09:58.330,00:10:01.770
"that there's a minus 1, and then
the asymptotics will save you,",00:10:01.770,00:10:04.730
"so it's no big deal, but
this is the real number.",00:10:04.730,00:10:09.680
"So that means that at the
bottommost level, at level l,",00:10:09.680,00:10:16.310
this size is going to be 1.,00:10:16.310,00:10:18.900
"N over 2 to the l
minus 1 equals 1.",00:10:18.900,00:10:24.110
"So now this is an equation,
so I can solve for l.",00:10:24.110,00:10:26.620
"I pull this on the right side,
N equals 2 to the l minus 1,",00:10:26.620,00:10:31.630
so l minus 1 equals-- anyone?,00:10:31.630,00:10:37.771
The inverse of an exponential?,00:10:37.771,00:10:39.020
"AUDIENCE: I wasn't
paying attention.",00:10:41.720,00:10:43.220
Sorry.,00:10:43.220,00:10:45.390
AUDIENCE: Log N.,00:10:45.390,00:10:50.837
"PROFESSOR: The inverse of an
exponential is a logarithm.",00:10:50.837,00:10:53.170
"Keep that in mind for
solving 6.006 problems.",00:10:53.170,00:10:58.470
"l minus 1 is log N so l is
log n plus 1, roughly log n.",00:10:58.470,00:11:06.289
"I could use log n plus 1
and go through the math.",00:11:06.289,00:11:08.330
"It's a bit more painful
and, because we're",00:11:08.330,00:11:10.580
"using asymptotics, it
doesn't really matter.",00:11:10.580,00:11:13.940
"So now we know how
many levels we have.",00:11:13.940,00:11:15.610
"Let's see what's the
cost at the level.",00:11:15.610,00:11:18.050
"So all the calls
at a certain level,",00:11:18.050,00:11:19.740
what's the sum of the costs?,00:11:19.740,00:11:21.640
"For this level, what's the cost?",00:11:21.640,00:11:25.400
CN.,00:11:29.600,00:11:30.100
And That was the easy question.,00:11:30.100,00:11:32.310
"Just the root, right?",00:11:32.310,00:11:33.635
How about this level?,00:11:33.635,00:11:34.510
"Because I have two nodes, the
cost in each node is CN over 2.",00:11:38.770,00:11:43.180
How about this level?,00:11:43.180,00:11:44.060
"Four levels, each
level CN over 4.",00:11:49.800,00:11:52.110
How about the bottom level?,00:11:52.110,00:11:53.340
AUDIENCE: CN.,00:11:58.752,00:12:01.680
PROFESSOR: Why is it CN?,00:12:01.680,00:12:04.486
"AUDIENCE: Because there
are N arrays of size 1.",00:12:04.486,00:12:08.440
PROFESSOR: N arrays of size 1.,00:12:08.440,00:12:09.710
Excellent.,00:12:09.710,00:12:11.530
"A cute argument I heard once
is you start out with N,",00:12:11.530,00:12:14.510
"you split it into N
over 2 and N over 2.",00:12:14.510,00:12:16.910
"Then you split this guy
in N over 4, N over 4,",00:12:16.910,00:12:19.520
"so this is like
conservation of mass.",00:12:19.520,00:12:21.980
"If you start with N and here,
you don't end up with N total,",00:12:21.980,00:12:26.380
"then you lost some element
somewhere on the way.",00:12:26.380,00:12:30.210
So CN.,00:12:30.210,00:12:32.100
"CN, CN, CN, CN.",00:12:32.100,00:12:33.310
I think I see a pattern.,00:12:33.310,00:12:34.530
"I think it's reasonable to say
that for every level, it's CN.",00:12:34.530,00:12:38.540
"And if you write the
proof, you can prove that",00:12:38.540,00:12:40.950
"by using math instead
of waving hands.",00:12:40.950,00:12:44.300
"So CN times the number
of levels, right?",00:12:44.300,00:12:47.420
"The answer for this guy
is C of N is CN times l.",00:12:47.420,00:12:56.040
What's l?,00:12:56.040,00:12:57.586
AUDIENCE: N log N.,00:12:57.586,00:12:59.289
PROFESSOR: Roughly.,00:12:59.289,00:13:00.080
"OK So order of N
log N. C becomes",00:13:00.080,00:13:10.240
"order of, l is order of
log N, N stays the same.",00:13:10.240,00:13:14.630
Any questions?,00:13:18.320,00:13:18.970
"Are people getting it or
did I confuse you even more?",00:13:24.100,00:13:27.837
AUDIENCE: We got it.,00:13:27.837,00:13:28.670
"PROFESSOR: OK, sweet.",00:13:28.670,00:13:29.897
Thank you for the encouragement.,00:13:29.897,00:13:31.230
"So this gets you through
problem one of Pset 2.",00:13:31.230,00:13:36.200
"So in this case, the
tree is nicely balanced.",00:13:36.200,00:13:38.400
"The cost at each
level is the same.",00:13:38.400,00:13:40.284
"When [INAUDIBLE] talked about
recursion trees in lectures,",00:13:40.284,00:13:42.700
"he showed two more
trees, one where",00:13:42.700,00:13:45.230
"pretty much all the cost was up
here-- the cost of the children",00:13:45.230,00:13:49.350
"was negligible-- and one
tree where all the cost was",00:13:49.350,00:13:54.000
"concentrated here, so the
cost of all the inner nodes",00:13:54.000,00:13:57.240
"was negligible and the leaves
were doing all the real work.",00:13:57.240,00:14:01.160
"So don't be scared if your
costs aren't the same.",00:14:01.160,00:14:03.804
"Just sum them up and you'll
get to the right answer.",00:14:03.804,00:14:05.970
"Now I'm going to talk
about binary search trees,",00:14:11.470,00:14:13.770
"except I will make a five
minute general talk about data",00:14:13.770,00:14:18.920
structures before I do that.,00:14:18.920,00:14:20.700
"So we use the term
""data structures.""",00:14:20.700,00:14:22.310
"I think we covered
it well, and I",00:14:22.310,00:14:24.296
"want to give you
a couple of tips",00:14:24.296,00:14:25.670
for dealing with them on Pset 1.,00:14:25.670,00:14:29.280
"A data structure is
a bunch of algorithms",00:14:29.280,00:14:31.390
"that help you store and
then retrieve information.",00:14:31.390,00:14:35.380
"You have two types
of algorithms.",00:14:35.380,00:14:36.960
"You have queries,
and you have updates.",00:14:36.960,00:14:44.795
"You start out with an
empty data structure,",00:14:49.850,00:14:51.920
