text,start,stop
"The following
content is provided",00:00:00.090,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.000
"Your support will help MIT
OpenCourseWare continue",00:00:04.000,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
"PROFESSOR: Are people
understanding AVLs?",00:00:21.742,00:00:23.450
"That's good, because if
everyone raised their hands,",00:00:27.600,00:00:29.960
we'd be done and out of here.,00:00:29.960,00:00:31.690
"So we're not covering new
material in this recitation.",00:00:31.690,00:00:34.270
"We're talking about AVLs
again, except this time",00:00:34.270,00:00:37.320
"you'll tell me
how we'll do them,",00:00:37.320,00:00:39.210
"and we'll look at
the code and see",00:00:39.210,00:00:42.140
how the theory matches the code.,00:00:42.140,00:00:44.780
And I need one of these.,00:00:44.780,00:00:47.150
Thank you.,00:00:47.150,00:00:47.800
So let's start simple.,00:00:52.344,00:00:53.260
What's a BST?,00:00:53.260,00:00:55.610
AUDIENCE: Binary search tree.,00:00:55.610,00:00:57.110
"PROFESSOR: OK,
binary search tree.",00:01:00.110,00:01:02.930
"It's binary because every
node has at most two children.",00:01:02.930,00:01:06.080
Why is it a search tree?,00:01:06.080,00:01:07.686
AUDIENCE: It's easy to search.,00:01:07.686,00:01:09.627
PROFESSOR: OK.,00:01:09.627,00:01:10.210
Why is it easy to search?,00:01:10.210,00:01:11.279
"AUDIENCE: Because you
start [INAUDIBLE],",00:01:11.279,00:01:12.945
"is my number greater than
this key or is it less than,",00:01:12.945,00:01:15.195
and then you go from there.,00:01:15.195,00:01:16.410
PROFESSOR: OK.,00:01:16.410,00:01:16.993
"So if I would have to state
this as a formal rep invariant",00:01:16.993,00:01:20.600
"thing, what would I say it is
so that I can do that operation?",00:01:20.600,00:01:24.016
"AUDIENCE: Node at
right is greater than",00:01:24.016,00:01:26.268
"node at key, which is
greater than node at left.",00:01:26.268,00:01:30.910
"PROFESSOR: OK, excellent.",00:01:30.910,00:01:32.140
"So it turns out I can use
this argument recursively",00:01:32.140,00:01:36.190
"to say that for a given
node, everything that",00:01:36.190,00:01:40.830
"is to the right of
that node is greater,",00:01:40.830,00:01:44.740
"and everything that is
to the left is smaller.",00:01:44.740,00:01:48.710
"And this allows us
to do search quickly",00:01:52.450,00:01:54.480
"because if you're
looking for a key,",00:01:54.480,00:01:57.180
"say you have numbers in your
tree and you're looking for 5.",00:01:57.180,00:02:00.480
"If you arrive at a node whose
value is 4, you go right.",00:02:00.480,00:02:03.770
"If you arrive at a node whose
value is 7, you go left.",00:02:03.770,00:02:07.820
"OK So what do we know
how to do on BSTs?",00:02:07.820,00:02:11.420
"What are the operations
that we know?",00:02:11.420,00:02:14.325
"AUDIENCE: Minimum, maximum.",00:02:14.325,00:02:17.580
"PROFESSOR: Min, max.",00:02:17.580,00:02:18.965
"AUDIENCE: Left, right, parent.",00:02:22.100,00:02:24.210
"PROFESSOR: So those
are for the node.",00:02:24.210,00:02:26.640
"I want the queries and the
updates for the BST type.",00:02:26.640,00:02:30.300
AUDIENCE: Insert and delete.,00:02:30.300,00:02:31.717
PROFESSOR: OK.,00:02:31.717,00:02:32.300
"Insert, Delete.",00:02:35.030,00:02:39.052
AUDIENCE: Next larger.,00:02:39.052,00:02:40.036
PROFESSOR: OK.,00:02:42.897,00:02:43.480
"And then in here, the S in BST.",00:02:52.340,00:02:55.026
"Someone give me the
S so we can move on.",00:02:55.026,00:02:57.626
AUDIENCE: Find.,00:02:57.626,00:02:58.800
"PROFESSOR: Find,
search, depending",00:02:58.800,00:03:03.254
on what code you're reading.,00:03:03.254,00:03:04.420
"What's the running
time for these guys?",00:03:07.070,00:03:11.260
AUDIENCE: Order h.,00:03:11.260,00:03:12.550
PROFESSOR: Excellent.,00:03:12.550,00:03:14.220
"So everything has the
same running time.",00:03:14.220,00:03:16.350
Nice and easy to remember.,00:03:16.350,00:03:19.030
Order h.,00:03:19.030,00:03:19.900
What's h?,00:03:19.900,00:03:21.636
AUDIENCE: [INAUDIBLE].,00:03:21.636,00:03:23.930
PROFESSOR: OK.,00:03:23.930,00:03:25.190
How do we define this height?,00:03:25.190,00:03:27.120
What's the height for this tree?,00:03:27.120,00:03:31.269
AUDIENCE: [INAUDIBLE].,00:03:31.269,00:03:32.185
PROFESSOR: Good.,00:03:35.460,00:03:36.720
What's the height for this tree?,00:03:36.720,00:03:38.880
What's the height for this tree?,00:03:43.460,00:03:48.883
AUDIENCE: Two.,00:03:48.883,00:03:49.466
"PROFESSOR: So now for
a more general case,",00:03:52.600,00:03:55.020
"where this is the height, and
the height of my left subtree",00:03:55.020,00:04:00.320
is hl.,00:04:00.320,00:04:00.880
"The height of my
right subtree is hr.",00:04:00.880,00:04:04.940
What's h?,00:04:04.940,00:04:06.672
"AUDIENCE: It's the maximum
of hr times hl plus 1.",00:04:06.672,00:04:11.001
PROFESSOR: Nice save.,00:04:16.785,00:04:17.660
"I heard a ""plus 1""
somewhere there.",00:04:17.660,00:04:19.118
Very good.,00:04:22.290,00:04:24.480
This is r.,00:04:24.480,00:04:25.070
"So if we look at the
first part of the code,",00:04:28.870,00:04:31.060
"lines one through eight,
lines seven and eight",00:04:31.060,00:04:35.840
"implement the definition
that we talked about here.",00:04:35.840,00:04:39.280
"So in our Python
implementation, each node",00:04:39.280,00:04:41.440
"knows the height of the
tree that he's the root of.",00:04:41.440,00:04:44.550
"And since we're
storing that, we need",00:04:47.640,00:04:49.900
"to update it every once in
awhile when we make changes",00:04:49.900,00:04:52.150
"to the tree, like
when we insert nodes.",00:04:52.150,00:04:54.870
"And the way we do that
is update height, which",00:04:54.870,00:04:56.810
"uses the formula that
we came up with here.",00:04:56.810,00:04:59.970
"Now, there is a hack on
lines two, three, four, five.",00:04:59.970,00:05:04.120
"Can anyone tell me
what the hack is?",00:05:04.120,00:05:06.750
AUDIENCE: The negative 1.,00:05:20.989,00:05:22.470
PROFESSOR: OK.,00:05:22.470,00:05:23.240
How does that work?,00:05:23.240,00:05:24.140
Why do I need it?,00:05:24.140,00:05:24.980
"AUDIENCE: That's so if
you're at the root node,",00:05:27.780,00:05:30.170
"you can still
calculate the height.",00:05:30.170,00:05:33.510
"PROFESSOR: Depends on how
the root node looks like.",00:05:33.510,00:05:37.820
AUDIENCE: If it has no children.,00:05:37.820,00:05:40.039
PROFESSOR: That's a leaf.,00:05:40.039,00:05:41.080
AUDIENCE: Yes.,00:05:41.080,00:05:41.880
PROFESSOR: OK.,00:05:41.880,00:05:43.670
"So if I'm in this case or
in this case, what's hl,",00:05:43.670,00:05:47.390
what's hr?,00:05:47.390,00:05:49.140
"In this case, I have
this node of height zero,",00:05:49.140,00:05:52.130
"so I can make a small mistake
here and it'll save me,",00:05:52.130,00:05:55.400
"but here, I have no
children, so hl and hr have",00:05:55.400,00:05:59.990
"to be set in such a way that
this formula evaluates to 0.",00:05:59.990,00:06:04.560
"If I set them to minus 1,
I'll have minus 1, minus 1.",00:06:04.560,00:06:07.890
"The maximum is minus
1 plus 1 equals 0.",00:06:07.890,00:06:11.756
"AUDIENCE: It's just to
check the nodes for AVLs.",00:06:11.756,00:06:15.650
"PROFESSOR: We use that
to update the height.",00:06:15.650,00:06:18.090
