text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.215
at ocw.mit.edu.,00:00:17.215,00:00:17.840
"AMARTYA SHANKHA BISWAS: Feel
free to populate the front row.",00:00:20.706,00:00:23.206
I'm not that scary.,00:00:23.206,00:00:26.030
"So today, we're going to look
at more greedy algorithms.",00:00:26.030,00:00:29.010
"So I think you went
over Kruskal's algorithm",00:00:29.010,00:00:31.420
"and how you do the
sorting in the lecture.",00:00:31.420,00:00:34.040
"So going back to make
change from last recitation,",00:00:34.040,00:00:38.970
"so this is sort of
a variant on that.",00:00:38.970,00:00:41.220
"So instead of
discrete coins, we now",00:00:41.220,00:00:43.080
"have continuous coins, in the
sense so the analogy here is,",00:00:43.080,00:00:46.440
"let's say, you have N metals,
and each of the metals",00:00:46.440,00:00:50.030
"has some value given by
Ci dollars per kilogram,",00:00:50.030,00:00:53.550
or whatever units you prefer.,00:00:53.550,00:00:55.990
"And you want to
achieve some value",00:00:55.990,00:00:58.660
"T. You want to give someone
T dollars worth of metal.",00:00:58.660,00:01:01.520
"And you want to do this
while minimizing-- oh, so I",00:01:01.520,00:01:04.110
should mention this.,00:01:04.110,00:01:05.099
"ki is the weight of
every metal that you",00:01:05.099,00:01:07.580
will give to the person.,00:01:07.580,00:01:09.720
"So you're taking ki of metal
i, and you are going to--",00:01:09.720,00:01:13.242
"and you have to ensure,
so basically, you",00:01:13.242,00:01:14.950
"have to ensure that some
summation of ki Ci over all i",00:01:14.950,00:01:22.820
"is equal to T. And in doing
so you want to minimize",00:01:22.820,00:01:26.890
the summation over all ki.,00:01:26.890,00:01:28.570
So does that make sense?,00:01:28.570,00:01:29.570
So you have a bunch of metals.,00:01:29.570,00:01:30.550
"Some of them are more
expensive than others.",00:01:30.550,00:01:32.383
"And you want to measure
them out and give someone",00:01:32.383,00:01:34.740
a certain fixed value.,00:01:34.740,00:01:36.660
"So anyone have any
ideas how to do this?",00:01:36.660,00:01:39.590
"Should be-- should be the
first thing that comes to mind.",00:01:39.590,00:01:49.780
"So you have much of
metals-- some of them",00:01:49.780,00:01:52.340
with certain costs.,00:01:52.340,00:01:53.470
"And you're trying
to create a value T.",00:01:53.470,00:01:58.200
"So which metal would
you want to pick?",00:01:58.200,00:02:00.660
"So it should seem
intuitive that if you",00:02:00.660,00:02:03.422
"want to minimize the
weight of the metal,",00:02:03.422,00:02:05.130
"you would want to pick
the-- have the most",00:02:05.130,00:02:07.540
expensive one for weight.,00:02:07.540,00:02:10.130
So let's start by sort by Ci.,00:02:10.130,00:02:17.760
"And we want to sort it
in decreasing order.",00:02:17.760,00:02:22.990
Does make sense?,00:02:22.990,00:02:23.670
"So if you have the
most expensive metal,",00:02:23.670,00:02:25.920
"you want to use as much
of that as you can,",00:02:25.920,00:02:28.480
"so that your weight
is minimized.",00:02:28.480,00:02:30.510
"So once you sort by Ci, so
let's say, you have your costs",00:02:30.510,00:02:33.560
"right now are-- let's call
this one C1, C2, up to Cn.",00:02:33.560,00:02:41.190
And these are in sorted order.,00:02:41.190,00:02:42.760
So it's increasing this way.,00:02:42.760,00:02:44.120
"So you now take your value
T, and you look at T by C1.",00:02:46.910,00:02:52.970
"And that is the amount of weight
you would need to generate C.",00:02:52.970,00:02:56.000
"So you look at how
much you have here.",00:02:56.000,00:02:58.900
"So the amount of metal-- so a
constraint I forgot to mention,",00:02:58.900,00:03:02.400
"you are given a limited
amount of every metal.",00:03:02.400,00:03:05.301
"OK, that's-- it's
not that trivial.",00:03:05.301,00:03:10.340
"So you have--
let's mention that.",00:03:10.340,00:03:13.280
So you have-- is that used?,00:03:13.280,00:03:16.260
"No, it's not-- amount.",00:03:16.260,00:03:19.940
Does that make more sense?,00:03:32.136,00:03:33.390
So you look at T over Ci.,00:03:36.210,00:03:38.730
"And if T over Ci is
greater than W of i,",00:03:38.730,00:03:45.220
"then you just use the amount
you need to construct Wi,",00:03:45.220,00:03:47.890
and you're done.,00:03:47.890,00:03:49.170
"Otherwise, you use all of Ci.",00:03:49.170,00:03:52.100
"So if it's less than
Wi, in that case,",00:03:52.100,00:03:57.320
"you-- sorry, other way around.",00:03:57.320,00:03:59.420
"If it's greater than
Wi, you use all of it.",00:03:59.420,00:04:02.140
"And then you move on to the next
one, the next one, and so on.",00:04:02.140,00:04:05.210
So that seems pretty intuitive.,00:04:05.210,00:04:06.890
"Let's actually do a
formal proof of that.",00:04:06.890,00:04:09.300
"So how you go about
proving this is",00:04:09.300,00:04:11.660
"that-- so let's say-- so it's
what we call the current base",00:04:11.660,00:04:15.201
method.,00:04:15.201,00:04:15.700
"So basically what
you have is, let's",00:04:15.700,00:04:17.201
"say you're not using the
most expensive metal you",00:04:17.201,00:04:19.241
have at this point.,00:04:19.241,00:04:20.079
"So let's say your most
expensive metal has cost Ci,",00:04:20.079,00:04:23.680
"but instead, you
decide to use Cj.",00:04:23.680,00:04:27.450
"So let's say you decide to
use some kj amount of Cj.",00:04:27.450,00:04:33.350
"So the value you're
getting from this is Cj kj.",00:04:33.350,00:04:40.260
"And instead, if you use
Ci, how much metal would",00:04:40.260,00:04:45.250
you need to get the same value?,00:04:45.250,00:04:46.690
You would need Cj kj over Ci.,00:04:46.690,00:04:50.885
Does that make sense?,00:04:50.885,00:04:52.860
"So this is the value you
would obtain by using",00:04:52.860,00:04:55.560
kj kilograms of this metal.,00:04:55.560,00:04:59.290
"So if you instead used this
one, you'd get this value.",00:04:59.290,00:05:01.830
"And so this is the
most expensive one.",00:05:01.830,00:05:04.480
"And Ci is greater
than Cj, this value,",00:05:04.480,00:05:07.840
so this value is less than kj.,00:05:07.840,00:05:11.200
"So by using this metal
instead of that one,",00:05:11.200,00:05:14.150
"you are decreasing the amount--
the weight you would need,",00:05:14.150,00:05:16.830
so your minimization goes down.,00:05:16.830,00:05:19.110
Make sense?,00:05:19.110,00:05:20.175
"So that's like a very
simple greedy algorithm.",00:05:20.175,00:05:23.860
"And it's-- the algorithm is
exactly what you'd expect,",00:05:23.860,00:05:26.350
and the proof isn't very hard.,00:05:26.350,00:05:28.180
"So let's move on to a
slightly interesting one.",00:05:28.180,00:05:32.040
So this is process scheduling.,00:05:36.130,00:05:38.870
"So let's say you
have a computer,",00:05:38.870,00:05:40.250
"and you're running
end processes.",00:05:40.250,00:05:41.780
"And each of the process
has a time-- t1 through tn,",00:05:41.780,00:05:45.560
again processes.,00:05:45.560,00:05:46.670
"And you want to order
them in some way.",00:05:46.670,00:05:48.890
"So first, you will
do process p1.",00:05:48.890,00:05:50.560
"Then you'll process p2,
and so on, and so forth.",00:05:50.560,00:05:53.550
"Then you'll define
a completion time.",00:05:53.550,00:05:55.190
"So completion time is simply
when does process i end.",00:05:55.190,00:05:58.026
So when does process i end?,00:05:58.026,00:05:59.150
"You just p1 plus-- it's like
the time for p1 plus time for p2",00:05:59.150,00:06:02.140
up to pn.,00:06:02.140,00:06:03.170
"So basically, you have
all your processes.",00:06:03.170,00:06:07.230
"So let's says this is p1,
this is p2, and so on.",00:06:07.230,00:06:12.130
"And the completion time for a
certain process in the middle",00:06:12.130,00:06:14.690
"is just the sum of
all times before it.",00:06:14.690,00:06:17.000
That's completion time.,00:06:17.000,00:06:18.150
"And now what you
want to do is you",00:06:18.150,00:06:18.920
"want to minimize the
average completion",00:06:18.920,00:06:20.544
"time, which is summation
over all the completion",00:06:20.544,00:06:22.860
times over n.,00:06:22.860,00:06:25.270
"So any ideas what an algorithm
for this would look like?",00:06:25.270,00:06:29.370
"Essentially, you
want to minimize",00:06:29.370,00:06:31.780
