text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high-quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
PROFESSOR: Morning everyone.,00:00:22.570,00:00:23.760
"I hope you all had a
great spring break.",00:00:23.760,00:00:28.130
"And during which I hope
you can have more of 6.046.",00:00:28.130,00:00:33.540
"Today we're going to look at
network flow and two things",00:00:33.540,00:00:37.484
in network flow.,00:00:37.484,00:00:38.150
"The first one is
Edmonds-Karp algorithm,",00:00:44.360,00:00:49.370
"and after that, we're going
to look at two applications.",00:00:49.370,00:00:55.380
"In particular, they are called
bipartite matching and cover.",00:00:55.380,00:01:04.660
OK.,00:01:09.160,00:01:10.010
"So we'll start with
a simpler algorithm,",00:01:10.010,00:01:16.101
which is Ford-Fulkerson.,00:01:16.101,00:01:17.100
"Can someone remind us
what Ford-Fulkerson does?",00:01:24.810,00:01:28.520
Go ahead.,00:01:40.970,00:01:41.966
"AUDIENCE: Every time you
have a augmenting path,",00:01:41.966,00:01:44.456
it gets rid of it.,00:01:44.456,00:01:46.470
PROFESSOR: It gets rid of it?,00:01:46.470,00:01:47.860
Yep.,00:01:47.860,00:01:49.102
"What's your name, by the way?",00:01:49.102,00:01:50.310
AUDIENCE: Michelle.,00:01:50.310,00:01:51.298
PROFESSOR: Michelle.,00:01:51.298,00:01:52.780
OK.,00:01:52.780,00:01:53.610
"So, Michelle gave a
very brief description.",00:01:53.610,00:01:56.600
"But let's be a little
bit more detailed.",00:01:56.600,00:01:58.880
"So we have a graph
network flow G,",00:01:58.880,00:02:02.780
"and the first thing it's going
to do is that given the flow,",00:02:02.780,00:02:06.440
"it will transform G
from a residual graph.",00:02:06.440,00:02:10.660
Everyone remembers that?,00:02:10.660,00:02:12.510
"Then F-F algorithm will find
a path going from source",00:02:12.510,00:02:22.720
"to sink in this residual graph,
and then augment this path.",00:02:22.720,00:02:38.060
"Augmenting just means increasing
the flow on that path.",00:02:42.430,00:02:46.360
By how much?,00:02:46.360,00:02:49.485
"AUDIENCE: The minimum edge
on the path [INAUDIBLE].",00:02:49.485,00:02:53.850
"PROFESSOR: Yeah, the
minimum edge on the path.",00:02:53.850,00:02:56.480
"Let me just define that to be
the capacity of the path, which",00:02:56.480,00:02:59.980
"is the capacity of
the weakest link.",00:02:59.980,00:03:03.570
OK.,00:03:03.570,00:03:04.200
"Then what's the last
step we're missing here?",00:03:04.200,00:03:08.060
"So after augmenting, our flow
changed from f to f prime.",00:03:16.230,00:03:24.610
"And then we're
going to look back.",00:03:24.610,00:03:28.260
"We have f prime, then Gf
prime, find a path in Gf prime,",00:03:28.260,00:03:31.970
then continue from there.,00:03:31.970,00:03:34.445
"So this algorithm,
in some sense,",00:03:37.200,00:03:39.900
"is not even a very
detailed algorithm,",00:03:39.900,00:03:42.190
"because it doesn't say how to
find a path in the second step.",00:03:42.190,00:03:47.120
"And that's indeed a
problem, because we",00:03:49.815,00:03:51.440
"have seen a pathologically bad
case where each capacity is",00:03:51.440,00:04:06.300
"a billion, and the correct way
to do it is simply augmenting",00:04:06.300,00:04:11.760
"this path and then
that path-- oh sorry,",00:04:11.760,00:04:13.540
"there's edge one--
then we'll be done.",00:04:13.540,00:04:16.790
"But the pathologically
bad case is we keep",00:04:16.790,00:04:20.980
going through this middle edge.,00:04:20.980,00:04:24.322
OK.,00:04:24.322,00:04:24.822
"So Edmonds-Karp is an
improvement to this algorithm.",00:04:24.822,00:04:29.560
Let me just write it here.,00:04:32.520,00:04:33.716
"Its first step, third,
and fourth steps",00:04:42.700,00:04:44.850
are actually exactly the same.,00:04:44.850,00:04:46.230
No change from Ford-Fulkerson.,00:04:46.230,00:04:48.980
"The only thing it does is
that it finds a special path.",00:04:48.980,00:04:54.610
"Did Srini cover
this in the lecture?",00:04:54.610,00:04:58.150
What path Edmonds-Karp finds?,00:04:58.150,00:05:02.717
I see some people nodding.,00:05:02.717,00:05:03.800
OK.,00:05:03.800,00:05:04.060
Go ahead.,00:05:04.060,00:05:04.560
"AUDIENCE: He ran the first
search from the source",00:05:04.560,00:05:08.300
"to the sink in Gf,
take the shortest path.",00:05:08.300,00:05:13.150
PROFESSOR: OK.,00:05:13.150,00:05:13.880
Does everyone agree with that?,00:05:13.880,00:05:16.690
"So Edmonds-Karp finds
the shortest path.",00:05:16.690,00:05:19.190
"From-- I guess, can
you see that part?",00:05:23.180,00:05:29.670
No?,00:05:29.670,00:05:30.170
"Oh, I'm sorry about that.",00:05:30.170,00:05:31.211
Find the shortest path.,00:05:50.170,00:05:53.000
"Here, shortest just means
least number of hops.",00:05:53.000,00:05:56.440
"Here, in this
pathologically bad example,",00:05:56.440,00:05:59.274
"Edmonds-Karp would
do much better,",00:05:59.274,00:06:00.690
"because it would find this path,
instead of this weird path.",00:06:00.690,00:06:05.560
"Because that path,
its distance is 2,",00:06:05.560,00:06:08.560
"and the one going
across the middle is 3.",00:06:08.560,00:06:11.090
OK.,00:06:13.960,00:06:14.460
"Now we're going to prove that
this algorithm runs in order",00:06:14.460,00:06:20.120
VE squared.,00:06:20.120,00:06:20.885
So OK.,00:06:24.580,00:06:25.420
So one step back.,00:06:25.420,00:06:26.670
"Do we have to prove
that is correct?",00:06:26.670,00:06:30.150
"That it indeed finds
the maximum flow?",00:06:30.150,00:06:34.610
"AUDIENCE: No, you don't.",00:06:40.759,00:06:42.604
PROFESSOR: Yeah.,00:06:42.604,00:06:43.270
"I claim I don't have to
do that, because it's",00:06:43.270,00:06:45.145
"the same thing as
Ford-Fulkerson.",00:06:45.145,00:06:46.900
You can find any path.,00:06:46.900,00:06:49.380
"Now, we want to show-- we
want to bound this run time.",00:06:49.380,00:06:55.280
"So any idea, high-level idea,
how we're going to do that?",00:06:55.280,00:06:59.170
In which several steps?,00:06:59.170,00:07:02.430
OK.,00:07:34.800,00:07:35.300
"So, OK, a simpler question.",00:07:35.300,00:07:39.396
"What's the complexity of this
second step, find the shortest",00:07:39.396,00:07:43.220
path from source to sink?,00:07:43.220,00:07:45.190
Go ahead.,00:07:48.850,00:07:49.810
AUDIENCE: OV plus E.,00:07:49.810,00:07:51.240
"PROFESSOR: OV plus
E. And in this case,",00:07:51.240,00:07:54.280
"actually, V is always less than
E, so I can simply say O of E.",00:07:54.280,00:08:02.310
"Now, how long does it
take to augment that path,",00:08:02.310,00:08:07.210
if we have found it?,00:08:07.210,00:08:09.332
AUDIENCE: O of E.,00:08:09.332,00:08:11.160
"PROFESSOR: O of
E. That's correct.",00:08:11.160,00:08:13.080
"But our claim, we can
also say it's O of V,",00:08:17.110,00:08:23.650
"because the shortest path
at most has three hops.",00:08:23.650,00:08:33.159
"And then, from f
to f prime-- OK.",00:08:33.159,00:08:37.319
"So I think in some sense,
these two are the same steps.",00:08:37.319,00:08:40.140
"Also O of V, and then
updating the rescue graph",00:08:40.140,00:08:43.210
"is also O of V. So one
of these iterations--",00:08:43.210,00:08:47.580
each iteration takes how long?,00:08:47.580,00:08:52.280
AUDIENCE: O of E.,00:08:52.280,00:08:53.279
PROFESSOR: O of E. Right.,00:08:53.279,00:08:54.320
"This is the most expensive
step in one iteration.",00:08:54.320,00:08:59.110
OK.,00:08:59.110,00:08:59.610
"So what else do we have
to do to prove this bound?",00:08:59.610,00:09:02.452
AUDIENCE: Number of iterations.,00:09:02.452,00:09:05.310
"PROFESSOR: We need to show
that the number of iterations",00:09:05.310,00:09:08.470
"is O of V times E.
If we can show that,",00:09:08.470,00:09:21.420
then we are pretty much done.,00:09:21.420,00:09:24.480
