text,start,stop
"The following content is
provided under a Creative",00:00:00.080,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.236
at ocw.mit.edu.,00:00:17.236,00:00:17.861
"AMARTYA SHANKHA
BISWAS: So today, we're",00:00:21.280,00:00:23.450
"going to look at approximation
algorithms for the traveling",00:00:23.450,00:00:26.100
salesman problem.,00:00:26.100,00:00:27.670
"So I hope everyone knows
what the traveling salesman",00:00:27.670,00:00:30.290
problem is.,00:00:30.290,00:00:30.850
"You have a graph, you're
trying to visit every vertex.",00:00:30.850,00:00:34.947
"So you start at your vertex,
you visit every single one,",00:00:34.947,00:00:37.280
"and you end at the
starting vertex.",00:00:37.280,00:00:39.090
"And you want to do that in
the shortest possible time,",00:00:39.090,00:00:41.760
"or distance, or
whatever the metric is.",00:00:41.760,00:00:43.990
"So, unfortunately,
this is NP-hard.",00:00:43.990,00:00:46.840
"Also, the approximation
algorithms",00:00:46.840,00:00:48.520
"for any constant approximation
is also known to be NP-hard.",00:00:48.520,00:00:51.312
"So you should have gone over
approximation algorithms",00:00:51.312,00:00:53.520
in lectures.,00:00:53.520,00:00:54.120
"So, basically, let's say
the optimal solution has",00:00:54.120,00:00:57.370
"some value of e, and if
you want to guarantee",00:00:57.370,00:01:00.747
"that your algorithm will
end up with a value which",00:01:00.747,00:01:02.830
"is within a constant factor
of v, so less than cv,",00:01:02.830,00:01:05.990
"that is an
approximation algorithm.",00:01:05.990,00:01:07.570
"But for the traveling
salesman problem,",00:01:07.570,00:01:09.520
"the constant approximation
algorithms are also NP-hard.",00:01:09.520,00:01:13.190
"So instead, we
modify it slightly.",00:01:13.190,00:01:16.200
"So, on the traveling
salesman problem,",00:01:16.200,00:01:17.870
"we impose something
called a metric.",00:01:17.870,00:01:19.680
"So the important relation
here is this one.",00:01:19.680,00:01:22.714
"So, first of all,
let's go through this.",00:01:22.714,00:01:24.380
"So you have a distance metric
for-- so xy are vertices.",00:01:24.380,00:01:28.410
"Your distance is always greater
than 0, which is reasonable.",00:01:28.410,00:01:31.210
"You're undirected,
which is this relation.",00:01:31.210,00:01:33.569
"And you have the
triangle inequality,",00:01:33.569,00:01:35.110
"which means that if
you have 3 vertices,",00:01:35.110,00:01:39.350
"and you have distance like
this, this distance is always",00:01:39.350,00:01:43.740
"smaller than the sum of
these two distances, which",00:01:43.740,00:01:46.210
"is like real world-ish things
that make sense, right?",00:01:46.210,00:01:49.300
"If this distance was
longer, it would just",00:01:49.300,00:01:51.050
take this path instead.,00:01:51.050,00:01:52.370
"So the distance by
taking other node",00:01:52.370,00:01:55.230
"is always greater than or
equal to the direct distance.",00:01:55.230,00:01:58.790
"So, turns out, the Metric
TSP problem is also NP-hard.",00:01:58.790,00:02:03.560
"So nothing very
great there, but you",00:02:03.560,00:02:07.420
"can do a constant
approximation here.",00:02:07.420,00:02:09.262
"And you'll go through
two approximations today.",00:02:09.262,00:02:11.220
"The first, the simpler
one, is a 2 approximation,",00:02:11.220,00:02:17.720
"and then, we'll
improve this to 3/2.",00:02:17.720,00:02:21.270
"So let's start
with the first one.",00:02:21.270,00:02:24.460
"So before we begin, let's
define a couple of terms.",00:02:24.460,00:02:28.650
"Let's define c of
S. So what is S?",00:02:28.650,00:02:34.580
Let X be a path.,00:02:34.580,00:02:37.130
"Or, rather, let's say
S is a set of edges.",00:02:37.130,00:02:41.250
"So if you have your graph,
here, your set of edges",00:02:47.240,00:02:53.770
"could be something like
this, this, this, this.",00:02:53.770,00:02:56.790
So that's set of edges.,00:02:56.790,00:02:58.260
"And c of S is defined as the
sum of the weights of all",00:02:58.260,00:03:03.140
the edges.,00:03:03.140,00:03:04.190
"And this, actually,
should be a multiset,",00:03:04.190,00:03:06.220
"because you can count
the same edge twice.",00:03:06.220,00:03:08.640
"So you can count this
edge three times, or how",00:03:08.640,00:03:10.660
ever many times you want.,00:03:10.660,00:03:12.010
So that's the definition.,00:03:12.010,00:03:13.580
"So, now, we want to
find a cycle which",00:03:13.580,00:03:19.030
"goes through all
the vertices, and we",00:03:19.030,00:03:20.860
"want to minimize the
cost of that cycle.",00:03:20.860,00:03:23.420
"So let's say your optimal--
this should remind you",00:03:23.420,00:03:25.504
"of the Hamiltonian
Cycle problem.",00:03:25.504,00:03:26.878
"So this is, essentially,
finding a Hamiltonian cycle",00:03:26.878,00:03:29.410
in the graph of minimum weight.,00:03:29.410,00:03:31.490
"So this is worse than the
Hamiltonian cycle problem.",00:03:31.490,00:03:33.770
"This is find the minimum
weight Hamiltonian cycle.",00:03:33.770,00:03:37.370
"So let's say there exists this
beautiful Hamiltonian cycle.",00:03:37.370,00:03:42.280
You know of minimum weight.,00:03:42.280,00:03:44.000
"Let's call that
H star G. So it's",00:03:44.000,00:03:46.792
"the best Hamiltonian
cycle on this graph,",00:03:46.792,00:03:48.500
"and that's the shortest path
that your traveling salesman",00:03:48.500,00:03:50.875
can take.,00:03:50.875,00:03:51.420
"And so the cost of that is
[INAUDIBLE] if H star S G.",00:03:51.420,00:03:57.030
"So how do we go about trying
to approximate this problem?",00:03:57.030,00:04:01.280
"So think about what
algorithms you've",00:04:01.280,00:04:03.720
"seen that sort of connect
all the vertices of a graph,",00:04:03.720,00:04:08.590
and minimize costs of edges.,00:04:08.590,00:04:11.650
"Does it remind you of
anything polynomial",00:04:11.650,00:04:14.360
"that you've seen in the class,
that connects all the vertices?",00:04:14.360,00:04:17.040
Expands all the vertices?,00:04:20.784,00:04:23.340
Exactly.,00:04:23.340,00:04:23.840
"So [INAUDIBLE],
minimum spanning tree.",00:04:23.840,00:04:25.423
"This minimum spanning
tree is polynomial time,",00:04:25.423,00:04:27.350
and it connects all the vertex.,00:04:27.350,00:04:28.641
So let's take some graph.,00:04:28.641,00:04:29.780
Let's just go with this one.,00:04:29.780,00:04:32.290
"So you have some vertices,
and you make a minimum",00:04:32.290,00:04:37.550
spanning tree out of them.,00:04:37.550,00:04:40.480
"Now, clearly, this
is not a cycle yet.",00:04:40.480,00:04:42.950
"But let's try to
construct a path out",00:04:42.950,00:04:45.740
of this minimum spanning tree.,00:04:45.740,00:04:48.290
"So, first, let's root it.",00:04:48.290,00:04:50.510
"So let's say we are rooted
minimum spanning tree.",00:04:50.510,00:04:54.490
Let's say this is the root.,00:04:54.490,00:04:56.014
"So you have three things
going out of there.",00:04:56.014,00:05:00.660
I think that's it.,00:05:00.660,00:05:02.540
So let's give these labels.,00:05:02.540,00:05:04.360
"So, now, what we're
going to do is,",00:05:11.150,00:05:12.640
"the way we're going to
traverse all the vertices,",00:05:12.640,00:05:15.080
let's just do a DFS.,00:05:15.080,00:05:16.724
"So, in DFS traversal,
you'll first",00:05:16.724,00:05:18.140
"see 1, then you'll
go down and see 2,",00:05:18.140,00:05:21.932
"then you'll go down and see
3, then you'll go back up,",00:05:21.932,00:05:25.630
see 2 again.,00:05:25.630,00:05:27.260
"Go back down, see 4.",00:05:27.260,00:05:29.290
"Go back up, see 2.",00:05:29.290,00:05:30.690
"1, 5, 1, 6.",00:05:30.690,00:05:34.630
"So, basically, you're ignoring
the rest of the graph.",00:05:34.630,00:05:37.230
"You find your minimum
spanning tree,",00:05:37.230,00:05:39.000
and you follow all the paths.,00:05:39.000,00:05:40.530
"Follow them back up, and
just do a DFS traversal.",00:05:40.530,00:05:43.940
"And then, you go
reach back to 1.",00:05:43.940,00:05:46.280
"And then, you have this-- well,
it visits all the vertices.",00:05:46.280,00:05:48.800
"It visits some of
them more than once,",00:05:48.800,00:05:49.800
"which is a problem, which
we'll deal with shortly.",00:05:49.800,00:05:52.180
"But it visits all the
vertices, and it's a cycle.",00:05:52.180,00:05:55.432
"So, now, the problem is,
the traveling salesman",00:05:55.432,00:05:57.390
"problem does not allow you to
visit vertices more than once.",00:05:57.390,00:06:00.390
"Because, if you did not
have this restriction,",00:06:00.390,00:06:03.290
"you could shorten
your bat length",00:06:03.290,00:06:04.810
"by going to a separate
vertex and coming back,",00:06:04.810,00:06:07.042
or something like that.,00:06:07.042,00:06:08.000
"So let's make that
more concrete.",00:06:08.000,00:06:10.430
"So, at least in this case,
given this triangle inequality,",00:06:10.430,00:06:13.680
"I claim that you can just
delete the duplicate vertices.",00:06:13.680,00:06:17.320
"So let's look at
the duplicate ones.",00:06:17.320,00:06:18.820
"You have 1, 2, 3, this repeats.",00:06:18.820,00:06:20.850
So you delete that.,00:06:20.850,00:06:22.420
"Repeats, repeats, repeats,
and that's cycling back.",00:06:22.420,00:06:27.140
So how do you delete things?,00:06:27.140,00:06:28.670
"So, in this case, you
had a path, right?",00:06:28.670,00:06:30.336
"You were going 1 to 2, and
2 to 3, to 2, and so on.",00:06:30.336,00:06:37.780
Let's write the 4 in.,00:06:37.780,00:06:39.360
"So this is [INAUDIBLE]
only at tree edges.",00:06:39.360,00:06:42.532
So how would you delete this?,00:06:42.532,00:06:43.740
"So, let's say, you find
the first duplicate vertex,",00:06:43.740,00:06:45.870
and you don't want that.,00:06:45.870,00:06:46.440
That's not allowed.,00:06:46.440,00:06:47.274
"So all you do is, simply,
you follow the path,",00:06:47.274,00:06:49.190
