text,start,stop
"The following
content is provided",00:00:00.060,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation, or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
"PROFESSOR: The things we
can talk about today, we",00:00:20.469,00:00:22.510
can talk about this code.,00:00:22.510,00:00:24.000
"We can talk a little bit more
about the hash functions.",00:00:24.000,00:00:28.370
"And we can talk a little
bit more about amortization.",00:00:28.370,00:00:31.170
What to do guys want to hear?,00:00:31.170,00:00:32.519
AUDIENCE: Amoritizaiton.,00:00:35.110,00:00:36.980
"PROFESSOR: OK, so one
vote for amortization.",00:00:36.980,00:00:38.920
"So who wants to look
at the PSET code?",00:00:38.920,00:00:42.690
Who wants to talk about hashes?,00:00:42.690,00:00:46.810
"Who wants to talk
about amortization?",00:00:46.810,00:00:50.726
"Two, three, four, five, OK.",00:00:50.726,00:00:51.850
So then let's try this.,00:00:51.850,00:00:53.810
"Let's look at the PSET code then
talk about amortization a bit",00:00:53.810,00:00:56.970
at the end.,00:00:56.970,00:00:57.920
"I do have to talk a
little bit about hashes",00:00:57.920,00:01:00.570
"though, because I owe someone
a question from last time.",00:01:00.570,00:01:04.489
"And the question was,
we have rolling hashes,",00:01:04.489,00:01:08.300
so the hashes look like this.,00:01:08.300,00:01:11.210
"K where K is a big
number, modulo p.",00:01:11.210,00:01:16.170
"And we argue that it's
really nice if p is a prime.",00:01:16.170,00:01:21.340
"And then the question was, what
if instead p is 2 to the w,",00:01:21.340,00:01:27.130
"and is not prime, as long
as the base that we're using",00:01:27.130,00:01:31.900
is co-prime with p?,00:01:31.900,00:01:36.070
Does this work?,00:01:36.070,00:01:37.930
"And the answer
is-- I didn't want",00:01:37.930,00:01:39.760
"to say yes without making sure
that I don't say something",00:01:39.760,00:01:42.630
"stupid-- but the
answer is yes, this",00:01:42.630,00:01:44.130
"works just fine, because the
way a compute multiplicative",00:01:44.130,00:01:48.000
"inverse is is you
use so something",00:01:48.000,00:01:50.310
"called the extended
Euclid's method.",00:01:50.310,00:01:58.745
"And if we have b and p, then
if we compute their GCD,",00:02:03.140,00:02:08.350
"the that's the greatest common
divisor-- so GCD is greatest--",00:02:08.350,00:02:17.470
"If you use extended Euclid you
get something like xb plus yp",00:02:24.710,00:02:32.580
equals GCD of b and p.,00:02:32.580,00:02:40.340
"So if this is 1, then you
have xb plus yp equals 1.",00:02:40.340,00:02:48.500
"And if you're working
modulo p, whatever that is,",00:02:48.500,00:02:53.250
"then you have that
xb is 1 mod p.",00:02:53.250,00:02:59.410
"So there's your
multiplicative inverse.",00:02:59.410,00:03:03.100
"Well so now that's
nice math, right?",00:03:03.100,00:03:04.840
"But that doesn't tell me
why are we not using this.",00:03:04.840,00:03:08.860
"So with the multiplicative
inverse would work,",00:03:08.860,00:03:11.465
"but there's
something else that's",00:03:11.465,00:03:12.840
wrong with using 2 to the w.,00:03:12.840,00:03:15.941
"Will this give me a
good hash function?",00:03:18.710,00:03:22.170
"OK, the fact that it's
p might be confusing.",00:03:22.170,00:03:24.300
"So let's say h equals
K mod 2 to the w.",00:03:24.300,00:03:34.032
"And remember that the K is
some digits in base b, right?",00:03:34.032,00:03:38.540
"It's a big number made
out of digits in base b.",00:03:38.540,00:03:41.322
"So K is d1, d2, d3, all the way
up until d length in base b.",00:03:41.322,00:03:52.390
"And I'll make things easier
and say that b is 2 to the 8,",00:03:56.310,00:04:00.550
"because we're working with
ASCII characters, or colors,",00:04:00.550,00:04:03.810
"or something that
fits nicely in a bit.",00:04:03.810,00:04:07.330
"So what could go
wrong with using this?",00:04:07.330,00:04:11.214
"AUDIENCE: Well if your series
of-- if your K is bigger than",00:04:11.214,00:04:14.430
"2-- if it's K is bigger
than 2 to the w--",00:04:14.430,00:04:17.111
"PROFESSOR: It will be, for sure.",00:04:17.111,00:04:18.444
"AUDIENCE: Yes, that's the
problem, because then you'll",00:04:18.444,00:04:20.694
loop.,00:04:20.694,00:04:21.490
You'll get the same hashes for--,00:04:21.490,00:04:24.060
"PROFESSOR: Yeah, yeah.",00:04:24.060,00:04:25.260
"So you will get-- So hashing
takes a lot of possible inputs",00:04:25.260,00:04:32.430
"and maps them to a relatively
small set of outputs.",00:04:32.430,00:04:37.790
Inputs hash output.,00:04:37.790,00:04:41.230
"And we argued last
time that we're",00:04:41.230,00:04:42.650
"going to have collisions
no matter what,",00:04:42.650,00:04:44.316
"because we have a ton of inputs
and not that many outputs.",00:04:44.316,00:04:47.540
"For example, if
we're hashing strings",00:04:47.540,00:04:49.250
"that are a million
characters then this",00:04:49.250,00:04:51.650
"is going to be 2 to the 8 to
the 1 million possible strings.",00:04:51.650,00:04:58.600
"And then the number
of possible values",00:04:58.600,00:05:00.740
"is, if we're using the
word size, 2 to the 32.",00:05:00.740,00:05:04.890
"There is no way we can
design a function that",00:05:04.890,00:05:07.045
"will take this many inputs,
map them to this many outputs,",00:05:07.045,00:05:09.500
and not do collisions.,00:05:09.500,00:05:11.270
"But instead, what do we want?",00:05:11.270,00:05:12.560
What makes a good hash function?,00:05:12.560,00:05:13.893
"Say my hash function
is 0 for all the K's.",00:05:21.290,00:05:25.770
Is that a good hash function?,00:05:25.770,00:05:27.393
"AUDIENCE: It's an
excellent hash function.",00:05:27.393,00:05:29.382
PROFESSOR: What's wrong with it?,00:05:29.382,00:05:30.715
"AUDIENCE: You would
put everything in one",00:05:30.715,00:05:32.655
"so that it's searching, or
it would take a long time?",00:05:32.655,00:05:36.050
"PROFESSOR: Yeah, searching
takes a long time.",00:05:36.050,00:05:38.922
"And we've don't do
sorting with this yet.",00:05:38.922,00:05:40.630
"Searching takes a long
time, string sub-matching",00:05:40.630,00:05:42.580
"will take a long
time, it's horrible.",00:05:42.580,00:05:44.121
"AUDIENCE: So what
would that distribute--",00:05:46.748,00:05:49.690
like [INAUDIBLE] over all--,00:05:49.690,00:05:51.470
"PROFESSOR: All right,
so we want something",00:05:51.470,00:05:53.220
that looks sort of random.,00:05:53.220,00:05:56.560
"The ideals hash function
takes an input then",00:05:56.560,00:05:58.980
"gives it a random output,
and then stays consistent.",00:05:58.980,00:06:02.127
"So when it sees an input,
returns the same output.",00:06:02.127,00:06:04.210
"So I think distribute
is the keyword here.",00:06:10.030,00:06:13.060
"What's wrong with
this hash function?",00:06:13.060,00:06:15.960
"If it takes random
data, it's going",00:06:20.110,00:06:21.650
to distribute it randomly.,00:06:21.650,00:06:22.820
"That's true, so that's all good.",00:06:22.820,00:06:24.153
"But what data that we
might see in real life",00:06:24.153,00:06:27.260
will make it behave badly?,00:06:27.260,00:06:30.786
"AUDIENCE: The K is a series
of characters, right?",00:06:30.786,00:06:34.690
PROFESSOR: Maybe.,00:06:34.690,00:06:35.620
"AUDIENCE: It just
could be anything.",00:06:35.620,00:06:37.120
"But we know for sure that
L will be larger than w.",00:06:37.120,00:06:41.760
PROFESSOR: Say L is a million.,00:06:41.760,00:06:43.270
"AUDIENCE: OK, well that sucks.",00:06:43.270,00:06:46.495
"PROFESSOR: Oh, no.",00:06:46.495,00:06:47.245
"That in itself,
that doesn't suck.",00:06:47.245,00:06:48.920
"That's what let's us do
sub-string matching really",00:06:48.920,00:06:51.010
"fast, even if we
have large strings.",00:06:51.010,00:06:52.746
"AUDIENCE: --say for
2 to the w, though,",00:06:52.746,00:06:54.370
"because then it will be much
larger, like the number of--",00:06:54.370,00:06:56.909
"PROFESSOR: Yeah, but that's OK.",00:06:56.909,00:06:58.200
