text,start,stop
"We now continue our discussion
of infinite series.",00:00:00.220,00:00:03.410
"Sometimes we have to deal with
series where the terms being",00:00:03.410,00:00:06.350
"added are indexed by multiple
indices, as in",00:00:06.350,00:00:09.710
this example here.,00:00:09.710,00:00:11.220
"We're given numbers, aij,
and i ranges over all",00:00:11.220,00:00:15.710
the positive integers.,00:00:15.710,00:00:17.390
"j also ranges over all the
positive integers.",00:00:17.390,00:00:21.910
"So what does this
sum represent?",00:00:21.910,00:00:25.250
We can think of it as follows.,00:00:25.250,00:00:27.480
"We have here a two-dimensional
grid that corresponds to all",00:00:27.480,00:00:31.330
"the pairs (i,j).",00:00:31.330,00:00:33.750
"And in essence, each one of
those points corresponds to",00:00:33.750,00:00:37.290
"one of the terms that
we want to add.",00:00:37.290,00:00:40.280
"So we can sum the different
terms in some arbitrary order.",00:00:40.280,00:00:43.840
Let's say we start from here.,00:00:43.840,00:00:45.430
"Take that term, add this term,
then add this term here, then",00:00:45.430,00:00:50.950
"add this term, then the next
term, next term, and so on.",00:00:50.950,00:00:55.570
"And we can keep going that
way, adding the different",00:00:55.570,00:00:59.640
"terms according to
some sequence.",00:00:59.640,00:01:02.850
"So essentially, what we're doing
here is we're taking",00:01:02.850,00:01:06.220
"this two-dimensional grid and
arranging the terms associated",00:01:06.220,00:01:11.470
"with that grid, in some
particular linear order.",00:01:11.470,00:01:14.950
"And we're summing those
terms in sequence.",00:01:14.950,00:01:19.090
"As long as this sum converges to
something as we keep adding",00:01:19.090,00:01:25.220
"more and more terms, then
this double series",00:01:25.220,00:01:29.010
will be well defined.,00:01:29.010,00:01:30.800
"Notice, however, we can
add those terms in",00:01:30.800,00:01:33.930
many different orders.,00:01:33.930,00:01:36.100
"And in principle, those
different orders might give us",00:01:36.100,00:01:39.320
different kinds of results.,00:01:39.320,00:01:41.490
"On the other hand, as long as
the sum of the absolute values",00:01:41.490,00:01:47.979
"of all the terms turns out to be
finite, then the particular",00:01:47.979,00:01:54.090
"order in which we're adding the
different terms will turn",00:01:54.090,00:01:58.190
out that it doesn't matter.,00:01:58.190,00:02:02.240
"There's another way that we can
add the terms together,",00:02:02.240,00:02:05.620
and this is the following.,00:02:05.620,00:02:07.500
"Let us consider fixing a
particular choice of i, and",00:02:07.500,00:02:13.860
"adding all of the terms that
are associated with this",00:02:13.860,00:02:18.000
"particular choice of i, as j
ranges from 1 to infinity.",00:02:18.000,00:02:23.300
"So what we're doing is we're
taking the summation from j",00:02:23.300,00:02:28.980
"equal to 1 to infinity, while
keeping the value of i fixed.",00:02:28.980,00:02:37.160
"We do this for every
possible i.",00:02:37.160,00:02:39.450
"So for every possible i,
we're going to get",00:02:39.450,00:02:41.970
a particular number.,00:02:41.970,00:02:43.810
"And then we take the numbers
that we obtain for the",00:02:43.810,00:02:47.360
"different choices if i, so i
ranges from 1 to infinity.",00:02:47.360,00:02:53.170
"And we add all those
terms together.",00:02:53.170,00:02:56.700
"So this is one particular order,
one particular way of",00:02:56.700,00:03:00.230
doing the infinite summation.,00:03:00.230,00:03:02.720
