text,start,stop
"Probability models often
involve infinite sample",00:00:00.680,00:00:04.170
"spaces, that is,
infinite sets.",00:00:04.170,00:00:08.780
"But not all sets are
of the same kind.",00:00:08.780,00:00:12.570
"Some sets are discrete and we
call them countable, and some",00:00:12.570,00:00:17.530
"are continuous and we call
them uncountable.",00:00:17.530,00:00:20.960
"But what exactly is the
difference between these two",00:00:20.960,00:00:23.470
types of sets?,00:00:23.470,00:00:24.860
"How can we define
it precisely?",00:00:24.860,00:00:27.760
"Well, let us start by first
giving a definition of what it",00:00:27.760,00:00:31.320
means to have a countable set.,00:00:31.320,00:00:33.920
"A set will be called countable
if its elements can be put",00:00:33.920,00:00:37.530
"into a 1-to-1 correspondence
with the positive integers.",00:00:37.530,00:00:41.450
"This means that we look at the
elements of that set, and we",00:00:41.450,00:00:45.280
"take one element-- we call
it the first element.",00:00:45.280,00:00:47.990
"We take another element--
we call it the second.",00:00:47.990,00:00:50.790
"Another, we call the third
element, and so on.",00:00:50.790,00:00:54.090
"And this way we will eventually
exhaust all of the",00:00:54.090,00:00:58.980
"elements of the set, so that
each one of those elements",00:00:58.980,00:01:02.920
"corresponds to a particular
positive integer, namely the",00:01:02.920,00:01:06.840
index that appears underneath.,00:01:06.840,00:01:09.140
"More formally, what's happening
is that we take",00:01:09.140,00:01:13.110
"elements of that set that are
arranged in a sequence.",00:01:13.110,00:01:18.810
"We look at the set, which is the
entire range of values of",00:01:18.810,00:01:24.420
"that sequence, and we want that
sequence to exhaust the",00:01:24.420,00:01:28.580
entire set omega.,00:01:28.580,00:01:31.470
"Or in other words, in simpler
terms, we want to be able to",00:01:31.470,00:01:37.250
"arrange all of the elements
of omega in a sequence.",00:01:37.250,00:01:43.360
"So what are some examples
of countable sets?",00:01:43.360,00:01:46.800
"In a trivial sense, the positive
integers themselves",00:01:46.800,00:01:50.330
"are countable, because we can
arrange them in a sequence.",00:01:50.330,00:01:54.960
"This is almost tautological,
by the definition.",00:01:54.960,00:01:58.110
"For a more interesting example,
let's look at the set",00:01:58.110,00:02:00.820
of all integers.,00:02:00.820,00:02:02.370
"Can we arrange them
in a sequence?",00:02:02.370,00:02:04.610
"Yes, we can, and we can do it
in this manner, where we",00:02:04.610,00:02:09.669
"alternate between positive
and negative numbers.",00:02:09.669,00:02:13.330
"And this way, we're going to
cover all of the integers, and",00:02:13.330,00:02:16.880
"we have arranged them
in a sequence.",00:02:16.880,00:02:20.190
"How about the set of all pairs
of positive integers?",00:02:20.190,00:02:24.870
This is less clear.,00:02:24.870,00:02:27.280
