text,start,stop
 ,00:00:00.000,00:00:00.630
Hi.,00:00:00.630,00:00:01.500
"In this problem, we're dealing
with buses of students going",00:00:01.500,00:00:04.750
to a job convention.,00:00:04.750,00:00:06.450
"And in the problem, we'll
be exercising our",00:00:06.450,00:00:10.190
knowledge of PMFs--,00:00:10.190,00:00:11.400
probability mass functions.,00:00:11.400,00:00:13.050
"So we'll get a couple of
opportunities to write out",00:00:13.050,00:00:15.060
"some PMFs, and also calculating
expectations or",00:00:15.060,00:00:18.210
expected values.,00:00:18.210,00:00:19.700
"And also, importantly, we'll
actually be exercising our",00:00:19.700,00:00:22.340
"intuition to help us not just
rely on numbers, but also to",00:00:22.340,00:00:27.510
"just have a sense of what the
answers to some probability",00:00:27.510,00:00:30.850
questions should be.,00:00:30.850,00:00:32.930
"So the problem specifically
deals with",00:00:32.930,00:00:35.850
four buses of students.,00:00:35.850,00:00:37.710
"So we have buses, and in each
one carries a different number",00:00:37.710,00:00:41.070
of students.,00:00:41.070,00:00:41.630
"So the first one carries 40
students, the second one 33,",00:00:41.630,00:00:44.960
"the third one has 25, and the
last one has 50 students for a",00:00:44.960,00:00:48.790
total of 148 students.,00:00:48.790,00:00:54.480
"And because these students
are smart, and they like",00:00:54.480,00:00:56.670
"probability, they are",00:00:56.670,00:00:58.210
interested in a couple questions.,00:00:58.210,00:01:00.170
"So suppose that one of these
148 students is chosen",00:01:00.170,00:01:06.370
"randomly, and so we'll assume
that what that means is that",00:01:06.370,00:01:09.880
"each one has the same
probability of being chosen.",00:01:09.880,00:01:12.360
"So they're chosen uniformly
at random.",00:01:12.360,00:01:15.120
"And let's assign a couple
of random variables.",00:01:15.120,00:01:18.580
"So we'll say x corresponds to
the number of students in the",00:01:18.580,00:01:28.100
bus of the selected student.,00:01:28.100,00:01:40.010
"OK, so one of these 148 students
is selected uniformly",00:01:40.010,00:01:44.830
"at random, and we'll let x
correspond to the number of",00:01:44.830,00:01:47.670
"students in that
student's bus.",00:01:47.670,00:01:51.310
"So if a student from this bus
was chosen, then x would be",00:01:51.310,00:01:55.310
"25, for example.",00:01:55.310,00:01:57.750
"OK, and then let's come up with
another random variable,",00:01:57.750,00:02:00.340
"y, which is almost
the same thing.",00:02:00.340,00:02:04.430
"Except instead of now selecting
a random student,",00:02:04.430,00:02:08.789
we'll select a random bus.,00:02:08.789,00:02:11.920
"Or equivalently, we'll select
a random bus driver.",00:02:11.920,00:02:17.110
"So each bus has one driver, and
instead of selecting one",00:02:17.110,00:02:20.390
"of the 148 students at random,
we'll select one of the four",00:02:20.390,00:02:23.320
"bus drivers also uniformly
at random.",00:02:23.320,00:02:26.620
"And we'll say the number
of students in that",00:02:26.620,00:02:30.110
driver's bus will be y.,00:02:30.110,00:02:32.930
"So for example, if this bus
driver was selected, then y",00:02:32.930,00:02:36.940
would be 33.,00:02:36.940,00:02:38.820
"OK, so the main problem that
we're trying to answer is what",00:02:38.820,00:02:44.640
"do you expect the
expectation--",00:02:44.640,00:02:47.270
"which one of these random
variables do you expect to",00:02:47.270,00:02:48.910
"have the higher expectation or
the higher expected value?",00:02:48.910,00:02:53.050
"So, would you expect
x to be higher on",00:02:53.050,00:02:56.280
"average, or y to be higher?",00:02:56.280,00:02:58.050
"And what would be the
intuition for this?",00:02:58.050,00:03:00.620
"So obviously, we can actually
write out the",00:03:00.620,00:03:02.910
PMFs for x and y.,00:03:02.910,00:03:03.990
"These are just discrete
random variables.",00:03:03.990,00:03:05.780
"And we can actually calculate
out what the expectation is.",00:03:05.780,00:03:08.170
"But it's also useful to exercise
your intuition, and",00:03:08.170,00:03:11.190
"your sense of what the
answer should be.",00:03:11.190,00:03:14.260
"So it might not be immediately
clear which one would be",00:03:14.260,00:03:18.420
"higher, or you might even say
that maybe it doesn't make a",00:03:18.420,00:03:20.640
difference.,00:03:20.640,00:03:21.280
They're actually the same.,00:03:21.280,00:03:23.350
"But a useful way to approach
some of these questions is to",00:03:23.350,00:03:27.800
"try to take things to
the extreme and see",00:03:27.800,00:03:30.360
how that plays out.,00:03:30.360,00:03:31.440
"So let's take the simpler
example and take it to the",00:03:31.440,00:03:33.580
"extreme and say, suppose a set
of four buses carrying these",00:03:33.580,00:03:37.260
number of students.,00:03:37.260,00:03:38.370
We have only two buses--,00:03:38.370,00:03:39.620
"one bus that has only 1 student,
and we have another",00:03:39.620,00:03:49.280
"bus that has 1,000 students.",00:03:49.280,00:03:57.280
OK.,00:03:57.280,00:03:58.370
"And suppose we ask the
same question.",00:03:58.370,00:04:00.840
"Well, now if you look at it,
there's a total of 1,001",00:04:00.840,00:04:05.880
students now.,00:04:05.880,00:04:06.850
"If you select one of the
students at random, it's",00:04:06.850,00:04:10.770
"overwhelmingly more likely that
that student will be one",00:04:10.770,00:04:14.040
"of the 1,000 students
on this huge bus.",00:04:14.040,00:04:17.140
"It's very unlikely that you'll
get lucky and select the one",00:04:17.140,00:04:20.630
student who is by himself.,00:04:20.630,00:04:23.140
"And so because of that, you
have a very high chance of",00:04:23.140,00:04:27.210
"selecting the bus with the
high number of students.",00:04:27.210,00:04:30.930
"And so you would expect
x, the number of",00:04:30.930,00:04:33.710
"students, to be high--",00:04:33.710,00:04:37.490
"to be almost 1,000 in
the expectation.",00:04:37.490,00:04:40.590
"But on the other hand, if you
selected the driver at random,",00:04:40.590,00:04:44.840
"then you have a 50/50
chance of selecting",00:04:44.840,00:04:46.880
this one or that one.,00:04:46.880,00:04:48.430
"And so you would expect the
expectation there to be",00:04:48.430,00:04:54.210
roughly 500 or so.,00:04:54.210,00:04:56.160
"And so you can see that if you
take this to the extreme, then",00:04:56.160,00:04:59.740
"it becomes more clear what
the answer would be.",00:04:59.740,00:05:03.240
"And the argument is that the
expectation of x should be",00:05:03.240,00:05:06.650
"higher than the expectation of
y, and the reason here is that",00:05:06.650,00:05:10.930
"because you select the student
at random, you're more likely",00:05:10.930,00:05:14.250
"to select a student who is in a
large bus, because that bus",00:05:14.250,00:05:18.410
