text,start,stop
 ,00:00:00.000,00:00:00.433
Hi.,00:00:00.433,00:00:01.300
"In the session, we'll
be solving",00:00:01.300,00:00:02.780
the Monty Hall problem.,00:00:02.780,00:00:04.500
"And this problem is based on
an old game show that was",00:00:04.500,00:00:07.190
"called ""Let's Make a Deal.""
And the host of this game",00:00:07.190,00:00:09.930
"show, his name was Monty Hall,
which is why this problem is",00:00:09.930,00:00:13.170
"now known as the Monty
Hall problem.",00:00:13.170,00:00:15.570
"And this problem is actually
pretty well-known, because",00:00:15.570,00:00:18.840
"there was some disagreement at
the time over what the right",00:00:18.840,00:00:21.450
"answer to this problem
should be.",00:00:21.450,00:00:24.330
"Even some really smart people
didn't agree on what the right",00:00:24.330,00:00:27.800
answer should be.,00:00:27.800,00:00:29.360
"And part of what might explain
that disagreement is that they",00:00:29.360,00:00:36.040
"probably were considering
slightly different variations",00:00:36.040,00:00:38.110
"of the problem, because as in
all probability problems, the",00:00:38.110,00:00:43.220
"assumptions that you're
working with are very",00:00:43.220,00:00:44.930
"important, because otherwise you
may be solving an actually",00:00:44.930,00:00:48.860
different problem.,00:00:48.860,00:00:50.080
"And so what we'll do first is
really layout concretely what",00:00:50.080,00:00:54.480
"all the assumptions are, what
the rules of the game are.",00:00:54.480,00:00:56.760
"And then we'll go through the
methodology to solve for the",00:00:56.760,00:01:00.190
actual answer.,00:01:00.190,00:01:02.350
"So the game is actually
relatively simple.",00:01:02.350,00:01:07.530
"So you're on a game
show and you're",00:01:07.530,00:01:10.820
presented with three doors.,00:01:10.820,00:01:12.490
These doors are closed.,00:01:12.490,00:01:13.720
"And behind one of these doors is
a prize, let's say, a car.",00:01:13.720,00:01:17.940
"And behind the other two
doors, there's nothing.",00:01:17.940,00:01:20.840
"You don't know which
one it is.",00:01:20.840,00:01:22.790
"And the rules of the game are
that, first, you get to choose",00:01:22.790,00:01:26.170
any one of these three.,00:01:26.170,00:01:27.800
"So you pick one of the
doors that you want.",00:01:27.800,00:01:31.820
"They don't show you what's
behind that door, but your",00:01:31.820,00:01:35.620
"friend, who actually knows
which door has the prize",00:01:35.620,00:01:38.890
"behind it, will look at
the remaining doors.",00:01:38.890,00:01:41.630
"So let's, just for example,
let's say you chose door one.",00:01:41.630,00:01:45.640
"Your friend will look at
the other two doors",00:01:45.640,00:01:48.900
and open one of them.,00:01:48.900,00:01:51.240
"And you will make sure
that the one",00:01:51.240,00:01:53.370
that he opens is empty.,00:01:53.370,00:01:54.950
"That is the prize not
behind that one.",00:01:54.950,00:01:57.390
"And at this point, one of the
doors is open and its empty,",00:01:57.390,00:02:01.810
"you have your original door plus
another unopened door.",00:02:01.810,00:02:05.130
"And you're given an option--
you could either stay with",00:02:05.130,00:02:07.360
"your initial choice or
you can switch to the",00:02:07.360,00:02:10.789
other unopened door.,00:02:10.789,00:02:12.150
"And whichever one is your
final choice, they",00:02:12.150,00:02:14.780
will open that door.,00:02:14.780,00:02:15.830
"And if there's a price behind
it, you win, and if there not,",00:02:15.830,00:02:18.830
