text,start,stop
 ,00:00:00.000,00:00:00.250
"In this problem, we will be
helping Romeo and Juliet meet",00:00:00.250,00:00:02.310
up for a date.,00:00:02.310,00:00:03.420
"And in the process, also we'll
review some concepts in basic",00:00:03.420,00:00:06.450
"probability theory, including
sample spaces",00:00:06.450,00:00:09.950
and probability laws.,00:00:09.950,00:00:12.840
"This problem, the basic setup
is that Romeo and Juliet are",00:00:12.840,00:00:16.550
trying to meet up for a date.,00:00:16.550,00:00:18.040
"And let's say they're trying
to meet up for",00:00:18.040,00:00:19.510
lunch tomorrow at noon.,00:00:19.510,00:00:20.910
"But they're not necessarily
punctual.",00:00:20.910,00:00:22.610
"So they may arrive on time with
a delay of 0, or they may",00:00:22.610,00:00:27.840
"actually be up to 1 hour late
and arrive at 1:00 PM.",00:00:27.840,00:00:31.860
"So the other thing that we
assume in this problem is that",00:00:31.860,00:00:34.800
"all pairs of arrival times-- so
the time that Romeo arrives",00:00:34.800,00:00:38.380
"paired with the time they
Juliet arrives--",00:00:38.380,00:00:40.290
"all of these pairs are
equally likely.",00:00:40.290,00:00:43.090
"And I've put this in quotes,
because we haven't really",00:00:43.090,00:00:45.090
"specify exactly what
this means.",00:00:45.090,00:00:46.710
"And we'll come back to
that in a little bit.",00:00:46.710,00:00:49.450
"The last important thing is that
each person will wait for",00:00:49.450,00:00:52.320
"15 minutes for the other
person to arrive.",00:00:52.320,00:00:54.730
"If within that 15-minute
window the other person",00:00:54.730,00:00:56.780
"doesn't arrive, then they'll
give up and they'll end up not",00:00:56.780,00:01:00.660
meeting up for lunch.,00:01:00.660,00:01:02.480
"So to solve this problem, let's
first try to set up a",00:01:02.480,00:01:05.630
"sample space and come up with a
probability law to describe",00:01:05.630,00:01:09.550
this scenario.,00:01:09.550,00:01:12.370
"And let's actually start
with a simpler",00:01:12.370,00:01:15.350
version of this problem.,00:01:15.350,00:01:16.520
"And instead of assuming that
they can arrive at any delay",00:01:16.520,00:01:21.330
"between 0 and 1 hour, let's
pretend instead that Romeo and",00:01:21.330,00:01:25.510
"Juliet can only arrive in
15-minute increments.",00:01:25.510,00:01:29.000
"So Romeo can arrive on time
with a delay 0, or be 15",00:01:29.000,00:01:33.420
"minutes late, 30 minutes
late, 45 minutes",00:01:33.420,00:01:35.630
"late, or one hour late.",00:01:35.630,00:01:36.870
"But none of the other
times are possible.",00:01:36.870,00:01:39.630
And the same thing for Juliet.,00:01:39.630,00:01:40.880
 ,00:01:40.880,00:01:43.720
"Let's start out with just the
simple case first, because it",00:01:43.720,00:01:46.020
"helps us get the intuition for
the problem, and it's an",00:01:46.020,00:01:49.220
easier case to analyze.,00:01:49.220,00:01:50.470
 ,00:01:50.470,00:01:53.250
"So it's actually easy
to visualize this.",00:01:53.250,00:01:55.530
"It's a nice visual tool
to group this sample",00:01:55.530,00:01:58.760
space into a grid.,00:01:58.760,00:02:00.420
"So the horizontal axis here
represents the arrival time of",00:02:00.420,00:02:03.400
"Romeo, and the vertical
axis represents the",00:02:03.400,00:02:05.670
arrival time of Juliet.,00:02:05.670,00:02:07.870
"And so, for example, this point
here would represent",00:02:07.870,00:02:17.680
"Romeo arriving 15 minutes
late and Juliet",00:02:17.680,00:02:20.690
arriving 30 minutes late.,00:02:20.690,00:02:23.320
"So this is our sample
space now.",00:02:23.320,00:02:24.950
This is our omega.,00:02:24.950,00:02:28.270
"And now let's try to assign
a probability law.",00:02:28.270,00:02:31.180
"And we'll continue to assume
that all pairs of arrival",00:02:31.180,00:02:34.170
times are equally likely.,00:02:34.170,00:02:35.620
"And now we can actually
specifically specify what this",00:02:35.620,00:02:40.180
term means.,00:02:40.180,00:02:41.380
"And in particular, we'll be
invoking the discrete uniform",00:02:41.380,00:02:44.540
"law, which basically says that
all of these points, which are",00:02:44.540,00:02:48.390
"just outcomes in our
probabilistic experiment--",00:02:48.390,00:02:53.790
"all of these outcomes
are equally likely.",00:02:53.790,00:02:56.670
"And so since there are 25 of
them, each one of these",00:02:56.670,00:03:00.060
"outcomes has a probability
of 1 over 25.",00:03:00.060,00:03:03.860
"So now we've specified our
sample space and our",00:03:03.860,00:03:06.250
probability law.,00:03:06.250,00:03:07.440
"So now let's try to answer
the question, what is the",00:03:07.440,00:03:09.840
