text,start,stop
&gt;&gt; [MUSIC PLAYING],00:00:00.000,00:00:12.410
&gt;&gt; DAVID MALAN: All right.,00:00:12.410,00:00:12.830
Welcome back.,00:00:12.830,00:00:13.370
"This is CS50, and this is
Week One, Continued.",00:00:13.370,00:00:16.510
"So one of the reasons we've been passing
around technologies like",00:00:16.510,00:00:20.050
"Google Glass is that they come with
something known as an API, an",00:00:20.050,00:00:24.120
Application Programming Interface.,00:00:24.120,00:00:25.980
"And what this means is that with the
right files and with the right",00:00:25.980,00:00:28.830
"documentation, you can actually write
software for even devices like these.",00:00:28.830,00:00:32.850
"&gt;&gt; And so what we have in mind toward
semesters end is, if a project",00:00:32.850,00:00:36.200
"involving, say, Google Glass might
appeal, we'll see what we can do in",00:00:36.200,00:00:39.310
"terms of hooking you up with some
loaner hardware as well as the",00:00:39.310,00:00:42.220
"publicly-accessible API so that you can
actually start creating software",00:00:42.220,00:00:46.500
that runs on that same Google Glass.,00:00:46.500,00:00:48.630
"&gt;&gt; Another device that we've been playing
with of late that we thought might be",00:00:48.630,00:00:51.710
"fun at semester's end is
this little thing here.",00:00:51.710,00:00:53.910
"It's called Leap Motion, and what you're
about to see is technically an",00:00:53.910,00:00:56.860
"advertisement for the device, but it
does speak to what this particular",00:00:56.860,00:01:00.280
device is capable of.,00:01:00.280,00:01:01.240
"And it, too, comes with an API via
which you can write software to",00:01:01.240,00:01:05.550
"control your own computer in a manner
quite like this one-minute film here.",00:01:05.550,00:01:10.545
&gt;&gt; [VIDEO PLAYBACK],00:01:10.545,00:01:12.070
&gt;&gt; [END VIDEO PLAYBACK],00:02:08.002,00:02:08.590
"&gt;&gt; So right now, this device happens to
be implemented as a little USB",00:02:08.590,00:02:11.190
"connector that you can plug into your
computer, but I wouldn't be surprised",00:02:11.190,00:02:14.290
"if before long we have these kinds of
technologies in the next batch of PCs",00:02:14.290,00:02:17.930
"and Macs so that you can, indeed,
interact with it in",00:02:17.930,00:02:20.510
a manner like that.,00:02:20.510,00:02:21.650
"In fact, what I thought I'd do, too, is
I pulled up a little demonstration",00:02:21.650,00:02:24.250
program that comes with this software.,00:02:24.250,00:02:25.860
"So I've put the little sensor
in front of my laptop.",00:02:25.860,00:02:28.700
"&gt;&gt; And as you can see, it already realizes
that my hand is there",00:02:28.700,00:02:32.420
controlling it.,00:02:32.420,00:02:33.400
"And all this application does is
swimmingly little things like this.",00:02:33.400,00:02:37.900
"But you can see that, indeed,
I have five fingers there.",00:02:37.900,00:02:41.080
"If we can get it to do all 10,
you can imagine a neat piano",00:02:41.080,00:02:44.270
application or the like.,00:02:44.270,00:02:45.390
"So if you'd like to come up after class
today and play with that as",00:02:45.390,00:02:47.820
"well, you are welcome to.",00:02:47.820,00:02:49.720
So more on that toward semester's end.,00:02:49.720,00:02:52.930
"&gt;&gt; So a couple of administrative
announcements.",00:02:52.930,00:02:54.420
"One, do section by this Friday
at noon at cs60.net/section.",00:02:54.420,00:02:58.690
"That URL is on the course's
homepage as well.",00:02:58.690,00:03:01.260
"In the meantime, though, supersections
will debut this Sunday.",00:03:01.260,00:03:04.010
"Supersections are a one-time thing,
because it takes us some time to work",00:03:04.010,00:03:07.800
out who's in which section and where.,00:03:07.800,00:03:09.470
"&gt;&gt; So this coming Sunday, there'll be one
section for those less comfortable,",00:03:09.470,00:03:12.280
"one section for those
more comfortable.",00:03:12.280,00:03:14.040
"And those of you somewhere in
between are welcome to go to",00:03:14.040,00:03:16.110
either or both or neither.,00:03:16.110,00:03:17.850
Both of these will be filmed.,00:03:17.850,00:03:19.150
"They'll be in a larger auditorium than
a section normally would be in.",00:03:19.150,00:03:22.740
"But the goal here is to equip you with
some comfort with problem set one,",00:03:22.740,00:03:26.110
"with C, with the CS50 appliance, this
weekend, even before you find out your",00:03:26.110,00:03:29.910
formal section assignment.,00:03:29.910,00:03:31.050
"So you'll meet your TF and your smaller
group of sectionmates in about",00:03:31.050,00:03:34.700
a week's time.,00:03:34.700,00:03:36.350
"&gt;&gt; Office hours, meanwhile,
have been going on.",00:03:36.350,00:03:38.200
"Do take advantage of them tonight or
tomorrow night if you would like.",00:03:38.200,00:03:41.020
Problem set 0 is due on Friday.,00:03:41.020,00:03:43.460
"This is a day later than the
regularly-scheduled Thursday.",00:03:43.460,00:03:46.680
"But with problem set 1, you'll see
that it includes some warm-up",00:03:46.680,00:03:50.410
"exercises with which you yourself
can extend your",00:03:50.410,00:03:52.770
Thursday deadline to Friday.,00:03:52.770,00:03:54.660
"Problem set 1, meanwhile, will debut
on the course's website this coming",00:03:54.660,00:03:58.410
"Friday, if you'd like to curl up with
it as I did once upon a time late",00:03:58.410,00:04:02.000
Friday night in your room.,00:04:02.000,00:04:04.370
"&gt;&gt; So cs50.net/appliance is the place where
you can get the CS50 appliance",00:04:04.370,00:04:07.660
that we started using on Monday.,00:04:07.660,00:04:09.040
We'll use it a bit more today.,00:04:09.040,00:04:10.140
"But rest assured that the problem set 1
specification will walk you through",00:04:10.140,00:04:14.040
