text,start,stop
"&gt;&gt; DAVID MALAN: This is CS50, and this
is the start of week one.",00:00:11.375,00:00:14.430
"And what we thought we'd do is pull back
the curtain of a device that many",00:00:14.430,00:00:17.930
"of you have probably walked past now
for years, but perhaps never quite",00:00:17.930,00:00:20.970
known what it is.,00:00:20.970,00:00:22.280
"So this device will probably look
familiar to most of you by now.",00:00:22.280,00:00:26.000
&gt;&gt; [VIDEO PLAYBACK],00:00:26.000,00:00:32.972
"&gt;&gt; -A triumph of mathematical and
mechanical skill is this great new",00:00:32.972,00:00:36.150
"automatic calculator at
Harvard University.",00:00:36.150,00:00:39.120
"Intricate problems in mathematics put
through the machine in coded form on",00:00:39.120,00:00:43.220
"tape are accurately solved in a minute
fraction of the time required for",00:00:43.220,00:00:47.840
human calculation.,00:00:47.840,00:00:49.090
"&gt;&gt; Designed to expedite all forms of
mathematical and scientific research,",00:01:00.090,00:01:04.080
"the giant mechanical brain will
work for the United States",00:01:04.080,00:01:07.860
Navy until war's end.,00:01:07.860,00:01:09.180
&gt;&gt; [END VIDEO PLAYBACK],00:01:18.180,00:01:18.600
"&gt;&gt; DAVID MALAN: So that's what you see in
the Science Center, which is where",00:01:18.600,00:01:21.980
that machine is now housed.,00:01:21.980,00:01:23.540
You actually only see part of it.,00:01:23.540,00:01:25.910
"Only a portion is currently on display,
and that's a device called",00:01:25.910,00:01:28.800
"the Mark I, and it was essentially
a really huge calculator.",00:01:28.800,00:01:31.970
"It was succeeded by the Mark II, and
it's from the Mark II that we actually",00:01:31.970,00:01:36.250
get a bit of lexicon.,00:01:36.250,00:01:39.210
"&gt;&gt; This is the first recorded instance of
something you're about to become all",00:01:39.210,00:01:43.780
"too familiar with over the
course of the semester--",00:01:43.780,00:01:45.860
"namely, a bug.",00:01:45.860,00:01:48.460
"So it turned out at one point the Mark
II device was not functioning",00:01:48.460,00:01:52.030
"properly, and upon closer inspection,
there was indeed a bug-- a moth--",00:01:52.030,00:01:55.930
that moth--,00:01:55.930,00:01:56.910
inside.,00:01:56.910,00:01:57.610
"And ever since, we have referred to
mistakes in programs as bugs.",00:01:57.610,00:02:03.130
So more on that to come.,00:02:03.130,00:02:05.330
"&gt;&gt; Speaking of video as well, if you
haven't already, know that CS50 is",00:02:05.330,00:02:08.919
obviously filmed.,00:02:08.919,00:02:09.669
"The lectures typically go up right after
class in sort of a pre-release",00:02:09.669,00:02:13.330
"unedited format, and then a day or two
later, we put up a higher resolution",00:02:13.330,00:02:17.240
and higher quality version.,00:02:17.240,00:02:18.490
"You may recall Vanessa, who had the
fortune of playing with Google Glass,",00:02:18.490,00:02:21.800
"which I remembered to
charge this time.",00:02:21.800,00:02:23.540
"So if you want to come up after class
and play, they should work today.",00:02:23.540,00:02:26.450
"And if you'd like to see what Vanessa
saw the other day, what you'll see",00:02:26.450,00:02:30.816
"here-- let me raise the volume
here on my laptop.",00:02:30.816,00:02:35.260
&gt;&gt; [VIDEO PLAYBACK],00:02:35.260,00:02:35.690
&gt;&gt; -So let me queue this is up.,00:02:35.690,00:02:37.620
All right.,00:02:37.620,00:02:38.070
So touch this.,00:02:38.070,00:02:40.930
All right.,00:02:40.930,00:02:41.720
"OK, Glass.",00:02:41.720,00:02:43.470
Record a video.,00:02:43.470,00:02:44.720
&gt;&gt; All right.,00:02:47.240,00:02:48.640
Vanessa?,00:02:48.640,00:02:50.446
&gt;&gt; [END VIDEO PLAYBACK],00:02:50.446,00:02:50.870
"&gt;&gt; DAVID MALAN: All right, so the reason
that it didn't work for most of you at",00:02:50.870,00:02:53.485
"the end of class was because I proceeded
to record an hour of that",00:02:53.485,00:02:56.540
"footage pointing at myself after
I put the glasses down.",00:02:56.540,00:02:59.505
"So today, I'll leave them off, but thank
you to Vanessa for being such a",00:02:59.505,00:03:04.010
good sport.,00:03:04.010,00:03:05.420
"&gt;&gt; Meanwhile, a couple of announcements
before we forge ahead today.",00:03:05.420,00:03:08.330
"So one, CS50 has a tradition of doing
what we can to try to make a very",00:03:08.330,00:03:11.120
large class feel smaller.,00:03:11.120,00:03:12.630
"And toward that end, most every Friday,
we gather at a restaurant in",00:03:12.630,00:03:16.640
"the square, Fire and Ice, with 30 or 40
of your classmates, myself, some of",00:03:16.640,00:03:20.160
"the teaching staff, and we just
have a very casual lunch.",00:03:20.160,00:03:22.520
"We often invite friends from industry,
alumni of the class, alumni of the",00:03:22.520,00:03:26.280
"college, really just to chat each
other up, talk about life after",00:03:26.280,00:03:30.340
"college, life in college,
and the like.",00:03:30.340,00:03:32.260
"So if you would like to partake in this
first such lunch this Friday at",00:03:32.260,00:03:35.570
"1:15 PM, head to that
URL at some point.",00:03:35.570,00:03:38.640
"&gt;&gt; Space is limited, so we'll do
first come first serve.",00:03:38.640,00:03:40.830
"But we'll do this again on a recurring
basis, so not to worry if you don't",00:03:40.830,00:03:43.880
make it into this first batch.,00:03:43.880,00:03:45.800
"&gt;&gt; Now, in terms of the resources provided
curricularly by the course,",00:03:45.800,00:03:48.960
"there's a whole slew, and if you haven't
pulled up the course's website",00:03:48.960,00:03:51.500
"already, in particular, under lectures,
you'll find that everything",00:03:51.500,00:03:54.310
"we did last week is there, both
in video and some sort",00:03:54.310,00:03:57.070
of electronic form.,00:03:57.070,00:03:58.435
"But beyond the videos, you'll find
that there are now full text",00:03:58.435,00:04:01.210
"transcripts, for instance,
of every lecture.",00:04:01.210,00:04:03.290
"&gt;&gt; So if we actually go back to this screen
here with Vanessa, and navigate",00:04:03.290,00:04:08.260
"to the bottom corner of the screen,
you'll find that actually, not for",00:04:08.260,00:04:12.010
"Friday's lecture, but if we go back to
Wednesday, since this feature takes a",00:04:12.010,00:04:15.060
"few days, you'll find that you can
actually pull up, for better or for",00:04:15.060,00:04:17.870
"worse, every word that I or
a volunteer on stage said.",00:04:17.870,00:04:22.260
And more than just that.,00:04:22.260,00:04:23.270
"You can actually search it, you can
click on any of those sentences, jump",00:04:23.270,00:04:25.700
"to that point in the video, all toward
and end of making the material all the",00:04:25.700,00:04:29.250
more navigable.,00:04:29.250,00:04:30.620
"&gt;&gt; But if you'd rather not follow it
in such detail, you'll find, for",00:04:30.620,00:04:34.550
"instance, this little menu here for 1.5x
speed, 2x speed, or i f I already",00:04:34.550,00:04:39.710
"speak too fast for you, 0.75x speed.",00:04:39.710,00:04:42.100
"So realize all of that is
available there for you.",00:04:42.100,00:04:45.190
"&gt;&gt; But beyond that, for lectures, realize
that we also make these resources",00:04:45.190,00:04:49.120
available as well.,00:04:49.120,00:04:50.530
"Slides, example code, anything that I
do on stage or in advance of class,",00:04:50.530,00:04:55.240
"we'll post there so that you can play
along at home or in Sanders.",00:04:55.240,00:04:58.160
"But what we also thought we'd do this
year for the first time is also",00:04:58.160,00:05:01.280
"provide you with walkthroughs
of these examples.",00:05:01.280,00:05:04.240
"Increasingly, as I've reflected on the
value of CS50's lectures, I've begun",00:05:04.240,00:05:08.120
"to question just how useful it is for
you guys to sit there, for me to stand",00:05:08.120,00:05:11.450
"here, and for me to talk at you,
particularly as the material, the",00:05:11.450,00:05:15.020
"examples, get more complex.",00:05:15.020,00:05:17.020
"Because invariably, after some number of
minutes, someone will zone out, and",00:05:17.020,00:05:20.790
"then you miss some key insight of some
example, and then you're essentially",00:05:20.790,00:05:24.310
"gone for the remaining portion of class,
which is not the best use of",00:05:24.310,00:05:27.720
"your time, or, really, ours
collectively as a class.",00:05:27.720,00:05:31.330
"&gt;&gt; And so what we thought we'd try to do,
particularly for some of the more",00:05:31.330,00:05:33.920
"complex examples that I might not do
justice to in class, that we might not",00:05:33.920,00:05:37.700
"have time for in class, or you might
just zone out during, is we'll produce",00:05:37.700,00:05:41.560
"a series of walkthroughs of these
examples so that if you go to, for",00:05:41.560,00:05:45.500
"instance, last Friday's video page here
under examples, you'll see that",00:05:45.500,00:05:51.410
"for Friday, there's now this
link to walkthroughs.",00:05:51.410,00:05:54.050
"And the format of these
will change over time.",00:05:54.050,00:05:55.780
"For now, we're using a simple
YouTube playlist.",00:05:55.780,00:05:58.080
"&gt;&gt; But what I did with our production team
afterwards was walk through each",00:05:58.080,00:06:00.980
"and every one of those examples again,
hopefully pointing out in much greater",00:06:00.980,00:06:04.480
"clarity exactly what the takeaways
could be or should be from each.",00:06:04.480,00:06:07.550
