text,start,stop
&gt;&gt; [MUSIC],00:00:00.000,00:00:11.214
&gt;&gt; DAVID J. MALAN: All right.,00:00:11.214,00:00:11.661
"So this is CS50 and this
is the end of week 10.",00:00:11.661,00:00:15.400
"So some of you might have seen this
already, but being circulated of late",00:00:15.400,00:00:20.420
"is an article that I thought I'd read
an excerpt from and then show you a",00:00:20.420,00:00:25.800
"three minute video that paints
the same picture.",00:00:25.800,00:00:27.800
"It was really a touching story, I
thought, of this intersection of the",00:00:27.800,00:00:30.950
"real world with genuinely compelling
uses of technology.",00:00:30.950,00:00:35.210
"&gt;&gt; So the article was entitled, ""A boy
oversleeps on train, uses Google Maps",00:00:35.210,00:00:39.785
"to find family 25 years later."" And the
first couple of paragraphs were,",00:00:39.785,00:00:44.930
"""When Saroo was five years old he went
with his older brother to scrounge for",00:00:44.930,00:00:48.820
"change on a passenger train
in a town about two hours",00:00:48.820,00:00:51.830
from his small hometown.,00:00:51.830,00:00:53.510
"Saroo became tired and hopped on a
nearby train where he thought his",00:00:53.510,00:00:56.790
"brother was, then fell asleep.",00:00:56.790,00:00:58.880
"When he woke up he was in Calcutta,
nearly 900 miles away.",00:00:58.880,00:01:03.360
"Saroo tried to find his way
back, but he didn't know",00:01:03.360,00:01:05.770
the name of his hometown.,00:01:05.770,00:01:07.260
"And as a tiny illiterate boy in a vast
city full of forgotten children he had",00:01:07.260,00:01:11.430
virtually no chance of getting home.,00:01:11.430,00:01:13.520
"&gt;&gt; He was a street child for a while until
a local adoption agency hooked",00:01:13.520,00:01:16.760
"him up with an Australian couple
who brought him to",00:01:16.760,00:01:18.840
"live in Hobart, Tasmania.",00:01:18.840,00:01:20.600
"Saroo moved there, learned
English, and grew up.",00:01:20.600,00:01:23.130
"But he never stopped looking for
his family and his hometown.",00:01:23.130,00:01:27.450
"&gt;&gt; Decades later, he discovered Google
Earth and followed rail tracks.",00:01:27.450,00:01:32.380
"And giving himself a prescribed radius
based on how long he thought he was",00:01:32.380,00:01:36.140
"asleep and how fast he thought the train
was going, he knew he'd grown up",00:01:36.140,00:01:40.020
"in a warm climate, he knew he spoke
Hindi as a child, and he'd been told",00:01:40.020,00:01:43.930
"that he looked like he
was from East India.",00:01:43.930,00:01:46.160
"&gt;&gt; Finally, after years of scouring
the satellite photos, he",00:01:46.160,00:01:49.650
recognized a few landmarks.,00:01:49.650,00:01:51.340
"And after chatting with an administrator
of a nearby town's",00:01:51.340,00:01:54.180
"Facebook page, he realized
he'd found home.""",00:01:54.180,00:01:57.740
"&gt;&gt; So here then is the video telling
that tale from his perspective.",00:01:57.740,00:02:03.770
&gt;&gt; [VIDEO PLAYBACK],00:02:03.770,00:02:04.025
"&gt;&gt; -It was 26 years ago and I was
just about to turn five.",00:02:04.025,00:02:07.480
"We got to the train station and
we boarded a train together.",00:02:07.480,00:02:10.539
"My brother just said I'll stay
here and I'll come back.",00:02:10.539,00:02:13.390
"And I just thought, well, you know, I
might as well just go to sleep and",00:02:13.390,00:02:16.363
then he'll just wake me up.,00:02:16.363,00:02:17.950
"And when I wake up the next day, the
whole carriage was empty on a runaway",00:02:17.950,00:02:21.740
"train, a ghost train taking
me I don't know where.",00:02:21.740,00:02:24.305
"&gt;&gt; I was adopted out to Australia
to a Australian family.",00:02:27.120,00:02:31.660
"And Mom had decorated my room with
the map of India, which she",00:02:31.660,00:02:35.360
put next to my bedside.,00:02:35.360,00:02:37.090
"I woke up every morning seeing that map,
and hence, it sort of kept the",00:02:37.090,00:02:42.170
memories alive.,00:02:42.170,00:02:43.740
"&gt;&gt; People would say, you're trying to
find a needle in a haystack.",00:02:43.740,00:02:46.475
"Saroo, you'll never find it.",00:02:46.475,00:02:49.060
"I'd have flashes of the places that
I used to go, the flashes",00:02:49.060,00:02:52.510
of my family's faces.,00:02:52.510,00:02:55.050
"There was the image of my mother sitting
down with her legs crossed",00:02:55.050,00:02:59.200
just watching her cry.,00:02:59.200,00:03:00.610
Life is just so hard.,00:03:00.610,00:03:03.340
That was my treasure.,00:03:03.340,00:03:06.002
"&gt;&gt; And I was looking in Google Map and
realized there's Google Earth as well.",00:03:06.002,00:03:09.390
"In a world where you could zoom into I
started to have all these thoughts and",00:03:09.390,00:03:13.560
"what possibilities that
this could do for me.",00:03:13.560,00:03:16.650
"I said to myself, well, you know,
you've got all the photographic",00:03:16.650,00:03:19.520
"memories and landmarks where you're
from and you know what",00:03:19.520,00:03:22.340
the town looks like.,00:03:22.340,00:03:23.460
"This could be an application that you
can use to find your way back.",00:03:23.460,00:03:27.910
"&gt;&gt; I thought, well, I'll put a dot on
Calcutta Train Station in a radius",00:03:27.910,00:03:32.750
"line that you should be searching
around this area.",00:03:32.750,00:03:36.350
I came across these train tracks.,00:03:36.350,00:03:38.850
"And I started following it and I came to
a train station which reflected the",00:03:38.850,00:03:44.490
same image that was in my memories.,00:03:44.490,00:03:48.260
&gt;&gt; Everything matched.,00:03:48.260,00:03:49.730
"I just thought, yep.",00:03:49.730,00:03:50.800
I know where I'm going.,00:03:50.800,00:03:51.545
"I'm just going to let the map that I
have in my head to lead me and take me",00:03:51.545,00:03:55.387
back to my hometown.,00:03:55.387,00:03:58.230
"&gt;&gt; I came to the doorstep of the house
that I was born and walked around",00:03:58.230,00:04:02.290
"about fifteen meters
around the corner.",00:04:02.290,00:04:04.270
"There was three ladies standing outside
adjacent to each other.",00:04:04.270,00:04:08.140
And the middle one stepped forward.,00:04:08.140,00:04:10.230
"And I just thought, this
is your mother.",00:04:10.230,00:04:12.910
"She came forward, she hugged me, and we
were there for about five minutes.",00:04:12.910,00:04:18.590
"&gt;&gt; She grabbed my hand and she took me to
the house and got on the phone and she",00:04:21.670,00:04:25.787
"rang my sister and my brother to say
that your brother has just all of the",00:04:25.787,00:04:31.110
sudden appeared like a ghost.,00:04:31.110,00:04:34.480
"&gt;&gt; And then the family was
reunited again.",00:04:34.480,00:04:37.590
Everything's all good.,00:04:37.590,00:04:38.570
I help my mother out.,00:04:38.570,00:04:40.250
She doesn't have to be slaving away.,00:04:40.250,00:04:42.240
"She can lead the rest of
her life in peace.",00:04:42.240,00:04:45.040
"&gt;&gt; It was a needle in a haystack,
but the needle was there.",00:04:45.040,00:04:48.590
Everything's there.,00:04:48.590,00:04:49.530
"Everything we have in the world
is the tap of a button.",00:04:49.530,00:04:53.410
"But you've got to have the will and
the determination to wanting it.",00:04:53.410,00:04:57.375
&gt;&gt; [END VIDEO PLAYBACK],00:05:02.310,00:05:02.780
&gt;&gt; So a really sweet story.,00:05:02.780,00:05:04.220
"And it actually reminds me of quite a
topic that's been getting quite a bit",00:05:04.220,00:05:08.430
"of attention of late in The Crimson,
more nationally in general.",00:05:08.430,00:05:11.200
"Especially as MOOCs are taking
the stage of late.",00:05:11.200,00:05:13.620
"MOOCs being these massive and open
online courses of which CS50 is one.",00:05:13.620,00:05:17.370
"&gt;&gt; And people talking about how, for
instance, the humanities aren't really",00:05:17.370,00:05:20.680
"catching up or aren't nearly as
in vogue as they once were.",00:05:20.680,00:05:23.900
"And I would encourage you guys, much
like Jonathan did on Monday, to think",00:05:23.900,00:05:26.680
"about as you exit 50, and we know
already about 50% of you will not",00:05:26.680,00:05:29.900
"continue on to take another computer
science course, and that's totally",00:05:29.900,00:05:32.480
fine and expected.,00:05:32.480,00:05:33.770
"Because one of the overarching goals
of a class like this is really to",00:05:33.770,00:05:36.620
"empower you guys with just an
understanding of how all of this stuff",00:05:36.620,00:05:39.790
"works and how this world
of technology works.",00:05:39.790,00:05:41.760
"&gt;&gt; So that when you are back in your own
worlds, whether it's pre-med or",00:05:41.760,00:05:45.400
"whether it's the humanities or the
social sciences or some other field",00:05:45.400,00:05:48.270
"altogether, that you guys are bringing
some technical savvy to the table and",00:05:48.270,00:05:51.830
"helping to make smart decisions when
it comes to the use of and",00:05:51.830,00:05:54.770
"introduction of technology
into your world.",00:05:54.770,00:05:57.530
"&gt;&gt; For instance I was reminded of late
too of two of the undergraduate",00:05:57.530,00:06:00.410
"classes I took two years ago, which were
such simple uses of technology",00:06:00.410,00:06:04.410
but ever so compelling.,00:06:04.410,00:06:06.180
"First Nights with Professor Tom Kelly
if you've taken the class.",00:06:06.180,00:06:08.845
"It's a class on classical music on
this stage here where you learn a",00:06:08.845,00:06:11.640
little something about music.,00:06:11.640,00:06:13.190
"It's actually First Nights that CS50
borrowed the idea of tracks for those",00:06:13.190,00:06:17.770
"less comfortable in between
and more comfortable.",00:06:17.770,00:06:20.630
"&gt;&gt; In my time they had different tracks
for kids with absolutely no music",00:06:20.630,00:06:24.410
"experience like me, and then kids who
had been performing since they were",00:06:24.410,00:06:27.300
five years old.,00:06:27.300,00:06:28.240
"And that class, for instance, just had
a website like most any other, but it",00:06:28.240,00:06:31.200
"was a website that allowed you to
explore music on it and play back",00:06:31.200,00:06:34.210
"musical clips from class, from the web,
and just use technology in a very",00:06:34.210,00:06:39.120
seamless way.,00:06:39.120,00:06:40.210
"&gt;&gt; Another class years later that I
audited, essentially, in grad school,",00:06:40.210,00:06:44.460
"Anthro 1010, Introduction
to Archaeology here.",00:06:44.460,00:06:47.430
It was amazing.,00:06:47.430,00:06:48.190
"And one of the most compelling yet super
obvious, in retrospect, uses of",00:06:48.190,00:06:52.715
"software was that the professors in
that class used Google Earth.",00:06:52.715,00:06:56.000
"We were sitting across the street
in some lecture hall.",00:06:56.000,00:06:58.250
"And you couldn't travel, for instance,
to the Middle East to the dig that one",00:06:58.250,00:07:01.240
"of the professors had just come back on,
but we could do that virtually by",00:07:01.240,00:07:04.530
"flying around in Google Earth and
looking at a bird's eye view at the",00:07:04.530,00:07:07.870
"dig site he had just returned
from a week ago.",00:07:07.870,00:07:10.360
"&gt;&gt; So I would encourage you guys,
especially in the humanities, to go",00:07:10.360,00:07:12.630
"back to those departments after this
class bringing your final projects",00:07:12.630,00:07:16.260
"with you or ideas of your own, and see
just what you can do to infuse your",00:07:16.260,00:07:19.960
"own fields in humanities or beyond
with a little bit of this sort of",00:07:19.960,00:07:23.570
"thing that we've explored
here in CS50.",00:07:23.570,00:07:26.770
"&gt;&gt; So with that picture painted, thought
we'd try to tackle two things today.",00:07:26.770,00:07:31.790
"One, try to give you a sense of
where you can go after 50.",00:07:31.790,00:07:35.040
"And in particular, if you choose to
tackle a web based project as is",00:07:35.040,00:07:37.950
"incredibly common, how you can go
about taking off all of CS50's",00:07:37.950,00:07:42.580
"training wheels and going out there on
your own and not having to rely on a",00:07:42.580,00:07:45.810
PDF or a specification of a pset?,00:07:45.810,00:07:48.000
"Not having to rely on a CS50
appliance anymore.",00:07:48.000,00:07:50.510
"But can really pull yourself
up by your bootstraps.",00:07:50.510,00:07:52.780
"&gt;&gt; With that said, C-based final
projects are welcome.",00:07:52.780,00:07:55.790
"Things that use the stand for
a portable library in",00:07:55.790,00:07:58.020
graphics are welcome.,00:07:58.020,00:07:59.510
"We just know that statistically a lot of
people bite off projects in PHP and",00:07:59.510,00:08:03.240
"Python and Ruby and MySQL and other
environments, so we'll bias some of",00:08:03.240,00:08:07.860
our remarks toward that.,00:08:07.860,00:08:09.570
&gt;&gt; But a quick look back.,00:08:09.570,00:08:10.650
"So we took for granted in pset7 the
fact that $_SESSION existed.",00:08:10.650,00:08:15.940
