text,start,stop
&gt;&gt; SPEAKER 1: All right.,00:00:11.280,00:00:13.650
Welcome back.,00:00:13.650,00:00:14.390
"This is Week Two of CS50, and we have
thus far been using functions but",00:00:14.390,00:00:19.260
largely taken them for granted.,00:00:19.260,00:00:20.830
"We've used printf which has the
side effect of printing",00:00:20.830,00:00:23.430
things on the screen.,00:00:23.430,00:00:24.110
"We've used get-int, get float.",00:00:24.110,00:00:25.790
"&gt;&gt; But what if you actually want to create
your own functions, as some of",00:00:25.790,00:00:29.230
"you might have already begun to
do for Problem Set One, though",00:00:29.230,00:00:31.740
not strictly required?,00:00:31.740,00:00:33.140
"Well, let's go ahead and revisit that
problem of just asking the user for",00:00:33.140,00:00:37.150
"their name and printing something on the
screen, but try to factor out some",00:00:37.150,00:00:40.660
"of the commonality that we've
seen in our code thus far.",00:00:40.660,00:00:44.000
So by that I mean the following.,00:00:44.000,00:00:45.120
"&gt;&gt; I'm going to go ahead and create
a new program, just call",00:00:45.120,00:00:47.315
it hello.c as usual.,00:00:47.315,00:00:49.320
"I'm going to go ahead and give myself
include standard io.h at the top.",00:00:49.320,00:00:53.730
"I'm going to also give myself
preemptively the CS50 library so that",00:00:53.730,00:00:57.040
I don't get yelled at by the compiler.,00:00:57.040,00:00:59.080
"And now I'm going to go ahead
and declare int, main, void.",00:00:59.080,00:01:02.400
"&gt;&gt; And then in here, this is where I want
to begin to outsource functionality to",00:01:02.400,00:01:09.020
"some other function that I myself am
going to write but that doesn't",00:01:09.020,00:01:12.090
currently exist.,00:01:12.090,00:01:13.820
"For instance, suppose that I wanted to
write a function that allows me to",00:01:13.820,00:01:19.210
"print out hello, comma, and
then some user's name.",00:01:19.210,00:01:23.830
"Rather than continuing to do printf
hello, %s, wouldn't it be nice if",00:01:23.830,00:01:29.010
"there were just a function called
not printf but print name?",00:01:29.010,00:01:33.380
"&gt;&gt; So in other words, I want to be able to
write a program that does a little",00:01:33.380,00:01:36.600
something like this.,00:01:36.600,00:01:37.710
"First, I'm going to say printf your
name, thereby prompting the user to",00:01:37.710,00:01:42.070
"give me his or her name, and then I'm
going to use the familiar string s to",00:01:42.070,00:01:46.150
declare a string.,00:01:46.150,00:01:47.290
"Give me a variable of type string,
call it s, and store in that the",00:01:47.290,00:01:50.420
result of calling get string.,00:01:50.420,00:01:52.120
"But now in weeks past, I would have
somewhat tediously done hello, %s/n.",00:01:52.120,00:01:56.060
"&gt;&gt; And in other words, we've seen this
example a bunch of times, and it's a",00:01:58.630,00:02:02.570
"trivial example because there's just one
line of code so it's really not a",00:02:02.570,00:02:05.280
big deal to keep typing in again.,00:02:05.280,00:02:06.860
"But suppose that this line of code
actually were becoming a burden, and",00:02:06.860,00:02:09.990
"it's not one line of code but it's 10
lines of code a couple weeks from now,",00:02:09.990,00:02:12.900
"and you're just getting tired
of copying and pasting or",00:02:12.900,00:02:15.190
retyping that same code.,00:02:15.190,00:02:17.180
"Wouldn't it be nice instead of doing
printf hello, %s and so forth,",00:02:17.180,00:02:22.100
"wouldn't it be nice if there were just
a function called print name that",00:02:22.100,00:02:26.500
takes an argument--,00:02:26.500,00:02:27.560
"in other words, it takes input--",00:02:27.560,00:02:29.120
and then semicolon.,00:02:29.120,00:02:30.620
"So that function, wouldn't it
be nice if that existed?",00:02:30.620,00:02:33.240
"Then I wouldn't have to worry about
what printf is, what %s and all of",00:02:33.240,00:02:36.690
"these complexities that are
not all that interesting.",00:02:36.690,00:02:39.400
They are useful.,00:02:39.400,00:02:40.570
"&gt;&gt; So print name, unfortunately, was not
invented some 40 plus years ago.",00:02:40.570,00:02:44.700
No one thought to write it.,00:02:44.700,00:02:45.980
"But that's the beauty of having a
programming language, just like in",00:02:45.980,00:02:48.300
"Scratch you can define custom blocks, so
in C and most any language, can you",00:02:48.300,00:02:52.930
"define your own functionality, can
you define your own functions.",00:02:52.930,00:02:57.260
"So even though we get main by
automatically for free, we can declare",00:02:57.260,00:03:01.710
our own functions.,00:03:01.710,00:03:02.730
"&gt;&gt; So I'm going to make some room up here
up top, and I'm going to declare my",00:03:02.730,00:03:05.670
"own function that's going to look a
little strange at first but we'll come",00:03:05.670,00:03:08.210
back to this before long.,00:03:08.210,00:03:09.400
"I'm going to say void, thereby
indicating this function does",00:03:09.400,00:03:12.310
"something, has a side effect, but it
doesn't return something to me in the",00:03:12.310,00:03:16.040
"same way that get int or
get string itself does.",00:03:16.040,00:03:18.810
"And I'm going to give this function a
name of print name, and I'm going to",00:03:18.810,00:03:22.450
"specify that this guy is going to take
a string, and I'm going to call that",00:03:22.450,00:03:26.470
string name.,00:03:26.470,00:03:27.600
"I could call it anything I want, but I
want my code to be self-documenting.",00:03:27.600,00:03:32.100
"In other words, if one of you were to
open this file and read it, you could",00:03:32.100,00:03:34.770
"sort of infer from the name of that
input what role it's supposed to play.",00:03:34.770,00:03:39.020
"&gt;&gt; And now below that, I'm going to open
curly brace and closed curly brace,",00:03:39.020,00:03:42.270
"and so notice I've followed the same
pattern on lines four through seven as",00:03:42.270,00:03:47.140
"I've been following for a good week plus
now between, say, lines nine and",00:03:47.140,00:03:51.622
14 which compose main.,00:03:51.622,00:03:53.400
"In other words, print name
is another function.",00:03:53.400,00:03:56.160
"Now, the compiler is not going to know
to call this thing automatically",00:03:56.160,00:03:58.990
"because I literally just invented it,
but it will know still to call main",00:03:58.990,00:04:02.670
"automatically, and then of course in
line 13, I am calling my own function.",00:04:02.670,00:04:08.710
"And because I've declared that function
up on line four before main,",00:04:08.710,00:04:12.805
"this is going to teach the compiler
what quote, unquote, ""print name""",00:04:12.805,00:04:16.579
means and what it should do.,00:04:16.579,00:04:18.140
"So I'm sort of giving it a new custom
block in the context of, say, Scratch.",00:04:18.140,00:04:22.700
"&gt;&gt; So in here, I can put that very common
or recurring pattern of code I keep",00:04:22.700,00:04:27.240
"writing in class, printf
%s hello, %s/n"",--",00:04:27.240,00:04:32.300
what do I want to put here?,00:04:36.720,00:04:37.590
S?,00:04:37.590,00:04:39.200
So I want to put name in this context.,00:04:39.200,00:04:41.420
So notice a bit of a dichotomy here.,00:04:41.420,00:04:43.440
