text,start,stop
&gt;&gt; [MUSIC PLAYING],00:00:00.000,00:00:11.100
&gt;&gt; DAVID J. MALAN: All right.,00:00:11.100,00:00:11.490
So welcome back.,00:00:11.490,00:00:12.170
"This is CS50, and the is
the end of week three.",00:00:12.170,00:00:15.180
"&gt;&gt; So recall in the past several weeks,
we've been spending quite a bit of",00:00:15.180,00:00:17.770
"time on C, on programming, on syntax.",00:00:17.770,00:00:20.820
"And it's quite normal, if you're still
struggling with Problem Set 2, to be",00:00:20.820,00:00:24.680
banging your head against the wall.,00:00:24.680,00:00:25.950
"It's cryptic-looking error messages
and bugs that you",00:00:25.950,00:00:28.310
can't quite chase down.,00:00:28.310,00:00:29.220
"Because, rest assured, that in just a
few weeks' time you'll look back on",00:00:29.220,00:00:32.310
"things like Caesar, and [? V-genair, ?]
maybe even Crack, and",00:00:32.310,00:00:35.930
"realize just how far you've come
in a short period of time.",00:00:35.930,00:00:40.050
"So if that's any consolation,
hang in there for now.",00:00:40.050,00:00:43.670
"&gt;&gt; Today, though, we begin to transition
to things higher level.",00:00:43.670,00:00:46.610
"And we start to take for granted that
you guys know how to program, or at",00:00:46.610,00:00:49.820
"least the beginnings of
that comfort level.",00:00:49.820,00:00:52.090
"And we'll start to consider how we can
go about designing programs more",00:00:52.090,00:00:56.520
effectively.,00:00:56.520,00:00:57.440
"How we can go about optimizing the
efficiency of our algorithms, and",00:00:57.440,00:01:01.090
"generally solving more
interesting problems.",00:01:01.090,00:01:03.110
"And starting to take for granted that,
if we wanted to, we could code up any",00:01:03.110,00:01:06.850
of the examples we have in mind.,00:01:06.850,00:01:08.350
"So today, we don't touch the keyboard
for any form of code.",00:01:08.350,00:01:11.430
"It'll be much higher level, and
ultimately, about problem-solving.",00:01:11.430,00:01:15.150
"&gt;&gt; So to get to that point, let me propose
that the following seven",00:01:15.150,00:01:20.490
"rectangles represent seven doors, behind
which are a whole bunch of",00:01:20.490,00:01:24.290
"numbers, among which is the number 50.",00:01:24.290,00:01:26.340
"Let me project this on this
screen here as well.",00:01:26.340,00:01:30.470
"And propose that we need a volunteer to
help find me a number in front of",00:01:30.470,00:01:36.770
the internet here to see.,00:01:36.770,00:01:38.140
"Come on up, in the pink.",00:01:38.140,00:01:40.755
All right.,00:01:40.755,00:01:43.050
What's your name?,00:01:43.050,00:01:43.930
&gt;&gt; JENNIFER: [INAUDIBLE],00:01:43.930,00:01:44.850
&gt;&gt; DAVID J. MALAN: Sorry?,00:01:44.850,00:01:45.170
&gt;&gt; JENNIFER: Jennifer.,00:01:45.170,00:01:45.860
&gt;&gt; DAVID J. MALAN: Jennifer.,00:01:45.860,00:01:46.390
"All right, Jennifer.",00:01:46.390,00:01:46.980
Nice to meet you.,00:01:46.980,00:01:47.630
Come on up.,00:01:47.630,00:01:48.370
"So these here are seven doors, and what
I'd like you to do for us here,",00:01:48.370,00:01:52.430
"in front of all of your classmates,
is find us the number, 50.",00:01:52.430,00:01:56.560
"To find a number, you can peek behind
any of these doors by simply tapping",00:01:56.560,00:02:00.860
"on one of the doors, and it
will reveal its number.",00:02:00.860,00:02:03.030
"And let's see how quickly you
can find us the number, 50.",00:02:03.030,00:02:06.080
&gt;&gt; 15.,00:02:09.979,00:02:11.229
16.,00:02:13.110,00:02:14.360
50.,00:02:16.270,00:02:16.530
Nicely done.,00:02:16.530,00:02:17.350
All right.,00:02:17.350,00:02:18.040
Round of applause for Jennifer.,00:02:18.040,00:02:19.906
&gt;&gt; [APPLAUSE],00:02:19.906,00:02:21.530
&gt;&gt; All right.,00:02:21.530,00:02:22.320
"So what was your strategy for
finding the number, 50?",00:02:22.320,00:02:25.254
"&gt;&gt; JENNIFER: Um, I thought maybe if--",00:02:25.254,00:02:27.222
[INAUDIBLE],00:02:27.222,00:02:27.714
&gt;&gt; DAVID J. MALAN: Oh.,00:02:27.714,00:02:28.206
Give it one second.,00:02:28.206,00:02:29.630
"So was your strategy for
finding the number, 50?",00:02:29.630,00:02:32.420
"&gt;&gt; JENNIFER: So I just start at the
beginning to see what the first number",00:02:32.420,00:02:34.760
"was, and then I thought, maybe if
they're sorted, I'll just keep",00:02:34.760,00:02:38.590
tapping higher up?,00:02:38.590,00:02:39.970
&gt;&gt; DAVID J. MALAN: OK.,00:02:39.970,00:02:40.140
"And we seem to have found
that to be the case.",00:02:40.140,00:02:42.910
"Although, let's peel back the layers
just a little bit, and you want to go",00:02:42.910,00:02:45.670
"ahead and reveal the other doors
you could have chosen?",00:02:45.670,00:02:47.640
"&gt;&gt; JENNIFER: Oh, dear.",00:02:50.400,00:02:51.712
&gt;&gt; DAVID J. MALAN: Ah.,00:02:51.712,00:02:53.128
&gt;&gt; JENNIFER: So I just got lucky.,00:02:53.128,00:02:54.280
&gt;&gt; DAVID J. MALAN: So you got lucky.,00:02:54.280,00:02:55.270
All right.,00:02:55.270,00:02:55.710
So not bad.,00:02:55.710,00:02:56.795
"But that's an interesting
insight, right?",00:02:56.795,00:02:58.750
"If you assumed, and you did get,
indeed, a bit lucky there.",00:02:58.750,00:03:01.870
"But if you assumed that the numbers were
sorted, can you be more precise",00:03:01.870,00:03:05.350
"as to how that influenced
your behavior?",00:03:05.350,00:03:08.750
"&gt;&gt; JENNIFER: So if they were sorted, I
thought maybe smallest to largest.",00:03:08.750,00:03:11.715
&gt;&gt; DAVID J. MALAN: OK.,00:03:11.715,00:03:11.970
"&gt;&gt; JENNIFER: Or if this ended up being
really big, then largest to smallest.",00:03:11.970,00:03:15.260
&gt;&gt; DAVID J. MALAN: OK.,00:03:15.260,00:03:15.540
"So largest to smallest, or
smallest to largest.",00:03:15.540,00:03:18.170
"But let me propose, suppose you had
gotten unlucky, and suppose that they",00:03:18.170,00:03:21.990
"were not, in fact, sorted, how many of
those doors might you have had to peek",00:03:21.990,00:03:26.840
behind in that worst case?,00:03:26.840,00:03:28.590
&gt;&gt; JENNIFER: All of them.,00:03:28.590,00:03:29.860
&gt;&gt; DAVID J. MALAN: All of them.,00:03:29.860,00:03:30.420
So let's generalize that as n.,00:03:30.420,00:03:31.740
"There happens to be 7, but let's more
generally say there's n doors on the",00:03:31.740,00:03:34.790
screen here.,00:03:34.790,00:03:35.650
"So in the worst case, you would have
to look behind 7 doors, or n doors.",00:03:35.650,00:03:40.110
"And so this really is, it's a bit of
luck today, but it's really a linear",00:03:40.110,00:03:44.140
"algorithm of sorts, even though you
were kind of skipping around.",00:03:44.140,00:03:46.440
Is that fair?,00:03:46.440,00:03:47.080
&gt;&gt; JENNIFER: Yeah.,00:03:47.080,00:03:47.500
"&gt;&gt; DAVID J. MALAN: Well, let me see if your
strategy changes if I move us to",00:03:47.500,00:03:50.000
"our second example here with
7 different doors.",00:03:50.000,00:03:52.190
"Same numbers, but this
time they are sorted.",00:03:52.190,00:03:55.240
"What's your strategy here going to be,
trying to put out of your mind what",00:03:55.240,00:03:58.350
the other numbers were--,00:03:58.350,00:03:59.310
&gt;&gt; JENNIFER: OK.,00:03:59.310,00:03:59.930
&gt;&gt; DAVID J. MALAN: --earlier?,00:03:59.930,00:04:02.290
"&gt;&gt; JENNIFER: Let's start
with the first one.",00:04:02.290,00:04:03.180
&gt;&gt; DAVID J. MALAN: All right.,00:04:03.180,00:04:03.540
Start with the first one.,00:04:03.540,00:04:05.190
4.,00:04:05.190,00:04:05.960
"Now where you going to go, and why?",00:04:05.960,00:04:08.810
&gt;&gt; JENNIFER: 4 is really small.,00:04:08.810,00:04:10.040
"So if they're sort maybe smallest
to largest, it should",00:04:10.040,00:04:12.500
"be twice that, and--.",00:04:12.500,00:04:13.290
