text,start,stop
&gt;&gt; [MUSIC PLAYING],00:00:00.487,00:00:11.210
&gt;&gt; ROB BODEN: All right.,00:00:11.210,00:00:12.100
"So, first thing first, of video
from a familiar face.",00:00:12.100,00:00:15.620
&gt;&gt; [VIDEO PLAYBACK],00:00:22.080,00:00:22.560
&gt;&gt; -All right.,00:00:22.560,00:00:23.370
"This is CS50, and this is
the start of week three.",00:00:23.370,00:00:27.150
"I'm sorry I couldn't be there with you
today, but allow me to introduce",00:00:27.150,00:00:29.980
CS50's own Rob Boden.,00:00:29.980,00:00:32.880
&gt;&gt; [END VIDEO PLAYBACK],00:00:32.880,00:00:33.872
&gt;&gt; [APPLAUSE AND CHEERS],00:00:33.872,00:00:39.340
"&gt;&gt; ROB BODEN: The filmography in
that video is fantastic.",00:00:39.340,00:00:41.277
All right.,00:00:47.280,00:00:47.770
"So first, there's another lunch.",00:00:47.770,00:00:50.960
It's tomorrow at 1:15.,00:00:50.960,00:00:52.330
There's no lunch this Friday.,00:00:52.330,00:00:54.480
It is with Quora.,00:00:54.480,00:00:55.810
"And Tommy's not here yet, but one of
the people there is former head CF,",00:00:55.810,00:01:00.190
Tommy McWilliam.,00:01:00.190,00:01:01.530
So he's a fun guy.,00:01:01.530,00:01:02.730
You should come.,00:01:02.730,00:01:04.819
&gt;&gt; All right.,00:01:04.819,00:01:05.900
"So last week, we started breaking apart
about what a string really is.",00:01:05.900,00:01:11.360
"We've known since the beginning that
it's a sequence of characters.",00:01:11.360,00:01:14.830
"But last week, we delved into the fact
that what is really a sequence of",00:01:14.830,00:01:18.130
"characters, well, we now have
arrays of characters.",00:01:18.130,00:01:22.110
"And we know that a string, it's an array
of characters, at the very end,",00:01:22.110,00:01:26.450
"we have this special null byte, this
backslash 0, that indicates the end of",00:01:26.450,00:01:30.920
the string.,00:01:30.920,00:01:32.230
"&gt;&gt; And so a string is an array of
characters, but we can have more than",00:01:32.230,00:01:36.970
"just an array of characters,
we can have an array of any",00:01:36.970,00:01:39.530
type of thing we want.,00:01:39.530,00:01:40.890
"So, if you recall from last week, the
Ages program that David introduced",00:01:40.890,00:01:51.570
really quickly.,00:01:51.570,00:01:53.560
"So first thing we're going to do is
ask the user for an integer, the",00:01:53.560,00:01:57.010
number of people in the room.,00:01:57.010,00:01:58.800
"Once we have that integer,
we're declaring an array.",00:01:58.800,00:02:01.260
Notice this bracket syntax.,00:02:01.260,00:02:02.890
You're going to get used to that.,00:02:02.890,00:02:04.540
"&gt;&gt; So we're declaring an array of integers
called ages, and there are n",00:02:04.540,00:02:09.430
integers in this array.,00:02:09.430,00:02:12.080
"So this pattern right here, this 4 int
i equals 0, i is less than n, i plus",00:02:12.080,00:02:16.480
"plus, that is also going to be a pattern
that you get very used to.",00:02:16.480,00:02:20.580
"Because that's pretty much how you're
always going to iterate over arrays.",00:02:20.580,00:02:24.000
"So remember that n is the
length of our array.",00:02:24.000,00:02:26.330
"And so here, we are repeatedly asking
for the age of person i in the room.",00:02:26.330,00:02:32.120
"&gt;&gt; After this, we go down, and for whatever
arbitrary reason, we then",00:02:32.120,00:02:36.640
"print out how old they're going
to be a year from now.",00:02:36.640,00:02:40.220
"And running that program, let's
make ages, dot slash ages.",00:02:40.220,00:02:49.980
"So number of people in the room,
let's say there are three.",00:02:49.980,00:02:53.010
"And say, the first person is 13,
next is 26, and the last is 30.",00:02:53.010,00:02:59.880
"So then it'll iterate over those three
people, print out 14, 27, and 31.",00:02:59.880,00:03:05.080
