text,start,stop
&gt;&gt; [MUSIC PLAYING],00:00:00.000,00:00:10.970
&gt;&gt; DAVID J. MALAN: All right.,00:00:10.970,00:00:12.536
&gt;&gt; [LAUGHTER],00:00:12.536,00:00:13.392
&gt;&gt; Welcome back.,00:00:13.392,00:00:14.240
This is CS50.,00:00:14.240,00:00:14.990
And this the end of week five.,00:00:14.990,00:00:16.890
"And up until now, we've pretty much
been taking for granted that there",00:00:16.890,00:00:20.020
"exists this compiler, Clang, that you've
been invoking by way of this",00:00:20.020,00:00:23.480
"other tool called Make that somehow
magically converts your source code",00:00:23.480,00:00:27.100
"into object code, the zeros and ones
that your computers CPU, central",00:00:27.100,00:00:31.350
"processing unit, actually understands.",00:00:31.350,00:00:33.410
"But it turns out there's a number that's
going on underneath the hood in",00:00:33.410,00:00:36.770
between input and output.,00:00:36.770,00:00:38.690
"&gt;&gt; And I'd like to propose that we flesh
that out in a little more detail into",00:00:38.690,00:00:41.800
"these four steps, have something called
pre-processing, something",00:00:41.800,00:00:45.130
"called compiling, which we have seen,
something called assembling, and",00:00:45.130,00:00:48.300
something called linking.,00:00:48.300,00:00:49.420
"So up until now, in some of our
programs, we've had sharp includes.",00:00:49.420,00:00:53.270
"More recently we've had some sharp
defines for constants.",00:00:53.270,00:00:56.650
"So it turns out that those things that
are prefixed with the hash symbol or",00:00:56.650,00:01:00.660
"the pound symbol are pre-processor
directives.",00:01:00.660,00:01:04.150
"That's just a fancy way of saying it's
a line of code that's actually",00:01:04.150,00:01:07.960
"converted into something else before the
computer even try to convert your",00:01:07.960,00:01:12.280
program into zeros and ones.,00:01:12.280,00:01:13.800
"&gt;&gt; For instance, sharp includes standard
I/O .h, pretty much just means go",00:01:13.800,00:01:19.000
"ahead, grab the contents of the files
stdio.h and paste them right there.",00:01:19.000,00:01:24.010
"So no zeros and ones
at that point yet.",00:01:24.010,00:01:25.880
It's really just a substitution.,00:01:25.880,00:01:27.470
"And that's done during the so-called
pre-processing stage, when you",00:01:27.470,00:01:30.790
"actually run Clang or specifically
Make in most cases.",00:01:30.790,00:01:34.230
"So all this has been happening
first automatically thus far.",00:01:34.230,00:01:36.950
&gt;&gt; Then comes the compilation step.,00:01:36.950,00:01:38.800
"But we've been oversimplified
compilation.",00:01:38.800,00:01:40.920
"Compiling a program really means to
take it from something like C, the",00:01:40.920,00:01:45.060
"source code we've been writing, down
to something called assembly.",00:01:45.060,00:01:48.430
"Assembly language is a lower level
language that, thankfully, we won't",00:01:48.430,00:01:52.900
"have much occasion to
write this semester.",00:01:52.900,00:01:55.480
"But it's at the lowest level in the
sense that you literally start writing",00:01:55.480,00:01:59.100
"add and subtract and multiply and load
from memory and save to memory, the",00:01:59.100,00:02:04.270
"very basic instructions that a computer,
underneath the hood,",00:02:04.270,00:02:08.259
actually understands.,00:02:08.259,00:02:09.639
"&gt;&gt; Lastly, assembling takes that language
to the zeros and ones that we've been",00:02:09.639,00:02:14.930
describing thus far.,00:02:14.930,00:02:16.190
"And truly lastly, there's the so-called
linking phase, which we'll",00:02:16.190,00:02:19.270
"see in just a moment, which combines
your zeros and ones with zeros and",00:02:19.270,00:02:22.360
"ones other people before
you have created.",00:02:22.360,00:02:24.870
&gt;&gt; So consider this super simple program.,00:02:24.870,00:02:26.660
It was from Week 1.,00:02:26.660,00:02:27.560
"It just said, Hello World,
on the screen.",00:02:27.560,00:02:29.610
We ran this through Clang.,00:02:29.610,00:02:30.920
"Or we ran it through Make
which ran Clang.",00:02:30.920,00:02:33.200
"And outputted at the time where
some zeros and ones.",00:02:33.200,00:02:36.170
