text,start,stop
"&gt;&gt; SPEAKER 1: All right, so we are back.",00:00:11.860,00:00:13.120
Welcome to CS50.,00:00:13.120,00:00:14.480
This is the end of week seven.,00:00:14.480,00:00:16.510
"So recall that last time, we started
looking at slightly more sophisticated",00:00:16.510,00:00:20.200
data structures.,00:00:20.200,00:00:21.100
"Since up until now, all we had really
at our disposal was this, an array.",00:00:21.100,00:00:25.110
"&gt;&gt; But before we discard the array as not
all that interesting, which indeed it",00:00:25.110,00:00:29.340
"actually is, what are some of the
pluses of this simple data",00:00:29.340,00:00:33.570
structure thus far?,00:00:33.570,00:00:34.560
What's it good at?,00:00:34.560,00:00:36.110
So far as we've seen?,00:00:36.110,00:00:39.450
What do you got?,00:00:39.450,00:00:42.540
Nothing.,00:00:42.540,00:00:44.028
&gt;&gt; STUDENT: [INAUDIBLE].,00:00:44.028,00:00:45.020
&gt;&gt; SPEAKER 1: What's that?,00:00:45.020,00:00:45.395
&gt;&gt; STUDENT: [INAUDIBLE].,00:00:45.395,00:00:46.410
&gt;&gt; SPEAKER 1: Fixed size.,00:00:46.410,00:00:47.000
"OK, so why is fixed size good though?",00:00:47.000,00:00:51.260
&gt;&gt; STUDENT: [INAUDIBLE].,00:00:51.260,00:00:53.180
"&gt;&gt; SPEAKER 1: OK, so it's efficient in
the sense that you can allocate a",00:00:53.180,00:00:56.240
"fixed amount of space, which hopefully
is precisely as much",00:00:56.240,00:01:00.070
space as you want.,00:01:00.070,00:01:01.180
So that could be absolutely a plus.,00:01:01.180,00:01:02.720
&gt;&gt; What's another up side of an array?,00:01:02.720,00:01:06.530
Yeah?,00:01:06.530,00:01:07.610
&gt;&gt; STUDENT: [INAUDIBLE].,00:01:07.610,00:01:08.750
&gt;&gt; SPEAKER 1: All the-- sorry?,00:01:08.750,00:01:09.550
&gt;&gt; STUDENT: [INAUDIBLE].,00:01:09.550,00:01:11.270
"&gt;&gt; SPEAKER 1: All the boxes in memory
or next to each other.",00:01:11.270,00:01:13.620
And that's helpful-- why?,00:01:13.620,00:01:15.220
That's quite true.,00:01:15.220,00:01:15.970
But how can we exploit that truth?,00:01:15.970,00:01:18.611
&gt;&gt; STUDENT: [INAUDIBLE].,00:01:18.611,00:01:21.500
"&gt;&gt; SPEAKER 1: Exactly, we can keep track of
where everything is just by knowing",00:01:21.500,00:01:24.490
"one address, namely the address of the
first byte of that chunk of memory.",00:01:24.490,00:01:28.560
"Or in the case of the string,
the address of the first",00:01:28.560,00:01:30.420
char in that string.,00:01:30.420,00:01:31.460
"And from there, we can find
the end of the string.",00:01:31.460,00:01:33.330
"We can find the second element, the
third element, and so forth.",00:01:33.330,00:01:35.710
"&gt;&gt; And so the fancy way of describing that
feature is that arrays give us",00:01:35.710,00:01:38.740
random access.,00:01:38.740,00:01:40.020
"Just by using the square bracket
notation and a number, you can jump to",00:01:40.020,00:01:44.330
"a specific element in the array
in constant time, big O",00:01:44.330,00:01:48.070
"of one, so to speak.",00:01:48.070,00:01:49.810
&gt;&gt; But there's been some downsides.,00:01:49.810,00:01:51.080
What an array not do very easily?,00:01:51.080,00:01:53.110
What's it not good at?,00:01:55.810,00:01:57.170
&gt;&gt; STUDENT: [INAUDIBLE].,00:01:57.170,00:01:58.810
&gt;&gt; SPEAKER 1: What's that?,00:01:58.810,00:01:59.860
&gt;&gt; STUDENT: [INAUDIBLE].,00:01:59.860,00:02:00.530
&gt;&gt; SPEAKER 1: Expanding in size.,00:02:00.530,00:02:01.460
"So the downsides of the array are
precisely the opposite of what the",00:02:01.460,00:02:04.800
upsides are.,00:02:04.800,00:02:05.540
"So one of the downsides is
that it's a fixed size.",00:02:05.540,00:02:07.610
So you can't really grow it.,00:02:07.610,00:02:09.400
"You can reallocate a bigger chunk of
memory, and then move the old elements",00:02:09.400,00:02:13.510
into the new array.,00:02:13.510,00:02:14.460
"And then free the old array, for
instance, by using malloc or a similar",00:02:14.460,00:02:18.060
"function called realloc, which
reallocates memory.",00:02:18.060,00:02:21.180
"&gt;&gt; Realloc, as an aside, tries to give you
memory that's next to the array",00:02:21.180,00:02:25.490
that you already have.,00:02:25.490,00:02:26.610
"But it might move things
around altogether.",00:02:26.610,00:02:28.740
"But in short, that's expensive, right?",00:02:28.740,00:02:30.710
"Because if you have a chunk of memory of
this size, but you really want one",00:02:30.710,00:02:33.440
"of this size, and you want to preserve
the original elements, you have",00:02:33.440,00:02:36.710
"roughly a linear time copying process
that needs to happen from",00:02:36.710,00:02:40.510
