text,start,stop
"&gt;&gt; SPEAKER 1: All, right welcome back.",00:00:11.470,00:00:12.764
This is CS50.,00:00:12.764,00:00:14.140
And this is the start of week nine.,00:00:14.140,00:00:16.800
"And this is the start of the rest of
your time in CS50, in which we",00:00:16.800,00:00:19.960
"transition now, finally, to the web
aspect of the course, where you'll",00:00:19.960,00:00:23.170
"find that a lot of the fundamentals that
we've been exporting for weeks",00:00:23.170,00:00:26.200
"still come back to visit,
or haunt, us.",00:00:26.200,00:00:29.270
"But now, you'll find that it's an
order of magnitude easier to",00:00:29.270,00:00:33.440
"accomplish certain tasks and
solve certain problems--",00:00:33.440,00:00:36.540
"so much so that even if you thought
certain problem sets were fun in their",00:00:36.540,00:00:41.050
"own way, I think that you'll find
that p set 7, p set 8, and then,",00:00:41.050,00:00:44.200
"ultimately, the final project will be
all the more gratifying because you'll",00:00:44.200,00:00:47.990
"find that we begin to take for granted
now things like memory management, and",00:00:47.990,00:00:51.830
"pointers, and what's going
on underneath the hood.",00:00:51.830,00:00:54.190
"And again, thematic, all throughout the
semester has been this layering",00:00:54.190,00:00:57.310
and layering.,00:00:57.310,00:00:58.030
"And now we're sort of up
here, standing on the",00:00:58.030,00:01:00.530
shoulders of weeks past.,00:01:00.530,00:01:01.930
"&gt;&gt; Now, recall from last time that we
talked about how the internet worked.",00:01:01.930,00:01:05.360
"And this was perhaps an
oversimplification, but remember that",00:01:05.360,00:01:08.120
"every computer in the world has an IP
address, although that's a bit of an",00:01:08.120,00:01:12.960
oversimplification still.,00:01:12.960,00:01:14.570
"And those addresses are used to uniquely
identify machines so that",00:01:14.570,00:01:18.180
"when you send information, or packets,
so to speak, they can have an origin",00:01:18.180,00:01:22.010
address and a destination address.,00:01:22.010,00:01:24.000
"And those same IP addresses can be used
both for good and also for evil,",00:01:24.000,00:01:27.830
"to track you, for instance.",00:01:27.830,00:01:29.270
"In fact, every one of you with a laptop
open now, or a phone in your",00:01:29.270,00:01:32.200
"pocket, has an IP address
on Harvard's network.",00:01:32.200,00:01:35.070
"And it's not all that difficult to
correlate that to who and where you",00:01:35.070,00:01:39.120
are these days.,00:01:39.120,00:01:40.180
"But more on that perhaps
in the future.",00:01:40.180,00:01:42.090
"&gt;&gt; Now I thought I'd bring back some
memories of [? enhance ?] and give you",00:01:42.090,00:01:46.510
"another clip from a show you
might find familiar.",00:01:46.510,00:01:49.360
"If we could dim the lights
for just a few seconds.",00:01:49.360,00:01:52.710
The show Numb3rs.,00:01:52.710,00:01:53.960
&gt;&gt; SPEAKER 2: It's a 32-bit IPP4 address.,00:01:57.510,00:02:00.540
"&gt;&gt; SPEAKER 3: IPP, as in internet?",00:02:00.540,00:02:01.610
&gt;&gt; SPEAKER 2: Private network.,00:02:01.610,00:02:02.968
To Amita's private network.,00:02:02.968,00:02:04.960
She is so amazing.,00:02:16.930,00:02:19.602
"&gt;&gt; SPEAKER 3: Come on, Charlie.",00:02:19.602,00:02:21.030
&gt;&gt; SPEAKER 2: It's.,00:02:21.030,00:02:21.490
A mirror IP address.,00:02:21.490,00:02:22.470
"She's letting us watch what
she's doing in real time.",00:02:22.470,00:02:27.680
"&gt;&gt; SPEAKER 1: OK, so a few things
wrong with this picture.",00:02:27.680,00:02:30.930
"So one, and this one is acceptable,
this is actually",00:02:30.930,00:02:32.920
not a valid IP address.,00:02:32.920,00:02:34.400
"A valid IP address has to be numbers
of the form w.x.y.z, where each of",00:02:34.400,00:02:38.190
those letters is 0 to 255.,00:02:38.190,00:02:40.000
"But that's fine because just like the
movies where they fake phone numbers,",00:02:40.000,00:02:42.330
they fake IP addresses.,00:02:42.330,00:02:43.520
You don't actually hit real servers.,00:02:43.520,00:02:45.230
"&gt;&gt; But mind you, this is a browser.",00:02:45.230,00:02:46.760
"And browsers do not start outputting
computer code like this.",00:02:46.760,00:02:50.760
"And if we look a little deeper, notice
that the language that they're seeing",00:02:50.760,00:02:54.230
"on the screen is a language called
Objective C, which is the language in",00:02:54.230,00:02:57.040
"which iPhone apps are written,
particularly the ones involving",00:02:57.040,00:02:59.520
"crayons, as you can see from
the source code here.",00:02:59.520,00:03:03.540
"&gt;&gt; OK, I thought this was funny.",00:03:06.600,00:03:07.560
"So this snippet of code has absolutely
nothing to do with whatever this",00:03:07.560,00:03:12.240
particular episode was about.,00:03:12.240,00:03:13.940
"So the joke is sort of on the folks
taking for this granted.",00:03:13.940,00:03:17.590
"But this is not all that hard to get
these technical details right.",00:03:17.590,00:03:20.220
And I would encourage you.,00:03:20.220,00:03:21.980
"And actually, 50 might very well spoil
a lot of TV shows and movies or you",00:03:21.980,00:03:25.530
"because you'll find that it's just
not possible what they're",00:03:25.530,00:03:27.320
doing on the screen.,00:03:27.320,00:03:28.630
"But indeed, this is the code that you
might see it in an iPhone application",00:03:28.630,00:03:31.750
or Mac OS application.,00:03:31.750,00:03:33.640
"It has nothing at all
to do with security.",00:03:33.640,00:03:35.685
