text,start,stop
"We'll now move from the world
of first order differential",00:00:00.760,00:00:04.200
"equations to the world
of second order",00:00:04.200,00:00:06.400
differential equations.,00:00:06.400,00:00:07.280
And what does that mean?,00:00:07.280,00:00:07.800
"That means that we're now going
to start involving the",00:00:07.800,00:00:10.450
second derivative.,00:00:10.450,00:00:11.600
"And the first class that I'm
going to show you-- and this",00:00:11.600,00:00:13.510
"is probably the most useful
class when you're studying",00:00:13.510,00:00:16.360
"classical physics-- are
linear second order",00:00:16.360,00:00:19.990
differential equations.,00:00:19.990,00:00:21.080
"So what is a linear second order
differential equation?",00:00:21.080,00:00:23.150
"I think I touched on it a little
bit in our very first",00:00:23.150,00:00:27.210
intro video.,00:00:27.210,00:00:27.760
"But it's something that
looks like this.",00:00:27.760,00:00:29.820
"If I have a of x-- so some
function only of x-- times the",00:00:29.820,00:00:35.270
"second derivative of y, with
respect to x, plus b of x,",00:00:35.270,00:00:42.110
"times the first derivative of
y, with respect to x, plus c",00:00:42.110,00:00:47.420
"of x, times y is equal to some
function that's only a",00:00:47.420,00:00:56.200
function of x.,00:00:56.200,00:00:59.140
"So just to review our
terminology, y is the second",00:00:59.140,00:01:01.760
"order because the highest
derivative here is the second",00:01:01.760,00:01:04.910
"derivative, so that makes
it second order.",00:01:04.910,00:01:08.170
And what makes it linear?,00:01:08.170,00:01:10.220
"Well all of the coefficients
on-- and I want to be careful",00:01:10.220,00:01:13.770
"with the term coefficients,
because traditionally we view",00:01:13.770,00:01:15.950
"coefficients as always being
constants-- but here we have",00:01:15.950,00:01:21.760
"functions of x as
coefficients.",00:01:21.760,00:01:23.880
"So in order for this to be a
linear differential equation,",00:01:23.880,00:01:26.550
"a of x, b of x, c of x and d
of x, they all have to be",00:01:26.550,00:01:30.120
"functions only of x, as
I've drawn it here.",00:01:30.120,00:01:33.770
"And now, before we start
trying to solve this",00:01:33.770,00:01:36.580
"generally, we'll do a special
case of this, where a, b, c",00:01:36.580,00:01:41.730
are constants and d is 0.,00:01:41.730,00:01:44.190
So what will that look like?,00:01:44.190,00:01:45.890
"So I can just rewrite that as
A-- so now A is not a function",00:01:45.890,00:01:51.100
"anymore, it's just a number-- A
times the second derivative",00:01:51.100,00:01:55.790
"of y, with respect to x, plus B
times the first derivative,",00:01:55.790,00:02:02.070
plus C times y.,00:02:02.070,00:02:05.230
"And instead of having just a
fourth constant, instead of d",00:02:05.230,00:02:09.600
"of x, I'm just going to
set that equal to 0.",00:02:09.600,00:02:13.670
"And by setting this equal to 0,
I have now introduced you",00:02:13.670,00:02:18.090
"to the other form
of homogeneous",00:02:18.090,00:02:21.010
differential equation.,00:02:21.010,00:02:22.180
"And this one is called
homogeneous.",00:02:22.180,00:02:23.890
"And I haven't made the
connection yet on how these",00:02:23.890,00:02:27.490
"second order differential
equations are related to the",00:02:27.490,00:02:30.830
"first order ones that I just
introduced-- to these other",00:02:30.830,00:02:33.200
"homogeneous differential
equations I introduced you to.",00:02:33.200,00:02:35.130
"I think they just happen to
have the same name, even",00:02:35.130,00:02:37.720
"though they're not
that related.",00:02:37.720,00:02:39.700
"So the reason why this one is
called homogeneous is because",00:02:39.700,00:02:43.350
you have it equal to 0.,00:02:43.350,00:02:45.920
"So this is what makes
it homogeneous.",00:02:45.920,00:02:47.750
"And actually, I do see more of a
connection between this type",00:02:47.750,00:02:51.250
"of equation and milk where all
the fat is spread out, because",00:02:51.250,00:02:56.000
"if you think about it, the
solution for all homogeneous",00:02:56.000,00:02:59.320
"equations, when you kind of
solve the equation, they",00:02:59.320,00:03:03.295
always equal 0.,00:03:03.295,00:03:04.240
"So they're homogenized, I guess
is the best way that I",00:03:04.240,00:03:08.010
can draw any kind of parallel.,00:03:08.010,00:03:10.950
"So we could call this a second
order linear because A, B, and",00:03:10.950,00:03:17.390
"C definitely are functions just
of-- well, they're not",00:03:17.390,00:03:20.290
"even functions of x or y,
they're just constants.",00:03:20.290,00:03:22.310
"So second order linear
homogeneous-- because they",00:03:22.310,00:03:26.445
"equal 0-- differential
equations.",00:03:26.445,00:03:28.800
"And I think you'll see that
these, in some ways, are the",00:03:28.800,00:03:31.420
"most fun differential
equations to solve.",00:03:31.420,00:03:34.240
"And actually, often the most
useful because in a lot of the",00:03:34.240,00:03:36.470
"applications of classical
mechanics, this is all you",00:03:36.470,00:03:38.760
need to solve.,00:03:38.760,00:03:40.420
