text,start,stop
"In our previous lesson, we wrote some code
for binary search tree",00:00:00.669,00:00:03.870
"we wrote functions to insert and search
data",00:00:03.870,00:00:06.870
"in BST .Now in this lesson we will go a
little deeper",00:00:06.870,00:00:10.510
"and try to understand how things move in
various sections of applications memory.",00:00:10.510,00:00:15.360
"When these functions get executed and
this will give you a lot of clarity and",00:00:15.360,00:00:19.789
"this will give you some general insight
into",00:00:19.789,00:00:23.140
"how memory is managed for execution of a
program",00:00:23.140,00:00:26.769
"and how recursion which is so
frequently used in case of trees",00:00:26.769,00:00:31.029
"works. The concepts that I'm going to
talk about in this lesson",00:00:31.029,00:00:35.320
"have been discussed earlier in some of
our previous lessons,",00:00:35.320,00:00:39.200
"but it will be good to go through these
concepts again",00:00:39.200,00:00:42.489
"when we are implementing trees. So, here's
the code that he had written.",00:00:42.489,00:00:46.809
"We have this function GetNewNode() to
create a new node",00:00:46.809,00:00:50.649
in dynamic memory and then we have this,00:00:50.649,00:00:53.980
"function Insert() to insert a new node in
the tree",00:00:53.980,00:00:57.629
"and then we have this function to search
some data in the tree",00:00:57.629,00:01:02.329
and finally this is the main function.,00:01:02.329,00:01:07.310
"You can check the description of this
video for link to the source code.",00:01:07.310,00:01:11.080
"Now in main function here we have this
pointer to BSTnode",00:01:11.080,00:01:15.720
"named root to store the address of the
root note of my tree and am initially",00:01:15.720,00:01:21.540
setting it as NULL,00:01:21.540,00:01:22.619
"to create an empty tree and then I'm making
some calls to insert function",00:01:22.619,00:01:26.930
"to insert some data in the tree and
finally I'm asking user",00:01:26.930,00:01:30.930
"to input a number and I'm making call to
search function",00:01:30.930,00:01:34.979
"to find this number in the tree if the
search function is returning me true I'm",00:01:34.979,00:01:39.610
"printing found,",00:01:39.610,00:01:40.640
"else I'am printing not found. Let's see
what will happen in memory",00:01:40.640,00:01:45.030
"when this program will execute. The
memory that is allocated to a program",00:01:45.030,00:01:49.450
"or application for its execution in a
typical architecture can be divided into",00:01:49.450,00:01:54.600
"these four segments,",00:01:54.600,00:01:56.170
there is one segment called text segment,00:01:56.170,00:01:59.250
"to store all the instructions in the
program. The instructions would be",00:01:59.250,00:02:03.140
compiled instructions in machine language.,00:02:03.140,00:02:05.420
"There is another segment to store all the
global variables.",00:02:05.420,00:02:09.039
"A variable that is declared outside all
the functions is called",00:02:09.039,00:02:12.940
"global variable. It is accessible to all
the functions.",00:02:12.940,00:02:16.090
"The next segment stack is basically
scratch space",00:02:16.090,00:02:20.060
"for function call execution, all the
local variables",00:02:20.060,00:02:23.560
