text,start,stop
"In our previous lesson, we saw what binary
search trees are, now in this lesson we are",00:00:00.420,00:00:04.860
going to implement binary search tree.,00:00:04.860,00:00:06.940
"We will be writing some code for binary search
tree.",00:00:06.940,00:00:10.290
"prerequisite for this lesson is that you must
understand the concepts of pointers and dynamic",00:00:10.290,00:00:16.420
memory allocation in C/C++.,00:00:16.420,00:00:19.680
"If you have already followed this series and
seen our lessons on linked list, then implementation",00:00:19.680,00:00:24.600
"of binary search tree or binary tree in general
is not going to be very different.",00:00:24.600,00:00:30.460
We will have nodes and links here as well.,00:00:30.460,00:00:33.149
"Ok, so lets get started.",00:00:33.149,00:00:35.719
"Binary search tree or BST as we know is a
binary tree in which for each node, value",00:00:35.719,00:00:40.929
"of all the nodes in left subtree is lesser
or equal and value of all the nodes in right",00:00:40.929,00:00:46.420
subtree is greater.,00:00:46.420,00:00:47.899
"We can draw BST as a recursive structure like
this.",00:00:47.899,00:00:52.059
"Value of all the nodes in left subtree must
be lesser or equal and value of all the nodes",00:00:52.059,00:00:55.829
"in right subtree must be greater and this
must be true for all nodes and not just the",00:00:55.829,00:01:01.309
root node.,00:01:01.309,00:01:02.309
"So, in this recursive definition here, both
left and right subtrees must also be binary",00:01:02.309,00:01:06.760
search trees.,00:01:06.760,00:01:08.079
"I have drawn a binary search tree of integers
here.",00:01:08.079,00:01:10.649
"Now, the question is, how can we create this
non-linear logical structure in computer's",00:01:10.649,00:01:16.620
memory.,00:01:16.620,00:01:17.630
"I had talked about this briefly when we had
discussed binary trees.",00:01:17.630,00:01:22.520
"The most popular way is - dynamically created
nodes linked to each other using pointers",00:01:22.520,00:01:28.750
"or references just the way we do it for linked
lists.",00:01:28.750,00:01:33.270
"Because in a binary search tree, or in a binary
tree in general, each node can have at most",00:01:33.270,00:01:38.719
"2 children, we can define node as an object
with 3 fields something like what I'm showing",00:01:38.719,00:01:44.749
here.,00:01:44.749,00:01:45.749
"We can have a field to store data, another
to store address or reference of left child",00:01:45.749,00:01:51.479
"and another to store address or reference
to right child.",00:01:51.479,00:01:55.249
