text,start,stop
"In our previous lesson, we talked about
level order traversal of binary tree",00:00:00.609,00:00:04.430
"which is basically breadth-first
traversal. Now in this lesson we are",00:00:04.430,00:00:08.450
going to discuss,00:00:08.450,00:00:09.440
"these three depth-first algorithms
pre-order,",00:00:09.440,00:00:12.970
"in-order and postorder. I have drawn a
binary tree here",00:00:12.970,00:00:16.900
"datatype filled in the nodes is
character now as we had discussed in",00:00:16.900,00:00:20.890
"earlier lessons,",00:00:20.890,00:00:21.760
"in depth-first traversal of binary tree
if we go in one direction",00:00:21.760,00:00:26.570
"then we visit all the nodes in that
direction or in other words",00:00:26.570,00:00:30.680
we visit the complete sub-tree in that direction,00:00:30.680,00:00:33.729
"and then only we go in other direction.
In this example tree that i have drawn here",00:00:33.729,00:00:38.690
if I'm at 'root' and I'm going left,00:00:38.690,00:00:42.370
"then I'll visit all the nodes in this
left subtree",00:00:42.370,00:00:45.819
"and then only I can go right and once
again",00:00:45.819,00:00:49.359
"when I'll go right I'll visit all the nodes in
this right subtree",00:00:49.359,00:00:53.100
"if you can see in this approach we are
reducing the problem in a",00:00:53.100,00:00:56.729
self-similar,00:00:56.729,00:00:57.780
"or recursive mannner, we can say that in total",00:00:57.780,00:01:00.789
"visiting all the nodes in the tree is
visiting the 'root' node",00:01:00.789,00:01:04.739
"visiting the left subtree and visiting
the right subtree",00:01:04.739,00:01:08.330
"remember by visiting a node we mean
reading or processing the data in that node",00:01:08.330,00:01:12.710
and by visiting,00:01:12.710,00:01:14.600
"a subtree we mean visiting all the
nodes in the subtree",00:01:14.600,00:01:18.360
"in-depth first strategy relative order of
visiting the left subtree, right subtree",00:01:18.360,00:01:23.580
and the root,00:01:23.580,00:01:24.460
"can be different, for example we can
first visit the right subtree",00:01:24.460,00:01:28.880
"then the root and then the left subtree
or we can first visit",00:01:28.880,00:01:32.370
"the root and then left subtree and
then the right subtree",00:01:32.370,00:01:35.480
"conventionally left subtree is always
visited before right subtree",00:01:35.480,00:01:39.500
"we this constraint we will have three
permutations, we can first visit the root",00:01:39.500,00:01:44.409
"and then the left subtree and then the
right subtree and such a traversal will",00:01:44.409,00:01:48.930
be called,00:01:48.930,00:01:49.580
"preorder traversal or we can first
visit the left subtree",00:01:49.580,00:01:53.750
"then the root and then the right
subtree and such a traversal will be",00:01:53.750,00:01:57.130
called,00:01:57.130,00:01:57.659
in-order traversal and we can also go,00:01:57.659,00:02:00.900
"left-right and then root and such a
traversal will be called",00:02:00.900,00:02:04.610
"post order traversal, left and right
subtree will be visited recursively",00:02:04.610,00:02:09.789
"in same manner as the original tree, so
in pre-order",00:02:09.789,00:02:13.790
"once again for the subtrees we will go
root, left and then right",00:02:13.790,00:02:18.299
"in in-order will keep going left, 
root and then right.",00:02:18.299,00:02:21.959
The actual implementation of these algorithms,00:02:21.959,00:02:25.049
"really easy and intuitive let's first
see",00:02:25.049,00:02:28.200
"code for preorder traversal. I first
written the algorithm in ",00:02:28.200,00:02:33.019
"words here, in preorder traversal
we first need to visit the root and then",00:02:33.019,00:02:37.120
left subtree and then the right subtree,00:02:37.120,00:02:39.450
"now I want to write a function that
should take pointer",00:02:39.450,00:02:42.769
"or reference to root node as argument
and print data in all the nodes",00:02:42.769,00:02:47.409
"in pre-order let's say visiting a node
for us is printing the data in that node",00:02:47.409,00:02:52.420
"in C or C++ my method signature
will look something like this:",00:02:52.420,00:02:56.439
"this function will take address of the 
root node as argument,",00:02:56.439,00:03:00.129
"argument type is pointer to Node. I'll
define node as a structure",00:03:00.129,00:03:05.569
"with three fields like this, data type
in this definition is character",00:03:05.569,00:03:10.560
"and there are two fields to store the addresses of left and right children
 
55
00:03:15,349 --&gt; 00:03:20,609
now in pre-order function I'll first
visit or print the data in root node",00:03:10.560,00:03:15.349
"and now i'll make a recursive call to
visit the left subtree",00:03:20.609,00:03:24.279
I have made a recursive call here and to this call I'm passing,00:03:24.279,00:03:27.909
"address of the left child of my current
root because",00:03:27.909,00:03:31.609
"left child will be the root of left
subtree",00:03:31.609,00:03:34.709
"and I'll have another call like this to
visit the right subtree",00:03:34.709,00:03:38.569
"there is one more thing that we need to
add in this function and we will be done",00:03:38.569,00:03:43.120
"we cannot go into recursion infinitely,
we need to have",00:03:43.120,00:03:47.299
"a base condition where we should exit if
a tree or a subtree is empty or",00:03:47.299,00:03:52.879
"in other words for any call if root is
null",00:03:52.879,00:03:56.620
"we can return or exit. Now with this much
of code I'm done with my pre-order",00:03:56.620,00:04:01.699
function.,00:04:01.699,00:04:02.400
this will work fine in C or C++,00:04:02.400,00:04:05.519
