text,start,stop
"In this lesson, we're going to talk about
binary tree traversal.",00:00:00.719,00:00:03.790
"When we are working with trees, we may often
want to visit all the nodes in the tree.",00:00:03.790,00:00:08.639
"Now tree is not a linear data
structure like",00:00:08.639,00:00:11.849
"array or linked list. In a linear data
structure there would be a logical",00:00:11.849,00:00:15.860
start and a logical end,00:00:15.860,00:00:17.970
"so we can start with a pointer at
one of the ends",00:00:17.970,00:00:21.470
"and keep moving it towards the other
end. For a linear data structure like",00:00:21.470,00:00:25.900
linked list,00:00:25.900,00:00:26.699
"for each node or element we would have
only one next element",00:00:26.699,00:00:30.990
"but tree is not a linear data
structure. I have drawn a binary tree here",00:00:30.990,00:00:35.579
"datatype is character this time, I filled in
these characters",00:00:35.579,00:00:39.059
"in the nodes. Now for a tree at any time
if we are pointing to a particular node",00:00:39.059,00:00:44.120
"then we can have more than one possible
directions.",00:00:44.120,00:00:47.200
"We can have more than one possible next
nodes in this binary tree. For example",00:00:47.200,00:00:52.340
"if we will start with a pointer at
root node",00:00:52.340,00:00:55.440
then we have two possible directions from,00:00:55.440,00:00:58.530
"'F' we can either go left to 'D' or
we can go right",00:00:58.530,00:01:02.480
"to 'J' and of course if we will go in one
direction",00:01:02.480,00:01:05.799
"then we will somehow have to come back
and go ",00:01:05.799,00:01:09.570
"into the other direction later. So tree
traversal",00:01:09.570,00:01:13.020
"is not so straightforward and what we
are going to discuss in this lesson",00:01:13.020,00:01:16.850
"is algorithms for tree traversal. Tree
traversal can formally be defined as",00:01:16.850,00:01:22.570
"the process of visiting each node in the
tree",00:01:22.570,00:01:25.590
"exactly once in some order and by
visiting",00:01:25.590,00:01:29.509
"a node we mean reading or processing 
data in the node.",00:01:29.509,00:01:33.110
"For us in this lesson visit will mean
printing the data in the node",00:01:33.110,00:01:37.270
"based on the order in which nodes are visited,
tree traversal algorithms can broadly",00:01:37.270,00:01:42.340
be classified into two categories:,00:01:42.340,00:01:44.299
we can either go Breadth-first or,00:01:44.299,00:01:47.640
"we can go Depth-first. Breadth-first
traversal and Depth-first traversal at",00:01:47.640,00:01:52.549
general techniques,00:01:52.549,00:01:53.780
"to traverse or search a graph. A graph
is a data structure and we have not",00:01:53.780,00:01:58.570
talked about graph so far in the series,00:01:58.570,00:02:01.100
"we will discuss graph in later lessons for
now just know that",00:02:01.100,00:02:04.770
"tree is only a special kind of graph
and in this lesson we are going to",00:02:04.770,00:02:09.009
discuss,00:02:09.009,00:02:09.690
"breadth-first and depth-first traversal in
context of",00:02:09.690,00:02:13.220
"trees. In a tree, in breadth-first
approach",00:02:13.220,00:02:16.690
"we would visit all the nodes at same
depth or level,",00:02:16.690,00:02:20.239
"before visiting the nodes at next level.
In this binary tree that I'm showing",00:02:20.239,00:02:24.920
here. This,00:02:24.920,00:02:25.620
"node with value F which is the root
node",00:02:25.620,00:02:29.060
"is at level-0 (L-0). I'm writing L-0 here
for level-0",00:02:29.060,00:02:32.950
"depth of a node is defined as number of
edges in path from",00:02:32.950,00:02:36.910
"root to that node. Root node would have
depth 'zero'.",00:02:36.910,00:02:40.220
These two nodes 'D' and 'J' are at,00:02:40.220,00:02:44.110
"depth 1, so we can say that these nodes
are at level-1 (L-1).",00:02:44.110,00:02:48.140
"Now these four nodes are at level-2 (L-2),
these three nodes are at level-3 (L-3)",00:02:48.140,00:02:52.940
and finally this node with value 'H',00:02:52.940,00:02:55.970
is at level-4 (L-4). So what we can do,00:02:55.970,00:02:59.510
"in breadth-first approach is that we can
start at L-0",00:02:59.510,00:03:03.540
"we would have only one node at L-0,
the root node",00:03:03.540,00:03:06.560
"so we can visit the root node. I'll write
the value in the node as I'm visiting it,",00:03:06.560,00:03:11.489
"Now L-0 is done, now I can go to
L-1",00:03:11.489,00:03:14.980
"and visit the nodes from left to right so
after 'F' we would visit ",00:03:14.980,00:03:20.030
"'D' and then we would visit 'J' and now
we are done with L-1",00:03:20.030,00:03:24.400
"so we can go to L-2. We will go
like 'B'",00:03:24.400,00:03:28.420
then 'E' then 'G' and then,00:03:28.420,00:03:31.470
"'K' and now we can go to L-3. 'A', 'C'",00:03:31.470,00:03:36.510
"and 'I' and finally I can go to L-4.
This kind of breadth-first traversal",00:03:36.510,00:03:42.180
in case of trees is called,00:03:42.180,00:03:43.470
"level order traversal and we will
discuss how we can do this",00:03:43.470,00:03:47.620
program***,00:03:47.620,00:03:48.110
"in some time but this is the order in
which we would visit the nodes",00:03:48.110,00:03:51.760
"we would go level by level from left to
right",00:03:51.760,00:03:55.010
"in breadth-first approach for any node we
visit",00:03:55.010,00:03:58.360
"all its children before visiting any of
its grandchildren",00:03:58.360,00:04:02.360
"in this tree first we are visiting 'F' and
then we are visiting 'D'",00:04:02.360,00:04:06.640
"and then we are not going to any child
of 'D' like 'B' or 'E' along the depth,",00:04:06.640,00:04:11.230
next we are going to 'J' but in depth-first,00:04:11.230,00:04:14.260
"approach if we would go to a child,
we would complete the whole subtree of",00:04:14.260,00:04:18.759
the child,00:04:18.759,00:04:19.440
before going to the next child,00:04:19.440,00:04:22.680
"in this example tree here from 'F' the root
node if we are going left",00:04:22.680,00:04:26.810
"to 'D' then we should visit all the node in
this left subtree",00:04:26.810,00:04:31.050
