text,start,stop
"In the last video, we started
with a linear transformation",00:00:00.530,00:00:04.180
"S, that was a mapping between
the set x, that was a subset",00:00:04.180,00:00:08.520
of Rn to the set y.,00:00:08.520,00:00:10.510
"And then we had another
transformation that was a",00:00:10.510,00:00:12.390
"mapping from the set
y to the set z.",00:00:12.390,00:00:15.540
"And we asked ourselves,
given these two linear",00:00:15.540,00:00:18.060
"transformations, could
we construct a linear",00:00:18.060,00:00:20.900
"transformation that goes all
the way from x to z?",00:00:20.900,00:00:26.320
"What we did was we made
a definition.",00:00:26.320,00:00:27.780
"We said let's create something
called the",00:00:27.780,00:00:30.820
composition of T with S.,00:00:30.820,00:00:33.290
"What that is, is first you apply
S to some vector in X to",00:00:33.290,00:00:37.180
get some vector in Y.,00:00:37.180,00:00:38.535
"And that's your vector
right there.",00:00:38.535,00:00:40.990
"And then you apply T to
that, to get to z.",00:00:40.990,00:00:44.090
And so we defined it that way.,00:00:44.090,00:00:45.720
"And our next question was, was
that a linear transformation?",00:00:45.720,00:00:48.420
We show that it was.,00:00:48.420,00:00:49.890
"It met the two requirements
for them.",00:00:49.890,00:00:52.010
"And because it is a linear
transformation, I left off in",00:00:52.010,00:00:54.620
"the last video saying that
it should be able to be",00:00:54.620,00:00:57.440
"represented by some matrix
vector product.",00:00:57.440,00:01:00.870
"Where this will have to
be an l by n matrix.",00:01:00.870,00:01:03.440
"Because it's a mapping from an n
dimensional space, which was",00:01:03.440,00:01:06.690
"x-- it was a subset of Rn--
to an l dimensional space.",00:01:06.690,00:01:12.300
"Because z is a subset of Rl Now
in this video, let's try",00:01:12.300,00:01:16.860
"to actually construct
this matrix.",00:01:16.860,00:01:20.340
"So at the beginning of the last
video, I told you that T",00:01:20.340,00:01:24.130
"of x could be written as some
matrix product, B times x.",00:01:24.130,00:01:28.050
"Let me write that and rewrite
it down here.",00:01:28.050,00:01:32.170
"So I told you that the linear
transformation T applied to",00:01:32.170,00:01:36.090
"some vector x, could be written
as the matrix vector",00:01:36.090,00:01:39.900
"product, B times a vector x.",00:01:39.900,00:01:43.410
"And since it was a mapping from
an m dimensional space to",00:01:43.410,00:01:49.540
"an l dimensional space, we know
this is going to be in l",00:01:49.540,00:01:53.170
by m matrix.,00:01:53.170,00:01:58.800
"Now similarly, I told you that
the transformation S can also",00:01:58.800,00:02:04.000
"be written as a matrix
vector product.",00:02:04.000,00:02:06.780
"Where we can say A is its
matrix representation",00:02:06.780,00:02:09.729
times a vector x.,00:02:09.729,00:02:11.160
"And since S was a mapping from
an n dimensional space to an m",00:02:11.160,00:02:18.060
"dimensional space, this will
be an m by n matrix.",00:02:18.060,00:02:21.950
"Now by definition, what was the
composition of T with S?",00:02:25.780,00:02:32.600
What is this?,00:02:32.600,00:02:33.460
"By definition, we said that this
is equal to-- you first",00:02:33.460,00:02:36.680
"apply the linear transformation
S to x.",00:02:36.680,00:02:40.590
"And I'll arbitrarily
switch colors.",00:02:40.590,00:02:42.890
"So you first apply the
transformation S to x.",00:02:42.890,00:02:46.000
"And that essentially gets you
a vector right there.",00:02:46.000,00:02:50.400
This is just a vector in Rm.,00:02:50.400,00:02:52.560
"Or it's really a vector in y,
which is a subset of Rm.",00:02:52.560,00:02:56.360
"And then you apply the
transformation T to that",00:02:56.360,00:02:58.600
vector to get you into z.,00:02:58.600,00:03:00.460
"Given this we can use our matrix
representations to",00:03:07.170,00:03:10.340
"replace this kind of
transformation representation.",00:03:10.340,00:03:13.620
"Although they're really
the same thing.",00:03:13.620,00:03:14.830
"What is a transformation
of S applied to x?",00:03:14.830,00:03:18.110
"Well this right here is just
A times x, where this",00:03:18.110,00:03:25.830
is an m by n matrix.,00:03:25.830,00:03:29.530
"So we can say that this is equal
to the transformation",00:03:29.530,00:03:31.800
applied to A times x.,00:03:31.800,00:03:35.480
"Now, what is the T
transformation applied",00:03:35.480,00:03:40.080
to any vector x?,00:03:40.080,00:03:41.410
"Well that's the matrix B
times your vector x.",00:03:41.410,00:03:44.740
"So this thing right here is
going to be equal to B times",00:03:44.740,00:03:49.960
whatever I put in there.,00:03:49.960,00:03:51.040
"So the matrix B times the matrix
A times the vector x",00:03:51.040,00:03:58.790
right there.,00:03:58.790,00:03:59.710
"This is what our composition
transformation is.",00:03:59.710,00:04:04.010
"The composition of T with S
applied to the vector x.",00:04:04.010,00:04:08.440
"Which takes us from the set x
all the way to the set z is",00:04:08.440,00:04:12.730
"this, if we use the matrix
forms of the two",00:04:12.730,00:04:16.140
transformations.,00:04:16.140,00:04:17.700
"Now at the end of last video I
said I wanted to find just",00:04:17.700,00:04:23.850
"some matrix that if I were to
multiply times this vector,",00:04:23.850,00:04:28.500
"that is equivalent to
this transformation.",00:04:28.500,00:04:30.260
"And I know that I can
find this matrix.",00:04:30.260,00:04:32.800
"I know that this exists because
this is a linear",00:04:32.800,00:04:36.100
transformation.,00:04:36.100,00:04:37.440
So how can we do that?,00:04:37.440,00:04:38.910
"Well, we just do what we've
always done in the past. We",00:04:38.910,00:04:42.180
"start with the identity matrix,
and we apply the",00:04:42.180,00:04:45.040
"transformation to every column
of the identity matrix.",00:04:45.040,00:04:48.370
"And then you end up with your
matrix representation of the",00:04:48.370,00:04:51.980
transformation itself.,00:04:51.980,00:04:53.530
"So first of all, how
big is the identity",00:04:53.530,00:04:55.200
matrix going to be?,00:04:55.200,00:04:56.750
"Well, these guys that we're
inputting into our",00:04:56.750,00:04:59.600
"transformation, they are subsets
of x, or they're",00:04:59.600,00:05:03.500
"members of x, which is
an n dimensional",00:05:03.500,00:05:05.960
"space, a subset of Rn.",00:05:05.960,00:05:07.410
"So all we do to figure out C
is we start off with the",00:05:13.920,00:05:18.460
identity matrix.,00:05:18.460,00:05:19.710
"The n dimensional identity
matrix, because",00:05:21.880,00:05:24.610
our domain is Rn.,00:05:24.610,00:05:27.110
"And of course we know what
that looks like.",00:05:27.110,00:05:28.705
"We have 1, 0 all the way down.",00:05:31.340,00:05:34.600
"It's going to be an n by n
matrix, and then 0, 1 all the",00:05:34.600,00:05:37.880
way down 0's.,00:05:37.880,00:05:39.540
"These 0's right here, and then
you have 1's go all the way",00:05:39.540,00:05:42.410
"down the columns and everything
else is 0.",00:05:42.410,00:05:46.430
"We've seen this multiple times
that's what your identity",00:05:46.430,00:05:48.680
"matrix looks like, just 1's down
the column from the top",00:05:48.680,00:05:51.970
left to the bottom right.,00:05:51.970,00:05:53.700
"Now to figure out C, the matrix
representation of our",00:05:53.700,00:05:59.340
"transformation, all we do is we
apply the transformation to",00:05:59.340,00:06:03.060
each of these columns.,00:06:03.060,00:06:04.950
"So we can write that our matrix
C is equal to the",00:06:04.950,00:06:12.580
"transformation applied
to this first column.",00:06:12.580,00:06:14.900
What is the transformation?,00:06:14.900,00:06:15.615
"It is the matrix B times the
matrix A times whatever you're",00:06:15.615,00:06:23.150
taking the transformation of.,00:06:23.150,00:06:24.450
"In this case we're taking the
transformation of that.",00:06:24.450,00:06:26.190
"We're taking the transformation
of 1, 0, 0 all",00:06:26.190,00:06:30.850
the way down.,00:06:30.850,00:06:31.380
"There's 1 followed by
a bunch of 0's.",00:06:31.380,00:06:34.100
"That's going to be our
first column of C.",00:06:34.100,00:06:36.350
"Our second column of C is going
to be B times A times",00:06:36.350,00:06:42.370
"the second column of our
identity matrix.",00:06:42.370,00:06:45.300
"And, of course, you remember
these are each the standard",00:06:45.300,00:06:47.650
basis vectors for Rn.,00:06:47.650,00:06:49.980
"So this is going to be times
E2, which is a 0, 1,",00:06:57.220,00:07:00.740
0 all the way down.,00:07:00.740,00:07:04.290
"And then we're going to keep
doing that until we do get to",00:07:04.290,00:07:06.560
"the last column, which is B
times A times a bunch of 0's",00:07:06.560,00:07:13.700
"all the way down
until get a 1.",00:07:13.700,00:07:15.680
"The nth term is just
a 1 right there.",00:07:15.680,00:07:18.970
"Now what is this going
to be equal to?",00:07:18.970,00:07:22.110
"It looks fairly complicated
right now.",00:07:22.110,00:07:24.540
"But all you have to do is make
the realization-- and we've",00:07:24.540,00:07:27.970
