text,start,stop
"We've learned a good bit
about the dot product.",00:00:00.700,00:00:05.050
"But when I first introduced it,
I mentioned that this was",00:00:05.050,00:00:07.110
"only one type of vector
multiplication, and the other",00:00:07.110,00:00:10.730
"type is the cross product, which
you're probably familiar",00:00:10.730,00:00:14.150
"with from your vector calculus
course or from",00:00:14.150,00:00:16.840
your physics course.,00:00:16.840,00:00:18.090
"But the cross product is
actually much more limited",00:00:21.120,00:00:24.030
than the dot product.,00:00:24.030,00:00:24.940
"It's useful, but it's
much more limited.",00:00:24.940,00:00:27.280
"The dot product is defined
in any dimension.",00:00:27.280,00:00:32.970
"So this is defined for any two
vectors that are in Rn.",00:00:32.970,00:00:39.810
"You could take the dot product
of vectors that have two",00:00:39.810,00:00:42.160
components.,00:00:42.160,00:00:42.650
"You could take the dot product
of vectors that have a million",00:00:42.650,00:00:45.020
components.,00:00:45.020,00:00:45.840
"The cross product is
only defined in R3.",00:00:45.840,00:00:55.430
"And the other, I guess, major
difference is the dot produc,",00:00:55.430,00:00:58.960
"and we're going to see this in a
second when I define the dot",00:00:58.960,00:01:01.350
"product for you, I haven't
defined it yet.",00:01:01.350,00:01:03.370
"The dot product results
in a scalar.",00:01:03.370,00:01:06.140
"You take the dot product
of two vectors,",00:01:06.140,00:01:07.850
you just get a number.,00:01:07.850,00:01:09.240
"But in the cross product you're
going to see that we're",00:01:09.240,00:01:10.960
going to get another vector.,00:01:10.960,00:01:13.130
"And the vector we're going to
get is actually going to be a",00:01:13.130,00:01:15.185
"vector that's orthogonal to
the two vectors that we're",00:01:15.185,00:01:17.570
taking the cross product of.,00:01:17.570,00:01:19.230
"So now that I have you excited
with anticipation, let me",00:01:19.230,00:01:23.580
define it for you.,00:01:23.580,00:01:24.370
"And you probably already have
seen this once or twice in",00:01:24.370,00:01:27.300
your mathematical careers.,00:01:27.300,00:01:28.960
Let's say I have the vector a.,00:01:28.960,00:01:32.200
"It has to be in R3, so
it only has three",00:01:32.200,00:01:33.680
"components: a1, a2 and a3.",00:01:33.680,00:01:37.510
"And I'm going to cross that with
the vector b and it has",00:01:37.510,00:01:41.050
"three components:
b1, b2 and b3.",00:01:41.050,00:01:46.910
"a cross b is defined
as a third vector.",00:01:46.910,00:01:54.650
"And now this is going to seem a
little bit bizarre and hard",00:01:54.650,00:01:57.360
"to essentially memorize because
this is a definition.",00:01:57.360,00:02:00.500
"But I'll show you how I think
about it when I have my",00:02:00.500,00:02:03.120
"vectors written in
this column form.",00:02:03.120,00:02:05.220
"If you watch the physics
playlist, I have a bunch of",00:02:05.220,00:02:07.960
"videos on the cross product
and I show you how I think",00:02:07.960,00:02:11.400
"about the cross product when I
have it in the i, j, k form.",00:02:11.400,00:02:15.070
"But when I have it like this,
the way you think about this",00:02:15.070,00:02:17.620
"first term up here, this is
going to be another three",00:02:17.620,00:02:20.880
"vector or another vector in R3,
so it's going to have 1,",00:02:20.880,00:02:23.550
"2, 3 terms.",00:02:23.550,00:02:25.320
"For the first term, what you do
is you ignore these top two",00:02:25.320,00:02:28.570
"terms of this vector and then
you look at the bottom two and",00:02:28.570,00:02:32.330
"you say, a2 times b3
minus a3 times b2.",00:02:32.330,00:02:37.670
"And I've made a few videos on
determinants, although I",00:02:40.800,00:02:42.790
"haven't formally done them in
kind of this linear algebra",00:02:42.790,00:02:45.500
playlist yet.,00:02:45.500,00:02:46.490
"But if you remember kind of
co-factor-- finding out the",00:02:46.490,00:02:49.260
"co-factor terms for when
you're determining the",00:02:49.260,00:02:52.410
"determinant or if you're just
taking the determinant for a",00:02:52.410,00:02:54.780
"2x2 matrix, this might
seem very familiar.",00:02:54.780,00:02:57.260
"So this first term right here is
essentially the determinant",00:02:57.260,00:03:00.740
"of-- if you get rid of this
first row out of both of these",00:03:00.740,00:03:05.770
"guys right here, you take a2
times b3 minus a3 times b2.",00:03:05.770,00:03:11.370
"So it's a2 times b3
minus a3 times b2.",00:03:11.370,00:03:19.890
"That was hopefully pretty
straightforward.",00:03:19.890,00:03:22.110
"Now, not to make your life any
more complicated, when you do",00:03:22.110,00:03:25.600
"the second, when you do the
middle row, when you do this",00:03:25.600,00:03:28.100
"one right here, so you
cross that out.",00:03:28.100,00:03:30.150
"And you might want to do a1
times b3 minus a3 times b1.",00:03:30.150,00:03:36.150
"And that would be natural
because that's",00:03:36.150,00:03:37.380
what we did up there.,00:03:37.380,00:03:38.380
"But the middle row you
do the opposite.",00:03:38.380,00:03:41.800
"You do a3 times b1 minus
a1 times b3.",00:03:41.800,00:03:46.310
"Or you can kind of view it as
the negative of what you would",00:03:46.310,00:03:48.890
have done naturally.,00:03:48.890,00:03:50.180
"So you would have done
a1 b3 minus a3 b1.",00:03:50.180,00:03:54.310
"Now we're going to do
a3 b1 minus a1 b3.",00:03:54.310,00:04:02.490
"And that was only for
that middle row.",00:04:06.140,00:04:07.640
"And then, for the bottom
row, we cross that out",00:04:07.640,00:04:11.120
again or ignore it.,00:04:11.120,00:04:12.300
"And we do a1 times b2, just like
we do with the first row.",00:04:12.300,00:04:15.490
Times a2 b1.,00:04:19.000,00:04:20.980
Or minus a2 b1.,00:04:20.980,00:04:24.930
"This seems all hard to-- and
it is hard to remember.",00:04:24.930,00:04:27.920
"That's why I kind of have to get
that system in place like",00:04:27.920,00:04:30.280
I just talked to you about.,00:04:30.280,00:04:31.130
"But this might seem pretty
bizarre and hairy.",00:04:31.130,00:04:33.650
"So let me do a couple of
examples with you, just so you",00:04:33.650,00:04:35.870
"get the hang of our definition
of the dot product in R3.",00:04:35.870,00:04:40.390
"So let's say that I have the
vector-- let's say I'm",00:04:40.390,00:04:44.200
crossing the vector.,00:04:44.200,00:04:46.950
"I have the vector 1,
minus 7, and 1.",00:04:46.950,00:04:50.730
"And I'm going to cross that
with the vector 5, 2, 4.",00:04:50.730,00:04:58.180
"So this is going to be equal
to a third vector.",00:04:58.180,00:05:00.475
"Let me get some space to
do my mathematics.",00:05:03.810,00:05:06.920
"So for the first element in
this vector, the first",00:05:06.920,00:05:10.170
"component, we just ignore the
first components of these",00:05:10.170,00:05:12.950
"vectors and we say minus 7
times 4 minus 1 times 2.",00:05:12.950,00:05:20.610
"And these are just regular
multiplication.",00:05:23.180,00:05:24.680
"I'm not taking the
dot product.",00:05:24.680,00:05:25.830
"These are just regular
numbers.",00:05:25.830,00:05:27.570
"Then for the middle term, we
ignore the middle terms here",00:05:27.570,00:05:31.050
and then we do the opposite.,00:05:31.050,00:05:32.660
"We do 1 times 5 minus
1 times 4.",00:05:32.660,00:05:39.270
"Remember, you might have been
tempted to do 1 times 4 minus",00:05:42.120,00:05:45.410
"1 times 5 because that's how we
essentially did it in the",00:05:45.410,00:05:48.380
first term.,00:05:48.380,00:05:48.900
"But the middle term
is the opposite.",00:05:48.900,00:05:51.240
"And then finally, the third
term you ignore the third",00:05:51.240,00:05:54.290
"terms here and then you do it
just like the first term.",00:05:54.290,00:05:56.030
You start in the top left.,00:05:56.030,00:05:57.260
1 times 2 minus 7.,00:05:57.260,00:06:04.340
Put that in parentheses.,00:06:04.340,00:06:06.240
Minus minus 7 times 5.,00:06:06.240,00:06:09.500
"And so that is equal
to-- let me see.",00:06:09.500,00:06:15.070
What do we get?,00:06:15.070,00:06:16.500
Minus 7 times 4.,00:06:16.500,00:06:18.580
"I don't want to make a careless
mistake here.",00:06:18.580,00:06:19.890
That's minus 28.,00:06:19.890,00:06:22.960
Minus 2.,00:06:22.960,00:06:25.880
"So this is minus 30 for
that first term.",00:06:25.880,00:06:29.490
This one is 5 minus 4.,00:06:29.490,00:06:31.540
5 minus 4 is just 1.,00:06:36.500,00:06:38.530
