text,start,stop
"In our previous lesson, we introduced you
to linked list data structure and we saw how",00:00:00.450,00:00:06.169
"linked lists solve some of the problems that
we have with arrays.",00:00:06.169,00:00:11.210
"So now the obvious question would be which
one is better - an array or a linked list.",00:00:11.210,00:00:17.310
"Well, there is no such thing as one data structure
is better than another data structure.",00:00:17.310,00:00:23.160
"One data structure may be really good for
one kind of requirement, while another data",00:00:23.160,00:00:27.150
"structure really good for another kind of
requirement.",00:00:27.150,00:00:29.870
"So, it all depends upon factor like what is
the most frequent operation that you want",00:00:29.870,00:00:35.480
"to perform with the data structure or what
is the size of the data and there can be other",00:00:35.480,00:00:40.790
factors as well.,00:00:40.790,00:00:42.100
"So, in this lesson, we will compare these
two data structures based on some parameters,",00:00:42.100,00:00:48.150
"based on the cost of operations that we have
with these data structures.",00:00:48.150,00:00:52.530
"So, all in all we will comparatively study
the advantages and disadvantages and try to",00:00:52.530,00:00:58.200
"understand in which scenario we should use
an array and in which scenario we should use",00:00:58.200,00:01:02.950
a linked list.,00:01:02.950,00:01:04.380
"So, i will draw two columns here, one for
array and another for linked list and the",00:01:04.380,00:01:10.280
"first parameter that we want to talk about
is the cost of accessing an element.",00:01:10.280,00:01:16.890
"Irrespective of the size of an array, it takes
constant time to access an element in the",00:01:16.890,00:01:23.650
array.,00:01:23.650,00:01:24.650
"This is because an array is stored as one
contiguous block of memory.",00:01:24.650,00:01:28.999
"So, if we know the starting address or the
base address of this block of memory.",00:01:28.999,00:01:33.880
"Let us say what we have here is an integer
array and base address is 200.",00:01:33.880,00:01:39.029
"The first byte in this array is at address
200.",00:01:39.029,00:01:42.209
"Then let's say if we want to calculate the
address of element at index i, then it will",00:01:42.209,00:01:48.109
"be equal to 200 plus i into size of an integer
in bytes.",00:01:48.109,00:01:54.049
"So, size of an integer in bytes is typically
4 bytes.",00:01:54.049,00:01:57.149
"So, it will be 200 + 4*i.",00:01:57.149,00:01:59.740
"So, if 0th element is at address 200, if we
want to calculate the address for element",00:01:59.740,00:02:05.990
"at index 6, it will be 200 plus 6 into 4 which
will be equal to 224.",00:02:05.990,00:02:12.879
"So, knowing address of any element in an array
is just this calculation for our application.",00:02:12.879,00:02:20.030
"In terms of big-oh notation, constant time
is also called O(1).",00:02:20.030,00:02:25.200
