text,start,stop
"In our previous lesson, we introduced you
to the concept of data structures",00:00:00.530,00:00:05.320
"and we saw how we can talk about data
structures",00:00:05.320,00:00:08.429
"in two ways, one as a mathematical and logical model ",00:00:08.429,00:00:12.479
"that we also call,",00:00:12.479,00:00:13.309
that we also term as,00:00:13.309,00:00:14.919
an abstract data type,00:00:14.919,00:00:17.029
or ADT,00:00:17.029,00:00:18.740
and then we also study data structures as concrete implementations.,00:00:18.740,00:00:22.789
"In this lesson, we will study one simple
data structure",00:00:22.789,00:00:25.880
we will first define an abstract view of it,00:00:25.880,00:00:28.880
"we will first define it as an abstract data
type and then we will see",00:00:28.880,00:00:32.570
uh... the possible implementations,00:00:32.570,00:00:34.980
and this data structure is list.,00:00:34.980,00:00:37.650
List is a common,00:00:37.650,00:00:38.940
real world entity.,00:00:38.940,00:00:40.850
"List is nothing but a collection of
objects of the same type.",00:00:40.850,00:00:44.620
"we can have a list of words, we can
have a list of names",00:00:44.620,00:00:48.330
"or, we can have a list of numbers",00:00:48.330,00:00:50.250
"so let us first define list as an
abstract data type. So,",00:00:50.250,00:00:54.590
"when we define abstract data type, we just",00:00:54.590,00:00:56.950
"define the data that we'll store and then
we define the operations",00:00:56.950,00:01:00.800
"available with the type and we do not
go into the implementation details",00:01:00.800,00:01:05.630
let us first define a very basic list.,00:01:05.630,00:01:08.210
I want a list that can store a,00:01:08.210,00:01:10.470
given number of elements,00:01:10.470,00:01:12.440
of a given data type,00:01:12.440,00:01:14.450
"this would be a static list as the
number of elements in the list will not",00:01:14.450,00:01:17.670
"change and we will know the number of
elements before creating the list",00:01:17.670,00:01:21.770
We should be able to write or modify,00:01:21.770,00:01:25.460
element at,00:01:25.460,00:01:26.460
any position in the list,00:01:26.460,00:01:28.520
"and of course we should be able to read
element at a particular position in",00:01:28.520,00:01:31.750
the list,00:01:31.750,00:01:32.610
"so if i ask you for an implementation
of such a list",00:01:32.610,00:01:36.380
and you have taken a basic course,00:01:36.380,00:01:38.679
"in programming,",00:01:38.679,00:01:40.030
"a basic introductory course then you
will be like",00:01:40.030,00:01:42.670
"hey i know this,",00:01:42.670,00:01:43.900
"an array gives us all these features,",00:01:43.900,00:01:46.520
"all these operations are available with
an array,",00:01:46.520,00:01:49.300
"we can create an array of any data type. So, let's say if we want to create a",00:01:49.300,00:01:53.080
list of,00:01:53.080,00:01:54.000
"integers,",00:01:54.000,00:01:55.190
then we,00:01:55.190,00:01:56.790
declare the array type,00:01:56.790,00:01:58.200
as integer and then we can,00:01:58.200,00:02:00.230
give the size as a parameter in declaration,00:02:00.230,00:02:03.430
i can write,00:02:03.430,00:02:04.350
"or modify element at a particular
position",00:02:04.350,00:02:07.210
"The elements are A[0], A[1] and are accessed something like this",00:02:07.210,00:02:11.290
we all know about arrays,00:02:11.290,00:02:12.389
and then you can also read ,00:02:12.389,00:02:13.700
elements at particular position.,00:02:13.700,00:02:17.169
The element at i-th postion is accessed as,00:02:17.169,00:02:20.000
A[i].,00:02:20.000,00:02:22.159
"So, array is a data structure that gives
us implementation for this list",00:02:22.159,00:02:26.519
"now i want a list and that should have
many more features. I want it to handle",00:02:26.519,00:02:31.249
more scenarios for me,00:02:31.249,00:02:32.799
so i'll redefine this list here,00:02:32.799,00:02:35.059
"i don't want a static list, a static collection of fixed size. I want a",00:02:35.059,00:02:38.900
dynamic list,00:02:38.900,00:02:40.190
that should grow as per my need,00:02:40.190,00:02:41.999
so the features of my list are that,00:02:41.999,00:02:44.979
i will call my list,00:02:44.979,00:02:46.430
empty,00:02:46.430,00:02:47.790
if there are no elements in the list,00:02:47.790,00:02:49.640
i'll  say the size of the list is zero when it is empty,00:02:49.640,00:02:52.949
and then,00:02:52.949,00:02:53.989
i can insert an element into the list,00:02:53.989,00:02:57.229
"and i can insert an element at any
position in the list, in an existing",00:02:57.229,00:03:00.909
list,00:03:00.909,00:03:01.859
i can remove element from the list,00:03:01.859,00:03:04.419
"i can count the number of elements in
the list",00:03:04.419,00:03:07.819
and i should be able to read or write,00:03:07.819,00:03:10.859
"or rather, read or modify",00:03:10.859,00:03:12.950
"element at a particular position in
the list",00:03:12.950,00:03:16.609
"and i should also be able to specify the
date type for the list so i should be",00:03:16.609,00:03:20.699
"able to while creating the list i should
be",00:03:20.699,00:03:23.120
able to say,00:03:23.120,00:03:24.140
whether this is a list of integers or whether this is a list of string,00:03:24.140,00:03:28.089
or float or whatever.,00:03:28.089,00:03:30.819
"Now, i want a data structure which is implementation of this dynamic list",00:03:30.819,00:03:35.769
so how do i get it?,00:03:35.769,00:03:37.439
"Well, actually we can implement such a
dynamic list using arrays. ",00:03:37.439,00:03:42.109
"It's just that we will have to
write some more operations on top of",00:03:42.109,00:03:45.729
arrays,00:03:45.729,00:03:46.599
"to provide for all these
functionalities.",00:03:46.599,00:03:49.449
"So, let us see how we can implement this
particular list using arrays",00:03:49.449,00:03:53.679
