text,start,stop
"In our previous lesson, we introduced you
to",00:00:00.640,00:00:03.169
"Queue data structure. We talked about Queue
as Abstract Data Type",00:00:03.169,00:00:07.680
"or ADT. As we know when we talk about
data structure as Abstract Data Type,",00:00:07.680,00:00:12.950
"we define it as a mathematical or
logical model.",00:00:12.950,00:00:16.880
"We define only the features or
operations available with the data",00:00:16.880,00:00:20.600
"structure,",00:00:20.600,00:00:21.060
"and do not go into implementation
details.",00:00:21.060,00:00:24.250
"In this lesson, we are going to discuss
possible implementation of a Queue.",00:00:24.250,00:00:28.340
"I will do a quick recap of what we have
discussed so far.",00:00:28.340,00:00:32.070
"A Queue is a list of collection with
this",00:00:32.070,00:00:35.520
"restriction with this constraint, that
insertion can be performed at",00:00:35.520,00:00:39.960
"one end, that we call rear of Queue",00:00:39.960,00:00:43.040
or tail of Queue and Deletion,00:00:43.040,00:00:46.220
"can be performed at other end that we
call the front of Queue",00:00:46.220,00:00:49.800
"or the head of Queue. An insertion 
in Queue ",00:00:49.800,00:00:54.160
is called enqueue operation. A deletion is called,00:00:54.160,00:00:57.340
"dequeue operation. I have defined Queue ADT
with these Four operations that have written here,",00:00:57.340,00:01:02.890
"in an actual implementation all these
operations will be functions, ",00:01:02.890,00:01:06.920
"front operation should simply return the
element at front of Queue",00:01:06.920,00:01:11.479
"should not remove any element from the
Queue,",00:01:11.479,00:01:14.490
"Isempty should simply check whether Queue is
empty or not",00:01:14.490,00:01:18.130
"and all these operations must take constant
time.",00:01:18.130,00:01:21.209
"Enqueue, dequeue or looking at element at front,",00:01:21.209,00:01:24.749
"the time taken for any of these
operations must not depend",00:01:24.749,00:01:28.399
"upon a variable like number of elements
in Queue",00:01:28.399,00:01:31.819
"or in other words, and complexity of all
these",00:01:31.819,00:01:35.560
operations must be O(1).,00:01:35.560,00:01:38.740
"Okay! So let's get started, we are saying
that",00:01:38.740,00:01:42.090
"a Queue is a special kind of list, in
which",00:01:42.090,00:01:45.209
"elements can be inserted or removed one
at a time",00:01:45.209,00:01:49.340
and insertion and removal happen at,00:01:49.340,00:01:52.389
"different ends of the Queue. We can insert
an element at ",00:01:52.389,00:01:56.399
"one end and we can remove an element
from the other end,",00:01:56.399,00:02:00.049
"just the way we did it for stack. We can
add these constraints or extra",00:02:00.049,00:02:04.619
properties of Queue,00:02:04.619,00:02:05.909
"to some implementation of a list and
create",00:02:05.909,00:02:09.250
"a Queue. They're two popular
implementations of Queue,",00:02:09.250,00:02:12.510
"we can have an array based
implementation and we can have linked",00:02:12.510,00:02:16.650
list based implementation.,00:02:16.650,00:02:18.280
"Let's first discuss array-based
implementation.",00:02:18.280,00:02:22.140
"Let's say we want to create a Queue of
integers.",00:02:22.140,00:02:25.260
What we can do is we can first create an,00:02:25.260,00:02:28.320
"array of integers. I have created an array
of 10 integers here. ",00:02:28.320,00:02:32.300
"I have named this array A, now what
I'm going to do is, I'm going to use this",00:02:32.300,00:02:37.070
"array to store my Queue, what I'm going to
say is that",00:02:37.070,00:02:41.080
"at any point, some part after array
starting an index",00:02:41.080,00:02:45.630
"marked as front, till an index",00:02:45.630,00:02:49.120
marked as rear will be my Queue.,00:02:49.120,00:02:52.580
"In this array I'm showing front of the
Queue toward left and",00:02:52.580,00:02:56.360
"the rear towards right.
In earlier examples I was showing",00:02:56.360,00:03:00.450
front towards right and rear towards left.,00:03:00.450,00:03:03.690
"Doesn't really matter, any side can be
front and any side can be",00:03:03.690,00:03:08.490
"rear, it's just that an element must
always be",00:03:08.490,00:03:12.180
"added from rear side and must always
be removed",00:03:12.180,00:03:16.610
from front. So if at any stage,00:03:16.610,00:03:19.770
"a segment of the array from an index
marked as front",00:03:19.770,00:03:23.640
till an index marked as rear is my Queue,00:03:23.640,00:03:27.210
"and rest of the positions in the 
array are free space,",00:03:27.210,00:03:31.180
that can be used to expand the Queue.,00:03:31.180,00:03:34.400
"To insert an element to enqueue, we can
increment rear,",00:03:34.400,00:03:38.610
"so we will add a new cell in the Queue
towards",00:03:38.610,00:03:41.750
"rear end and in this cell, we can write
the new value",00:03:41.750,00:03:45.370
"element to be inserted can come to this
position.",00:03:45.370,00:03:48.740
"I fill in some values here at these
positions.",00:03:48.740,00:03:52.560
So we have these integers in the Queue and,00:03:52.560,00:03:55.600
"let's say we want to insert number 5. To
insert we will increment rear",00:03:55.600,00:04:01.110
"ofcourse there should be an available
cell in the right,",00:04:01.110,00:04:04.120
"an available empty cell in the right and
now we can write",00:04:04.120,00:04:07.819
"value 5 here. After insertion new rear index
is ",00:04:07.819,00:04:12.430
"7, and value at index 7 is",00:04:12.430,00:04:15.430
"5. Now dequeue means we must remove an
element from front of Queue.",00:04:15.430,00:04:20.909
"In this example, here a dequeue operation
should remove number 2 from the Queue",00:04:20.909,00:04:25.800
"to dequeue, we can simply increment front",00:04:25.800,00:04:29.150
"because at any point only the cells
starting front",00:04:29.150,00:04:32.919
"till rear are part of my Queue.
By incrementing front I have discarded",00:04:32.919,00:04:37.949
"index 2 from the Queue and we do not
care what value lies in a cell,",00:04:37.949,00:04:42.810
"that is not part of the Queue, when
we will include",00:04:42.810,00:04:45.969
"cell in the Queue we will overwrite
the value in that cell",00:04:45.969,00:04:49.729
"anyway. So just incrementing front is
good enough",00:04:49.729,00:04:53.599
"for dequeue operation. Let's quickly write
pseudocode for",00:04:53.599,00:04:57.400
"whatever we have discussed so far. In my
code I will have 2",00:04:57.400,00:05:01.210
