text,start,stop
"In our previous lesson we introduced
you to stack data structure.",00:00:00.410,00:00:03.939
We talked about stack as abstract data type,00:00:03.939,00:00:07.050
"or ADT has been often we define 
data structure as abstract data type.",00:00:07.050,00:00:12.559
"We define it as a mathematical or
logical model.",00:00:12.559,00:00:16.130
"We define only the features or
operations available with the data",00:00:16.130,00:00:20.270
structure,00:00:20.270,00:00:20.910
"and do not bother about implementation.
Now in this lesson we will see how we",00:00:20.910,00:00:25.870
can,00:00:25.870,00:00:26.190
"implement stack data structure. We will
first",00:00:26.190,00:00:29.470
"discuss possible implementations of
stack and",00:00:29.470,00:00:32.660
"then we will go ahead and write some code.
Okay so let's get started",00:00:32.660,00:00:36.980
as we had seen a stack is a list,00:00:36.980,00:00:40.059
"or collection with this restriction, with
this constraint",00:00:40.059,00:00:43.519
that insertion and deletion that we call,00:00:43.519,00:00:46.730
"push and pop operations in a stack must
be performed",00:00:46.730,00:00:51.030
"one element at a time and only from
one",00:00:51.030,00:00:54.539
"end, that we call the top of stack.So if
you see",00:00:54.539,00:00:58.909
"if we can add only this one extra
property only this one",00:00:58.909,00:01:03.069
"extra constraint to any implementation
of a list",00:01:03.069,00:01:06.909
"that insertion and deletion must be
performed",00:01:06.909,00:01:10.090
"only from one end then we can get
a stack.",00:01:10.090,00:01:13.630
"There are two popular ways of creating
lists",00:01:13.630,00:01:16.689
"we have talked about them alot in our
previous lessons we can use",00:01:16.689,00:01:20.450
any of them to create a stack.We can,00:01:20.450,00:01:23.479
implement stacks using a) arrays,00:01:23.479,00:01:26.729
"and b) linked lists both these
implementations are pretty intuitive.",00:01:26.729,00:01:32.039
"Let's first discuss array based
implementation.",00:01:32.039,00:01:35.359
"Let's say I want to create a stack of
integers,",00:01:35.359,00:01:38.909
"so what I can do is I can first create
an array of integers.",00:01:38.909,00:01:43.679
"I am creating an array of 10 integers here,
i'm naming this array",00:01:43.679,00:01:47.509
"'A'. Now I'm going to use this array to
store",00:01:47.509,00:01:51.329
"a stack, what I'm going to say is
that at",00:01:51.329,00:01:54.570
any point some part of this array starting,00:01:54.570,00:01:58.189
index 'zero' till an index marked as,00:01:58.189,00:02:01.609
'top' will be my stack. We can create,00:02:01.609,00:02:06.009
"a variable named 'top' to store the index
of top of stack.",00:02:06.009,00:02:10.399
For an empty stack top is set,00:02:10.399,00:02:13.870
"as -1, right now in this figure",00:02:13.870,00:02:17.310
"top is pointing to an imaginary -1
index in the array.",00:02:17.310,00:02:21.360
An insertion or push operation,00:02:21.360,00:02:24.430
"will be something like this. I will write
a function named",00:02:24.430,00:02:28.540
"'Push' that will take an integer 'x' as
argument.",00:02:28.540,00:02:31.959
"In 'Push' function we will first
increment top",00:02:31.959,00:02:35.690
and then we can fill in integer 'x',00:02:35.690,00:02:39.080
at top index. Here we are assuming that,00:02:39.080,00:02:42.879
"'A' and 'top' will be accessible to 'Push'
function",00:02:42.879,00:02:46.760
"even when they're not passed as
arguments. In 'C' we can declare them as",00:02:46.760,00:02:51.370
global variables,00:02:51.370,00:02:52.610
"or in an object-oriented implementation
all these entities",00:02:52.610,00:02:57.000
"can be members of a class. I'm only
writing pseudo code to explain the",00:02:57.000,00:03:01.709
implementation logic.,00:03:01.709,00:03:03.159
"Okay, so for this example array that I'm
showing here,",00:03:03.159,00:03:06.830
right now top is set as -1,00:03:06.830,00:03:09.959
"so my stack is empty. Let's insert
something onto the stack.",00:03:09.959,00:03:13.730
"I will have to make call to 'Push'
function. Let's say I want to insert",00:03:13.730,00:03:18.159
"number 'two' onto the stack,",00:03:18.159,00:03:19.879
"in a call to 'Push' first 'top' will be
incremented",00:03:19.879,00:03:23.220
"and then the integer passed as argument
will be written at",00:03:23.220,00:03:26.569
"top index, so two will be written at index
'zero'.",00:03:26.569,00:03:30.319
"Let's push one more number, let's say",00:03:30.319,00:03:33.549
"i want to push number 'ten' this time. Once
again 'top' will be incremented",00:03:33.549,00:03:37.689
"'ten' will now go at index 'one', with each
push the stack will expand",00:03:37.689,00:03:42.349
"towards higher indices in the array. To
pop an element from the stack,",00:03:42.349,00:03:47.140
"i am writing a function here for pop
operation. All I need to do is",00:03:47.140,00:03:51.739
decrement 'top' by 'one' with,00:03:51.739,00:03:55.079
"a call to 'pop'. Let's say i am making a call to
'pop' function here,",00:03:55.079,00:03:59.060
top will simply be decremented.,00:03:59.060,00:04:02.060
"Whatever cells are in yellow in this
figure are part of my stack.",00:04:02.060,00:04:05.969
"We do not need to reset this value
before",00:04:05.969,00:04:09.000
"popping, if a cell is not part of stack
anymore we do not care what garbage lies",00:04:09.000,00:04:13.939
