text,start,stop
"Hello everyone ! In our lessons in this series
so far, we have discussed linked list quite",00:00:00.290,00:00:05.380
a bit.,00:00:05.380,00:00:06.380
"We have seen how we can create a linked list
and how we can perform various operations",00:00:06.380,00:00:10.310
with linked list.,00:00:10.310,00:00:11.920
"Linked lists as we know are collections of
entities that we call Nodes.",00:00:11.920,00:00:17.370
"So far, in all our implementations, we have
created linked list in which each Node would",00:00:17.370,00:00:23.250
"contain two fields - one to store data and
another to store address of the next node.",00:00:23.250,00:00:30.830
"Lets say we have a linked list of integers
here.",00:00:30.830,00:00:32.800
"So, I'll fill in some values in data field
of each Node.",00:00:32.800,00:00:37.590
"Lets assume that these Nodes are at addresses
200, 250 and 350 respectively.",00:00:37.590,00:00:44.280
"I'll also fill in the address field in each
Node.",00:00:44.280,00:00:47.329
"The address field in first Node will be the
address of second node which is 250.",00:00:47.329,00:00:51.710
"The address field in second node will be address
of third node which is 350 and address part",00:00:51.710,00:00:57.510
in third Node will be 0 or Null.,00:00:57.510,00:01:00.310
"The identity of a linked list that we always
keep with us is the address of head Node or",00:01:00.310,00:01:05.420
reference to head Node.,00:01:05.420,00:01:07.320
"Lets say we have a variable named head only
to store the address of head node.",00:01:07.320,00:01:12.420
"Remember this variable named head is only
a pointer to the head Node.",00:01:12.420,00:01:16.080
"Ideally, we should have named this something
like head pointer.",00:01:16.080,00:01:19.540
"its only pointing to the head Node, its not
the head Node itself.",00:01:19.540,00:01:24.659
head Node is this guy.,00:01:24.659,00:01:26.840
The first node in the linked list.,00:01:26.840,00:01:28.820
"Ok, so right now, in the linked list that
we are showing here each node has only one",00:01:28.820,00:01:35.040
"link, a link to the next Node.",00:01:35.040,00:01:38.460
"In a real program, Node for the linked list
that I am showing here will be defined like",00:01:38.460,00:01:43.450
this.,00:01:43.450,00:01:44.450
"This is how we have defined Node so far in
all our lessons.",00:01:44.450,00:01:49.420
"We have two fields here - one of type integer
to store data and another of type pointer",00:01:49.420,00:01:54.910
to Node - struct Node asterisk.,00:01:54.910,00:01:58.400
I am calling this field next.,00:01:58.400,00:02:00.759
"When we say linked list, by default we mean
such a list that we can also call singly linked",00:02:00.759,00:02:07.030
list.,00:02:07.030,00:02:08.039
What we have here is a singly linked list.,00:02:08.039,00:02:10.929
